Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2019-08-07,LTCBTC,0.008114,0.008114,0.008085,0.008085,30.97,0.2506
2019-08-06,LTCBTC,0.008161,0.008207,0.007818,0.008114,6586.7,53.1
2019-08-05,LTCBTC,0.008468,0.00907,0.00801,0.008149,19906.83,168.53
2019-08-04,LTCBTC,0.008706,0.0088,0.0084,0.008468,6650.16,56.9
2019-08-03,LTCBTC,0.008998,0.009045,0.008667,0.008717,4068.07,35.87
2019-08-02,LTCBTC,0.009403,0.009426,0.008872,0.008998,10225.18,93.75
2019-08-01,LTCBTC,0.009814,0.009874,0.009453,0.009499,7712.58,74.76
2019-07-31,LTCBTC,0.009418,0.00995,0.009388,0.009814,11549.63,112.02
2019-07-30,LTCBTC,0.009516,0.00954,0.009385,0.009418,3871.79,36.58
2019-07-29,LTCBTC,0.009421,0.009582,0.009307,0.00951,3075.78,29.06
2019-07-28,LTCBTC,0.009387,0.00951,0.009146,0.009421,4334.07,40.42
2019-07-27,LTCBTC,0.009435,0.009465,0.00921,0.009346,4330.23,40.47
2019-07-26,LTCBTC,0.009448,0.009611,0.009332,0.009574,3902.52,37.07
2019-07-25,LTCBTC,0.009671,0.009671,0.009231,0.009448,3893.48,36.67
2019-07-24,LTCBTC,0.009133,0.0098,0.009,0.009671,4876.68,46.24
2019-07-23,LTCBTC,0.009204,0.009247,0.008953,0.009133,3681.65,33.51
2019-07-22,LTCBTC,0.009429,0.00945,0.0089,0.009204,9122.33,83.55
2019-07-21,LTCBTC,0.009341,0.00947,0.009136,0.009429,3848.4,35.96
2019-07-20,LTCBTC,0.009359,0.009806,0.009313,0.009341,8017.91,76.0
2019-07-19,LTCBTC,0.009508,0.009581,0.009174,0.009359,6698.76,62.64
2019-07-18,LTCBTC,0.009305,0.009349,0.009087,0.009222,750.16,6.886
2019-07-17,LTCBTC,0.008428,0.009603,0.008312,0.009305,18652.53,169.6
2019-07-16,LTCBTC,0.008314,0.00849,0.00799,0.008428,11392.19,94.44
2019-07-15,LTCBTC,0.008796,0.0088,0.008285,0.008314,8579.45,74.0
2019-07-14,LTCBTC,0.008882,0.008984,0.008487,0.008796,9578.13,83.47
2019-07-13,LTCBTC,0.008918,0.009113,0.00881,0.008882,3522.01,31.49
2019-07-12,LTCBTC,0.009038,0.00919,0.008792,0.008918,10415.23,94.26
2019-07-11,LTCBTC,0.008925,0.0092,0.008475,0.009038,14028.79,124.06
2019-07-10,LTCBTC,0.009481,0.009523,0.008212,0.008925,31332.34,278.18
2019-07-09,LTCBTC,0.01002,0.01004,0.00944,0.009481,15776.31,152.36
2019-07-08,LTCBTC,0.01049,0.0105,0.009809,0.01002,11895.01,120.8
2019-07-07,LTCBTC,0.01054,0.01062,0.01033,0.01049,4596.58,48.15
2019-07-06,LTCBTC,0.0108,0.0108,0.01034,0.01054,6069.87,63.63
2019-07-05,LTCBTC,0.01073,0.01096,0.01047,0.0108,9928.81,106.27
2019-07-04,LTCBTC,0.01019,0.01078,0.01004,0.01073,17862.58,187.58
2019-07-03,LTCBTC,0.01096,0.01096,0.01011,0.01019,13872.18,146.65
2019-07-02,LTCBTC,0.01164,0.01177,0.01076,0.01096,15658.61,178.17
2019-07-01,LTCBTC,0.01134,0.01176,0.01108,0.01164,16919.59,192.15
2019-06-30,LTCBTC,0.01123,0.01211,0.01081,0.01134,21298.07,243.21
2019-06-29,LTCBTC,0.009658,0.01152,0.009658,0.01123,20088.66,214.55
2019-06-28,LTCBTC,0.01026,0.01047,0.009658,0.009658,12304.05,123.11
2019-06-27,LTCBTC,0.01009,0.01081,0.009415,0.01026,35091.74,353.07
2019-06-26,LTCBTC,0.01154,0.01156,0.009744,0.01009,45814.78,485.37
2019-06-25,LTCBTC,0.01227,0.01237,0.01144,0.01154,15312.72,180.34
2019-06-24,LTCBTC,0.01261,0.01273,0.01208,0.01227,9277.56,114.7
2019-06-23,LTCBTC,0.01326,0.01327,0.0124,0.01261,8628.4,111.43
2019-06-22,LTCBTC,0.01361,0.01377,0.01261,0.01326,21141.18,278.13
2019-06-21,LTCBTC,0.01423,0.01445,0.01361,0.01361,12988.08,182.38
2019-06-20,LTCBTC,0.01471,0.01475,0.014,0.01423,8779.61,126.68
2019-06-19,LTCBTC,0.01489,0.01528,0.01456,0.01471,11336.42,169.93
2019-06-18,LTCBTC,0.01437,0.0151,0.01424,0.01489,11009.18,160.75
2019-06-17,LTCBTC,0.01524,0.01524,0.01422,0.01437,10734.1,156.7
2019-06-16,LTCBTC,0.01562,0.01562,0.0144,0.01524,18392.16,272.51
2019-06-15,LTCBTC,0.01529,0.01585,0.01526,0.01562,16322.23,255.22
2019-06-14,LTCBTC,0.01591,0.01601,0.01495,0.01529,26255.37,408.97
2019-06-13,LTCBTC,0.01668,0.01677,0.01555,0.01591,17620.83,287.66
2019-06-12,LTCBTC,0.01722,0.01778,0.01615,0.01668,39071.74,672.1
2019-06-11,LTCBTC,0.01622,0.0175,0.01598,0.01722,25167.25,423.2
2019-06-10,LTCBTC,0.01501,0.01633,0.01498,0.01622,23166.31,361.43
2019-06-09,LTCBTC,0.01494,0.01507,0.01469,0.01501,8092.08,120.75
2019-06-08,LTCBTC,0.01462,0.01521,0.01448,0.01494,9428.1,139.34
2019-06-07,LTCBTC,0.01423,0.01495,0.01411,0.01462,18631.35,270.94
2019-06-06,LTCBTC,0.01332,0.01447,0.01326,0.01423,8695.65,119.44
2019-06-05,LTCBTC,0.01328,0.01341,0.01309,0.01332,5890.56,78.1
2019-06-04,LTCBTC,0.01301,0.01331,0.01285,0.01328,10812.79,141.79
2019-06-03,LTCBTC,0.01314,0.01336,0.01282,0.01301,7864.62,103.29
2019-06-02,LTCBTC,0.01318,0.01331,0.01302,0.01314,3383.06,44.51
2019-06-01,LTCBTC,0.01338,0.01354,0.01308,0.01318,4648.71,61.86
2019-05-31,LTCBTC,0.01307,0.01339,0.01277,0.01338,6606.89,86.28
