Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume ETH
2019-08-07,LTCETH,0.4118,0.4125,0.4118,0.4125,0.1666,0.06872
2019-08-06,LTCETH,0.4139,0.423,0.402,0.4118,454.77,188.45
2019-08-05,LTCETH,0.4187,0.4574,0.41,0.4139,744.22,320.93
2019-08-04,LTCETH,0.424,0.4281,0.4135,0.4187,642.57,269.63
2019-08-03,LTCETH,0.4343,0.4343,0.424,0.424,280.04,120.44
2019-08-02,LTCETH,0.4499,0.4513,0.4296,0.4343,1535.08,671.36
2019-08-01,LTCETH,0.4528,0.4642,0.4515,0.455,450.02,205.55
2019-07-31,LTCETH,0.4291,0.4628,0.4291,0.4528,197.35,88.04
2019-07-30,LTCETH,0.4312,0.434,0.4291,0.4291,247.01,106.39
2019-07-29,LTCETH,0.4265,0.4281,0.4238,0.4281,21.46,9.16
2019-07-28,LTCETH,0.4292,0.4292,0.4292,0.4292,0.0,0.0
2019-07-27,LTCETH,0.431,0.433,0.4217,0.4292,204.26,87.11
2019-07-26,LTCETH,0.424,0.4265,0.424,0.4265,0.3542,0.1511
2019-07-25,LTCETH,0.4281,0.4306,0.4206,0.424,496.25,211.51
2019-07-24,LTCETH,0.4252,0.4488,0.42,0.4368,277.68,120.93
2019-07-23,LTCETH,0.438,0.438,0.4211,0.4252,685.58,293.58
2019-07-22,LTCETH,0.4445,0.4445,0.422,0.438,224.24,97.54
2019-07-21,LTCETH,0.4397,0.445,0.4326,0.4445,117.3,51.85
2019-07-20,LTCETH,0.4454,0.45,0.435,0.4397,178.43,78.78
2019-07-19,LTCETH,0.4465,0.4533,0.4352,0.4454,453.19,201.2
2019-07-18,LTCETH,0.4255,0.4281,0.4216,0.4217,23.6,9.984
2019-07-17,LTCETH,0.399,0.4333,0.3903,0.4255,1218.81,513.87
2019-07-16,LTCETH,0.3949,0.41,0.3873,0.399,1829.99,733.93
2019-07-15,LTCETH,0.3956,0.4185,0.39,0.3949,1420.51,567.93
2019-07-14,LTCETH,0.375,0.3966,0.3681,0.3956,1540.98,589.33
2019-07-13,LTCETH,0.3794,0.3837,0.371,0.375,132.08,49.86
2019-07-12,LTCETH,0.3819,0.3891,0.3781,0.3794,271.77,104.02
2019-07-11,LTCETH,0.3745,0.387,0.3605,0.3819,1613.22,607.36
2019-07-10,LTCETH,0.3862,0.3862,0.353,0.3745,1619.43,610.23
2019-07-09,LTCETH,0.3949,0.3949,0.3836,0.3862,1170.81,454.54
2019-07-08,LTCETH,0.3927,0.399,0.3866,0.3949,569.31,222.45
2019-07-07,LTCETH,0.4124,0.413,0.385,0.3927,323.95,129.02
2019-07-06,LTCETH,0.4108,0.4127,0.4056,0.4124,351.38,143.96
2019-07-05,LTCETH,0.4243,0.4243,0.4059,0.4108,481.68,199.32
2019-07-04,LTCETH,0.404,0.4277,0.4005,0.4243,635.67,263.4
2019-07-03,LTCETH,0.4062,0.413,0.401,0.404,558.22,227.2
2019-07-02,LTCETH,0.4181,0.4196,0.404,0.4062,354.57,146.57
2019-07-01,LTCETH,0.4215,0.4234,0.4035,0.4181,522.94,216.58
2019-06-30,LTCETH,0.4163,0.4486,0.4093,0.4215,2022.69,864.58
2019-06-29,LTCETH,0.3847,0.446,0.3847,0.4163,1057.2,442.17
2019-06-28,LTCETH,0.3891,0.392,0.38,0.3847,646.92,249.18
2019-06-27,LTCETH,0.3914,0.405,0.361,0.3891,3423.72,1312.17
2019-06-26,LTCETH,0.4279,0.4295,0.374,0.3914,2992.12,1181.09
2019-06-25,LTCETH,0.4365,0.44,0.42,0.4279,807.48,346.76
2019-06-24,LTCETH,0.446,0.4521,0.4302,0.4365,1211.76,532.39
2019-06-23,LTCETH,0.4573,0.458,0.4376,0.446,765.89,341.43
2019-06-22,LTCETH,0.4677,0.471,0.452,0.4573,4516.84,2069.04
2019-06-21,LTCETH,0.4982,0.4989,0.465,0.4677,2063.17,985.34
2019-06-20,LTCETH,0.5094,0.5094,0.495,0.4982,567.67,284.18
2019-06-19,LTCETH,0.5153,0.5207,0.501,0.5094,995.79,508.72
2019-06-18,LTCETH,0.4897,0.5157,0.485,0.5153,506.6,252.24
2019-06-17,LTCETH,0.5022,0.5054,0.4878,0.4897,594.9,293.92
2019-06-16,LTCETH,0.5116,0.5118,0.493,0.5022,1211.21,607.65
2019-06-15,LTCETH,0.5015,0.521,0.5015,0.5116,530.65,272.41
2019-06-14,LTCETH,0.5125,0.519,0.4915,0.5015,963.73,484.36
2019-06-13,LTCETH,0.5178,0.5238,0.493,0.5125,886.83,453.75
2019-06-12,LTCETH,0.5555,0.5695,0.5149,0.5178,1947.9,1069.38
2019-06-11,LTCETH,0.5263,0.5687,0.5198,0.5555,1975.87,1075.76
2019-06-10,LTCETH,0.4972,0.5286,0.487,0.5263,1191.74,603.61
2019-06-09,LTCETH,0.486,0.4979,0.4803,0.4972,740.95,363.95
2019-06-08,LTCETH,0.47,0.491,0.4632,0.486,539.67,255.02
2019-06-07,LTCETH,0.4467,0.4779,0.4451,0.47,1165.05,540.72
2019-06-06,LTCETH,0.4227,0.4586,0.4191,0.4467,338.39,148.6
2019-06-05,LTCETH,0.424,0.4261,0.4178,0.4227,193.04,81.55
2019-06-04,LTCETH,0.4258,0.4278,0.4135,0.424,1116.05,468.88
2019-06-03,LTCETH,0.4261,0.4327,0.422,0.4258,798.04,341.25
2019-06-02,LTCETH,0.4242,0.4276,0.4206,0.4261,379.04,160.98
2019-06-01,LTCETH,0.4294,0.4303,0.4195,0.4242,530.3,224.5
2019-05-31,LTCETH,0.4259,0.4311,0.4167,0.4294,614.41,259.32
2019-05-30,LTCETH,0.4254,0.434,0.4078,0.4259,1358.17,570.34
2019-05-29,LTCETH,0.422,0.4325,0.417,0.4254,462.3,197.92
2019-05-28,LTCETH,0.4308,0.4313,0.4193,0.422,462.99,196.28
2019-05-27,LTCETH,0.4177,0.4361,0.4142,0.4308,1540.35,654.01
2019-05-26,LTCETH,0.4074,0.4304,0.4013,0.4177,1329.03,545.9
2019-05-25,LTCETH,0.4019,0.416,0.4001,0.4074,1552.11,634.58
2019-05-24,LTCETH,0.3631,0.4078,0.3623,0.4019,1475.68,579.53
2019-05-23,LTCETH,0.3601,0.368,0.3584,0.3631,423.84,154.44
2019-05-22,LTCETH,0.3555,0.3706,0.3459,0.3601,2070.18,736.48
2019-05-21,LTCETH,0.3626,0.3646,0.3502,0.3555,799.23,288.61
