Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NEO,Volume USD
2019-08-07,NEOUSD,32,32.13,32,32.13,0.0,0.0
2019-08-06,NEOUSD,32,32,32,32,0.0,0.0
2019-08-05,NEOUSD,32,32,32,32,0.0,0.0
2019-08-04,NEOUSD,32,32,32,32,0.0,0.0
2019-08-03,NEOUSD,32,32,32,32,0.0,0.0
2019-08-02,NEOUSD,32,32,32,32,0.0,0.0
2019-08-01,NEOUSD,32,32,32,32,0.0,0.0
2019-07-31,NEOUSD,32,32,32,32,0.0,0.0
2019-07-30,NEOUSD,32,32,32,32,0.0,0.0
2019-07-29,NEOUSD,32,32,32,32,0.0,0.0
2019-07-28,NEOUSD,32,32,32,32,0.0,0.0
2019-07-27,NEOUSD,32,32,32,32,0.0,0.0
2019-07-26,NEOUSD,32,32,32,32,0.0,0.0
2019-07-25,NEOUSD,32,32,32,32,0.0,0.0
2019-07-24,NEOUSD,32,32,32,32,0.0,0.0
2019-07-23,NEOUSD,32,32,32,32,0.0,0.0
2019-07-22,NEOUSD,32,32,32,32,0.0,0.0
2019-07-21,NEOUSD,32,32,32,32,0.0,0.0
2019-07-20,NEOUSD,32,32,32,32,0.0,0.0
2019-07-19,NEOUSD,32,32,32,32,0.0,0.0
2019-07-18,NEOUSD,32,32.13,32,32.13,0.0,0.0
2019-07-17,NEOUSD,32,32,32,32,0.0,0.0
2019-07-16,NEOUSD,32,32,32,32,0.0,0.0
2019-07-15,NEOUSD,32,32,32,32,0.0,0.0
2019-07-14,NEOUSD,32,32,32,32,0.0,0.0
2019-07-13,NEOUSD,32,32,32,32,0.0,0.0
2019-07-12,NEOUSD,32,32,32,32,0.0,0.0
2019-07-11,NEOUSD,32,32,32,32,0.0,0.0
2019-07-10,NEOUSD,32,32,32,32,0.0,0.0
2019-07-09,NEOUSD,32,32,32,32,0.0,0.0
2019-07-08,NEOUSD,32,32,32,32,0.0,0.0
2019-07-07,NEOUSD,32,32,32,32,0.0,0.0
2019-07-06,NEOUSD,32,32,32,32,0.0,0.0
2019-07-05,NEOUSD,32,32,32,32,0.0,0.0
2019-07-04,NEOUSD,32,32,32,32,0.0,0.0
2019-07-03,NEOUSD,32,32,32,32,0.0,0.0
2019-07-02,NEOUSD,32,32,32,32,0.0,0.0
2019-07-01,NEOUSD,32,32,32,32,0.0,0.0
2019-06-30,NEOUSD,32,32,32,32,0.0,0.0
2019-06-29,NEOUSD,32,32,32,32,0.0,0.0
2019-06-28,NEOUSD,32,32,32,32,0.0,0.0
2019-06-27,NEOUSD,32,32,32,32,0.0,0.0
2019-06-26,NEOUSD,32,32,32,32,0.0,0.0
2019-06-25,NEOUSD,32,32,32,32,0.0,0.0
2019-06-24,NEOUSD,32,32,32,32,0.0,0.0
2019-06-23,NEOUSD,32,32,32,32,0.0,0.0
2019-06-22,NEOUSD,32,32,32,32,0.0,0.0
2019-06-21,NEOUSD,32,32,32,32,0.0,0.0
2019-06-20,NEOUSD,32,32,32,32,0.0,0.0
2019-06-19,NEOUSD,32,32,32,32,0.0,0.0
2019-06-18,NEOUSD,32,32,32,32,0.0,0.0
2019-06-17,NEOUSD,32,32,32,32,0.0,0.0
2019-06-16,NEOUSD,32,32,32,32,0.0,0.0
2019-06-15,NEOUSD,32,32,32,32,0.0,0.0
2019-06-14,NEOUSD,32,32,32,32,0.0,0.0
2019-06-13,NEOUSD,32,32,32,32,0.0,0.0
2019-06-12,NEOUSD,32,32,32,32,0.0,0.0
2019-06-11,NEOUSD,32,32,32,32,0.0,0.0
2019-06-10,NEOUSD,32,32,32,32,0.0,0.0
2019-06-09,NEOUSD,32,32,32,32,0.0,0.0
2019-06-08,NEOUSD,32,32,32,32,0.0,0.0
2019-06-07,NEOUSD,32,32,32,32,0.0,0.0
2019-06-06,NEOUSD,32,32,32,32,0.0,0.0
2019-06-05,NEOUSD,32,32,32,32,0.0,0.0
2019-06-04,NEOUSD,32,32,32,32,0.0,0.0
2019-06-03,NEOUSD,32,32,32,32,0.0,0.0
2019-06-02,NEOUSD,32,32,32,32,0.0,0.0
