Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NXT,Volume BTC
2019-08-07,NXTBTC,1.99e-06,1.99e-06,1.99e-06,1.99e-06,4539.3,0.009033
2019-08-06,NXTBTC,1.98e-06,2.02e-06,1.93e-06,1.99e-06,1189301.5,2.357
2019-08-05,NXTBTC,1.99e-06,2.01e-06,1.96e-06,1.98e-06,716279.35,1.419
2019-08-04,NXTBTC,1.98e-06,2.02e-06,1.97e-06,1.99e-06,241114.11,0.4804
2019-08-03,NXTBTC,2.02e-06,2.02e-06,2.02e-06,2.02e-06,0.0,0.0
2019-08-02,NXTBTC,2.03e-06,2.06e-06,2.0e-06,2.02e-06,1063224.27,2.164
2019-08-01,NXTBTC,2.22e-06,2.23e-06,1.95e-06,2.03e-06,1576972.51,3.228
2019-07-31,NXTBTC,2.24e-06,2.31e-06,2.14e-06,2.22e-06,552227.28,1.223
2019-07-30,NXTBTC,2.28e-06,2.28e-06,2.22e-06,2.24e-06,79764.74,0.1791
2019-07-29,NXTBTC,2.29e-06,2.31e-06,2.29e-06,2.31e-06,15319.16,0.03539
2019-07-28,NXTBTC,2.3e-06,2.34e-06,2.22e-06,2.29e-06,580779.53,1.318
2019-07-27,NXTBTC,2.27e-06,2.3e-06,2.21e-06,2.3e-06,346351.03,0.7809
2019-07-26,NXTBTC,2.27e-06,2.32e-06,2.22e-06,2.27e-06,680846.95,1.545
2019-07-25,NXTBTC,2.33e-06,2.36e-06,2.33e-06,2.36e-06,4784.63,0.01129
2019-07-24,NXTBTC,2.27e-06,2.39e-06,2.2e-06,2.33e-06,568035.68,1.294
2019-07-23,NXTBTC,2.29e-06,2.38e-06,2.21e-06,2.27e-06,1206145.24,2.771
2019-07-22,NXTBTC,2.22e-06,2.42e-06,2.19e-06,2.29e-06,1460984.01,3.384
2019-07-21,NXTBTC,2.23e-06,2.23e-06,2.12e-06,2.22e-06,911420.09,1.976
2019-07-20,NXTBTC,2.26e-06,2.29e-06,2.2e-06,2.23e-06,419175.63,0.9436
2019-07-19,NXTBTC,2.19e-06,2.31e-06,2.1e-06,2.26e-06,1361472.63,3.001
2019-07-18,NXTBTC,2.24e-06,2.26e-06,2.24e-06,2.26e-06,4838.54,0.01084
2019-07-17,NXTBTC,2.18e-06,2.35e-06,2.14e-06,2.24e-06,1030469.01,2.3
2019-07-16,NXTBTC,2.22e-06,2.35e-06,2.15e-06,2.18e-06,939168.32,2.114
2019-07-15,NXTBTC,2.5e-06,2.53e-06,2.1e-06,2.22e-06,1783823.43,4.197
2019-07-14,NXTBTC,2.24e-06,2.77e-06,2.2e-06,2.5e-06,5090345.49,12.65
2019-07-13,NXTBTC,2.11e-06,2.3e-06,2.11e-06,2.24e-06,698543.39,1.571
2019-07-12,NXTBTC,2.27e-06,2.29e-06,2.06e-06,2.11e-06,529274.33,1.156
2019-07-11,NXTBTC,2.25e-06,2.29e-06,2.17e-06,2.27e-06,940104.67,2.116
2019-07-10,NXTBTC,2.35e-06,2.37e-06,2.09e-06,2.25e-06,2169452.85,4.794
2019-07-09,NXTBTC,2.52e-06,2.53e-06,2.31e-06,2.35e-06,744163.51,1.803
2019-07-08,NXTBTC,2.7e-06,2.77e-06,2.5e-06,2.52e-06,687592.8,1.796
2019-07-07,NXTBTC,2.7e-06,2.81e-06,2.65e-06,2.7e-06,326327.27,0.8811
2019-07-06,NXTBTC,2.72e-06,2.81e-06,2.64e-06,2.7e-06,488453.63,1.334
2019-07-05,NXTBTC,2.68e-06,2.76e-06,2.6e-06,2.72e-06,1413518.66,3.787
2019-07-04,NXTBTC,2.66e-06,2.73e-06,2.6e-06,2.68e-06,692130.46,1.838
2019-07-03,NXTBTC,2.89e-06,2.89e-06,2.62e-06,2.66e-06,2337389.48,6.347
2019-07-02,NXTBTC,2.95e-06,3.14e-06,2.83e-06,2.89e-06,1094488.86,3.302
2019-07-01,NXTBTC,2.88e-06,2.99e-06,2.83e-06,2.95e-06,824641.0,2.407
2019-06-30,NXTBTC,2.87e-06,2.97e-06,2.5e-06,2.88e-06,2996946.3,8.406
2019-06-29,NXTBTC,2.77e-06,2.89e-06,2.72e-06,2.87e-06,861552.38,2.414
2019-06-28,NXTBTC,3.16e-06,3.2e-06,2.71e-06,2.77e-06,4365818.17,12.49
2019-06-27,NXTBTC,2.95e-06,3.2e-06,2.77e-06,3.16e-06,3202761.27,9.542
2019-06-26,NXTBTC,3.28e-06,3.29e-06,2.79e-06,2.95e-06,4583312.14,14.0
2019-06-25,NXTBTC,3.46e-06,3.5e-06,3.24e-06,3.28e-06,2093947.04,6.969
2019-06-24,NXTBTC,3.47e-06,3.6e-06,3.33e-06,3.46e-06,885522.08,3.057
2019-06-23,NXTBTC,3.53e-06,3.63e-06,3.4e-06,3.47e-06,967694.58,3.433
2019-06-22,NXTBTC,3.77e-06,3.8e-06,3.3e-06,3.53e-06,2406124.12,8.49
2019-06-21,NXTBTC,3.95e-06,4.04e-06,3.72e-06,3.77e-06,1958753.67,7.525
2019-06-20,NXTBTC,4.2e-06,4.47e-06,3.82e-06,3.95e-06,3133992.27,12.78
2019-06-19,NXTBTC,4.09e-06,4.73e-06,4.04e-06,4.2e-06,7413762.4,32.59
2019-06-18,NXTBTC,3.86e-06,4.2e-06,3.61e-06,4.09e-06,4084591.86,16.22
2019-06-17,NXTBTC,3.89e-06,4.06e-06,3.7e-06,3.86e-06,2485436.52,9.64
2019-06-16,NXTBTC,3.99e-06,4.1e-06,3.76e-06,3.89e-06,1986127.65,7.748
2019-06-15,NXTBTC,4.29e-06,4.32e-06,3.9e-06,3.99e-06,2617964.3,10.68
2019-06-14,NXTBTC,4.43e-06,4.48e-06,4.22e-06,4.29e-06,745510.9,3.252
2019-06-13,NXTBTC,4.55e-06,4.87e-06,4.39e-06,4.43e-06,1552077.04,7.164
2019-06-12,NXTBTC,4.41e-06,4.8e-06,4.39e-06,4.55e-06,2012379.38,9.21
2019-06-11,NXTBTC,4.51e-06,4.59e-06,4.37e-06,4.41e-06,797863.85,3.566
2019-06-10,NXTBTC,4.43e-06,4.89e-06,4.41e-06,4.51e-06,1450558.9,6.648
2019-06-09,NXTBTC,4.78e-06,4.84e-06,4.43e-06,4.43e-06,2335343.97,10.82
2019-06-08,NXTBTC,5.28e-06,5.28e-06,4.65e-06,4.78e-06,5086830.92,24.66
2019-06-07,NXTBTC,3.93e-06,6.23e-06,3.93e-06,5.28e-06,34854315.22,173.0
2019-06-06,NXTBTC,4.06e-06,4.12e-06,3.89e-06,3.93e-06,973386.05,3.87
2019-06-05,NXTBTC,4.07e-06,4.16e-06,4.0e-06,4.06e-06,689829.4,2.81
2019-06-04,NXTBTC,4.08e-06,4.17e-06,3.94e-06,4.07e-06,1479840.62,5.98
2019-06-03,NXTBTC,4.16e-06,4.21e-06,3.96e-06,4.08e-06,1591478.26,6.48
2019-06-02,NXTBTC,3.97e-06,4.3e-06,3.97e-06,4.16e-06,2498432.45,10.37
2019-06-01,NXTBTC,3.97e-06,4.13e-06,3.93e-06,3.97e-06,651309.8,2.62
2019-05-31,NXTBTC,3.89e-06,4.34e-06,3.76e-06,3.97e-06,2694835.46,10.88
2019-05-30,NXTBTC,3.89e-06,4.26e-06,3.85e-06,3.89e-06,1914706.99,7.69
2019-05-29,NXTBTC,3.93e-06,3.95e-06,3.71e-06,3.89e-06,1565361.6,6.03
2019-05-28,NXTBTC,3.8e-06,4.08e-06,3.77e-06,3.93e-06,2547307.75,10.02
2019-05-27,NXTBTC,3.76e-06,3.89e-06,3.69e-06,3.8e-06,1270029.31,4.81
2019-05-26,NXTBTC,4.08e-06,4.11e-06,3.74e-06,3.76e-06,2039128.89,8.09
2019-05-25,NXTBTC,4.09e-06,4.17e-06,4.01e-06,4.08e-06,1530962.45,6.27
