Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume OMG,Volume USD
2019-08-07 03-AM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-07 02-AM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-07 01-AM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-07 12-AM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 11-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 10-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 09-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 08-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 07-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 06-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 05-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 04-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 03-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 02-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 01-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 12-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 11-AM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 10-AM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 09-AM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 08-AM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 07-AM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 06-AM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 05-AM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 04-AM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 03-AM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 02-AM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 01-AM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06 12-AM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-05 11-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-05 10-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-05 09-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-05 08-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-05 07-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-05 06-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-05 05-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-05 04-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-05 03-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-05 02-PM,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
