Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume OMG,Volume USD
2019-08-07,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-06,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-05,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-04,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-03,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-02,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-08-01,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-31,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-30,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-29,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-28,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-27,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-26,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-25,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-24,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-23,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-22,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-21,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-20,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-19,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-18,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-17,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-16,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-15,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-14,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-13,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-12,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-11,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-10,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-09,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-08,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-07,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-06,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-05,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-04,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-03,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-02,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
2019-07-01,OMGUSD,6.7,6.7,6.7,6.7,0.0,0.0
