Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume WAV,Volume ESBTC
2019-08-07 03-AM,WAVESBTC,0.0001172,0.0001172,0.0001172,0.0001172,0.0,0.0
2019-08-07 02-AM,WAVESBTC,0.0001181,0.0001185,0.0001172,0.0001172,20008.97,2.362
2019-08-07 01-AM,WAVESBTC,0.0001184,0.0001188,0.0001181,0.0001181,6078.82,0.7196
2019-08-07 12-AM,WAVESBTC,0.0001184,0.0001184,0.0001184,0.0001184,2136.94,0.2531
2019-08-06 11-PM,WAVESBTC,0.0001187,0.0001187,0.0001184,0.0001184,7492.95,0.8877
2019-08-06 10-PM,WAVESBTC,0.0001191,0.0001191,0.0001187,0.0001187,1164.52,0.1387
2019-08-06 09-PM,WAVESBTC,0.000117,0.0001199,0.000117,0.0001191,13967.08,1.659
2019-08-06 08-PM,WAVESBTC,0.0001158,0.000117,0.0001157,0.000117,3371.6,0.3943
2019-08-06 07-PM,WAVESBTC,0.0001168,0.0001168,0.0001158,0.0001158,203.82,0.02372
2019-08-06 06-PM,WAVESBTC,0.0001153,0.0001168,0.0001152,0.0001168,1727.83,0.2001
2019-08-06 05-PM,WAVESBTC,0.0001161,0.0001161,0.000115,0.0001153,104.66,0.01206
2019-08-06 04-PM,WAVESBTC,0.0001159,0.0001161,0.0001153,0.0001161,301.69,0.03489
2019-08-06 03-PM,WAVESBTC,0.0001159,0.0001159,0.0001152,0.0001159,374.85,0.04346
2019-08-06 02-PM,WAVESBTC,0.0001159,0.0001159,0.0001159,0.0001159,0.0,0.0
2019-08-06 01-PM,WAVESBTC,0.0001155,0.000116,0.0001149,0.0001159,404.49,0.0466
2019-08-06 12-PM,WAVESBTC,0.0001147,0.0001155,0.0001147,0.0001155,2344.7,0.2698
2019-08-06 11-AM,WAVESBTC,0.0001164,0.0001167,0.0001142,0.0001147,5652.67,0.6545
2019-08-06 10-AM,WAVESBTC,0.0001157,0.0001164,0.0001147,0.0001164,7430.49,0.8588
2019-08-06 09-AM,WAVESBTC,0.0001163,0.0001165,0.0001157,0.0001157,1578.72,0.1828
2019-08-06 08-AM,WAVESBTC,0.0001169,0.0001173,0.0001163,0.0001163,2970.84,0.3459
2019-08-06 07-AM,WAVESBTC,0.0001157,0.0001169,0.0001157,0.0001169,59.78,0.006977
2019-08-06 06-AM,WAVESBTC,0.0001191,0.0001191,0.0001155,0.0001157,5001.54,0.5859
2019-08-06 05-AM,WAVESBTC,0.0001192,0.0001193,0.0001191,0.0001191,271.78,0.03239
2019-08-06 04-AM,WAVESBTC,0.0001198,0.0001198,0.0001192,0.0001192,1167.24,0.1395
2019-08-06 03-AM,WAVESBTC,0.0001197,0.0001198,0.0001195,0.0001198,1027.35,0.1229
2019-08-06 02-AM,WAVESBTC,0.0001201,0.0001201,0.0001192,0.0001197,2098.03,0.251
2019-08-06 01-AM,WAVESBTC,0.0001196,0.0001201,0.0001189,0.0001201,1381.2,0.1653
2019-08-06 12-AM,WAVESBTC,0.0001189,0.0001196,0.0001189,0.0001196,74.59,0.008924
2019-08-05 11-PM,WAVESBTC,0.0001216,0.0001216,0.0001188,0.0001188,360.21,0.04312
2019-08-05 10-PM,WAVESBTC,0.0001222,0.0001222,0.0001216,0.0001216,681.53,0.08293
2019-08-05 09-PM,WAVESBTC,0.0001225,0.0001234,0.0001222,0.0001222,603.66,0.07403
2019-08-05 08-PM,WAVESBTC,0.0001212,0.0001225,0.0001211,0.0001225,4966.19,0.602
2019-08-05 07-PM,WAVESBTC,0.0001211,0.0001213,0.0001205,0.0001212,1998.42,0.2419
2019-08-05 06-PM,WAVESBTC,0.000119,0.0001212,0.0001186,0.0001211,2012.5,0.2412
2019-08-05 05-PM,WAVESBTC,0.000116,0.000119,0.000116,0.000119,2237.62,0.2641
2019-08-05 04-PM,WAVESBTC,0.000118,0.0001181,0.000116,0.000116,139.95,0.01644
2019-08-05 03-PM,WAVESBTC,0.0001169,0.0001182,0.0001169,0.000118,680.28,0.08013
2019-08-05 02-PM,WAVESBTC,0.0001176,0.0001179,0.0001169,0.0001169,379.53,0.04443
2019-08-05 01-PM,WAVESBTC,0.0001193,0.0001193,0.0001176,0.0001176,420.09,0.04943
2019-08-05 12-PM,WAVESBTC,0.000117,0.0001193,0.000117,0.0001193,1417.22,0.1675
2019-08-05 11-AM,WAVESBTC,0.0001187,0.0001195,0.000117,0.000117,1511.96,0.1784
2019-08-05 10-AM,WAVESBTC,0.000119,0.000119,0.0001177,0.0001187,2123.19,0.25
2019-08-05 09-AM,WAVESBTC,0.0001184,0.0001196,0.0001184,0.000119,1436.77,0.171
2019-08-05 08-AM,WAVESBTC,0.000119,0.0001199,0.0001184,0.0001184,3020.48,0.3584
2019-08-05 07-AM,WAVESBTC,0.0001202,0.0001202,0.0001187,0.000119,1151.37,0.1381
2019-08-05 06-AM,WAVESBTC,0.0001212,0.0001212,0.0001202,0.0001202,197.67,0.02375
2019-08-05 05-AM,WAVESBTC,0.0001208,0.0001213,0.0001208,0.0001212,523.48,0.06348
2019-08-05 04-AM,WAVESBTC,0.0001206,0.0001208,0.0001204,0.0001208,146.24,0.01764
2019-08-05 03-AM,WAVESBTC,0.0001202,0.0001206,0.00012,0.0001206,1591.57,0.1912
2019-08-05 02-AM,WAVESBTC,0.0001216,0.0001216,0.0001202,0.0001202,1040.65,0.1258
2019-08-05 01-AM,WAVESBTC,0.0001218,0.0001228,0.0001216,0.0001216,287.42,0.03528
2019-08-05 12-AM,WAVESBTC,0.0001241,0.0001241,0.0001218,0.0001218,1399.3,0.1718
2019-08-04 11-PM,WAVESBTC,0.0001241,0.0001244,0.0001241,0.0001241,396.58,0.0492
2019-08-04 10-PM,WAVESBTC,0.0001243,0.0001243,0.0001241,0.0001241,37.93,0.004708
2019-08-04 09-PM,WAVESBTC,0.0001248,0.0001261,0.0001243,0.0001243,1703.05,0.2141
2019-08-04 08-PM,WAVESBTC,0.0001256,0.0001256,0.0001246,0.0001248,2673.57,0.334
2019-08-04 07-PM,WAVESBTC,0.0001255,0.0001256,0.0001254,0.0001256,361.77,0.04537
2019-08-04 06-PM,WAVESBTC,0.0001236,0.0001256,0.0001236,0.0001255,76.83,0.009644
2019-08-04 05-PM,WAVESBTC,0.0001237,0.0001238,0.0001236,0.0001236,1075.68,0.133
2019-08-04 04-PM,WAVESBTC,0.0001231,0.0001237,0.0001231,0.0001237,35.37,0.004374
2019-08-04 03-PM,WAVESBTC,0.000126,0.000126,0.0001231,0.0001231,1837.96,0.2278
2019-08-04 02-PM,WAVESBTC,0.0001262,0.0001262,0.0001253,0.000126,575.16,0.07245
2019-08-04 01-PM,WAVESBTC,0.0001259,0.0001262,0.0001251,0.0001262,865.11,0.1088
2019-08-04 12-PM,WAVESBTC,0.0001253,0.0001259,0.0001247,0.0001259,681.24,0.08509
2019-08-04 11-AM,WAVESBTC,0.000125,0.0001253,0.000125,0.0001253,7.464,0.0009353
2019-08-04 10-AM,WAVESBTC,0.0001253,0.0001254,0.000125,0.000125,538.53,0.06732
2019-08-04 09-AM,WAVESBTC,0.0001248,0.0001254,0.0001246,0.0001253,179.61,0.0225
2019-08-04 08-AM,WAVESBTC,0.000124,0.0001248,0.000124,0.0001248,10.53,0.001311
2019-08-04 07-AM,WAVESBTC,0.0001245,0.000125,0.000124,0.000124,3145.74,0.3901
2019-08-04 06-AM,WAVESBTC,0.0001245,0.0001252,0.0001245,0.0001245,9.358,0.001168
2019-08-04 05-AM,WAVESBTC,0.0001252,0.0001252,0.0001245,0.0001245,2096.64,0.2618
2019-08-04 04-AM,WAVESBTC,0.0001252,0.0001252,0.0001246,0.0001252,668.0,0.08359
