Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XLM,Volume BTC
2019-08-07 03-AM,XLMBTC,6.84e-06,6.84e-06,6.84e-06,6.84e-06,0.0,0.0
2019-08-07 02-AM,XLMBTC,6.84e-06,6.84e-06,6.84e-06,6.84e-06,0.0,0.0
2019-08-07 01-AM,XLMBTC,6.84e-06,6.84e-06,6.84e-06,6.84e-06,0.0,0.0
2019-08-07 12-AM,XLMBTC,6.82e-06,6.84e-06,6.82e-06,6.84e-06,24855.78,0.1697
2019-08-06 11-PM,XLMBTC,6.82e-06,6.86e-06,6.81e-06,6.82e-06,97683.5,0.6676
2019-08-06 10-PM,XLMBTC,6.77e-06,6.87e-06,6.77e-06,6.82e-06,91676.31,0.6236
2019-08-06 09-PM,XLMBTC,6.7e-06,6.8e-06,6.68e-06,6.77e-06,211528.42,1.424
2019-08-06 08-PM,XLMBTC,6.74e-06,6.78e-06,4.24e-06,6.7e-06,1942101.83,10.3
2019-08-06 07-PM,XLMBTC,6.75e-06,6.78e-06,6.73e-06,6.74e-06,130993.4,0.8842
2019-08-06 06-PM,XLMBTC,6.75e-06,6.75e-06,6.72e-06,6.75e-06,17104.65,0.1153
2019-08-06 05-PM,XLMBTC,6.7e-06,6.76e-06,6.69e-06,6.75e-06,10451.7,0.07018
2019-08-06 04-PM,XLMBTC,6.73e-06,6.77e-06,6.7e-06,6.7e-06,43027.55,0.2903
2019-08-06 03-PM,XLMBTC,6.74e-06,6.76e-06,6.7e-06,6.73e-06,98864.32,0.6654
2019-08-06 02-PM,XLMBTC,6.71e-06,6.77e-06,6.7e-06,6.74e-06,514103.3,3.467
2019-08-06 01-PM,XLMBTC,6.78e-06,6.78e-06,6.71e-06,6.71e-06,320541.07,2.157
2019-08-06 12-PM,XLMBTC,6.74e-06,6.8e-06,6.73e-06,6.78e-06,103873.25,0.7044
2019-08-06 11-AM,XLMBTC,6.78e-06,6.8e-06,6.73e-06,6.74e-06,105214.57,0.7124
2019-08-06 10-AM,XLMBTC,6.64e-06,6.86e-06,6.63e-06,6.78e-06,212540.73,1.432
