Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XLM,Volume ETH
2019-08-07 03-AM,XLMETH,0.000346,0.000346,0.000346,0.000346,0.0,0.0
2019-08-07 02-AM,XLMETH,0.000346,0.000346,0.000346,0.000346,0.0,0.0
2019-08-07 01-AM,XLMETH,0.000346,0.000346,0.000346,0.000346,0.0,0.0
2019-08-07 12-AM,XLMETH,0.0003422,0.000346,0.0003422,0.000346,3179.92,1.1
2019-08-06 11-PM,XLMETH,0.0003422,0.0003422,0.0003422,0.0003422,0.0,0.0
2019-08-06 10-PM,XLMETH,0.0003459,0.0003459,0.0003422,0.0003422,71.08,0.02432
2019-08-06 09-PM,XLMETH,0.000345,0.0003459,0.000345,0.0003459,3110.0,1.076
2019-08-06 08-PM,XLMETH,0.000346,0.0003467,0.0003426,0.000345,208777.67,72.1
2019-08-06 07-PM,XLMETH,0.0003425,0.000346,0.0003425,0.000346,72.46,0.02507
2019-08-06 06-PM,XLMETH,0.0003425,0.0003425,0.0003425,0.0003425,0.0,0.0
2019-08-06 05-PM,XLMETH,0.0003444,0.0003444,0.0003425,0.0003425,1374.27,0.4707
2019-08-06 04-PM,XLMETH,0.0003425,0.000346,0.0003425,0.0003444,54.55,0.01881
2019-08-06 03-PM,XLMETH,0.0003425,0.0003425,0.0003425,0.0003425,0.0,0.0
2019-08-06 02-PM,XLMETH,0.0003465,0.0003465,0.0003425,0.0003425,1193.24,0.409
2019-08-06 01-PM,XLMETH,0.0003465,0.0003465,0.0003465,0.0003465,0.0,0.0
2019-08-06 12-PM,XLMETH,0.0003465,0.0003465,0.0003465,0.0003465,0.0,0.0
2019-08-06 11-AM,XLMETH,0.000349,0.000349,0.000346,0.0003465,2030.62,0.7035
2019-08-06 10-AM,XLMETH,0.000346,0.000349,0.00034,0.000349,19854.7,6.842
2019-08-06 09-AM,XLMETH,0.0003482,0.0003482,0.000346,0.000346,682.33,0.237
2019-08-06 08-AM,XLMETH,0.0003482,0.0003482,0.0003482,0.0003482,71.0,0.02472
2019-08-06 07-AM,XLMETH,0.000349,0.000349,0.0003461,0.0003482,2051.69,0.714
