Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume ETH
2019-08-07 03-AM,XMRETH,0.3934,0.3934,0.3934,0.3934,0.0,0.0
2019-08-07 02-AM,XMRETH,0.3934,0.3934,0.3934,0.3934,0.0,0.0
2019-08-07 01-AM,XMRETH,0.3934,0.3934,0.3934,0.3934,0.0,0.0
2019-08-07 12-AM,XMRETH,0.3934,0.3934,0.3934,0.3934,0.0,0.0
2019-08-06 11-PM,XMRETH,0.3945,0.3945,0.3934,0.3934,12.67,4.985
2019-08-06 10-PM,XMRETH,0.3995,0.3995,0.3945,0.3945,2.498,0.9896
2019-08-06 09-PM,XMRETH,0.4067,0.4067,0.397,0.3995,11.05,4.414
2019-08-06 08-PM,XMRETH,0.4036,0.4067,0.4036,0.4067,62.4,25.34
2019-08-06 07-PM,XMRETH,0.4039,0.4039,0.4036,0.4036,75.88,30.63
2019-08-06 06-PM,XMRETH,0.4064,0.4064,0.4039,0.4039,0.6012,0.2428
2019-08-06 05-PM,XMRETH,0.4061,0.4064,0.4051,0.4064,0.791,0.3209
2019-08-06 04-PM,XMRETH,0.4061,0.4061,0.4061,0.4061,0.0,0.0
2019-08-06 03-PM,XMRETH,0.403,0.4061,0.4019,0.4061,140.04,56.42
2019-08-06 02-PM,XMRETH,0.4055,0.4055,0.403,0.403,2.242,0.9035
2019-08-06 01-PM,XMRETH,0.4063,0.4063,0.4055,0.4055,5.752,2.332
2019-08-06 12-PM,XMRETH,0.4063,0.4063,0.4063,0.4063,0.0,0.0
2019-08-06 11-AM,XMRETH,0.4063,0.4063,0.4063,0.4063,0.0,0.0
2019-08-06 10-AM,XMRETH,0.4117,0.4117,0.4045,0.4063,18.04,7.317
2019-08-06 09-AM,XMRETH,0.4115,0.4117,0.4112,0.4117,7.627,3.14
2019-08-06 08-AM,XMRETH,0.4102,0.413,0.4102,0.4115,5.603,2.305
2019-08-06 07-AM,XMRETH,0.408,0.4102,0.408,0.4102,0.5184,0.2123
2019-08-06 06-AM,XMRETH,0.4012,0.408,0.4012,0.408,2.987,1.214
2019-08-06 05-AM,XMRETH,0.3986,0.4012,0.3986,0.4012,1.0,0.4012
2019-08-06 04-AM,XMRETH,0.4,0.4,0.3986,0.3986,0.4334,0.1728
2019-08-06 03-AM,XMRETH,0.405,0.405,0.4,0.4,3.661,1.468
2019-08-06 02-AM,XMRETH,0.4112,0.4112,0.405,0.405,0.6502,0.2634
2019-08-06 01-AM,XMRETH,0.407,0.4112,0.407,0.4112,2.211,0.9068
2019-08-06 12-AM,XMRETH,0.407,0.407,0.407,0.407,0.4688,0.1908
2019-08-05 11-PM,XMRETH,0.4004,0.4042,0.4004,0.4042,0.851,0.344
2019-08-05 10-PM,XMRETH,0.405,0.405,0.4004,0.4004,4.166,1.668
2019-08-05 09-PM,XMRETH,0.3971,0.405,0.3971,0.405,2.955,1.195
2019-08-05 08-PM,XMRETH,0.3971,0.3971,0.3971,0.3971,0.0,0.0
2019-08-05 07-PM,XMRETH,0.3974,0.3979,0.3971,0.3971,2.154,0.857
2019-08-05 06-PM,XMRETH,0.3974,0.3974,0.3974,0.3974,0.0,0.0
2019-08-05 05-PM,XMRETH,0.3974,0.3974,0.3974,0.3974,0.0,0.0
2019-08-05 04-PM,XMRETH,0.3983,0.3983,0.3974,0.3974,1.715,0.6815
2019-08-05 03-PM,XMRETH,0.3982,0.3983,0.3982,0.3983,4.772,1.901
