Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume BTC
2019-08-07 03-AM,ZECBTC,0.005456,0.005456,0.005456,0.005456,0.0,0.0
2019-08-07 02-AM,ZECBTC,0.005456,0.005456,0.005456,0.005456,0.0,0.0
2019-08-07 01-AM,ZECBTC,0.005456,0.005456,0.005456,0.005456,0.0,0.0
2019-08-07 12-AM,ZECBTC,0.005463,0.005465,0.005437,0.005456,3.236,0.01764
2019-08-06 11-PM,ZECBTC,0.00544,0.005465,0.00544,0.005463,1.992,0.01085
2019-08-06 10-PM,ZECBTC,0.005421,0.005466,0.005421,0.00544,11.41,0.0622
2019-08-06 09-PM,ZECBTC,0.005398,0.005434,0.005377,0.005421,64.07,0.3468
2019-08-06 08-PM,ZECBTC,0.005471,0.005471,0.005396,0.005398,180.46,0.9804
2019-08-06 07-PM,ZECBTC,0.005466,0.005471,0.00545,0.005471,48.53,0.2652
2019-08-06 06-PM,ZECBTC,0.005463,0.005466,0.005449,0.005466,42.94,0.2345
2019-08-06 05-PM,ZECBTC,0.005438,0.005463,0.005438,0.005463,19.03,0.1039
2019-08-06 04-PM,ZECBTC,0.005467,0.005467,0.005438,0.005438,70.84,0.3861
2019-08-06 03-PM,ZECBTC,0.005473,0.005478,0.005451,0.005467,155.45,0.851
2019-08-06 02-PM,ZECBTC,0.005509,0.005509,0.005463,0.005473,16.16,0.08874
2019-08-06 01-PM,ZECBTC,0.005502,0.005517,0.005493,0.005509,10.08,0.05552
2019-08-06 12-PM,ZECBTC,0.005444,0.005503,0.005444,0.005502,35.06,0.1924
2019-08-06 11-AM,ZECBTC,0.0055,0.0055,0.005444,0.005444,54.06,0.2944
2019-08-06 10-AM,ZECBTC,0.005408,0.0055,0.005385,0.0055,266.33,1.462
2019-08-06 09-AM,ZECBTC,0.005426,0.005434,0.005408,0.005408,137.31,0.7441
2019-08-06 08-AM,ZECBTC,0.005421,0.005439,0.005397,0.005426,141.14,0.7639
2019-08-06 07-AM,ZECBTC,0.005515,0.005515,0.005407,0.005421,479.99,2.623
2019-08-06 06-AM,ZECBTC,0.005625,0.005625,0.005515,0.005515,55.54,0.3101
2019-08-06 05-AM,ZECBTC,0.005672,0.005672,0.005623,0.005625,24.35,0.1377
2019-08-06 04-AM,ZECBTC,0.005657,0.00568,0.005657,0.005672,27.93,0.1585
2019-08-06 03-AM,ZECBTC,0.005664,0.005684,0.005657,0.005657,29.81,0.169
2019-08-06 02-AM,ZECBTC,0.005711,0.005715,0.005664,0.005664,60.42,0.3425
2019-08-06 01-AM,ZECBTC,0.005646,0.005711,0.005646,0.005711,51.57,0.2924
2019-08-06 12-AM,ZECBTC,0.00565,0.0057,0.005646,0.005646,271.43,1.544
2019-08-05 11-PM,ZECBTC,0.005693,0.005693,0.00565,0.00565,13.34,0.07562
2019-08-05 10-PM,ZECBTC,0.005695,0.00573,0.005677,0.005693,22.05,0.1255
2019-08-05 09-PM,ZECBTC,0.005707,0.005726,0.00569,0.005695,20.41,0.1166
2019-08-05 08-PM,ZECBTC,0.00569,0.005707,0.005687,0.005707,195.33,1.115
2019-08-05 07-PM,ZECBTC,0.005672,0.00569,0.005672,0.00569,34.2,0.1943
2019-08-05 06-PM,ZECBTC,0.005707,0.005709,0.005666,0.005672,335.86,1.907
2019-08-05 05-PM,ZECBTC,0.005699,0.005724,0.00564,0.005707,830.23,4.725
2019-08-05 04-PM,ZECBTC,0.005672,0.00572,0.005672,0.005699,212.92,1.215
2019-08-05 03-PM,ZECBTC,0.005702,0.005704,0.005672,0.005672,37.24,0.212
2019-08-05 02-PM,ZECBTC,0.005672,0.005702,0.005641,0.005702,26.19,0.1479
2019-08-05 01-PM,ZECBTC,0.005741,0.005741,0.005657,0.005672,37.55,0.2142
2019-08-05 12-PM,ZECBTC,0.005753,0.00576,0.00574,0.005741,24.4,0.1404
2019-08-05 11-AM,ZECBTC,0.005737,0.005782,0.005737,0.005753,24.49,0.1409
2019-08-05 10-AM,ZECBTC,0.005656,0.005737,0.005629,0.005737,390.04,2.229
2019-08-05 09-AM,ZECBTC,0.005685,0.005707,0.005646,0.005656,196.18,1.116
2019-08-05 08-AM,ZECBTC,0.005667,0.005691,0.005663,0.005685,261.41,1.481
2019-08-05 07-AM,ZECBTC,0.005729,0.005737,0.005667,0.005667,47.77,0.2734
2019-08-05 06-AM,ZECBTC,0.005739,0.00574,0.005717,0.005729,11.54,0.06597
2019-08-05 05-AM,ZECBTC,0.0057,0.005739,0.005697,0.005739,48.73,0.2781
2019-08-05 04-AM,ZECBTC,0.005794,0.005794,0.0057,0.0057,10.03,0.05771
2019-08-05 03-AM,ZECBTC,0.00585,0.005855,0.005794,0.005794,28.22,0.1645
2019-08-05 02-AM,ZECBTC,0.005857,0.00589,0.00585,0.00585,48.96,0.2877
2019-08-05 01-AM,ZECBTC,0.005976,0.005976,0.005836,0.005857,35.76,0.2107
2019-08-05 12-AM,ZECBTC,0.006018,0.006018,0.005976,0.005976,2.702,0.01618
2019-08-04 11-PM,ZECBTC,0.006051,0.006051,0.006007,0.006007,3.668,0.02205
2019-08-04 10-PM,ZECBTC,0.006024,0.006066,0.006024,0.006051,34.73,0.2105
2019-08-04 09-PM,ZECBTC,0.006003,0.006052,0.006003,0.006024,15.87,0.09555
2019-08-04 08-PM,ZECBTC,0.005994,0.006003,0.005994,0.006003,25.11,0.1506
2019-08-04 07-PM,ZECBTC,0.005992,0.005994,0.005992,0.005994,61.82,0.3705
2019-08-04 06-PM,ZECBTC,0.005936,0.005992,0.005936,0.005992,113.35,0.676
2019-08-04 05-PM,ZECBTC,0.005912,0.005936,0.005903,0.005936,265.29,1.567
2019-08-04 04-PM,ZECBTC,0.005909,0.005937,0.005892,0.005912,197.38,1.169
2019-08-04 03-PM,ZECBTC,0.005979,0.005979,0.005906,0.005909,80.99,0.4807
2019-08-04 02-PM,ZECBTC,0.005992,0.006003,0.005979,0.005979,3.205,0.01923
2019-08-04 01-PM,ZECBTC,0.00596,0.006006,0.005959,0.005992,6.09,0.03643
2019-08-04 12-PM,ZECBTC,0.005959,0.005979,0.00594,0.00596,3.74,0.0223
2019-08-04 11-AM,ZECBTC,0.005933,0.005959,0.005926,0.005959,226.79,1.346
2019-08-04 10-AM,ZECBTC,0.005913,0.005933,0.005913,0.005933,14.54,0.08622
2019-08-04 09-AM,ZECBTC,0.005941,0.005941,0.005913,0.005913,9.759,0.05778
2019-08-04 08-AM,ZECBTC,0.005925,0.005941,0.005924,0.005941,4.431,0.0263
2019-08-04 07-AM,ZECBTC,0.005947,0.005947,0.005924,0.005925,28.98,0.1718
2019-08-04 06-AM,ZECBTC,0.005952,0.005977,0.005939,0.005947,7.198,0.04295
2019-08-04 05-AM,ZECBTC,0.005963,0.005976,0.005942,0.005952,1.167,0.006962
2019-08-04 04-AM,ZECBTC,0.00599,0.00599,0.005949,0.005963,5.315,0.03172
2019-08-04 03-AM,ZECBTC,0.006014,0.006014,0.005981,0.00599,3.296,0.01975
2019-08-04 02-AM,ZECBTC,0.005993,0.006014,0.005993,0.006014,4.459,0.0268
2019-08-04 01-AM,ZECBTC,0.006006,0.00601,0.005993,0.005993,12.36,0.07422
2019-08-04 12-AM,ZECBTC,0.005998,0.006006,0.005998,0.006006,0.3026,0.001817
2019-08-03 11-PM,ZECBTC,0.006007,0.006027,0.006007,0.006009,0.8341,0.005016
2019-08-03 10-PM,ZECBTC,0.006047,0.006047,0.006005,0.006007,8.181,0.04927
2019-08-03 09-PM,ZECBTC,0.006022,0.006047,0.00601,0.006047,8.044,0.04845
2019-08-03 08-PM,ZECBTC,0.006053,0.006053,0.00602,0.006022,40.88,0.2463
2019-08-03 07-PM,ZECBTC,0.006022,0.006053,0.005987,0.006053,55.61,0.3335
2019-08-03 06-PM,ZECBTC,0.006022,0.006048,0.006022,0.006022,55.72,0.3361
2019-08-03 05-PM,ZECBTC,0.006049,0.006049,0.006022,0.006022,21.01,0.1267
2019-08-03 04-PM,ZECBTC,0.006033,0.006066,0.00602,0.006049,25.32,0.1534
2019-08-03 03-PM,ZECBTC,0.00602,0.006048,0.006019,0.006033,298.31,1.799
2019-08-03 02-PM,ZECBTC,0.006,0.00603,0.006,0.00602,102.37,0.6169
2019-08-03 01-PM,ZECBTC,0.006073,0.006073,0.006,0.006,58.39,0.3527
2019-08-03 12-PM,ZECBTC,0.006038,0.00608,0.006036,0.006073,34.71,0.2106
2019-08-03 11-AM,ZECBTC,0.00605,0.00605,0.00602,0.006038,20.6,0.1244
2019-08-03 10-AM,ZECBTC,0.006028,0.00605,0.006021,0.00605,7.971,0.04817
2019-08-03 09-AM,ZECBTC,0.006002,0.006044,0.006002,0.006028,87.56,0.5272
2019-08-03 08-AM,ZECBTC,0.006143,0.006147,0.006,0.006002,776.58,4.725
2019-08-03 07-AM,ZECBTC,0.006186,0.006186,0.006143,0.006143,47.02,0.2897
2019-08-03 06-AM,ZECBTC,0.006199,0.006199,0.006184,0.006186,12.19,0.07554
2019-08-03 05-AM,ZECBTC,0.006155,0.006199,0.00615,0.006199,93.92,0.582
2019-08-03 04-AM,ZECBTC,0.00615,0.006175,0.00613,0.006155,502.99,3.093
2019-08-03 03-AM,ZECBTC,0.006191,0.006208,0.00615,0.00615,66.3,0.4089
2019-08-03 02-AM,ZECBTC,0.006278,0.006279,0.006191,0.006191,18.97,0.1184
2019-08-03 01-AM,ZECBTC,0.006323,0.006323,0.006273,0.006278,21.59,0.1361
2019-08-03 12-AM,ZECBTC,0.006301,0.006323,0.006301,0.006323,5.359,0.03388
2019-08-02 11-PM,ZECBTC,0.00638,0.00638,0.006312,0.006312,4.91,0.03111
2019-08-02 10-PM,ZECBTC,0.006346,0.006388,0.006346,0.00638,2.236,0.01427
2019-08-02 09-PM,ZECBTC,0.006361,0.006386,0.006346,0.006346,17.97,0.1147
2019-08-02 08-PM,ZECBTC,0.006327,0.006361,0.006327,0.006361,100.86,0.6402
2019-08-02 07-PM,ZECBTC,0.00633,0.006347,0.006325,0.006327,6.252,0.03959
2019-08-02 06-PM,ZECBTC,0.00632,0.006342,0.006314,0.00633,14.47,0.0915
2019-08-02 05-PM,ZECBTC,0.006325,0.00635,0.00632,0.00632,14.8,0.09361
2019-08-02 04-PM,ZECBTC,0.006326,0.006357,0.006317,0.006325,38.11,0.2418
2019-08-02 03-PM,ZECBTC,0.00637,0.00637,0.006314,0.006326,204.49,1.295
2019-08-02 02-PM,ZECBTC,0.006364,0.006382,0.006364,0.00637,9.81,0.06249
2019-08-02 01-PM,ZECBTC,0.006363,0.006374,0.006356,0.006364,26.46,0.1685
2019-08-02 12-PM,ZECBTC,0.006393,0.006397,0.006363,0.006363,25.62,0.1637
2019-08-02 11-AM,ZECBTC,0.006398,0.006398,0.006379,0.006393,22.56,0.1442
2019-08-02 10-AM,ZECBTC,0.006404,0.006404,0.006398,0.006398,0.869,0.005564
2019-08-02 09-AM,ZECBTC,0.006406,0.006406,0.006401,0.006404,6.313,0.04043
2019-08-02 08-AM,ZECBTC,0.006463,0.006463,0.006406,0.006406,2.381,0.01528
2019-08-02 07-AM,ZECBTC,0.006439,0.006475,0.006424,0.006463,379.23,2.443
2019-08-02 06-AM,ZECBTC,0.006455,0.006472,0.006439,0.006439,27.34,0.1764
2019-08-02 05-AM,ZECBTC,0.006463,0.006463,0.006434,0.006455,50.1,0.3232
2019-08-02 04-AM,ZECBTC,0.006479,0.006479,0.006462,0.006463,19.68,0.1273
2019-08-02 03-AM,ZECBTC,0.006474,0.006479,0.006473,0.006479,129.69,0.8402
2019-08-02 02-AM,ZECBTC,0.006479,0.006479,0.006471,0.006474,50.31,0.3259
2019-08-02 01-AM,ZECBTC,0.006495,0.006495,0.006479,0.006479,0.2013,0.001304
2019-08-02 12-AM,ZECBTC,0.006497,0.006501,0.006495,0.006495,0.8749,0.005685
2019-08-01 11-PM,ZECBTC,0.006501,0.006525,0.006492,0.006497,36.42,0.2366
