Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume ETH
2019-08-07 03-AM,ZECETH,0.2756,0.2756,0.2756,0.2756,0.0,0.0
2019-08-07 02-AM,ZECETH,0.2756,0.2756,0.2756,0.2756,0.0,0.0
2019-08-07 01-AM,ZECETH,0.2756,0.2756,0.2756,0.2756,0.0,0.0
2019-08-07 12-AM,ZECETH,0.2751,0.2756,0.2751,0.2756,0.1012,0.02789
2019-08-06 11-PM,ZECETH,0.2781,0.2781,0.2751,0.2751,0.02226,0.006124
2019-08-06 10-PM,ZECETH,0.2749,0.2781,0.2749,0.2781,0.7559,0.2088
2019-08-06 09-PM,ZECETH,0.2807,0.2807,0.2741,0.2749,11.43,3.142
2019-08-06 08-PM,ZECETH,0.28,0.2807,0.28,0.2807,36.65,10.29
2019-08-06 07-PM,ZECETH,0.28,0.28,0.28,0.28,0.0,0.0
2019-08-06 06-PM,ZECETH,0.28,0.28,0.28,0.28,0.0,0.0
2019-08-06 05-PM,ZECETH,0.28,0.28,0.28,0.28,0.0,0.0
2019-08-06 04-PM,ZECETH,0.2812,0.2812,0.28,0.28,24.67,6.908
2019-08-06 03-PM,ZECETH,0.2803,0.2812,0.28,0.2812,17.46,4.889
2019-08-06 02-PM,ZECETH,0.2803,0.2803,0.2803,0.2803,0.0,0.0
2019-08-06 01-PM,ZECETH,0.2803,0.2803,0.2803,0.2803,0.0,0.0
2019-08-06 12-PM,ZECETH,0.28,0.2803,0.28,0.2803,11.52,3.225
2019-08-06 11-AM,ZECETH,0.28,0.28,0.28,0.28,60.26,16.87
2019-08-06 10-AM,ZECETH,0.2833,0.2833,0.2762,0.28,217.14,60.83
2019-08-06 09-AM,ZECETH,0.2833,0.2833,0.2833,0.2833,0.0,0.0
2019-08-06 08-AM,ZECETH,0.2835,0.2848,0.2833,0.2833,15.57,4.433
2019-08-06 07-AM,ZECETH,0.2877,0.2877,0.2824,0.2835,12.1,3.439
2019-08-06 06-AM,ZECETH,0.2896,0.2896,0.2877,0.2877,11.8,3.395
2019-08-06 05-AM,ZECETH,0.2892,0.2901,0.2892,0.2896,6.785,1.968
2019-08-06 04-AM,ZECETH,0.2892,0.2892,0.2892,0.2892,0.0,0.0
2019-08-06 03-AM,ZECETH,0.2892,0.2892,0.2892,0.2892,0.0,0.0
2019-08-06 02-AM,ZECETH,0.287,0.2905,0.287,0.2892,2.096,0.6064
2019-08-06 01-AM,ZECETH,0.287,0.287,0.287,0.287,0.0,0.0
2019-08-06 12-AM,ZECETH,0.287,0.287,0.287,0.287,0.0,0.0
2019-08-05 11-PM,ZECETH,0.2871,0.2871,0.287,0.287,3.476,0.9975
2019-08-05 10-PM,ZECETH,0.2871,0.2871,0.2871,0.2871,0.0,0.0
2019-08-05 09-PM,ZECETH,0.2871,0.2871,0.2871,0.2871,0.0,0.0
2019-08-05 08-PM,ZECETH,0.2882,0.2882,0.2871,0.2871,3.249,0.933
2019-08-05 07-PM,ZECETH,0.2882,0.2882,0.2882,0.2882,0.0,0.0
2019-08-05 06-PM,ZECETH,0.2881,0.2882,0.2881,0.2882,0.9043,0.2607
2019-08-05 05-PM,ZECETH,0.2882,0.2882,0.2865,0.2881,7.298,2.092
2019-08-05 04-PM,ZECETH,0.2882,0.2882,0.2882,0.2882,0.01216,0.003506
2019-08-05 03-PM,ZECETH,0.2875,0.2899,0.2875,0.2882,1.644,0.475
2019-08-05 02-PM,ZECETH,0.2871,0.2875,0.2871,0.2875,0.0974,0.028
2019-08-05 01-PM,ZECETH,0.2895,0.2895,0.2871,0.2871,0.6874,0.1977
2019-08-05 12-PM,ZECETH,0.2895,0.2895,0.2895,0.2895,0.0,0.0
2019-08-05 11-AM,ZECETH,0.2873,0.2901,0.2873,0.2895,0.3412,0.0987
2019-08-05 10-AM,ZECETH,0.291,0.291,0.285,0.2873,19.58,5.631
2019-08-05 09-AM,ZECETH,0.291,0.291,0.291,0.291,0.0,0.0
2019-08-05 08-AM,ZECETH,0.2918,0.2922,0.291,0.291,0.4198,0.1225
2019-08-05 07-AM,ZECETH,0.2903,0.2918,0.2903,0.2918,0.2692,0.07853
2019-08-05 06-AM,ZECETH,0.2888,0.2905,0.2888,0.2903,17.01,4.916
2019-08-05 05-AM,ZECETH,0.2892,0.2892,0.2884,0.2888,13.47,3.887
2019-08-05 04-AM,ZECETH,0.2932,0.2932,0.2892,0.2892,3.212,0.9327
2019-08-05 03-AM,ZECETH,0.2947,0.2947,0.2932,0.2932,1.147,0.3376
2019-08-05 02-AM,ZECETH,0.2947,0.2947,0.2947,0.2947,0.0,0.0
2019-08-05 01-AM,ZECETH,0.2955,0.2955,0.2947,0.2947,0.917,0.2709
2019-08-05 12-AM,ZECETH,0.2987,0.2987,0.2955,0.2955,71.61,21.16
2019-08-04 11-PM,ZECETH,0.2987,0.2987,0.2987,0.2987,0.0,0.0
2019-08-04 10-PM,ZECETH,0.2975,0.2987,0.2975,0.2987,0.091,0.02719
2019-08-04 09-PM,ZECETH,0.2973,0.2975,0.2964,0.2975,35.44,10.5
2019-08-04 08-PM,ZECETH,0.2968,0.2973,0.2968,0.2973,33.55,9.975
2019-08-04 07-PM,ZECETH,0.296,0.2968,0.296,0.2968,1.229,0.3644
2019-08-04 06-PM,ZECETH,0.294,0.296,0.294,0.296,15.23,4.492
2019-08-04 05-PM,ZECETH,0.2923,0.294,0.2923,0.294,0.1874,0.05503
2019-08-04 04-PM,ZECETH,0.2927,0.2927,0.2923,0.2923,1.519,0.4439
2019-08-04 03-PM,ZECETH,0.2921,0.2927,0.2921,0.2927,10.0,2.927
2019-08-04 02-PM,ZECETH,0.2922,0.2922,0.2921,0.2921,0.46,0.1344
2019-08-04 01-PM,ZECETH,0.2905,0.2922,0.2905,0.2922,9.132,2.668
2019-08-04 12-PM,ZECETH,0.2899,0.2905,0.2899,0.2905,12.62,3.659
2019-08-04 11-AM,ZECETH,0.2899,0.2899,0.2899,0.2899,4.261,1.235
2019-08-04 10-AM,ZECETH,0.2899,0.2899,0.2899,0.2899,0.0,0.0
2019-08-04 09-AM,ZECETH,0.2899,0.2899,0.2899,0.2899,0.0,0.0
2019-08-04 08-AM,ZECETH,0.2899,0.2899,0.2899,0.2899,0.0,0.0
2019-08-04 07-AM,ZECETH,0.2899,0.2899,0.2899,0.2899,0.08374,0.02428
2019-08-04 06-AM,ZECETH,0.2899,0.2899,0.2899,0.2899,0.0,0.0
2019-08-04 05-AM,ZECETH,0.292,0.2923,0.2899,0.2899,9.323,2.707
2019-08-04 04-AM,ZECETH,0.294,0.294,0.292,0.292,0.3131,0.09153
2019-08-04 03-AM,ZECETH,0.2953,0.2953,0.294,0.294,0.09883,0.02905
2019-08-04 02-AM,ZECETH,0.2945,0.2953,0.2941,0.2953,20.0,5.893
2019-08-04 01-AM,ZECETH,0.2945,0.2945,0.2945,0.2945,0.0,0.0
2019-08-04 12-AM,ZECETH,0.2945,0.2945,0.2945,0.2945,0.0,0.0
2019-08-03 11-PM,ZECETH,0.2948,0.2948,0.2945,0.2945,0.05492,0.01617
2019-08-03 10-PM,ZECETH,0.2962,0.2962,0.2948,0.2948,5.176,1.526
2019-08-03 09-PM,ZECETH,0.2962,0.2962,0.2962,0.2962,0.0,0.0
2019-08-03 08-PM,ZECETH,0.2962,0.2962,0.2962,0.2962,0.0,0.0
2019-08-03 07-PM,ZECETH,0.2949,0.2962,0.2946,0.2962,13.13,3.875
2019-08-03 06-PM,ZECETH,0.2937,0.2949,0.2937,0.2949,1.0,0.2949
2019-08-03 05-PM,ZECETH,0.2937,0.2937,0.2937,0.2937,0.0,0.0
2019-08-03 04-PM,ZECETH,0.2944,0.2947,0.2937,0.2937,1.207,0.3545
2019-08-03 03-PM,ZECETH,0.2922,0.2944,0.2922,0.2944,0.1645,0.04842
2019-08-03 02-PM,ZECETH,0.293,0.293,0.2922,0.2922,0.1087,0.03177
2019-08-03 01-PM,ZECETH,0.2937,0.2937,0.293,0.293,4.847,1.42
2019-08-03 12-PM,ZECETH,0.293,0.2942,0.292,0.2937,0.59,0.173
2019-08-03 11-AM,ZECETH,0.2939,0.2939,0.293,0.293,0.3313,0.09708
