Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume GBP
2019-07-03,BCHGBP,326,326,326,326,0.0,0.0
2019-07-02,BCHGBP,326,326,326,326,0.0,0.0
2019-07-01,BCHGBP,326,326,326,326,0.0,0.0
2019-06-30,BCHGBP,326,326,326,326,0.0,0.0
2019-06-29,BCHGBP,326,326,326,326,0.0,0.0
2019-06-28,BCHGBP,326,326,326,326,0.0,0.0
2019-06-27,BCHGBP,326,326,326,326,0.0,0.0
2019-06-26,BCHGBP,326,326,326,326,0.0,0.0
2019-06-25,BCHGBP,326,326,326,326,0.0,0.0
2019-06-24,BCHGBP,326,326,326,326,0.0,0.0
2019-06-23,BCHGBP,326,326,326,326,0.0,0.0
2019-06-22,BCHGBP,326,326,326,326,0.0,0.0
2019-06-21,BCHGBP,326,326,326,326,0.0,0.0
2019-06-20,BCHGBP,326,326,326,326,0.0,0.0
2019-06-19,BCHGBP,326,326,326,326,0.0,0.0
2019-06-18,BCHGBP,326,326,326,326,0.0,0.0
2019-06-17,BCHGBP,326,326,326,326,0.0,0.0
2019-06-16,BCHGBP,326,326,326,326,0.0,0.0
2019-06-15,BCHGBP,320,326,311,326,191.59,61123.18
2019-06-14,BCHGBP,313,325,310,320,67.25,21590.78
2019-06-13,BCHGBP,302,321,302,313,31.42,10028.56
2019-06-12,BCHGBP,304,311,302,302,25.71,7925.58
2019-06-11,BCHGBP,292,304,292,304,9.103,2762.29
2019-06-10,BCHGBP,300,305,292,292,14.87,4451.43
2019-06-09,BCHGBP,291,300,285,300,27.23,8028.76
2019-06-08,BCHGBP,319,319,291,291,19.99,5889.85
2019-06-07,BCHGBP,288,319,288,319,0.8005,250.0
2019-06-06,BCHGBP,288,288,288,288,0.0,0.0
2019-06-05,BCHGBP,290,290,285,288,12.1,3485.74
2019-06-04,BCHGBP,396,396,290,290,8.1,2421.55
2019-06-03,BCHGBP,396,396,396,396,0.0,0.0
2019-06-02,BCHGBP,327,396,327,396,3.95,1562.93
2019-06-01,BCHGBP,327,327,327,327,0.0,0.0
2019-05-31,BCHGBP,327,327,327,327,8.71,2848.14
2019-05-30,BCHGBP,364,400,327,327,115.88,40825.06
2019-05-29,BCHGBP,341,364,341,364,89.84,31600.96
2019-05-28,BCHGBP,323,341,323,341,2.8,953.5
2019-05-27,BCHGBP,310,350,310,323,3.85,1337.47
2019-05-26,BCHGBP,315,315,310,310,1.01,317.65
2019-05-25,BCHGBP,315,315,315,315,0.0,0.0
2019-05-24,BCHGBP,315,315,315,315,0.0,0.0
2019-05-23,BCHGBP,256,315,256,315,20.43,6372.79
2019-05-22,BCHGBP,336,336,256,256,20.96,6750.35
