Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2019-07-03 10-AM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-03 09-AM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-03 08-AM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-03 07-AM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-03 06-AM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-03 05-AM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-03 04-AM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-03 03-AM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-03 02-AM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-03 01-AM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-03 12-AM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-02 11-PM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-02 10-PM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-02 09-PM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-02 08-PM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-02 07-PM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-02 06-PM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-02 05-PM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-02 04-PM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-02 03-PM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-02 02-PM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-02 01-PM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-02 12-PM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-02 11-AM,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-02 10-AM,BTCEUR,9106,9106,8826,8826,2.0,17652.03
2019-07-02 09-AM,BTCEUR,9005,9106,9005,9106,0.1632,1486.1
2019-07-02 08-AM,BTCEUR,9005,9005,9005,9005,0.0,0.0
2019-07-02 07-AM,BTCEUR,9005,9005,9005,9005,0.0,0.0
2019-07-02 06-AM,BTCEUR,9005,9005,9005,9005,0.0,0.0
2019-07-02 05-AM,BTCEUR,9005,9005,9005,9005,0.0,0.0
2019-07-02 04-AM,BTCEUR,9005,9005,9005,9005,0.0,0.0
2019-07-02 03-AM,BTCEUR,9005,9005,9005,9005,0.0,0.0
2019-07-02 02-AM,BTCEUR,9005,9005,9005,9005,0.0,0.0
2019-07-02 01-AM,BTCEUR,9005,9005,9005,9005,0.0,0.0
2019-07-02 12-AM,BTCEUR,9005,9005,9005,9005,0.0,0.0
2019-07-01 11-PM,BTCEUR,9005,9005,9005,9005,0.0,0.0
2019-07-01 10-PM,BTCEUR,9005,9005,9005,9005,0.0,0.0
2019-07-01 09-PM,BTCEUR,9005,9005,9005,9005,0.0,0.0
2019-07-01 08-PM,BTCEUR,9005,9005,9005,9005,0.0,0.0
2019-07-01 07-PM,BTCEUR,9005,9005,9005,9005,0.0,0.0
2019-07-01 06-PM,BTCEUR,9005,9005,9005,9005,0.0,0.0
2019-07-01 05-PM,BTCEUR,9005,9005,9005,9005,0.0,0.0
2019-07-01 04-PM,BTCEUR,9005,9005,9005,9005,0.0,0.0
2019-07-01 03-PM,BTCEUR,9369,9369,9005,9005,0.0104,93.65
2019-07-01 02-PM,BTCEUR,9369,9369,9369,9369,0.0,0.0
2019-07-01 01-PM,BTCEUR,9369,9369,9369,9369,0.0,0.0
2019-07-01 12-PM,BTCEUR,9848,9848,9369,9369,0.0373,349.46
2019-07-01 11-AM,BTCEUR,9848,9848,9848,9848,0.0,0.0
2019-07-01 10-AM,BTCEUR,9848,9848,9848,9848,0.0,0.0
2019-07-01 09-AM,BTCEUR,9848,9848,9848,9848,0.0,0.0
2019-07-01 08-AM,BTCEUR,9848,9848,9848,9848,0.0,0.0
2019-07-01 07-AM,BTCEUR,9848,9848,9848,9848,0.0,0.0
2019-07-01 06-AM,BTCEUR,9848,9848,9848,9848,0.0,0.0
2019-07-01 05-AM,BTCEUR,9848,9848,9848,9848,0.0,0.0
2019-07-01 04-AM,BTCEUR,9848,9848,9848,9848,0.0,0.0
2019-07-01 03-AM,BTCEUR,9848,9848,9848,9848,0.0,0.0
2019-07-01 02-AM,BTCEUR,9848,9848,9848,9848,0.0,0.0
2019-07-01 01-AM,BTCEUR,9848,9848,9848,9848,0.0,0.0
2019-07-01 12-AM,BTCEUR,9848,9848,9848,9848,0.0,0.0
2019-06-30 11-PM,BTCEUR,9848,9848,9848,9848,0.0,0.0
2019-06-30 10-PM,BTCEUR,9848,9848,9848,9848,0.0,0.0
2019-06-30 09-PM,BTCEUR,9848,9848,9848,9848,0.0,0.0
2019-06-30 08-PM,BTCEUR,9848,9848,9848,9848,0.0,0.0
2019-06-30 07-PM,BTCEUR,9860,9860,9839,9848,0.0401,394.73
2019-06-30 06-PM,BTCEUR,10602,10602,9850,9860,0.9782,9683.72
2019-06-30 05-PM,BTCEUR,10602,10602,10602,10602,0.0,0.0
2019-06-30 04-PM,BTCEUR,10602,10602,10602,10602,0.0,0.0
2019-06-30 03-PM,BTCEUR,10602,10602,10602,10602,0.0,0.0
2019-06-30 02-PM,BTCEUR,10602,10602,10602,10602,0.0,0.0
2019-06-30 01-PM,BTCEUR,10602,10602,10602,10602,0.0,0.0
2019-06-30 12-PM,BTCEUR,10602,10602,10602,10602,0.0,0.0
2019-06-30 11-AM,BTCEUR,10602,10602,10602,10602,0.0,0.0
2019-06-30 10-AM,BTCEUR,10602,10602,10602,10602,0.0,0.0
2019-06-30 09-AM,BTCEUR,10602,10602,10602,10602,0.0,0.0
2019-06-30 08-AM,BTCEUR,10602,10602,10602,10602,0.0,0.0
2019-06-30 07-AM,BTCEUR,10602,10602,10602,10602,0.0,0.0
2019-06-30 06-AM,BTCEUR,10602,10602,10602,10602,0.0,0.0
2019-06-30 05-AM,BTCEUR,10602,10602,10602,10602,0.0,0.0
2019-06-30 04-AM,BTCEUR,10602,10602,10602,10602,0.0,0.0
2019-06-30 03-AM,BTCEUR,10602,10602,10602,10602,0.0,0.0
2019-06-30 02-AM,BTCEUR,10508,10602,10508,10602,0.0099,104.96
2019-06-30 01-AM,BTCEUR,10508,10508,10508,10508,0.0,0.0
2019-06-30 12-AM,BTCEUR,10508,10508,10508,10508,0.0,0.0
2019-06-29 11-PM,BTCEUR,10508,10508,10508,10508,0.0,0.0
2019-06-29 10-PM,BTCEUR,10508,10508,10508,10508,0.0,0.0
2019-06-29 09-PM,BTCEUR,10508,10508,10508,10508,0.0,0.0
2019-06-29 08-PM,BTCEUR,10508,10508,10508,10508,0.0,0.0
2019-06-29 07-PM,BTCEUR,10234,10508,10234,10508,0.0099,104.03
2019-06-29 06-PM,BTCEUR,10234,10234,10234,10234,0.0,0.0
2019-06-29 05-PM,BTCEUR,10234,10234,10234,10234,0.0,0.0
2019-06-29 04-PM,BTCEUR,10234,10234,10234,10234,0.0,0.0
2019-06-29 03-PM,BTCEUR,10234,10234,10234,10234,0.0,0.0
2019-06-29 02-PM,BTCEUR,10234,10234,10234,10234,0.0,0.0
2019-06-29 01-PM,BTCEUR,10234,10234,10234,10234,0.0,0.0
2019-06-29 12-PM,BTCEUR,10234,10234,10234,10234,0.0,0.0
2019-06-29 11-AM,BTCEUR,10234,10234,10234,10234,0.0,0.0
2019-06-29 10-AM,BTCEUR,10234,10234,10234,10234,0.0,0.0
2019-06-29 09-AM,BTCEUR,10420,10420,10234,10234,2.174,22412.4
2019-06-29 08-AM,BTCEUR,10431,10432,10389,10420,0.1929,2010.55
2019-06-29 07-AM,BTCEUR,10464,10464,10293,10431,0.4183,4322.43
2019-06-29 06-AM,BTCEUR,10464,10464,10464,10464,0.0,0.0
2019-06-29 05-AM,BTCEUR,10464,10464,10464,10464,0.0,0.0
2019-06-29 04-AM,BTCEUR,10464,10464,10464,10464,0.0,0.0
2019-06-29 03-AM,BTCEUR,10464,10464,10464,10464,0.0,0.0
2019-06-29 02-AM,BTCEUR,10464,10464,10464,10464,0.0,0.0
2019-06-29 01-AM,BTCEUR,10464,10464,10464,10464,0.0,0.0
2019-06-29 12-AM,BTCEUR,10464,10464,10464,10464,0.0,0.0
2019-06-28 11-PM,BTCEUR,10464,10464,10464,10464,0.0,0.0
2019-06-28 10-PM,BTCEUR,10464,10464,10464,10464,0.0,0.0
2019-06-28 09-PM,BTCEUR,10464,10464,10464,10464,0.0,0.0
2019-06-28 08-PM,BTCEUR,10464,10464,10464,10464,0.0,0.0
2019-06-28 07-PM,BTCEUR,10464,10464,10464,10464,0.0,0.0
2019-06-28 06-PM,BTCEUR,10464,10470,10452,10464,0.0894,935.48
2019-06-28 05-PM,BTCEUR,10464,10464,10464,10464,0.0,0.0
2019-06-28 04-PM,BTCEUR,10490,10523,10460,10464,0.3589,3765.59
2019-06-28 03-PM,BTCEUR,10059,10531,10059,10490,0.4184,4393.84
2019-06-28 02-PM,BTCEUR,10059,10059,10059,10059,0.0,0.0
2019-06-28 01-PM,BTCEUR,10059,10059,10059,10059,0.0,0.0
2019-06-28 12-PM,BTCEUR,10059,10059,10059,10059,0.0,0.0
2019-06-28 11-AM,BTCEUR,10059,10059,10059,10059,0.0,0.0
2019-06-28 10-AM,BTCEUR,10059,10059,10059,10059,0.0,0.0
2019-06-28 09-AM,BTCEUR,10059,10059,10059,10059,0.0,0.0
