Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2019-07-03,BTCEUR,8826,8826,8826,8826,0.0,0.0
2019-07-02,BTCEUR,9005,9106,8826,8826,2.163,19138.13
2019-07-01,BTCEUR,9848,9848,9005,9005,0.0477,443.12
2019-06-30,BTCEUR,10508,10602,9839,9848,1.028,10183.41
2019-06-29,BTCEUR,10464,10508,10234,10508,2.795,28849.41
2019-06-28,BTCEUR,9425,10531,9425,10464,0.8766,9194.5
2019-06-27,BTCEUR,11180,100000,9234,9425,0.1243,1408.43
2019-06-26,BTCEUR,11861,11861,10846,11180,54.55,610683.34
2019-06-25,BTCEUR,9625,11861,9625,11861,108.86,1080674.34
2019-06-24,BTCEUR,10443,10443,9618,9625,13.75,132371.74
2019-06-23,BTCEUR,10443,10443,10443,10443,0.0,0.0
2019-06-22,BTCEUR,8695,10443,8695,10443,0.1047,1093.38
2019-06-21,BTCEUR,8287,8695,8287,8695,11.3,98178.31
2019-06-20,BTCEUR,8235,8287,8235,8287,2.998,24848.57
2019-06-19,BTCEUR,8235,8235,8235,8235,0.0,0.0
2019-06-18,BTCEUR,8309,8309,8127,8235,14.29,117283.77
2019-06-17,BTCEUR,8098,8310,8098,8309,32.72,271417.19
2019-06-16,BTCEUR,7280,8098,7280,8098,0.132,1068.94
2019-06-15,BTCEUR,7280,7280,7280,7280,0.0,0.0
2019-06-14,BTCEUR,7280,7280,7280,7280,0.0,0.0
2019-06-13,BTCEUR,6903,7280,6903,7280,0.1478,1075.98
2019-06-12,BTCEUR,6903,6903,6903,6903,0.0,0.0
2019-06-11,BTCEUR,6903,6903,6903,6903,0.0,0.0
2019-06-10,BTCEUR,6903,6903,6903,6903,0.0,0.0
2019-06-09,BTCEUR,6903,6903,6903,6903,0.0,0.0
2019-06-08,BTCEUR,6903,6903,6903,6903,0.0,0.0
2019-06-07,BTCEUR,6903,6903,6903,6903,0.0,0.0
2019-06-06,BTCEUR,6903,6903,6903,6903,0.0,0.0
2019-06-05,BTCEUR,6924,6924,6817,6903,2.04,14006.65
2019-06-04,BTCEUR,7645,7645,6924,6924,29.75,210010.97
2019-06-03,BTCEUR,7467,7650,7467,7645,9.67,73320.53
2019-06-02,BTCEUR,7467,7467,7467,7467,0.0,0.0
2019-06-01,BTCEUR,7467,7467,7467,7467,0.0,0.0
2019-05-31,BTCEUR,7592,7592,7403,7467,15.16,112994.13
2019-05-30,BTCEUR,7860,7860,7592,7592,3.09,23660.21
2019-05-29,BTCEUR,7840,7879,7614,7860,12.85,100720.42
2019-05-28,BTCEUR,7913,7913,7812,7840,16.81,131687.65
2019-05-27,BTCEUR,7729,7913,7729,7913,6.97,54729.06
2019-05-26,BTCEUR,7206,7729,7206,7729,1.56,12011.44
2019-05-25,BTCEUR,7209,7233,7185,7206,3.99,28771.05
2019-05-24,BTCEUR,6990,7218,6990,7209,15.56,111632.97
2019-05-23,BTCEUR,7087,7087,6990,6990,14.13,98751.23
2019-05-22,BTCEUR,7087,7087,7087,7087,0.0,0.0
2019-05-21,BTCEUR,6937,7087,6937,7087,4.48,31590.49
2019-05-20,BTCEUR,7122,7122,6937,6937,1.24,8610.2
2019-05-19,BTCEUR,6400,7122,6400,7122,0.3994,2844.45
2019-05-18,BTCEUR,6400,6400,6400,6400,0.0,0.0
2019-05-17,BTCEUR,6800,6800,5846,6400,4.34,27224.77
2019-05-16,BTCEUR,6800,6800,6800,6800,0.0,0.0
2019-05-15,BTCEUR,6800,6800,6800,6800,0.0,0.0
2019-05-14,BTCEUR,6800,6800,6800,6800,0.0,0.0
2019-05-13,BTCEUR,5628,6800,5628,6800,0.9328,6295.29
2019-05-12,BTCEUR,5628,5628,5628,5628,0.0,0.0
2019-05-11,BTCEUR,5628,5628,5628,5628,0.0,0.0
2019-05-10,BTCEUR,5430,5628,5430,5628,0.1775,998.97
2019-05-09,BTCEUR,5170,5430,5170,5430,0.3688,1992.81
2019-05-08,BTCEUR,5177,5177,5170,5170,1.09,5622.89
2019-05-07,BTCEUR,5080,5080,5080,5080,0.0,0.0
2019-05-06,BTCEUR,5080,5080,5080,5080,0.0,0.0
2019-05-05,BTCEUR,5080,5080,5080,5080,0.0,0.0
2019-05-04,BTCEUR,5080,5080,5080,5080,0.0,0.0
2019-05-03,BTCEUR,4838,5080,4838,5080,45.08,227851.55
2019-05-02,BTCEUR,4621,4838,4621,4838,14.43,69829.27
2019-05-01,BTCEUR,4621,4621,4621,4621,0.0,0.0
2019-04-30,BTCEUR,4629,4629,4619,4621,36.77,169878.26
2019-04-29,BTCEUR,4595,4643,4595,4629,27.17,125809.83
2019-04-28,BTCEUR,4595,4595,4595,4595,0.0,0.0
2019-04-27,BTCEUR,4595,4595,4595,4595,0.0,0.0
2019-04-26,BTCEUR,4781,4850,4595,4595,54.13,256320.03
2019-04-25,BTCEUR,4914,4914,4781,4781,1.13,5419.26
2019-04-24,BTCEUR,4999,4999,4902,4914,26.13,128368.14
2019-04-23,BTCEUR,4669,4999,4669,4999,52.72,263388.51
2019-04-22,BTCEUR,4669,4669,4669,4669,0.0,0.0
2019-04-21,BTCEUR,4669,4669,4669,4669,0.0,0.0
2019-04-20,BTCEUR,4669,4669,4669,4669,0.0,0.0
2019-04-19,BTCEUR,4669,4669,4669,4669,0.0,0.0
2019-04-18,BTCEUR,4669,4669,4669,4669,0.0,0.0
2019-04-17,BTCEUR,4624,4669,4624,4669,0.2132,995.43
2019-04-16,BTCEUR,4461,4624,4461,4624,3.0,13872.0
2019-04-15,BTCEUR,4461,4461,4461,4461,0.0,0.0
2019-04-14,BTCEUR,4461,4461,4461,4461,0.0,0.0
2019-04-13,BTCEUR,4461,4461,4461,4461,0.0,0.0
2019-04-12,BTCEUR,4461,4461,4461,4461,0.0,0.0
