Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DGB,Volume BTC
2019-07-03 10-AM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-03 09-AM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-03 08-AM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-03 07-AM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-03 06-AM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-03 05-AM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-03 04-AM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-03 03-AM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-03 02-AM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-03 01-AM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-03 12-AM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-02 11-PM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-02 10-PM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-02 09-PM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-02 08-PM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-02 07-PM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-02 06-PM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-02 05-PM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-02 04-PM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-02 03-PM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-02 02-PM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-02 01-PM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-02 12-PM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-02 11-AM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-02 10-AM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-02 09-AM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-02 08-AM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-02 07-AM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
2019-07-02 06-AM,DGBBTC,2.63e-06,2.63e-06,2.63e-06,2.63e-06,0.0,0.0
