Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume LTC
2019-07-03,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-07-02,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-07-01,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-30,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-29,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-28,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-27,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-26,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-25,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-24,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-23,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-22,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-21,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-20,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-19,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-18,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-17,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-16,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-15,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-14,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-13,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-12,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-11,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-10,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-09,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-08,XMRLTC,1.423,1.423,1.423,1.423,0.0,0.0
2019-06-07,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-06-06,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-06-05,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-06-04,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-06-03,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-06-02,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-06-01,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-31,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-30,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-29,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-28,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-27,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-26,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-25,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-24,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-23,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-22,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-21,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-20,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-19,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-18,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-17,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-16,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-15,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-14,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-13,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-12,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-11,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-10,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-09,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-08,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-07,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-06,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-05,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-04,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-03,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-02,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-05-01,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-04-30,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-04-29,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-04-28,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-04-27,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-04-26,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-04-25,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-04-24,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-04-23,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-04-22,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-04-21,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-04-20,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-04-19,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-04-18,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-04-17,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-04-16,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-04-15,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-04-14,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-04-13,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-04-12,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-04-11,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
2019-04-10,XMRLTC,1.42,1.42,1.42,1.42,0.0,0.0
