Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-08-07,BTCUSD,11437.77,11646.12,11348.08,11646.12,35.11,403799.44
2019-08-06,BTCUSD,11741.49,12194.82,11205,11437.77,346.63,4066611.37
2019-08-05,BTCUSD,10945.73,11835.94,10935.93,11741.49,389.21,4507051.28
2019-08-04,BTCUSD,10802.52,11000,10575,10945.73,244.31,2640296.56
2019-08-03,BTCUSD,10555.76,10903.5,10519.67,10802.52,254.77,2744047.02
2019-08-02,BTCUSD,10420.81,10697,10358.3,10555.76,263.22,2766604.97
2019-08-01,BTCUSD,10143,10500,9942.44,10420.81,282.43,2869168.35
2019-07-31,BTCUSD,9726.65,10160.01,9691.65,10143,260.12,2586688.46
2019-07-30,BTCUSD,9690.47,9866,9587,9726.65,266.18,2581328.67
2019-07-29,BTCUSD,9725.86,9892.37,9585.5,9690.47,294.2,2861354.27
2019-07-28,BTCUSD,9702.4,9841.31,9400,9725.86,285.1,2766982.33
2019-07-27,BTCUSD,9949.35,10294,9510.5,9702.4,335.07,3303860.2
2019-07-26,BTCUSD,9974.79,10026,9800,9949.35,306.39,3036741.53
2019-07-25,BTCUSD,9944.27,10294,9894.8,9974.79,316.81,3210631.05
2019-07-24,BTCUSD,10001,10075.18,9751.45,9944.27,359.03,3553119.94
2019-07-23,BTCUSD,10397.31,10423.83,10001,10001,365.33,3724672.61
2019-07-22,BTCUSD,10642.95,10720,10200,10397.31,375.93,3952074.45
2019-07-21,BTCUSD,10750.5,10828.49,10410,10642.95,369.69,3926171.25
2019-07-20,BTCUSD,10577.26,11079.08,10450,10750.5,399.81,4284695.63
2019-07-19,BTCUSD,10651,10789.09,10200,10577.26,446.83,4694384.82
2019-07-18,BTCUSD,9791.96,9938.07,9737,9837.21,27.9,273077.15
2019-07-17,BTCUSD,9563.5,10057.25,9229,9791.96,494.55,4796278.72
2019-07-16,BTCUSD,11013.49,11142.89,9540.29,9563.5,518.74,5388663.64
2019-07-15,BTCUSD,10321.49,11200,10120.1,11013.49,458.29,4852123.28
2019-07-14,BTCUSD,11419.3,11519.98,10300,10321.49,389.8,4229142.69
2019-07-13,BTCUSD,11851.91,11890,11000,11419.3,334.76,3828352.26
2019-07-12,BTCUSD,11383.16,12000.11,11200,11851.91,303.42,3537223.3
2019-07-11,BTCUSD,12143.4,12143.4,11200,11383.16,511.44,5961850.68
2019-07-10,BTCUSD,12425.4,12880,11602,12143.4,460.57,5668718.15
2019-07-09,BTCUSD,12075,12500,11900,12425.4,289.52,3550335.06
2019-07-08,BTCUSD,11373.19,12180,11271.22,12075,246.0,2882956.28
2019-07-07,BTCUSD,11232.47,11480,11150,11373.19,210.42,2380805.31
2019-07-06,BTCUSD,10950.53,11626.07,10950.53,11232.47,226.31,2580008.11
2019-07-05,BTCUSD,11192.68,11417.01,10853.21,10950.53,250.77,2796896.95
2019-07-04,BTCUSD,11800,11867.56,11044.78,11192.68,213.78,2494245.79
2019-07-03,BTCUSD,10708.19,11801,10708.19,11800,289.48,3252818.14
2019-07-02,BTCUSD,10655.02,10914.53,9689,10708.19,396.23,4060333.14
