Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2019-08-07 03-AM,ETHBTC,0.01952,0.01955,0.01945,0.0195,57.17,1.113
2019-08-07 02-AM,ETHBTC,0.0196,0.0196,0.01943,0.01952,51.24,1.001
2019-08-07 01-AM,ETHBTC,0.01968,0.01968,0.01953,0.0196,53.16,1.042
2019-08-07 12-AM,ETHBTC,0.01969,0.01975,0.01964,0.01968,61.93,1.219
2019-08-06 11-PM,ETHBTC,0.01986,0.01988,0.01969,0.01969,52.38,1.036
2019-08-06 10-PM,ETHBTC,0.01968,0.01989,0.01966,0.01986,55.19,1.092
2019-08-06 09-PM,ETHBTC,0.01942,0.01973,0.01936,0.01968,95.74,1.875
2019-08-06 08-PM,ETHBTC,0.01947,0.01947,0.01935,0.01942,108.21,2.1
2019-08-06 07-PM,ETHBTC,0.01954,0.01957,0.01947,0.01947,75.85,1.479
2019-08-06 06-PM,ETHBTC,0.01956,0.01959,0.01948,0.01954,55.74,1.088
2019-08-06 05-PM,ETHBTC,0.01953,0.01956,0.01947,0.01956,67.41,1.316
2019-08-06 04-PM,ETHBTC,0.01949,0.01967,0.01949,0.01953,57.19,1.12
2019-08-06 03-PM,ETHBTC,0.0195,0.01961,0.01948,0.01949,105.8,2.069
2019-08-06 02-PM,ETHBTC,0.01957,0.01961,0.01949,0.0195,91.04,1.781
2019-08-06 01-PM,ETHBTC,0.01951,0.01966,0.01951,0.01957,69.45,1.36
2019-08-06 12-PM,ETHBTC,0.01954,0.01961,0.01947,0.01951,100.84,1.972
2019-08-06 11-AM,ETHBTC,0.01956,0.01964,0.01947,0.01954,61.16,1.195
2019-08-06 10-AM,ETHBTC,0.01918,0.01968,0.01918,0.01956,154.24,3.006
2019-08-06 09-AM,ETHBTC,0.01915,0.01923,0.01908,0.01918,60.75,1.163
2019-08-06 08-AM,ETHBTC,0.01911,0.01917,0.01907,0.01915,62.76,1.2
2019-08-06 07-AM,ETHBTC,0.0192,0.01926,0.0191,0.01911,112.45,2.155
2019-08-06 06-AM,ETHBTC,0.01946,0.01947,0.01912,0.0192,98.74,1.907
2019-08-06 05-AM,ETHBTC,0.01954,0.01956,0.01944,0.01946,56.44,1.101
2019-08-06 04-AM,ETHBTC,0.01956,0.01962,0.01949,0.01954,48.61,0.9509
