Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR
2019-08-07 03-AM,ETHEUR,203.83,203.88,202.97,202.98,5.975,1215.93
2019-08-07 02-AM,ETHEUR,203.2,203.94,202.57,203.83,12.29,2500.28
2019-08-07 01-AM,ETHEUR,202.65,203.58,202.51,203.2,11.81,2397.24
2019-08-07 12-AM,ETHEUR,203.52,203.52,202.34,202.65,12.71,2581.16
2019-08-06 11-PM,ETHEUR,202.75,203.52,202.63,203.52,12.62,2562.83
2019-08-06 10-PM,ETHEUR,203.41,203.47,202.51,202.75,14.36,2914.26
2019-08-06 09-PM,ETHEUR,203.78,204.3,202.52,203.41,18.17,3691.64
2019-08-06 08-PM,ETHEUR,205.17,205.74,203.69,203.78,59.33,12157.41
2019-08-06 07-PM,ETHEUR,206.49,206.76,205,205.17,13.33,2741.49
2019-08-06 06-PM,ETHEUR,205.86,206.73,205.59,206.49,12.78,2635.53
2019-08-06 05-PM,ETHEUR,206.16,206.86,205.52,205.86,11.87,2447.28
2019-08-06 04-PM,ETHEUR,206.11,206.35,205.3,206.16,12.27,2526.07
2019-08-06 03-PM,ETHEUR,205.76,206.8,205.15,206.11,13.03,2686.07
2019-08-06 02-PM,ETHEUR,206.6,207.03,205.76,205.76,11.81,2439.41
2019-08-06 01-PM,ETHEUR,205.41,207.03,205.41,206.6,12.79,2641.46
2019-08-06 12-PM,ETHEUR,207.66,207.8,205.22,205.41,14.91,3081.05
2019-08-06 11-AM,ETHEUR,207.61,208.58,206.74,207.66,12.47,2590.86
2019-08-06 10-AM,ETHEUR,211.13,214.09,207.38,207.61,22.62,4771.03
2019-08-06 09-AM,ETHEUR,209.65,211.49,209.53,211.13,13.85,2912.36
2019-08-06 08-AM,ETHEUR,210.09,211.01,209.65,209.65,13.0,2734.07
2019-08-06 07-AM,ETHEUR,208.52,210.72,208.15,210.09,13.48,2831.03
2019-08-06 06-AM,ETHEUR,206.32,208.81,206.14,208.52,12.61,2612.36
2019-08-06 05-AM,ETHEUR,204.82,206.32,204.65,206.32,21.06,4329.2
2019-08-06 04-AM,ETHEUR,205.94,206.45,204.82,204.82,14.8,3045.14
2019-08-06 03-AM,ETHEUR,205.64,206.34,205.49,205.94,12.69,2614.99
2019-08-06 02-AM,ETHEUR,205.59,206.43,204.68,205.64,13.36,2744.69
2019-08-06 01-AM,ETHEUR,207.97,208.07,204.62,205.59,14.68,3027.7
2019-08-06 12-AM,ETHEUR,208.71,209.42,207.22,207.97,12.71,2642.71
2019-08-05 11-PM,ETHEUR,210.2,210.2,208.11,208.71,14.86,3100.83
2019-08-05 10-PM,ETHEUR,209.33,210.38,209.06,210.2,13.09,2747.18
2019-08-05 09-PM,ETHEUR,208.86,209.82,208.48,209.33,13.47,2819.98
2019-08-05 08-PM,ETHEUR,210.12,210.12,208.77,208.86,12.4,2596.29
2019-08-05 07-PM,ETHEUR,209.94,210.38,209.25,210.12,12.92,2712.59
2019-08-05 06-PM,ETHEUR,209.62,210.4,209.54,209.94,12.9,2709.82
2019-08-05 05-PM,ETHEUR,211.13,211.52,209.62,209.62,13.85,2916.2
2019-08-05 04-PM,ETHEUR,209.2,211.13,208.66,211.13,12.74,2671.88
2019-08-05 03-PM,ETHEUR,208.48,209.36,207.46,209.2,11.57,2411.18
2019-08-05 02-PM,ETHEUR,209.76,209.91,208.48,208.48,15.31,3204.7
2019-08-05 01-PM,ETHEUR,210.67,211.09,209.39,209.76,13.61,2861.03
2019-08-05 12-PM,ETHEUR,211.17,211.59,209.79,210.67,13.7,2888.68
2019-08-05 11-AM,ETHEUR,211.15,213.16,210.24,211.17,14.13,2990.28
2019-08-05 10-AM,ETHEUR,207.66,212.39,207.66,211.15,13.47,2837.69
2019-08-05 09-AM,ETHEUR,207.9,208.98,207.32,207.66,14.93,3107.08
2019-08-05 08-AM,ETHEUR,208.19,208.96,206.4,207.9,21.41,4452.69
2019-08-05 07-AM,ETHEUR,208.77,208.77,207.32,208.19,27.4,5702.45
2019-08-05 06-AM,ETHEUR,208,208.77,206.74,208.77,24.37,5066.71
2019-08-05 05-AM,ETHEUR,208.86,209.04,207.37,208,25.18,5240.14
2019-08-05 04-AM,ETHEUR,207.76,209.36,207.76,208.86,25.72,5374.03
2019-08-05 03-AM,ETHEUR,208.12,209.36,207.32,207.76,13.63,2837.42
2019-08-05 02-AM,ETHEUR,206.87,209.94,205.63,208.12,28.72,5948.89
2019-08-05 01-AM,ETHEUR,206.64,207.92,205.13,206.87,24.53,5062.05
2019-08-05 12-AM,ETHEUR,202.78,206.64,202.78,206.64,32.05,6555.3
2019-08-04 11-PM,ETHEUR,203.26,203.83,202.21,202.78,25.6,5194.76
2019-08-04 10-PM,ETHEUR,202.03,204.39,201.08,203.26,31.89,6466.39
2019-08-04 09-PM,ETHEUR,202.6,202.95,200.4,202.03,16.9,3411.43
