Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR
2019-08-07,ETHEUR,203.52,203.94,202.34,203.75,42.79,8694.61
2019-08-06,ETHEUR,208.71,214.09,202.51,203.52,384.59,79380.65
2019-08-05,ETHEUR,202.78,213.16,202.78,208.71,425.97,88815.09
2019-08-04,ETHEUR,201.97,204.39,198.03,202.78,378.54,76040.77
2019-08-03,ETHEUR,197.88,203.46,197.17,201.97,333.44,67251.12
2019-08-02,ETHEUR,198.96,202.95,196.81,197.88,346.09,68976.61
2019-08-01,ETHEUR,201.9,202.06,195.98,198.96,395.55,78422.56
2019-07-31,ETHEUR,196.28,202.15,196.28,201.9,370.17,73630.75
2019-07-30,ETHEUR,201.28,202.82,195.58,196.28,435.75,86349.22
2019-07-29,ETHEUR,208.57,211.45,200,201.28,471.41,96718.93
2019-07-28,ETHEUR,205.19,210.03,197.81,208.57,466.73,95895.56
2019-07-27,ETHEUR,216.1,218.95,201.51,205.19,480.86,101191.99
2019-07-26,ETHEUR,215.26,216.53,210.01,216.1,489.74,104324.68
2019-07-25,ETHEUR,213.33,221.19,212.55,215.26,502.94,109037.2
2019-07-24,ETHEUR,210.83,213.58,201.53,213.33,541.64,111473.34
2019-07-23,ETHEUR,216.13,219.39,209.64,210.83,595.42,127364.18
2019-07-22,ETHEUR,222.62,224.61,211.24,216.13,592.62,129463.04
2019-07-21,ETHEUR,225.36,225.8,216.59,222.62,592.8,131507.31
2019-07-20,ETHEUR,217.38,229.99,217.38,225.36,585.26,131095.3
2019-07-19,ETHEUR,222.06,222.53,212.1,217.38,592.67,128638.86
2019-07-18,ETHEUR,210.18,212.73,207.53,211.13,43.88,9189.29
2019-07-17,ETHEUR,196.26,218.41,191.2,210.18,529.22,108321.98
2019-07-16,ETHEUR,223.54,226.93,194.2,196.26,441.73,94100.37
2019-07-15,ETHEUR,218.69,227.77,203.1,223.54,488.87,107009.18
2019-07-14,ETHEUR,258.41,258.92,216.95,218.69,507.03,122050.23
