Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume EUR
2019-08-07,LTCEUR,83.74,84.03,83.52,84.03,128.87,10793.54
2019-08-06,LTCEUR,86.44,89.44,82.22,83.74,950.07,81219.27
2019-08-05,LTCEUR,84.87,95.91,84.75,86.44,946.65,83533.18
2019-08-04,LTCEUR,85.77,85.95,82.91,84.87,920.96,77786.2
2019-08-03,LTCEUR,86.4,87.58,85.45,85.77,948.45,82040.85
2019-08-02,LTCEUR,90.67,90.84,84.51,86.4,958.68,84385.13
2019-08-01,LTCEUR,91.51,92.13,88.57,90.67,980.0,88524.81
2019-07-31,LTCEUR,84.79,92.3,84.43,91.51,1016.69,88973.34
2019-07-30,LTCEUR,86.35,86.97,84.06,84.79,1138.67,97313.79
2019-07-29,LTCEUR,88.71,90.44,85.31,86.35,1255.38,110323.41
2019-07-28,LTCEUR,87.67,89.27,83.35,88.71,1308.52,114779.82
2019-07-27,LTCEUR,93.29,94.13,85.79,87.67,1302.34,116825.85
2019-07-26,LTCEUR,91.43,93.35,89.07,93.29,1323.68,120813.33
2019-07-25,LTCEUR,92.79,94.73,90.45,91.43,1377.03,127445.46
2019-07-24,LTCEUR,89.73,94.1,87.23,92.79,1427.41,128034.19
2019-07-23,LTCEUR,94.24,94.65,89.22,89.73,1605.26,147782.77
2019-07-22,LTCEUR,98.75,99.28,91.49,94.24,1624.71,155265.85
2019-07-21,LTCEUR,99.01,99.56,95.9,98.75,1650.36,161212.59
2019-07-20,LTCEUR,97.33,103.52,96.21,99.01,1662.94,164368.54
2019-07-19,LTCEUR,99.64,99.77,94.46,97.33,1729.79,166988.92
2019-07-18,LTCEUR,89.42,89.84,87.52,89.1,126.58,11212.91
2019-07-17,LTCEUR,78.8,93.85,76.56,89.42,1473.35,124472.3
2019-07-16,LTCEUR,88.63,89.09,77.14,78.8,1095.12,92678.82
2019-07-15,LTCEUR,86.88,89.34,83.38,88.63,1102.1,95522.15
2019-07-14,LTCEUR,96.96,97.62,86.03,86.88,1134.4,104339.73
2019-07-13,LTCEUR,100.08,100.14,94.88,96.96,1164.06,114092.12
2019-07-12,LTCEUR,97.69,101.8,96.75,100.08,1114.53,111257.9
2019-07-11,LTCEUR,102.15,102.36,91.74,97.69,330.62,31991.37
2019-07-10,LTCEUR,113.35,113.53,98.12,102.15,302.08,31640.81
2019-07-09,LTCEUR,116.49,117.09,112.38,113.35,99.75,11395.72
2019-07-08,LTCEUR,114.11,117.51,112.52,116.49,91.37,10423.56
2019-07-07,LTCEUR,112.78,114.95,112.29,114.11,105.72,11991.73
2019-07-06,LTCEUR,113.74,115.87,112.29,112.78,152.27,17358.06
2019-07-05,LTCEUR,114.54,116.77,111.89,113.74,145.4,16625.84
2019-07-04,LTCEUR,115.46,120.42,113.6,114.54,167.47,19594.29
2019-07-03,LTCEUR,112.5,116.85,112.5,115.46,163.98,18824.42
2019-07-02,LTCEUR,117.5,117.98,108.31,112.5,123.37,13849.19
2019-07-01,LTCEUR,115.87,119.49,109.3,117.5,89.97,10304.99
2019-06-30,LTCEUR,125.48,128.39,114.57,115.87,92.41,11230.75
2019-06-29,LTCEUR,110.18,127.5,108.75,125.48,76.73,9095.19
2019-06-28,LTCEUR,106.25,111.11,105.51,110.18,70.35,7601.92
2019-06-27,LTCEUR,120.02,120.31,103.53,106.25,331.01,36739.15
2019-06-26,LTCEUR,122.85,128.5,115.36,120.02,413.53,50560.71
2019-06-25,LTCEUR,122.12,125.48,118,122.85,287.37,35075.64
2019-06-24,LTCEUR,124,124.12,120.38,122.12,234.05,28594.88
2019-06-23,LTCEUR,128.09,129.28,123.89,124,225.34,28651.65
2019-06-22,LTCEUR,125.71,132.2,125.03,128.09,335.44,43039.86
2019-06-21,LTCEUR,123.83,128.42,123.76,125.71,175.76,22062.06
2019-06-20,LTCEUR,125.61,125.97,122.01,123.83,166.52,20634.97
2019-06-19,LTCEUR,124.76,128.6,123.41,125.61,180.9,22827.62
2019-06-18,LTCEUR,123.64,126.06,120,124.76,614.53,75428.72
2019-06-17,LTCEUR,126.04,126.77,122.08,123.64,234.58,29175.39
2019-06-16,LTCEUR,127.1,128.11,124.49,126.04,465.07,58635.48
2019-06-15,LTCEUR,123.96,128.56,118.68,127.1,318.19,39711.36
2019-06-14,LTCEUR,123.07,130.38,118.77,123.96,279.96,34511.33
2019-06-13,LTCEUR,128.92,129.64,122.58,123.07,198.88,25313.25
2019-06-12,LTCEUR,130.26,135.46,124.84,128.92,251.55,33031.05
2019-06-11,LTCEUR,125.14,141.86,122,130.26,612.16,80108.19
2019-06-10,LTCEUR,112.28,125.14,110.91,125.14,343.94,40420.15
2019-06-09,LTCEUR,115.08,116.75,111.32,112.28,316.58,35923.45
2019-06-08,LTCEUR,114.15,115.92,110.98,115.08,207.88,23545.82
2019-06-07,LTCEUR,107.19,117.56,106.01,114.15,580.94,65145.84
2019-06-06,LTCEUR,100.15,107.58,99.54,107.19,290.31,29489.86
2019-06-05,LTCEUR,97.29,100.74,97.06,100.15,312.05,30787.41
2019-06-04,LTCEUR,101.61,107.25,95.34,97.29,675.56,67557.21
2019-06-03,LTCEUR,109.27,110.74,101.02,101.61,418.38,44249.2
2019-06-02,LTCEUR,107.45,111.34,107.15,109.27,210.36,22961.6
2019-06-01,LTCEUR,109.02,110.98,106.95,107.45,251.82,27354.18
2019-05-31,LTCEUR,104.13,109.62,101.31,109.02,361.15,37619.75
2019-05-30,LTCEUR,108.4,112.45,101.52,104.13,615.53,65169.69
2019-05-29,LTCEUR,106.41,110.41,102.96,108.4,240.48,25626.88
2019-05-28,LTCEUR,107.34,108.22,104.24,106.41,225.78,23975.52
2019-05-27,LTCEUR,101.64,111.16,101.64,107.34,473.73,49769.49
2019-05-26,LTCEUR,94.25,103.1,91.61,101.64,372.74,35155.04
2019-05-25,LTCEUR,91.67,95.72,91.53,94.25,424.74,39776.75
2019-05-24,LTCEUR,81.79,94.58,81.57,91.67,295.97,26377.6
2019-05-23,LTCEUR,81.89,82.51,79.32,81.79,241.94,19601.38
2019-05-22,LTCEUR,84.4,84.95,79.67,81.89,277.29,23142.09
2019-05-21,LTCEUR,84.92,85.95,82.76,84.4,192.05,16252.24
2019-05-20,LTCEUR,89,89,82.3,84.92,238.5,20211.68
2019-05-19,LTCEUR,81.83,89.78,81.61,89,290.0,25139.69
2019-05-18,LTCEUR,83.06,83.58,80.54,81.83,244.91,20097.17
