Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume RUB
2019-08-07 03-AM,LTCRUB,5795.93,5811.24,5779.99,5807.28,16.0,92820.02
2019-08-07 02-AM,LTCRUB,5780,5811.24,5770.83,5795.93,32.1,186034.58
2019-08-07 01-AM,LTCRUB,5783.4,5806.64,5768.93,5780,34.69,200711.58
2019-08-07 12-AM,LTCRUB,5798.65,5798.65,5761.08,5783.4,30.09,173803.22
2019-08-06 11-PM,LTCRUB,5718.73,5827.54,5717.03,5798.65,43.55,251091.7
2019-08-06 10-PM,LTCRUB,5758.85,5784.15,5717.59,5718.73,40.32,231815.56
2019-08-06 09-PM,LTCRUB,5786.77,5860.22,5738.62,5758.85,45.8,264575.37
2019-08-06 08-PM,LTCRUB,5771.49,5807.23,5743.41,5786.77,41.84,241993.78
2019-08-06 07-PM,LTCRUB,5847.12,5855.44,5725.3,5771.49,79.21,458465.78
2019-08-06 06-PM,LTCRUB,5889.74,5934.44,5847.12,5847.12,45.05,264698.07
2019-08-06 05-PM,LTCRUB,5929.14,5960,5889.74,5889.74,32.64,193489.14
2019-08-06 04-PM,LTCRUB,5931.02,5992.78,5888,5929.14,40.74,241956.54
2019-08-06 03-PM,LTCRUB,5926.07,5937.37,5885.69,5931.02,28.44,168139.47
2019-08-06 02-PM,LTCRUB,5921.06,5959.36,5868.8,5926.07,47.09,278376.9
2019-08-06 01-PM,LTCRUB,5856.11,5935.62,5835.77,5921.06,62.36,366347.27
2019-08-06 12-PM,LTCRUB,5935.4,5938.21,5835.85,5856.11,38.91,228933.49
2019-08-06 11-AM,LTCRUB,5907.59,5942.72,5884.86,5935.4,33.54,198356.17
2019-08-06 10-AM,LTCRUB,6043.15,6172.44,5835.71,5907.59,54.0,323633.18
2019-08-06 09-AM,LTCRUB,6050,6061.9,6040,6043.15,32.28,195249.71
2019-08-06 08-AM,LTCRUB,6084.42,6162.71,6050,6050,52.37,319172.99
2019-08-06 07-AM,LTCRUB,6070.99,6140.16,6024.14,6084.42,41.12,249880.01
2019-08-06 06-AM,LTCRUB,5996.69,6070.99,5970.31,6070.99,60.93,367836.94
2019-08-06 05-AM,LTCRUB,5974.53,5999.89,5951.08,5996.69,57.94,345999.59
2019-08-06 04-AM,LTCRUB,6021.99,6021.99,5853.1,5974.53,44.43,265051.6
2019-08-06 03-AM,LTCRUB,6002.56,6023.31,5967.71,6021.99,31.82,190853.32
2019-08-06 02-AM,LTCRUB,5981.72,6060.18,5981.72,6002.56,32.97,198082.88
2019-08-06 01-AM,LTCRUB,6062.6,6065.44,5959.69,5981.72,97.79,589462.78
2019-08-06 12-AM,LTCRUB,6061.56,6066.44,6026.9,6062.6,43.45,262838.69
2019-08-05 11-PM,LTCRUB,6158.14,6158.14,6000,6061.56,61.52,371727.81
2019-08-05 10-PM,LTCRUB,6171.1,6188.06,6136.93,6158.14,34.41,212196.45
2019-08-05 09-PM,LTCRUB,6127.09,6230.83,6127.09,6171.1,35.11,216472.04
2019-08-05 08-PM,LTCRUB,6194.57,6209.62,6119.8,6127.09,35.2,216706.22
2019-08-05 07-PM,LTCRUB,6184.35,6266.97,6171.35,6194.57,38.53,238809.13
2019-08-05 06-PM,LTCRUB,6222,6315.79,6176.63,6184.35,40.19,249817.5
2019-08-05 05-PM,LTCRUB,6280,6280,6205.95,6222,48.28,300981.45
2019-08-05 04-PM,LTCRUB,6143.42,6337.2,6100,6280,70.61,439982.48
2019-08-05 03-PM,LTCRUB,6216.51,6219.71,6117.54,6143.42,49.84,307015.28
2019-08-05 02-PM,LTCRUB,6159.4,6277.1,6143.49,6216.51,43.72,271056.12
2019-08-05 01-PM,LTCRUB,6275.75,6302.08,6119.8,6159.4,99.77,618757.22
2019-08-05 12-PM,LTCRUB,6358.34,6390.84,6275.75,6275.75,42.34,267501.35
2019-08-05 11-AM,LTCRUB,6355.2,6462.72,6346.37,6358.34,73.32,468942.31
2019-08-05 10-AM,LTCRUB,6102.83,6646.06,6068.68,6355.2,133.05,852273.52
2019-08-05 09-AM,LTCRUB,6052.03,6145.5,6052.03,6102.83,44.29,270086.1
2019-08-05 08-AM,LTCRUB,5951.05,6094.17,5917.87,6052.03,43.85,262121.3
2019-08-05 07-AM,LTCRUB,5956.69,5997.74,5922.59,5951.05,51.99,309756.94
2019-08-05 06-AM,LTCRUB,5974.89,6007.66,5918.21,5956.69,32.36,193241.29
2019-08-05 05-AM,LTCRUB,5994.35,6008.02,5968.05,5974.89,36.17,216557.11
2019-08-05 04-AM,LTCRUB,5991.86,6009.53,5974.03,5994.35,30.72,184038.72
2019-08-05 03-AM,LTCRUB,6042.17,6042.17,5962.59,5991.86,36.59,219326.26
2019-08-05 02-AM,LTCRUB,6022.13,6042.45,5964.11,6042.17,33.66,201714.14
2019-08-05 01-AM,LTCRUB,6024.41,6053.33,5998.63,6022.13,45.63,275196.39
2019-08-05 12-AM,LTCRUB,5927.24,6091.39,5899.65,6024.41,78.07,469247.85
2019-08-04 11-PM,LTCRUB,5906.23,5935.87,5903.69,5927.24,30.3,179408.1
2019-08-04 10-PM,LTCRUB,5890.39,5935.47,5883.73,5906.23,83.34,492447.37
2019-08-04 09-PM,LTCRUB,5901.73,5901.73,5850.23,5890.39,42.59,250189.93
2019-08-04 08-PM,LTCRUB,5915.55,5923.43,5867.52,5901.73,31.17,183750.91
2019-08-04 07-PM,LTCRUB,5932.84,5956.62,5886.39,5915.55,38.48,227793.88
2019-08-04 06-PM,LTCRUB,5940.91,5951.28,5916.28,5932.84,32.8,194617.89
2019-08-04 05-PM,LTCRUB,5988.8,5988.8,5920,5940.91,34.43,204825.45
2019-08-04 04-PM,LTCRUB,5975.32,5988.8,5898.68,5988.8,42.09,250684.22
2019-08-04 03-PM,LTCRUB,6018.46,6018.46,5916.37,5975.32,43.96,262037.09
2019-08-04 02-PM,LTCRUB,5940.52,6018.46,5921.13,6018.46,46.94,280510.9
2019-08-04 01-PM,LTCRUB,5856.5,6006.45,5823.11,5940.52,48.34,286793.28
2019-08-04 12-PM,LTCRUB,5853.16,5881.19,5819,5856.5,53.86,314716.32
2019-08-04 11-AM,LTCRUB,5824.22,5889.4,5824.22,5853.16,51.04,299493.08
2019-08-04 10-AM,LTCRUB,5883.73,5925.8,5822.33,5824.22,73.68,432781.57
2019-08-04 09-AM,LTCRUB,5880,5894.1,5833.14,5883.73,67.6,396549.56
2019-08-04 08-AM,LTCRUB,5883.96,5906.81,5850.01,5880,44.2,260008.42
2019-08-04 07-AM,LTCRUB,5897.73,5898.04,5854.61,5883.96,42.68,250852.98
2019-08-04 06-AM,LTCRUB,5824.81,5897.73,5805.03,5897.73,34.37,201033.85
2019-08-04 05-AM,LTCRUB,5846.59,5857.26,5808.39,5824.81,48.44,282172.17
2019-08-04 04-AM,LTCRUB,5839.56,5876.48,5804.65,5846.59,43.93,256223.37
2019-08-04 03-AM,LTCRUB,6027.67,6028.39,5817.37,5839.56,46.11,273982.23
2019-08-04 02-AM,LTCRUB,6026.86,6051.77,6000,6027.67,31.66,190979.85
2019-08-04 01-AM,LTCRUB,6049.37,6053.12,6015.27,6026.86,40.98,247136.28
2019-08-04 12-AM,LTCRUB,6036.75,6049.37,6015.73,6049.37,31.03,187259.55
2019-08-03 11-PM,LTCRUB,6051.44,6051.44,6020,6036.75,30.28,182701.52
2019-08-03 10-PM,LTCRUB,6044.86,6057.43,6015.58,6051.44,35.83,216344.38
2019-08-03 09-PM,LTCRUB,6076.9,6086.89,6032.09,6044.86,33.99,206153.33
2019-08-03 08-PM,LTCRUB,6079.93,6115.61,6055.73,6076.9,32.76,199157.57
2019-08-03 07-PM,LTCRUB,6099.93,6145.46,6065.91,6079.93,36.92,225232.0
2019-08-03 06-PM,LTCRUB,6125.55,6134.72,6081.6,6099.93,45.61,278829.52
2019-08-03 05-PM,LTCRUB,6082.9,6150.13,6068.19,6125.55,57.58,350932.84
2019-08-03 04-PM,LTCRUB,6055.1,6149.85,6055.1,6082.9,50.82,310567.35
