Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume RUB
2019-08-07,LTCRUB,5798.65,5811.24,5761.08,5797.36,112.87,653369.4
2019-08-06,LTCRUB,6061.56,6172.44,5717.03,5798.65,1128.58,6696300.94
2019-08-05,LTCRUB,5927.24,6646.06,5899.65,6061.56,1239.24,7633525.0
2019-08-04,LTCRUB,6036.75,6053.12,5804.65,5927.24,1084.05,6406248.24
2019-08-03,LTCRUB,6093.11,6199.97,6015.58,6036.75,949.91,5796314.89
2019-08-02,LTCRUB,6342.3,6345.69,5973.42,6093.11,1193.16,7374835.37
2019-08-01,LTCRUB,6357.6,6496,6117.19,6342.3,1166.78,7310051.12
2019-07-31,LTCRUB,5852.99,6388.68,5841.62,6357.6,1111.57,6737288.53
2019-07-30,LTCRUB,5898.21,6001.63,5745.13,5852.99,1161.73,6797044.77
2019-07-29,LTCRUB,5896.69,5989.36,5731.04,5898.21,1358.69,7970613.88
2019-07-28,LTCRUB,5756.4,5955.29,5500,5896.69,1331.86,7679456.97
2019-07-27,LTCRUB,6090.89,6206.41,5664.95,5756.4,1541.58,9082279.14
2019-07-26,LTCRUB,6020.36,6120.25,5879.21,6090.89,1281.19,7684271.6
2019-07-25,LTCRUB,6097.71,6203.59,5956.88,6020.36,1253.25,7629998.09
2019-07-24,LTCRUB,5847.18,6219.6,5662.07,6097.71,1451.3,8553729.23
2019-07-23,LTCRUB,6061.34,6081.65,5718.73,5847.18,1547.75,9129363.77
2019-07-22,LTCRUB,6360.85,6400.24,5815.01,6061.34,1426.48,8775804.99
2019-07-21,LTCRUB,6407.25,6505.17,6192.44,6360.85,1435.93,9098288.72
2019-07-20,LTCRUB,6337.27,6787.33,6285.8,6407.25,1562.46,10063395.2
2019-07-19,LTCRUB,6487.99,6508.45,6141.41,6337.27,1736.24,10930502.52
2019-07-18,LTCRUB,5838.58,5874.56,5699.19,5803.87,112.51,651529.57
2019-07-17,LTCRUB,5195.02,6131,5039.35,5838.58,1633.53,9038428.95
2019-07-16,LTCRUB,5876.47,5890.79,5001.88,5195.02,1217.59,6735259.97
2019-07-15,LTCRUB,5831.33,6000,5583.4,5876.47,1341.32,7760605.82
2019-07-14,LTCRUB,6470.15,6504,5712.79,5831.33,1308.73,7942545.74
2019-07-13,LTCRUB,6617.58,6693.1,6325.32,6470.15,1198.75,7785118.21
2019-07-12,LTCRUB,6526.77,6748.7,6402.06,6617.58,1164.22,7692680.53
2019-07-11,LTCRUB,6674.41,6693.1,5882.07,6526.77,658.07,4241299.76
2019-07-10,LTCRUB,7168,7500,6200,6674.41,838.6,5778620.63
2019-07-09,LTCRUB,7495.64,7516.37,7160,7168,292.6,2132553.82
2019-07-08,LTCRUB,7423.83,7657.01,7288.96,7495.64,322.44,2391765.65
2019-07-07,LTCRUB,7471.73,7548.2,7337,7423.83,252.94,1880253.39
2019-07-06,LTCRUB,7466.36,7575.46,7329.83,7471.73,238.93,1784594.76
2019-07-05,LTCRUB,7527.12,7587.16,7370.94,7466.36,236.7,1768366.64
2019-07-04,LTCRUB,7487.77,8000,7380.78,7527.12,412.41,3169340.52
2019-07-03,LTCRUB,7455.46,7708,7350.94,7487.77,376.11,2833023.2
2019-07-02,LTCRUB,7740.06,7740.56,7068.18,7455.46,390.08,2846087.17
2019-07-01,LTCRUB,7602.61,7937.82,7201,7740.06,276.75,2094713.82
2019-06-30,LTCRUB,8295.24,8517.48,7599.99,7602.61,446.75,3652246.33
2019-06-29,LTCRUB,7360.62,8454.46,7196.05,8295.24,381.17,3028510.98
2019-06-28,LTCRUB,6879.69,7485.15,6850,7360.62,281.87,2035808.9
2019-06-27,LTCRUB,7975,8046.69,6670,6879.69,737.4,5281710.06
2019-06-26,LTCRUB,8170,8450,7776.01,7975,620.14,5051388.21
2019-06-25,LTCRUB,8115.81,8350,7922.08,8170,430.89,3486171.3
2019-06-24,LTCRUB,8230,8310,8001.01,8115.81,285.48,2324509.5
2019-06-23,LTCRUB,8438.87,8502,8230,8230,387.12,3242040.0
2019-06-22,LTCRUB,8331.04,8699.43,8250,8438.87,583.46,4946937.13
2019-06-21,LTCRUB,8285.04,8549.5,8270,8331.04,498.09,4181709.65
2019-06-20,LTCRUB,8434.93,8491.88,8131.73,8285.04,362.93,3014845.98
2019-06-19,LTCRUB,8339,8630.03,8246.21,8434.93,415.39,3518142.05
2019-06-18,LTCRUB,8206.97,8429.22,8016.52,8339,357.22,2933825.93
2019-06-17,LTCRUB,8417.51,8494.89,8155,8206.97,362.75,3014006.95
2019-06-16,LTCRUB,8617.62,8647.49,8292.45,8417.51,447.88,3772364.62
2019-06-15,LTCRUB,8350.6,8800,8315.67,8617.62,479.15,4096868.74
2019-06-14,LTCRUB,8338.96,8444.52,7983,8350.6,618.42,5080470.89
2019-06-13,LTCRUB,8742.46,8827.86,8315.71,8338.96,505.85,4360054.46
2019-06-12,LTCRUB,8830.89,9287.97,8503.82,8742.46,659.7,5937158.91
2019-06-11,LTCRUB,8444.52,9000,8207.71,8830.89,816.62,6973026.71
2019-06-10,LTCRUB,7579.65,8515.65,7480,8444.52,894.86,7200374.48
2019-06-09,LTCRUB,7795.99,7795.99,7462.04,7579.65,449.27,3430480.02
2019-06-08,LTCRUB,7711,7873.68,7498.42,7795.99,344.48,2637483.35
2019-06-07,LTCRUB,7342.17,7962.72,7218.25,7711,916.47,6946240.54
2019-06-06,LTCRUB,6818.45,7351.44,6723.7,7342.17,412.75,2874600.05
2019-06-05,LTCRUB,6694.64,6887.84,6666,6818.45,393.13,2663403.59
2019-06-04,LTCRUB,6900,6962.84,6538.63,6694.64,633.3,4281618.94
2019-06-03,LTCRUB,7316.67,7383.93,6850,6900,498.67,3591573.07
2019-06-02,LTCRUB,7191.09,7423.4,7170.31,7316.67,380.71,2781186.98
2019-06-01,LTCRUB,7345.31,7401.76,7127,7191.09,426.26,3096433.46
2019-05-31,LTCRUB,6952.84,7345.31,6773.04,7345.31,513.83,3590529.94
2019-05-30,LTCRUB,7177.94,7445,6600,6952.84,652.94,4692553.93
2019-05-29,LTCRUB,7070.77,7400,6856.6,7177.94,466.66,3351257.8
2019-05-28,LTCRUB,7130.36,7220.59,6915.48,7070.77,528.13,3727338.93
2019-05-27,LTCRUB,6865.5,7414.18,6802.5,7130.36,640.22,4506882.59
2019-05-26,LTCRUB,6400.01,7000,6250,6865.5,661.48,4286346.38
2019-05-25,LTCRUB,6297.89,6534.74,6225.17,6400.01,553.3,3538960.35
2019-05-24,LTCRUB,5673.13,6476.22,5627.24,6297.89,984.57,6054721.33
2019-05-23,LTCRUB,5575.05,5705.83,5436.51,5673.13,485.76,2708689.21
2019-05-22,LTCRUB,5722.83,5800,5466.99,5575.05,501.03,2849854.28
2019-05-21,LTCRUB,5734.24,5816.13,5600,5722.83,351.48,2009669.7
2019-05-20,LTCRUB,5962.01,5962.01,5530.22,5734.24,517.82,2952801.97
2019-05-19,LTCRUB,5492.88,6037.45,5442.52,5962.01,578.91,3381900.39
2019-05-18,LTCRUB,5622.03,5635,5376.63,5492.88,483.05,2661718.36
2019-05-17,LTCRUB,6006.13,6072.8,5257.12,5622.03,643.32,3558716.84
2019-05-16,LTCRUB,6425.93,6658.21,5750,6006.13,756.68,4622044.48
2019-05-15,LTCRUB,5733.13,6456.54,5606.31,6425.93,950.75,5758011.33
2019-05-14,LTCRUB,5577.8,5888.12,5450,5733.13,675.28,3842127.9
2019-05-13,LTCRUB,5422.59,5887.42,5421.33,5577.8,534.25,3011194.72
2019-05-12,LTCRUB,5773.82,6020,5367,5422.59,642.27,3646641.42
2019-05-11,LTCRUB,5013.68,6103.97,5013.68,5773.82,934.68,5251522.63
2019-05-10,LTCRUB,4797,5183,4746,5013.68,428.43,2134179.27
2019-05-09,LTCRUB,4769.5,4900.96,4746,4797,337.53,1626126.16
2019-05-08,LTCRUB,4804.63,4849.62,4690,4769.5,357.52,1700470.12
2019-05-07,LTCRUB,4826.83,5005.81,4826.65,4900,132.36,651901.03
2019-05-06,LTCRUB,4865.58,4900,4588,4826.83,331.56,1574335.86
2019-05-05,LTCRUB,4987.74,4999,4780.36,4865.58,275.16,1342383.78
2019-05-04,LTCRUB,4989.77,5175,4807.17,4987.74,374.49,1851333.87
2019-05-03,LTCRUB,4712,5105.01,4687.71,4989.77,511.9,2527692.66
2019-05-02,LTCRUB,4725.34,4800,4650,4712,285.22,1346249.45
2019-05-01,LTCRUB,4847.66,4895.33,4574.3,4725.34,328.82,1560350.04
2019-04-30,LTCRUB,4440.03,4881.66,4440.03,4847.66,491.98,2291278.63
2019-04-29,LTCRUB,4569.76,4616.14,4348,4440.03,446.31,1999226.63
2019-04-28,LTCRUB,4783.53,4798.64,4531.22,4569.76,340.17,1589677.55
2019-04-27,LTCRUB,4835.32,4868.03,4714,4783.53,403.56,1936954.62
2019-04-26,LTCRUB,4700.86,4927,4642.38,4835.32,350.75,1693020.35
2019-04-25,LTCRUB,4792.92,4927,4687.71,4700.86,457.05,2206058.73
2019-04-24,LTCRUB,4809.98,4874.52,4600,4792.92,476.5,2257646.44
2019-04-23,LTCRUB,5002.85,5176.88,4809.98,4809.98,403.2,2032002.51
2019-04-22,LTCRUB,5024.61,5070.46,4921,5002.85,417.89,2086322.04
2019-04-21,LTCRUB,5284.92,5338.58,4842.92,5024.61,476.56,2406737.91
2019-04-20,LTCRUB,5337.8,5370,5216.39,5284.92,332.45,1762347.59
