Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
2019-08-07 03-AM,LTCUSD,92.75,93.07,92.59,92.78,42.97,3992.1
2019-08-07 02-AM,LTCUSD,92.38,93.1,92.23,92.75,109.76,10155.7
2019-08-07 01-AM,LTCUSD,92.39,92.86,92.04,92.38,80.24,7413.57
2019-08-07 12-AM,LTCUSD,92.82,92.82,92.05,92.39,85.2,7873.81
2019-08-06 11-PM,LTCUSD,91.78,92.89,91.23,92.82,258.89,23901.0
2019-08-06 10-PM,LTCUSD,91.9,92,91.42,91.78,84.43,7742.72
2019-08-06 09-PM,LTCUSD,91.7,91.99,90.5,91.9,138.41,12660.88
2019-08-06 08-PM,LTCUSD,91.83,92.3,91.15,91.7,159.82,14655.14
2019-08-06 07-PM,LTCUSD,92.83,93.11,90,91.83,548.0,50222.31
2019-08-06 06-PM,LTCUSD,93.77,94.06,92.83,92.83,101.47,9498.32
2019-08-06 05-PM,LTCUSD,94.52,94.78,93.62,93.77,95.91,9040.58
2019-08-06 04-PM,LTCUSD,93.9,95.49,93.25,94.52,251.58,23846.04
2019-08-06 03-PM,LTCUSD,93.66,94.07,93.16,93.9,166.82,15631.28
2019-08-06 02-PM,LTCUSD,93.88,94.17,93.51,93.66,106.95,10041.76
2019-08-06 01-PM,LTCUSD,93.37,94,93.25,93.88,91.09,8528.49
2019-08-06 12-PM,LTCUSD,94.39,94.46,93,93.37,128.65,12032.46
2019-08-06 11-AM,LTCUSD,94.9,94.96,92.45,94.39,275.58,25770.21
2019-08-06 10-AM,LTCUSD,97.11,97.8,94,94.9,126.62,12143.93
2019-08-06 09-AM,LTCUSD,96.66,97.11,96.2,97.11,107.27,10376.05
2019-08-06 08-AM,LTCUSD,97.09,97.58,96.66,96.66,100.45,9751.89
2019-08-06 07-AM,LTCUSD,97.57,98.47,96.55,97.09,149.34,14528.51
2019-08-06 06-AM,LTCUSD,95.69,97.57,95.69,97.57,315.62,30419.4
2019-08-06 05-AM,LTCUSD,94.77,95.76,94.77,95.69,93.72,8928.95
2019-08-06 04-AM,LTCUSD,95.56,95.56,94.56,94.77,120.04,11409.45
2019-08-06 03-AM,LTCUSD,95.28,95.66,95.1,95.56,94.21,8985.88
2019-08-06 02-AM,LTCUSD,95.14,95.51,94.42,95.28,98.6,9363.35
2019-08-06 01-AM,LTCUSD,95.52,95.68,94,95.14,101.44,9623.9
2019-08-06 12-AM,LTCUSD,95.94,95.94,95.17,95.52,88.36,8442.6
2019-08-05 11-PM,LTCUSD,97.32,97.32,94.66,95.94,141.89,13574.52
2019-08-05 10-PM,LTCUSD,97.75,98.09,96.9,97.32,91.29,8906.92
2019-08-05 09-PM,LTCUSD,97.15,98.04,97,97.75,91.83,8959.55
2019-08-05 08-PM,LTCUSD,97.54,97.97,97,97.15,102.15,9947.13
2019-08-05 07-PM,LTCUSD,97.77,97.91,96.45,97.54,267.97,25953.44
2019-08-05 06-PM,LTCUSD,98.54,98.64,96.97,97.77,207.28,20228.88
2019-08-05 05-PM,LTCUSD,99.46,99.85,97.87,98.54,173.65,17165.54
2019-08-05 04-PM,LTCUSD,97.92,100.08,97.9,99.46,134.03,13264.89
2019-08-05 03-PM,LTCUSD,98.31,98.73,94.73,97.92,341.31,33207.85
2019-08-05 02-PM,LTCUSD,97.5,99.03,97.5,98.31,140.23,13778.21
2019-08-05 01-PM,LTCUSD,100.22,100.22,97,97.5,208.61,20547.31
