Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
2019-08-07,LTCUSD,92.82,93.1,92.04,93.04,318.18,29435.19
2019-08-06,LTCUSD,95.94,98.47,90,92.82,3803.25,357545.09
2019-08-05,LTCUSD,92.41,105.38,92.41,95.94,4901.96,480573.94
2019-08-04,LTCUSD,94.41,94.92,91,92.41,2823.94,261869.84
2019-08-03,LTCUSD,94.97,96.32,94,94.41,2798.03,266272.51
2019-08-02,LTCUSD,99.44,99.46,93,94.97,2814.45,271838.95
2019-08-01,LTCUSD,99.38,101.53,96.57,99.44,3004.46,295870.16
2019-07-31,LTCUSD,91.53,101,91.04,99.38,3188.67,304558.27
2019-07-30,LTCUSD,92.05,93.61,90.16,91.53,2898.81,265780.44
2019-07-29,LTCUSD,91.99,93.68,89.71,92.05,3015.64,276915.72
2019-07-28,LTCUSD,90.34,92.67,86.1,91.99,3282.19,297749.17
2019-07-27,LTCUSD,95.41,96.94,88.31,90.34,3404.31,313886.69
2019-07-26,LTCUSD,94.44,95.79,91.82,95.41,3615.77,340072.79
2019-07-25,LTCUSD,96.05,97.97,93.2,94.44,3405.43,325496.63
2019-07-24,LTCUSD,91.65,98.3,89,96.05,4039.5,376232.57
2019-07-23,LTCUSD,95.78,95.92,89.21,91.65,4421.56,410669.85
2019-07-22,LTCUSD,101.04,101.24,92.51,95.78,4250.51,412907.76
2019-07-21,LTCUSD,100.35,101.5,97.01,101.04,4089.76,406754.08
2019-07-20,LTCUSD,98.87,105.68,98.38,100.35,4335.83,438157.74
2019-07-19,LTCUSD,101.21,101.51,95.8,98.87,4576.35,449802.38
2019-07-18,LTCUSD,90.99,91.61,88.68,90.09,468.6,42059.44
2019-07-17,LTCUSD,80.9,96.07,78.67,90.99,4957.2,430673.46
2019-07-16,LTCUSD,92.07,93.25,79.05,80.9,3631.89,314499.35
2019-07-15,LTCUSD,90.67,94.2,86.87,92.07,3577.09,324763.53
2019-07-14,LTCUSD,101.7,102.27,88.91,90.67,3208.0,305034.85
2019-07-13,LTCUSD,105.23,105.57,98.93,101.7,2778.89,285051.9
2019-07-12,LTCUSD,103.48,107.44,101.45,105.23,3003.4,315907.76
2019-07-11,LTCUSD,108.08,108.08,95.87,103.48,1585.4,162854.05
2019-07-10,LTCUSD,118.15,118.15,102.75,108.08,1621.16,179101.13
2019-07-09,LTCUSD,121.33,121.5,116.43,118.15,822.27,97276.57
2019-07-08,LTCUSD,118.83,122.3,117.74,121.33,532.17,63658.7
2019-07-07,LTCUSD,118.63,120.24,117.74,118.83,417.34,49722.65
2019-07-06,LTCUSD,118.44,122.44,117.74,118.63,643.13,76877.86
2019-07-05,LTCUSD,120.14,120.96,117.55,118.44,560.69,66886.78
2019-07-04,LTCUSD,120,126.27,118,120.14,1039.01,127212.35
2019-07-03,LTCUSD,117.51,122,116.73,120,638.5,76174.67
2019-07-02,LTCUSD,122.67,123.64,112.82,117.51,804.25,94003.6
2019-07-01,LTCUSD,121.87,126.87,113.73,122.67,1162.52,139591.79
2019-06-30,LTCUSD,132.69,136.26,119.99,121.87,1482.78,192352.53
2019-06-29,LTCUSD,119.99,135.5,116.03,132.69,1620.13,207100.07
2019-06-28,LTCUSD,113.3,121.51,112.68,119.99,1036.87,122109.61
2019-06-27,LTCUSD,128.54,129,108.48,113.3,2168.52,252643.42
2019-06-26,LTCUSD,131.26,137.9,124,128.54,2626.74,343915.65
2019-06-25,LTCUSD,133.21,134.4,128.27,131.26,1348.03,176772.95
2019-06-24,LTCUSD,133.85,135.4,131.1,133.21,764.08,102053.47
2019-06-23,LTCUSD,137.54,138.9,133.03,133.85,1033.71,141392.89
2019-06-22,LTCUSD,135.55,141.83,134.9,137.54,2092.39,288431.77
2019-06-21,LTCUSD,134.4,138.4,134.3,135.55,1147.68,156305.35
2019-06-20,LTCUSD,136.41,136.41,133.02,134.4,756.4,101784.5
2019-06-19,LTCUSD,133.86,138.6,132.91,136.41,1346.07,183550.77
2019-06-18,LTCUSD,130.79,134.83,126.47,133.86,1156.49,151668.02
2019-06-17,LTCUSD,134.08,134.94,130,130.79,1000.11,132408.43
2019-06-16,LTCUSD,136.63,136.72,131.6,134.08,1090.44,146278.9
2019-06-15,LTCUSD,132.29,138.92,132.29,136.63,1163.95,158199.93
2019-06-14,LTCUSD,130.87,133.49,125.42,132.29,1687.64,218967.95
2019-06-13,LTCUSD,135.47,136.78,130.45,130.87,1124.0,150600.3
2019-06-12,LTCUSD,136.29,142.49,131.02,135.47,1932.69,266245.72
2019-06-11,LTCUSD,129.49,139,125.2,136.29,2515.68,333263.35
2019-06-10,LTCUSD,115.97,129.49,113.75,129.49,1719.5,211749.11
2019-06-09,LTCUSD,118.44,119.2,113.2,115.97,1040.3,121334.5
2019-06-08,LTCUSD,117.63,119.8,114.35,118.44,823.29,96043.82
2019-06-07,LTCUSD,111.07,121,109.69,117.63,1903.45,220472.33
2019-06-06,LTCUSD,104.12,111.64,102.01,111.07,814.55,85555.58
2019-06-05,LTCUSD,101.84,105.8,101.15,104.12,550.43,56990.33
2019-06-04,LTCUSD,106.66,107.71,99.39,101.84,1358.77,140456.61
