Created on 01-28-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-10-03 11-PM,BTCEUR,5618.99,5619,5618.99,5619,0.2405,1351.43
2018-10-03 10-PM,BTCEUR,5622.89,5622.89,5609.99,5618.99,12.98,72880.57
2018-10-03 09-PM,BTCEUR,5623.04,5640,5622.89,5622.89,18.77,105711.28
2018-10-03 08-PM,BTCEUR,5602.54,5623.05,5602.53,5623.04,28.88,162084.75
2018-10-03 07-PM,BTCEUR,5615.48,5618.75,5601.4,5602.54,18.07,101315.04
2018-10-03 06-PM,BTCEUR,5643.98,5643.99,5615.48,5615.48,27.61,155339.93
2018-10-03 05-PM,BTCEUR,5637.33,5643.99,5634.81,5643.98,20.55,115937.84
2018-10-03 04-PM,BTCEUR,5628.01,5639.37,5625.37,5637.33,27.77,156471.43
2018-10-03 03-PM,BTCEUR,5633.11,5645,5628,5628.01,52.47,295685.52
2018-10-03 02-PM,BTCEUR,5604.08,5650,5604.07,5633.11,89.46,503722.35
2018-10-03 01-PM,BTCEUR,5593.03,5612.98,5586.8,5604.08,55.24,309496.11
2018-10-03 12-PM,BTCEUR,5613.01,5615.48,5593.02,5593.03,42.13,236233.33
2018-10-03 11-AM,BTCEUR,5602.75,5616.82,5601.96,5613.01,47.88,268516.84
2018-10-03 10-AM,BTCEUR,5580,5617.61,5579.99,5602.75,77.35,433000.73
2018-10-03 09-AM,BTCEUR,5573.84,5580,5573.83,5580,31.57,176100.33
2018-10-03 08-AM,BTCEUR,5570,5573.86,5570,5573.84,30.44,169636.81
2018-10-03 07-AM,BTCEUR,5573.01,5576.47,5570,5570,31.01,172866.92
2018-10-03 06-AM,BTCEUR,5580.93,5580.94,5567.01,5573.01,51.59,287535.36
2018-10-03 05-AM,BTCEUR,5580.21,5585.76,5578,5580.93,17.55,97928.1
2018-10-03 04-AM,BTCEUR,5571.17,5580.49,5551.87,5580.21,9.45,52620.88
2018-10-03 03-AM,BTCEUR,5600.9,5601.84,5551,5571.17,42.87,238794.78
2018-10-03 02-AM,BTCEUR,5635.28,5635.29,5599.77,5600.9,74.62,418680.26
2018-10-03 01-AM,BTCEUR,5648.63,5648.64,5635,5635.28,10.27,57946.73
2018-10-03 12-AM,BTCEUR,5646,5648.64,5633,5648.63,6.62,37321.14
2018-10-02 11-PM,BTCEUR,5676.34,5676.34,5644,5646,13.67,77405.52
2018-10-02 10-PM,BTCEUR,5668.22,5680,5668.22,5676.34,22.62,128333.39
2018-10-02 09-PM,BTCEUR,5668.05,5674.14,5664,5668.22,22.07,125096.36
2018-10-02 08-PM,BTCEUR,5670.01,5682.25,5668.04,5668.05,21.13,119940.76
2018-10-02 07-PM,BTCEUR,5675.57,5683.57,5668,5670.01,36.6,207704.56
2018-10-02 06-PM,BTCEUR,5645,5678.32,5644.99,5675.57,27.11,153462.26
2018-10-02 05-PM,BTCEUR,5650.09,5653.45,5616.66,5645,47.78,269434.91
2018-10-02 04-PM,BTCEUR,5666.16,5666.16,5638.08,5650.09,44.03,248818.1
2018-10-02 03-PM,BTCEUR,5666.01,5666.69,5650,5666.16,38.48,217741.73
2018-10-02 02-PM,BTCEUR,5689.13,5693.14,5666,5666.01,56.74,321960.74
2018-10-02 01-PM,BTCEUR,5690.88,5694.23,5675.87,5689.13,33.0,187639.0
2018-10-02 12-PM,BTCEUR,5690.03,5700,5677.15,5690.88,44.68,254216.14
2018-10-02 11-AM,BTCEUR,5700.01,5701.38,5690,5690.03,23.02,131189.1
2018-10-02 10-AM,BTCEUR,5700.01,5707.2,5680,5700.01,48.73,277601.59
2018-10-02 09-AM,BTCEUR,5709.72,5710.16,5700,5700.01,31.62,180499.32
2018-10-02 08-AM,BTCEUR,5703.02,5709.99,5703.02,5709.72,18.77,107104.4
2018-10-02 07-AM,BTCEUR,5703,5703.02,5702.99,5703.02,12.5,71284.35
2018-10-02 06-AM,BTCEUR,5709.28,5710,5703,5703,12.07,68891.03
2018-10-02 05-AM,BTCEUR,5698.5,5710,5698.5,5709.28,14.35,81840.7
2018-10-02 04-AM,BTCEUR,5695.63,5699.17,5695.62,5698.5,3.6,20506.18
2018-10-02 03-AM,BTCEUR,5695.63,5699.21,5695.62,5695.63,1.25,7105.49
2018-10-02 02-AM,BTCEUR,5698.45,5702.31,5695.08,5695.63,6.47,36891.27
2018-10-02 01-AM,BTCEUR,5682.45,5710,5681.35,5698.45,20.19,115109.92
2018-10-02 12-AM,BTCEUR,5687.45,5691,5670.27,5682.45,23.06,131060.01
2018-10-01 11-PM,BTCEUR,5687.46,5689.75,5675.51,5687.45,10.26,58315.83
2018-10-01 10-PM,BTCEUR,5697.68,5697.68,5687.45,5687.46,13.48,76735.69
2018-10-01 09-PM,BTCEUR,5682.71,5708,5670,5697.68,38.54,219391.24
2018-10-01 08-PM,BTCEUR,5680.1,5688.95,5678,5682.71,28.95,164557.35
2018-10-01 07-PM,BTCEUR,5686.99,5688.8,5666,5680.1,24.45,138835.33
2018-10-01 06-PM,BTCEUR,5693.4,5695,5670.81,5686.99,37.31,212199.45
2018-10-01 05-PM,BTCEUR,5683.66,5693.4,5680,5693.4,43.29,246107.31
2018-10-01 04-PM,BTCEUR,5663.99,5683.66,5659,5683.66,46.72,264916.29
2018-10-01 03-PM,BTCEUR,5663.45,5664,5663.24,5663.99,22.72,128696.43
2018-10-01 02-PM,BTCEUR,5658.01,5663.45,5615,5663.45,117.07,660703.82
2018-10-01 01-PM,BTCEUR,5688.55,5699,5658,5658.01,55.87,317504.88
2018-10-01 12-PM,BTCEUR,5675.68,5694.56,5656.05,5688.55,41.52,235860.05
2018-10-01 11-AM,BTCEUR,5673,5687.24,5650.07,5675.68,50.22,284811.22
2018-10-01 10-AM,BTCEUR,5695.01,5700,5673,5673,49.02,278938.09
2018-10-01 09-AM,BTCEUR,5704.87,5711.19,5693.25,5695.01,37.51,213778.42
2018-10-01 08-AM,BTCEUR,5694.93,5706,5692.82,5704.87,29.21,166455.1
2018-10-01 07-AM,BTCEUR,5714.71,5715.63,5694.92,5694.93,28.33,161767.18
2018-10-01 06-AM,BTCEUR,5709.52,5721,5688.27,5714.71,24.05,137307.8
2018-10-01 05-AM,BTCEUR,5710.79,5712.74,5700.08,5709.52,13.93,79496.08
2018-10-01 04-AM,BTCEUR,5725.54,5725.54,5700.66,5710.79,17.48,99950.48
2018-10-01 03-AM,BTCEUR,5719.68,5725.54,5719.67,5725.54,5.14,29431.83
2018-10-01 02-AM,BTCEUR,5716.15,5719.81,5716.14,5719.68,2.32,13260.29
2018-10-01 01-AM,BTCEUR,5719.01,5725,5716.14,5716.15,7.17,41002.22
2018-10-01 12-AM,BTCEUR,5703.31,5719.01,5700.54,5719.01,10.51,60022.09
2018-09-30 11-PM,BTCEUR,5709,5711.01,5699.03,5703.31,20.12,114872.01
2018-09-30 10-PM,BTCEUR,5660.04,5709,5660.04,5709,27.25,154891.96
2018-09-30 09-PM,BTCEUR,5653,5660.04,5645.17,5660.04,17.03,96317.67
2018-09-30 08-PM,BTCEUR,5693.31,5693.31,5640,5653,65.31,369627.05
2018-09-30 07-PM,BTCEUR,5706.16,5709,5692.23,5693.31,26.74,152452.43
2018-09-30 06-PM,BTCEUR,5700.28,5715.99,5700.27,5706.16,10.87,62064.3
2018-09-30 05-PM,BTCEUR,5704.57,5709.18,5695.64,5700.28,13.49,76937.59
2018-09-30 04-PM,BTCEUR,5687,5705,5680,5704.57,14.62,83318.19
2018-09-30 03-PM,BTCEUR,5724.87,5729.97,5680,5687,37.33,213228.39
2018-09-30 02-PM,BTCEUR,5715.47,5729.5,5710.7,5724.87,21.93,125387.65
2018-09-30 01-PM,BTCEUR,5714.89,5721,5711,5715.47,19.5,111443.38
