Created on 01-28-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-10-03 11-PM,LTCEUR,49.67,49.79,49.67,49.68,1.54,76.61
2018-10-03 10-PM,LTCEUR,49.56,49.82,49.35,49.67,336.69,16666.6
2018-10-03 09-PM,LTCEUR,49.78,49.94,49.47,49.56,1700.47,84473.4
2018-10-03 08-PM,LTCEUR,49.76,49.81,49.51,49.78,470.55,23394.51
2018-10-03 07-PM,LTCEUR,49.8,49.81,49.6,49.76,637.63,31705.49
2018-10-03 06-PM,LTCEUR,49.8,49.81,49.31,49.8,907.51,45017.18
2018-10-03 05-PM,LTCEUR,49.92,49.92,49.8,49.8,704.82,35128.44
2018-10-03 04-PM,LTCEUR,50.41,50.46,49.92,49.92,494.37,24774.94
2018-10-03 03-PM,LTCEUR,50.41,50.61,50.36,50.41,689.8,34814.36
2018-10-03 02-PM,LTCEUR,50.01,50.45,49.89,50.41,830.32,41710.07
2018-10-03 01-PM,LTCEUR,49.8,50.12,49.73,50.01,643.25,32065.51
2018-10-03 12-PM,LTCEUR,50.12,50.12,49.77,49.8,708.81,35369.87
2018-10-03 11-AM,LTCEUR,50.21,50.24,49.77,50.12,1332.68,66704.95
2018-10-03 10-AM,LTCEUR,49.99,50.32,49.99,50.21,1128.52,56651.26
2018-10-03 09-AM,LTCEUR,49.89,50.04,49.89,49.99,265.18,13252.96
2018-10-03 08-AM,LTCEUR,50.04,50.08,49.67,49.89,579.59,28913.56
2018-10-03 07-AM,LTCEUR,49.77,50.09,49.73,50.04,989.43,49405.36
2018-10-03 06-AM,LTCEUR,50,50.04,49.6,49.77,1616.53,80482.76
2018-10-03 05-AM,LTCEUR,49.83,50.35,49.83,50,1692.63,84669.18
2018-10-03 04-AM,LTCEUR,49.5,49.83,49.09,49.83,1181.61,58493.4
2018-10-03 03-AM,LTCEUR,49.81,49.81,49,49.5,803.8,39709.83
2018-10-03 02-AM,LTCEUR,50.83,50.85,49.6,49.81,2993.71,150804.3
2018-10-03 01-AM,LTCEUR,51.49,51.49,50.83,50.83,349.48,17845.09
2018-10-03 12-AM,LTCEUR,51.61,51.61,51.29,51.49,142.21,7315.26
2018-10-02 11-PM,LTCEUR,51.89,51.89,51.57,51.61,243.66,12581.43
2018-10-02 10-PM,LTCEUR,51.8,51.92,51.68,51.89,248.66,12894.96
2018-10-02 09-PM,LTCEUR,51.86,51.86,51.6,51.8,621.31,32184.9
2018-10-02 08-PM,LTCEUR,51.7,51.95,51.69,51.86,785.72,40732.49
2018-10-02 07-PM,LTCEUR,51.69,51.8,51.69,51.7,726.26,37585.42
2018-10-02 06-PM,LTCEUR,51.71,51.81,51.55,51.69,1089.7,56282.04
2018-10-02 05-PM,LTCEUR,51.81,51.82,51.13,51.71,1266.91,65297.78
2018-10-02 04-PM,LTCEUR,51.99,52.01,51.73,51.81,427.04,22148.28
2018-10-02 03-PM,LTCEUR,52.03,52.07,51.89,51.99,661.1,34349.89
2018-10-02 02-PM,LTCEUR,52.36,52.36,52.02,52.03,340.08,17737.59
2018-10-02 01-PM,LTCEUR,52.16,52.36,52,52.36,773.34,40298.79
2018-10-02 12-PM,LTCEUR,51.93,52.32,51.85,52.16,1182.59,61513.96
2018-10-02 11-AM,LTCEUR,52.48,52.49,51.93,51.93,1500.64,78201.16
2018-10-02 10-AM,LTCEUR,52.87,52.87,52.4,52.48,1554.21,81822.85
2018-10-02 09-AM,LTCEUR,53.06,53.29,52.86,52.87,1029.38,54702.16
2018-10-02 08-AM,LTCEUR,52.91,53.13,52.91,53.06,204.42,10844.68
2018-10-02 07-AM,LTCEUR,53.14,53.14,52.86,52.91,268.48,14228.11
2018-10-02 06-AM,LTCEUR,52.91,53.14,52.91,53.14,386.99,20510.73
2018-10-02 05-AM,LTCEUR,52.86,52.95,52.86,52.91,83.03,4392.76
2018-10-02 04-AM,LTCEUR,52.87,52.87,52.85,52.86,14.39,760.62
2018-10-02 03-AM,LTCEUR,52.95,53,52.85,52.87,1223.96,64833.18
2018-10-02 02-AM,LTCEUR,52.28,52.95,52.22,52.95,575.21,30201.32
2018-10-02 01-AM,LTCEUR,52.1,52.28,52.05,52.28,208.6,10899.66
