Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume USD
2018-06-11 04-AM,BCHUSD,959,961.08,954,957.92,71.46,68447.88
2018-06-11 03-AM,BCHUSD,966.19,968.09,951.82,959,228.0,219041.28
2018-06-11 02-AM,BCHUSD,942.43,978.54,942.33,966.19,366.5,354353.44
2018-06-11 01-AM,BCHUSD,927.03,944.79,924.81,942.43,105.3,98385.06
2018-06-11 12-AM,BCHUSD,939.91,941.93,923.84,927.03,150.86,140406.27
2018-06-10 11-PM,BCHUSD,908.99,944.16,908.18,939.91,277.47,257791.26
2018-06-10 10-PM,BCHUSD,928,928.72,907.24,908.99,399.03,366011.93
2018-06-10 09-PM,BCHUSD,953.34,955,904.2,928,526.85,489076.98
2018-06-10 08-PM,BCHUSD,979.89,980.95,950.65,953.34,213.47,205295.15
2018-06-10 07-PM,BCHUSD,977.79,982.79,968.28,979.89,235.64,229853.64
2018-06-10 06-PM,BCHUSD,974.99,986.79,968.51,977.79,742.83,725187.61
2018-06-10 05-PM,BCHUSD,1016.69,1017.43,970.62,974.99,1003.56,989422.43
2018-06-10 04-PM,BCHUSD,1028.96,1028.96,1016.69,1016.69,72.03,73696.42
2018-06-10 03-PM,BCHUSD,1026.31,1032.09,1021.36,1028.96,340.51,349353.8
2018-06-10 02-PM,BCHUSD,1039.84,1039.84,1025.09,1026.31,101.15,104441.48
2018-06-10 01-PM,BCHUSD,1023.65,1042.17,1016.46,1039.84,631.18,649279.88
2018-06-10 12-PM,BCHUSD,1024.32,1029.79,1020.61,1023.65,185.62,190740.35
2018-06-10 11-AM,BCHUSD,1025.47,1028.79,1021.58,1024.32,68.35,70112.58
2018-06-10 10-AM,BCHUSD,1023.84,1025.5,1013.61,1025.47,284.65,289778.99
2018-06-10 09-AM,BCHUSD,1020.02,1026.79,1018.11,1023.84,229.03,234676.25
2018-06-10 08-AM,BCHUSD,1009,1022.79,1007.63,1020.02,502.58,508683.98
2018-06-10 07-AM,BCHUSD,1043.73,1043.89,1008.37,1009,512.12,528539.36
2018-06-10 06-AM,BCHUSD,1040.07,1044.01,1034.07,1043.73,189.34,197343.16
2018-06-10 05-AM,BCHUSD,1034.43,1040.79,1033.97,1040.07,89.81,93192.84
2018-06-10 04-AM,BCHUSD,1034.19,1043.76,1032.22,1034.43,124.42,129305.8
2018-06-10 03-AM,BCHUSD,1040.95,1044.77,1033.63,1034.19,118.0,122868.8
2018-06-10 02-AM,BCHUSD,1046.8,1046.8,1035.43,1040.95,155.7,161882.06
2018-06-10 01-AM,BCHUSD,1039.07,1054.79,1035.38,1046.8,347.23,362775.34
2018-06-10 12-AM,BCHUSD,1085.44,1086.89,1036.83,1039.07,961.32,1020897.85
2018-06-09 11-PM,BCHUSD,1102.7,1103.84,1083.13,1085.44,540.14,590120.4
2018-06-09 10-PM,BCHUSD,1105.69,1107.92,1098.53,1102.7,404.7,446412.89
2018-06-09 09-PM,BCHUSD,1108.22,1109.11,1105.26,1105.69,66.97,74184.27
2018-06-09 08-PM,BCHUSD,1105.74,1108.71,1104.28,1108.22,95.6,105802.89
2018-06-09 07-PM,BCHUSD,1104.11,1107.78,1101.27,1105.74,99.51,109792.13
2018-06-09 06-PM,BCHUSD,1106.88,1107.73,1100.52,1104.11,67.79,74831.02
2018-06-09 05-PM,BCHUSD,1105.69,1110.08,1102.15,1106.88,95.06,105106.52
2018-06-09 04-PM,BCHUSD,1117.63,1117.63,1104.7,1105.69,281.28,312264.41
2018-06-09 03-PM,BCHUSD,1107.19,1121.32,1106.72,1117.63,248.39,277151.52
2018-06-09 02-PM,BCHUSD,1102.96,1116.16,1100,1107.19,303.26,337389.19
2018-06-09 01-PM,BCHUSD,1113.41,1114.54,1099.9,1102.96,599.74,664064.4
