Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTG,Volume ETH
2018-06-15,BTGETH,0.06577,0.06836,0.06535,0.06815,3951.41,263.83
2018-06-14,BTGETH,0.06801,0.07017,0.06422,0.06577,7023.33,476.82
2018-06-13,BTGETH,0.06945,0.07169,0.06685,0.06801,9066.68,625.57
2018-06-12,BTGETH,0.06964,0.0719,0.06827,0.06945,8510.13,597.21
2018-06-11,BTGETH,0.06845,0.071,0.06781,0.06964,6597.08,457.33
2018-06-10,BTGETH,0.07295,0.07376,0.06754,0.06845,8982.75,639.01
2018-06-09,BTGETH,0.07283,0.0733,0.07221,0.07295,7809.72,567.29
2018-06-08,BTGETH,0.07431,0.0744,0.07253,0.07283,8422.06,616.93
2018-06-07,BTGETH,0.07413,0.07486,0.07368,0.07431,6798.76,505.3
2018-06-06,BTGETH,0.07508,0.07526,0.07343,0.07413,6152.24,456.63
2018-06-05,BTGETH,0.07441,0.07601,0.07403,0.07508,6899.84,518.82
2018-06-04,BTGETH,0.07577,0.07654,0.07253,0.07441,3437.98,256.17
2018-06-03,BTGETH,0.07695,0.07698,0.07406,0.07577,2591.04,195.96
2018-06-02,BTGETH,0.07563,0.07733,0.07483,0.07695,1947.55,148.55
2018-06-01,BTGETH,0.07661,0.07852,0.07425,0.07563,1982.99,150.31
2018-05-31,BTGETH,0.07529,0.079,0.07327,0.07661,2421.83,183.23
2018-05-30,BTGETH,0.07632,0.07834,0.07503,0.07529,2337.94,178.37
2018-05-29,BTGETH,0.07862,0.07878,0.07512,0.07632,2202.6,169.31
2018-05-28,BTGETH,0.07732,0.08188,0.07701,0.07862,2734.1,214.6
2018-05-27,BTGETH,0.07525,0.07846,0.07462,0.07732,1936.25,148.0
2018-05-26,BTGETH,0.07688,0.07754,0.07435,0.07525,2054.66,155.36
2018-05-25,BTGETH,0.07774,0.081,0.076,0.07688,1125.78,87.32
2018-05-24,BTGETH,0.0775,0.07996,0.07676,0.07774,2400.32,188.33
2018-05-23,BTGETH,0.07802,0.07866,0.07594,0.0775,2173.43,168.05
2018-05-22,BTGETH,0.07667,0.0793,0.07516,0.07802,2068.78,158.65
2018-05-21,BTGETH,0.07811,0.07838,0.07631,0.07667,1797.93,138.56
2018-05-20,BTGETH,0.07601,0.07847,0.07572,0.07811,1973.38,151.74
2018-05-19,BTGETH,0.07862,0.07902,0.07518,0.07601,5392.71,413.68
2018-05-18,BTGETH,0.07897,0.0795,0.07728,0.07862,4047.34,316.39
2018-05-17,BTGETH,0.08481,0.08481,0.07803,0.07897,1223.74,98.1
2018-05-16,BTGETH,0.08162,0.08505,0.07902,0.08481,1595.38,128.75
2018-05-15,BTGETH,0.07955,0.08887,0.07913,0.08162,1421.77,117.08
2018-05-14,BTGETH,0.08085,0.08205,0.07824,0.07955,1469.82,117.28
2018-05-13,BTGETH,0.08277,0.08307,0.07988,0.08085,1361.8,111.05
2018-05-12,BTGETH,0.08348,0.08547,0.08158,0.08277,1433.06,119.37
2018-05-11,BTGETH,0.08861,0.0889,0.08129,0.08348,1566.47,133.16
2018-05-10,BTGETH,0.09246,0.09362,0.08857,0.08861,1421.12,128.87
2018-05-09,BTGETH,0.09483,0.0953,0.09105,0.09246,1537.42,143.07
2018-05-08,BTGETH,0.09664,0.09815,0.09416,0.09483,1277.02,122.8
