Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTG,Volume USD
2018-06-11 04-AM,BTGUSD,36.74,36.85,36.55,36.85,136.83,5017.95
2018-06-11 03-AM,BTGUSD,36.38,37.06,36.37,36.74,1514.87,55694.01
2018-06-11 02-AM,BTGUSD,35.6,36.52,35.6,36.38,931.81,33687.37
2018-06-11 01-AM,BTGUSD,35.55,35.6,35.2,35.6,379.16,13405.96
2018-06-11 12-AM,BTGUSD,36.16,36.26,35.51,35.55,1224.48,43876.01
2018-06-10 11-PM,BTGUSD,35.54,36.31,35.4,36.16,1205.3,43054.49
2018-06-10 10-PM,BTGUSD,36.28,36.35,35.37,35.54,1917.28,68686.54
2018-06-10 09-PM,BTGUSD,36.69,36.9,36.13,36.28,1783.96,65146.44
2018-06-10 08-PM,BTGUSD,36.88,36.94,36.61,36.69,390.72,14365.38
2018-06-10 07-PM,BTGUSD,37.08,37.54,36.54,36.88,2457.46,90529.17
2018-06-10 06-PM,BTGUSD,37.83,37.83,36.81,37.08,2183.66,81515.55
2018-06-10 05-PM,BTGUSD,40.61,40.68,37.83,37.83,6152.19,241131.45
2018-06-10 04-PM,BTGUSD,40.73,40.8,40.55,40.61,639.97,25997.7
2018-06-10 03-PM,BTGUSD,40.81,40.96,40.6,40.73,641.16,26112.53
2018-06-10 02-PM,BTGUSD,41.04,41.11,40.77,40.81,607.71,24853.63
2018-06-10 01-PM,BTGUSD,40.74,41.12,40.66,41.04,1933.52,78980.59
2018-06-10 12-PM,BTGUSD,41,41.16,40.74,40.74,1488.6,61037.79
2018-06-10 11-AM,BTGUSD,41.01,41.11,40.93,41,384.51,15777.32
2018-06-10 10-AM,BTGUSD,40.92,41.17,40.8,41.01,1303.07,53392.78
2018-06-10 09-AM,BTGUSD,40.72,40.97,40.67,40.92,719.57,29385.19
2018-06-10 08-AM,BTGUSD,40.78,40.94,40.63,40.72,1509.04,61590.36
2018-06-10 07-AM,BTGUSD,41.25,41.25,40.78,40.78,1993.49,81687.8
2018-06-10 06-AM,BTGUSD,41.28,41.29,41.06,41.25,1293.41,53226.32
2018-06-10 05-AM,BTGUSD,41.35,41.41,41.03,41.28,305.17,12594.42
2018-06-10 04-AM,BTGUSD,41.6,41.66,41.24,41.35,937.57,38864.15
2018-06-10 03-AM,BTGUSD,41.78,41.82,41.44,41.6,943.99,39292.4
2018-06-10 02-AM,BTGUSD,42.03,42.03,41.74,41.78,1034.39,43286.26
2018-06-10 01-AM,BTGUSD,42.03,42.2,41.89,42.03,1459.32,61367.46
2018-06-10 12-AM,BTGUSD,43.35,43.4,42.03,42.03,3113.11,133333.18
2018-06-09 11-PM,BTGUSD,43.6,43.72,43.22,43.35,1958.77,84972.88
2018-06-09 10-PM,BTGUSD,43.72,43.74,43.56,43.6,2359.07,103027.21
2018-06-09 09-PM,BTGUSD,43.74,43.77,43.69,43.72,693.02,30310.19
2018-06-09 08-PM,BTGUSD,43.73,43.78,43.69,43.74,116.48,5093.0
2018-06-09 07-PM,BTGUSD,43.7,43.75,43.61,43.73,741.77,32410.75
2018-06-09 06-PM,BTGUSD,43.66,43.7,43.49,43.7,1175.66,51252.79
2018-06-09 05-PM,BTGUSD,43.66,43.75,43.62,43.66,666.69,29116.01
2018-06-09 04-PM,BTGUSD,43.69,43.72,43.62,43.66,633.57,27680.04
2018-06-09 03-PM,BTGUSD,43.47,43.75,43.47,43.69,1147.52,50028.66
2018-06-09 02-PM,BTGUSD,43.72,43.78,43.36,43.47,659.49,28794.98
2018-06-09 01-PM,BTGUSD,43.79,43.88,43.63,43.72,2123.92,92896.2
2018-06-09 12-PM,BTGUSD,43.8,43.94,43.63,43.79,1956.97,85726.08
2018-06-09 11-AM,BTGUSD,43.99,43.99,43.8,43.8,551.09,24196.71
2018-06-09 10-AM,BTGUSD,43.81,44.02,43.79,43.99,498.25,21881.62
2018-06-09 09-AM,BTGUSD,43.76,43.9,43.66,43.81,2012.6,88172.53
2018-06-09 08-AM,BTGUSD,43.89,43.93,43.76,43.76,772.39,33865.63
2018-06-09 07-AM,BTGUSD,43.99,44.04,43.88,43.89,517.15,22739.37
2018-06-09 06-AM,BTGUSD,43.99,44.05,43.93,43.99,556.89,24508.31
2018-06-09 05-AM,BTGUSD,44.02,44.07,43.91,43.99,834.88,36727.49
2018-06-09 04-AM,BTGUSD,43.95,44.07,43.93,44.02,176.19,7752.18
2018-06-09 03-AM,BTGUSD,43.94,43.99,43.79,43.95,680.82,29889.58
2018-06-09 02-AM,BTGUSD,43.75,44.05,43.75,43.94,1499.98,65861.87
2018-06-09 01-AM,BTGUSD,43.78,43.83,43.7,43.75,708.63,30982.62
2018-06-09 12-AM,BTGUSD,43.68,43.83,43.6,43.78,678.19,29666.28
2018-06-08 11-PM,BTGUSD,43.99,44.14,43.65,43.68,1082.06,47461.88
2018-06-08 10-PM,BTGUSD,44.1,44.16,43.96,43.99,380.82,16782.54
2018-06-08 09-PM,BTGUSD,43.97,44.14,43.9,44.1,1156.91,51001.13
2018-06-08 08-PM,BTGUSD,43.56,44.13,43.56,43.97,834.57,36665.28
2018-06-08 07-PM,BTGUSD,43.82,43.89,43.55,43.56,973.32,42471.09
2018-06-08 06-PM,BTGUSD,44.31,44.39,43.82,43.82,1126.12,49502.8
2018-06-08 05-PM,BTGUSD,44.2,44.33,44.16,44.31,567.75,25127.56
2018-06-08 04-PM,BTGUSD,43.89,44.31,43.87,44.2,2612.74,115125.81
2018-06-08 03-PM,BTGUSD,43.88,43.89,43.58,43.89,585.79,25667.17
2018-06-08 02-PM,BTGUSD,43.64,43.88,43.64,43.88,772.95,33841.35
2018-06-08 01-PM,BTGUSD,43.42,43.72,43.27,43.64,1110.29,48354.36
2018-06-08 12-PM,BTGUSD,43.59,43.63,43.33,43.42,501.19,21757.45
2018-06-08 11-AM,BTGUSD,43.47,43.59,43.28,43.59,1579.25,68574.79
2018-06-08 10-AM,BTGUSD,44,44,43.47,43.47,964.97,42212.04
2018-06-08 09-AM,BTGUSD,43.84,44.03,43.65,44,1402.43,61565.4
2018-06-08 08-AM,BTGUSD,44.09,44.12,43.72,43.84,1949.9,85552.92
2018-06-08 07-AM,BTGUSD,44.21,44.24,44.08,44.09,743.09,32796.8
2018-06-08 06-AM,BTGUSD,44.17,44.23,44.09,44.21,973.66,43001.9
2018-06-08 05-AM,BTGUSD,44.01,44.26,43.99,44.17,879.76,38804.0
2018-06-08 04-AM,BTGUSD,44.46,44.46,43.88,44.01,1891.28,83434.88
2018-06-08 03-AM,BTGUSD,44.73,44.79,44.44,44.46,1720.38,76811.27
2018-06-08 02-AM,BTGUSD,44.9,44.9,44.73,44.73,687.57,30847.78
2018-06-08 01-AM,BTGUSD,44.97,44.99,44.86,44.9,384.09,17254.69
2018-06-08 12-AM,BTGUSD,44.97,45.01,44.94,44.97,474.12,21321.64
2018-06-07 11-PM,BTGUSD,44.86,44.97,44.81,44.97,853.31,38330.06
2018-06-07 10-PM,BTGUSD,44.98,45.02,44.77,44.86,553.97,24859.42
2018-06-07 09-PM,BTGUSD,45.04,45.04,44.88,44.98,463.14,20821.87
2018-06-07 08-PM,BTGUSD,45.12,45.15,44.86,45.04,1504.08,67610.09
2018-06-07 07-PM,BTGUSD,45.09,45.13,45.03,45.12,287.4,12957.91
2018-06-07 06-PM,BTGUSD,45.24,45.27,45.03,45.09,730.56,32928.12
2018-06-07 05-PM,BTGUSD,45.37,45.42,45.14,45.24,1063.93,48131.85
2018-06-07 04-PM,BTGUSD,45.19,45.43,45.19,45.37,1553.62,70417.42
2018-06-07 03-PM,BTGUSD,45.18,45.34,45.01,45.19,815.94,36847.0
2018-06-07 02-PM,BTGUSD,45.15,45.27,44.98,45.18,1831.87,82630.64
2018-06-07 01-PM,BTGUSD,45.25,45.4,45.07,45.15,1010.86,45768.15
2018-06-07 12-PM,BTGUSD,45.08,45.28,45.03,45.25,1089.33,49185.78
2018-06-07 11-AM,BTGUSD,45.18,45.3,45.06,45.08,2961.32,133830.86
2018-06-07 10-AM,BTGUSD,45.28,45.35,45.18,45.18,740.49,33531.11
2018-06-07 09-AM,BTGUSD,45.15,45.3,45.07,45.28,1195.75,54025.27
2018-06-07 08-AM,BTGUSD,45.28,45.4,45.11,45.15,1208.15,54670.78
2018-06-07 07-AM,BTGUSD,45.34,45.4,45.28,45.28,355.48,16122.92
2018-06-07 06-AM,BTGUSD,45.43,45.43,45.17,45.34,1018.49,46141.3
2018-06-07 05-AM,BTGUSD,45.23,45.63,45.23,45.43,1370.55,62271.76
2018-06-07 04-AM,BTGUSD,45.3,45.36,45.2,45.23,486.05,22001.49
2018-06-07 03-AM,BTGUSD,45.37,45.42,45.3,45.3,359.97,16318.92
2018-06-07 02-AM,BTGUSD,45.63,45.67,45.28,45.37,476.09,21621.3
2018-06-07 01-AM,BTGUSD,45.48,45.85,45.43,45.63,2154.15,98444.27
2018-06-07 12-AM,BTGUSD,44.97,45.5,44.95,45.48,1543.01,69937.64
