Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HETH
2018-06-15,DASHETH,0.5163,0.5435,0.5095,0.5301,937.72,493.12
2018-06-14,DASHETH,0.5144,0.5481,0.5113,0.5163,1541.05,814.61
2018-06-13,DASHETH,0.5261,0.5398,0.5141,0.5144,1547.93,814.74
2018-06-12,DASHETH,0.5084,0.5416,0.4987,0.5261,1529.91,797.43
2018-06-11,DASHETH,0.5137,0.53,0.4988,0.5084,1256.29,640.83
2018-06-10,DASHETH,0.5026,0.5322,0.4936,0.5137,1831.38,932.31
2018-06-09,DASHETH,0.5174,0.52,0.4899,0.5026,1413.76,714.7
2018-06-08,DASHETH,0.5215,0.5253,0.5064,0.5174,1382.38,713.92
2018-06-07,DASHETH,0.521,0.5245,0.5134,0.5215,1763.3,915.34
2018-06-06,DASHETH,0.5234,0.5284,0.5155,0.521,1379.02,718.54
2018-06-05,DASHETH,0.5346,0.5394,0.5131,0.5234,1813.13,957.06
2018-06-04,DASHETH,0.5334,0.5398,0.5279,0.5346,900.72,481.09
2018-06-03,DASHETH,0.5452,0.5516,0.5293,0.5334,702.88,380.11
2018-06-02,DASHETH,0.5453,0.5538,0.5345,0.5452,575.82,314.08
2018-06-01,DASHETH,0.5288,0.5463,0.5241,0.5453,625.64,333.41
2018-05-31,DASHETH,0.5456,0.5489,0.5267,0.5288,698.57,376.1
2018-05-30,DASHETH,0.5635,0.5644,0.5373,0.5456,674.6,371.94
2018-05-29,DASHETH,0.5574,0.581,0.5421,0.5635,726.05,403.1
2018-05-28,DASHETH,0.5513,0.5871,0.5506,0.5574,718.65,407.17
2018-05-27,DASHETH,0.5486,0.5649,0.5313,0.5513,2102.23,1151.7
2018-05-26,DASHETH,0.5782,0.583,0.5428,0.5486,3631.56,2035.59
2018-05-25,DASHETH,0.5728,0.5884,0.5536,0.5782,3343.14,1905.87
2018-05-24,DASHETH,0.5872,0.5934,0.568,0.5728,3214.7,1863.46
2018-05-23,DASHETH,0.5549,0.5916,0.5483,0.5872,3522.6,1986.88
2018-05-22,DASHETH,0.5503,0.5598,0.5392,0.5549,3377.89,1852.23
2018-05-21,DASHETH,0.562,0.5631,0.5502,0.5503,3408.96,1901.07
2018-05-20,DASHETH,0.5535,0.5629,0.5445,0.562,3152.94,1743.93
2018-05-19,DASHETH,0.5697,0.5767,0.549,0.5535,2900.7,1632.13
2018-05-18,DASHETH,0.5778,0.5809,0.5565,0.5697,710.21,404.34
2018-05-17,DASHETH,0.585,0.5909,0.5697,0.5778,318.38,184.76
2018-05-16,DASHETH,0.6052,0.6056,0.5773,0.585,334.74,196.26
2018-05-15,DASHETH,0.5917,0.6177,0.583,0.6052,308.66,184.86
2018-05-14,DASHETH,0.57,0.62,0.5529,0.5917,389.39,225.11
2018-05-13,DASHETH,0.5906,0.5928,0.5645,0.57,293.29,169.28
2018-05-12,DASHETH,0.5777,0.5993,0.5742,0.5906,369.03,216.55
2018-05-11,DASHETH,0.5768,0.6098,0.565,0.5777,369.01,213.78
2018-05-10,DASHETH,0.5919,0.6067,0.5768,0.5768,290.53,172.02
2018-05-09,DASHETH,0.5915,0.5986,0.5717,0.5919,321.14,189.12
2018-05-08,DASHETH,0.6092,0.6207,0.5844,0.5915,380.17,229.52
2018-05-07,DASHETH,0.6119,0.6601,0.6036,0.6092,370.59,230.68
2018-05-06,DASHETH,0.6217,0.6335,0.6119,0.6119,316.77,197.38
2018-05-05,DASHETH,0.6228,0.6282,0.5991,0.6217,332.77,203.88
2018-05-04,DASHETH,0.6436,0.6475,0.6068,0.6228,347.3,217.11
2018-05-03,DASHETH,0.707,0.711,0.6388,0.6436,346.75,233.0
2018-05-02,DASHETH,0.7126,0.7135,0.6842,0.707,111.15,77.73
2018-05-01,DASHETH,0.707,0.7495,0.6899,0.7126,257.48,183.12
2018-04-30,DASHETH,0.7246,0.7277,0.6898,0.707,235.43,166.66
2018-04-29,DASHETH,0.7283,0.7324,0.71,0.7246,234.33,168.84
2018-04-28,DASHETH,0.7321,0.7356,0.7144,0.7283,233.97,169.69
2018-04-27,DASHETH,0.7629,0.7671,0.7129,0.7321,260.22,191.44
2018-04-26,DASHETH,0.7493,0.7674,0.7307,0.7629,363.44,272.63
