Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HUSD
2018-06-11,DASHUSD,274.46,275.95,273.25,273.25,15.12,4160.83
2018-06-09,DASHUSD,310.17,312.32,296.87,300.4,3593.55,1088510.33
2018-06-08,DASHUSD,315.96,317.37,302.91,310.17,2892.42,893067.33
2018-06-07,DASHUSD,315.3,319.63,313.46,315.96,10380.94,3280647.24
2018-06-06,DASHUSD,318.97,320.03,308,315.3,9700.4,3050522.96
2018-06-05,DASHUSD,318.28,322.35,308.42,318.97,10723.2,3378695.3
2018-06-04,DASHUSD,330.39,333.83,312.57,318.28,5697.86,1814462.5
2018-06-03,DASHUSD,321.82,335.61,321.8,330.39,1740.99,576121.27
2018-06-02,DASHUSD,316.79,327.87,310.25,321.82,3866.05,1235837.77
2018-06-01,DASHUSD,305.81,316.92,302.52,316.79,2710.13,828639.95
2018-05-31,DASHUSD,305.47,315,300.47,305.81,4474.72,1376642.02
2018-05-30,DASHUSD,317.88,321.78,296.9,305.47,7239.43,2258625.88
2018-05-29,DASHUSD,287.93,323.95,285.02,317.88,8045.3,2415131.04
2018-05-28,DASHUSD,317.23,322.85,286.08,287.93,7097.9,2197296.67
2018-05-27,DASHUSD,322.69,323.47,313.53,317.23,8391.26,2675765.55
2018-05-26,DASHUSD,340.2,341.72,322.69,322.69,9391.48,3149954.73
2018-05-25,DASHUSD,345.47,348.28,329.2,340.2,10174.21,3452076.48
2018-05-24,DASHUSD,340.99,349.93,327.07,345.47,9292.25,3165158.17
2018-05-23,DASHUSD,358.41,359.26,332.81,340.99,9585.84,3333021.21
2018-05-22,DASHUSD,385.06,386.81,357.1,358.41,9507.51,3561244.19
2018-05-21,DASHUSD,401.76,404.07,383.47,385.06,8786.79,3460682.69
2018-05-20,DASHUSD,384.82,404.31,383.25,401.76,9323.51,3665879.19
2018-05-19,DASHUSD,394.32,404.11,383.43,384.82,9439.11,3712644.48
2018-05-18,DASHUSD,387.77,396.16,373.36,394.32,5983.92,2307923.09
2018-05-17,DASHUSD,412.8,417.9,387.02,387.77,6930.24,2800069.73
2018-05-16,DASHUSD,428.27,428.42,396.87,412.8,4797.27,1959880.02
2018-05-15,DASHUSD,433.42,453.84,423.12,428.27,6761.89,2953311.82
2018-05-14,DASHUSD,417.87,454.62,389,433.42,7907.56,3345168.89
2018-05-13,DASHUSD,405.03,421.67,392.73,417.87,5124.92,2090508.28
2018-05-12,DASHUSD,393.18,412.96,379.59,405.03,6144.22,2432260.75
2018-05-11,DASHUSD,418.31,438.13,388.78,393.18,6570.81,2686013.12
2018-05-10,DASHUSD,444.08,462.25,418.27,418.31,5693.98,2543207.18
2018-05-09,DASHUSD,444.14,447.12,414.3,444.08,5058.76,2196395.69
2018-05-08,DASHUSD,458.8,468.61,436.01,444.14,5269.69,2373971.27
2018-05-07,DASHUSD,486.56,487.31,446.02,458.8,5725.61,2653960.87
2018-05-06,DASHUSD,511.44,527.04,481.6,486.56,4446.76,2209492.72
2018-05-05,DASHUSD,488.78,513.38,487.81,511.44,5194.75,2591831.95
2018-05-04,DASHUSD,505.36,505.36,480,488.78,5186.51,2554599.96
2018-05-03,DASHUSD,486.7,516.83,483.42,505.36,4879.97,2419858.62
2018-05-02,DASHUSD,478.36,488.99,466.43,486.7,4769.57,2271046.52
2018-05-01,DASHUSD,475.31,487.62,456,478.36,5205.51,2445783.83
2018-04-30,DASHUSD,501.12,505.37,471.61,475.31,5225.67,2538474.47
2018-04-29,DASHUSD,498,511.52,479.64,501.12,5765.21,2848243.49
2018-04-28,DASHUSD,475.79,506.39,475.41,498,4845.17,2384709.4
2018-04-27,DASHUSD,506.34,506.51,474.37,475.79,5018.6,2466235.29
2018-04-26,DASHUSD,467.76,507.1,452.47,506.34,5630.35,2704107.39
2018-04-25,DASHUSD,526.22,531.23,452.83,467.76,5167.22,2511703.37
2018-04-24,DASHUSD,514.95,548.41,514.95,526.22,4709.95,2531997.72
2018-04-23,DASHUSD,480.45,539.17,471.8,514.95,5376.47,2703470.19
2018-04-22,DASHUSD,454.23,494.16,448.18,480.45,4862.75,2292725.21
2018-04-21,DASHUSD,469.86,471.74,432.71,454.23,5056.93,2291638.66
2018-04-20,DASHUSD,444.11,474.22,434.91,469.86,5744.11,2595277.39
2018-04-19,DASHUSD,431.71,446.65,418,444.11,5474.91,2365172.98
2018-04-18,DASHUSD,373.35,432.17,372.02,431.71,6288.02,2504424.7
2018-04-17,DASHUSD,373.18,389.5,368.71,373.35,5554.04,2112098.72
