Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DIM,Volume USD
2018-06-11 04-AM,DIMUSD,0.0056,0.0056,0.0056,0.0056,0.0,0.0
2018-06-11 03-AM,DIMUSD,0.0056,0.0056,0.0056,0.0056,0.0,0.0
2018-06-11 02-AM,DIMUSD,0.0058,0.0058,0.0056,0.0056,400.0,2.24
2018-06-11 01-AM,DIMUSD,0.0058,0.0058,0.0058,0.0058,0.0,0.0
2018-06-11 12-AM,DIMUSD,0.0059,0.0059,0.0057,0.0058,187014.0,1081.05
2018-06-10 11-PM,DIMUSD,0.0056,0.0059,0.0056,0.0059,22035.0,123.47
2018-06-10 10-PM,DIMUSD,0.0057,0.0057,0.0056,0.0056,21576.0,120.83
2018-06-10 09-PM,DIMUSD,0.0057,0.0059,0.0057,0.0057,188563.0,1081.59
2018-06-10 08-PM,DIMUSD,0.0057,0.0058,0.0057,0.0057,52849.0,301.26
2018-06-10 07-PM,DIMUSD,0.0057,0.0059,0.0057,0.0057,9395.0,54.53
2018-06-10 06-PM,DIMUSD,0.0058,0.006,0.0057,0.0057,41672.0,241.46
2018-06-10 05-PM,DIMUSD,0.006,0.006,0.0058,0.0058,52.0,0.3022
2018-06-10 04-PM,DIMUSD,0.006,0.006,0.0058,0.006,3081.0,18.49
2018-06-10 03-PM,DIMUSD,0.0059,0.006,0.0058,0.006,23666.0,139.19
2018-06-10 02-PM,DIMUSD,0.006,0.006,0.0059,0.0059,15759.0,93.04
2018-06-10 01-PM,DIMUSD,0.0058,0.006,0.0058,0.006,235.0,1.41
2018-06-10 12-PM,DIMUSD,0.006,0.006,0.0058,0.0058,1.0,0.0058
2018-06-10 11-AM,DIMUSD,0.0059,0.006,0.0059,0.006,44274.0,261.22
2018-06-10 10-AM,DIMUSD,0.0059,0.0059,0.0059,0.0059,0.0,0.0
2018-06-10 09-AM,DIMUSD,0.0059,0.006,0.0059,0.0059,70523.0,422.14
2018-06-10 08-AM,DIMUSD,0.0061,0.0061,0.0059,0.0059,1.0,0.0059
2018-06-10 07-AM,DIMUSD,0.006,0.0061,0.0059,0.0061,182145.0,1110.91
2018-06-10 06-AM,DIMUSD,0.0059,0.006,0.0059,0.006,100.0,0.6
2018-06-10 05-AM,DIMUSD,0.006,0.006,0.0059,0.0059,200.0,1.18
2018-06-10 04-AM,DIMUSD,0.006,0.006,0.006,0.006,0.0,0.0
2018-06-10 03-AM,DIMUSD,0.0059,0.0061,0.0059,0.006,10001.0,60.68
2018-06-10 02-AM,DIMUSD,0.0059,0.0059,0.0059,0.0059,346.0,2.04
2018-06-10 01-AM,DIMUSD,0.0058,0.006,0.0058,0.0059,6817.0,40.46
2018-06-10 12-AM,DIMUSD,0.0065,0.0065,0.0058,0.0058,500275.0,2985.07
2018-06-09 11-PM,DIMUSD,0.0065,0.0065,0.0065,0.0065,316.0,2.05
2018-06-09 10-PM,DIMUSD,0.0064,0.0065,0.0063,0.0065,84803.0,536.26
2018-06-09 09-PM,DIMUSD,0.0063,0.0067,0.0063,0.0064,40626.0,268.96
2018-06-09 08-PM,DIMUSD,0.0062,0.0065,0.0062,0.0063,331792.0,2115.47
2018-06-09 07-PM,DIMUSD,0.0063,0.0063,0.0062,0.0062,13.0,0.0806
2018-06-09 06-PM,DIMUSD,0.0063,0.0063,0.0063,0.0063,1.0,0.0063
2018-06-09 05-PM,DIMUSD,0.0061,0.0063,0.0061,0.0063,100000.0,620.85
2018-06-09 04-PM,DIMUSD,0.0061,0.0061,0.0057,0.0061,1032369.0,6044.33
2018-06-09 03-PM,DIMUSD,0.0063,0.0063,0.0061,0.0061,40997.0,258.08
2018-06-09 02-PM,DIMUSD,0.0062,0.0064,0.0062,0.0063,701.0,4.38
2018-06-09 01-PM,DIMUSD,0.0062,0.0062,0.0062,0.0062,6.0,0.0372
2018-06-09 12-PM,DIMUSD,0.0065,0.0065,0.0062,0.0062,427952.0,2668.11
2018-06-09 11-AM,DIMUSD,0.0065,0.0065,0.0065,0.0065,0.0,0.0
2018-06-09 10-AM,DIMUSD,0.0066,0.0066,0.0065,0.0065,683.0,4.44
2018-06-09 09-AM,DIMUSD,0.0065,0.0066,0.0063,0.0066,19959.0,131.23
2018-06-09 08-AM,DIMUSD,0.0065,0.0065,0.0065,0.0065,67642.0,439.67
2018-06-09 07-AM,DIMUSD,0.0065,0.0065,0.0065,0.0065,12794.0,83.16
2018-06-09 06-AM,DIMUSD,0.0064,0.0065,0.0064,0.0065,29769.0,192.46
2018-06-09 05-AM,DIMUSD,0.0062,0.0064,0.0062,0.0064,55200.0,343.28
2018-06-09 04-AM,DIMUSD,0.0062,0.0063,0.0062,0.0062,579.0,3.64
2018-06-09 03-AM,DIMUSD,0.0062,0.0062,0.0062,0.0062,0.0,0.0
2018-06-09 02-AM,DIMUSD,0.0063,0.0065,0.0062,0.0062,132470.0,849.89
2018-06-09 01-AM,DIMUSD,0.0062,0.0063,0.0062,0.0063,4629.0,29.16
2018-06-09 12-AM,DIMUSD,0.0063,0.0063,0.0062,0.0062,1000.0,6.2
2018-06-08 11-PM,DIMUSD,0.0064,0.0064,0.0063,0.0063,25033.0,157.71
2018-06-08 10-PM,DIMUSD,0.0065,0.0065,0.0064,0.0064,13007.0,83.24
2018-06-08 09-PM,DIMUSD,0.0065,0.0065,0.0065,0.0065,0.0,0.0
2018-06-08 08-PM,DIMUSD,0.0066,0.0068,0.006,0.0065,284448.0,1791.42
2018-06-08 07-PM,DIMUSD,0.0066,0.0066,0.0066,0.0066,463.0,3.06
2018-06-08 06-PM,DIMUSD,0.0064,0.0068,0.0064,0.0066,27883.0,185.55
2018-06-08 05-PM,DIMUSD,0.0069,0.0069,0.0064,0.0064,66575.0,435.19
2018-06-08 04-PM,DIMUSD,0.0066,0.0069,0.0066,0.0069,341.0,2.28
2018-06-08 03-PM,DIMUSD,0.0069,0.0069,0.0066,0.0066,18852.0,124.83
2018-06-08 02-PM,DIMUSD,0.0067,0.007,0.0067,0.0069,105.0,0.7334
2018-06-08 01-PM,DIMUSD,0.0066,0.007,0.0066,0.0067,376.0,2.57
2018-06-08 12-PM,DIMUSD,0.0066,0.007,0.0066,0.0066,13500.0,91.4
2018-06-08 11-AM,DIMUSD,0.007,0.007,0.0066,0.0066,18717.0,125.4
2018-06-08 10-AM,DIMUSD,0.007,0.007,0.007,0.007,0.0,0.0
2018-06-08 09-AM,DIMUSD,0.007,0.007,0.0067,0.007,68.0,0.4727
2018-06-08 08-AM,DIMUSD,0.007,0.007,0.0067,0.007,1856.0,12.83
2018-06-08 07-AM,DIMUSD,0.0069,0.007,0.0069,0.007,26650.0,184.9
2018-06-08 06-AM,DIMUSD,0.0071,0.0071,0.0069,0.0069,24.0,0.1656
2018-06-08 05-AM,DIMUSD,0.0067,0.0071,0.0067,0.0071,224642.0,1546.04
2018-06-08 04-AM,DIMUSD,0.0064,0.0067,0.0062,0.0067,21661.0,140.3
2018-06-08 03-AM,DIMUSD,0.0065,0.0065,0.0064,0.0064,14105.0,91.39
2018-06-08 02-AM,DIMUSD,0.0067,0.0067,0.0065,0.0065,15130.0,98.39
2018-06-08 01-AM,DIMUSD,0.0067,0.0067,0.0067,0.0067,7424.0,49.74
2018-06-08 12-AM,DIMUSD,0.0064,0.0067,0.0063,0.0067,80899.0,532.04
