Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DOG,Volume EBTC
2018-07-06 12-AM,DOGEBTC,4.0e-07,4.0e-07,3.9e-07,3.9e-07,1359000.0,0.534
2018-07-05 11-PM,DOGEBTC,4.0e-07,4.0e-07,3.9e-07,4.0e-07,543000.0,0.2151
2018-07-05 10-PM,DOGEBTC,3.9e-07,4.0e-07,3.9e-07,4.0e-07,47196000.0,18.73
2018-07-05 09-PM,DOGEBTC,4.0e-07,4.0e-07,3.9e-07,3.9e-07,786000.0,0.3105
2018-07-05 08-PM,DOGEBTC,4.0e-07,4.0e-07,3.9e-07,4.0e-07,4198000.0,1.67
2018-07-05 07-PM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,579000.0,0.2308
2018-07-05 06-PM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,2749000.0,1.1
2018-07-05 05-PM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,1082000.0,0.4315
2018-07-05 04-PM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,1051000.0,0.4201
2018-07-05 03-PM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,2928000.0,1.17
2018-07-05 02-PM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,3861000.0,1.54
2018-07-05 01-PM,DOGEBTC,4.0e-07,4.0e-07,3.9e-07,4.0e-07,9506000.0,3.79
2018-07-05 12-PM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,455000.0,0.1814
2018-07-05 11-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,529000.0,0.2109
2018-07-05 10-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,1319000.0,0.5265
2018-07-05 09-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,927000.0,0.3684
2018-07-05 08-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,386000.0,0.1541
2018-07-05 07-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,692000.0,0.277
2018-07-05 06-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,645000.0,0.2577
2018-07-05 05-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,1387000.0,0.5553
2018-07-05 04-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,322000.0,0.1294
2018-07-05 03-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,867000.0,0.3482
2018-07-05 02-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,265000.0,0.1065
2018-07-05 01-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,985000.0,0.3955
2018-07-05 12-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,568000.0,0.2283
2018-07-04 11-PM,DOGEBTC,4.1e-07,4.1e-07,4.0e-07,4.0e-07,2095000.0,0.8491
2018-07-04 10-PM,DOGEBTC,4.1e-07,4.1e-07,4.0e-07,4.1e-07,7897000.0,3.2
2018-07-04 09-PM,DOGEBTC,4.0e-07,4.1e-07,4.0e-07,4.1e-07,1843000.0,0.7482
2018-07-04 08-PM,DOGEBTC,4.0e-07,4.1e-07,4.0e-07,4.0e-07,7488000.0,3.03
2018-07-04 07-PM,DOGEBTC,4.0e-07,4.1e-07,4.0e-07,4.0e-07,10754000.0,4.34
2018-07-04 06-PM,DOGEBTC,4.1e-07,4.1e-07,4.0e-07,4.0e-07,4315000.0,1.75
2018-07-04 05-PM,DOGEBTC,4.0e-07,4.1e-07,4.0e-07,4.1e-07,7686000.0,3.1
2018-07-04 04-PM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,1631000.0,0.6524
2018-07-04 03-PM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,5418000.0,2.17
2018-07-04 02-PM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,1400000.0,0.5633
2018-07-04 01-PM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,1179000.0,0.4736
2018-07-04 12-PM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,343000.0,0.1375
2018-07-04 11-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,951000.0,0.382
2018-07-04 10-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,2184000.0,0.8756
2018-07-04 09-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,2182000.0,0.8692
2018-07-04 08-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,3744000.0,1.5
2018-07-04 07-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,465000.0,0.1859
2018-07-04 06-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,651000.0,0.2601
2018-07-04 05-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,723000.0,0.2887
2018-07-04 04-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,3652000.0,1.46
2018-07-04 03-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,1430000.0,0.5708
2018-07-04 02-AM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,639000.0,0.2559
2018-07-04 01-AM,DOGEBTC,4.0e-07,4.1e-07,4.0e-07,4.0e-07,30457000.0,12.31
2018-07-04 12-AM,DOGEBTC,4.0e-07,4.1e-07,4.0e-07,4.0e-07,67899000.0,27.42
2018-07-03 11-PM,DOGEBTC,4.0e-07,4.0e-07,4.0e-07,4.0e-07,2822000.0,1.13
