Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DOG,Volume EBTC
2018-06-15,DOGEBTC,4.4e-07,4.4e-07,4.4e-07,4.4e-07,14096000.0,6.2
2018-06-14,DOGEBTC,4.3e-07,4.5e-07,4.3e-07,4.4e-07,60463000.0,26.55
2018-06-13,DOGEBTC,4.7e-07,4.7e-07,4.2e-07,4.3e-07,150926000.0,68.24
2018-06-12,DOGEBTC,4.6e-07,4.7e-07,4.6e-07,4.7e-07,85227000.0,39.85
2018-06-11,DOGEBTC,4.6e-07,4.7e-07,4.6e-07,4.6e-07,83959000.0,38.67
2018-06-10,DOGEBTC,4.7e-07,4.8e-07,4.5e-07,4.6e-07,62624000.0,29.2
2018-06-09,DOGEBTC,4.8e-07,4.9e-07,4.7e-07,4.7e-07,32555000.0,15.54
2018-06-08,DOGEBTC,4.9e-07,4.9e-07,4.7e-07,4.8e-07,90695000.0,43.87
2018-06-07,DOGEBTC,4.9e-07,5.0e-07,4.8e-07,4.9e-07,36307000.0,17.69
2018-06-06,DOGEBTC,4.8e-07,5.0e-07,4.8e-07,4.9e-07,70568000.0,34.39
2018-06-05,DOGEBTC,4.7e-07,4.8e-07,4.7e-07,4.8e-07,145100000.0,69.01
2018-06-04,DOGEBTC,4.7e-07,4.8e-07,4.6e-07,4.7e-07,64771000.0,30.42
2018-06-03,DOGEBTC,4.7e-07,4.8e-07,4.6e-07,4.7e-07,72514000.0,34.18
2018-06-02,DOGEBTC,4.5e-07,4.8e-07,4.5e-07,4.7e-07,126922000.0,58.35
2018-06-01,DOGEBTC,4.5e-07,4.6e-07,4.5e-07,4.5e-07,44256000.0,20.19
2018-05-31,DOGEBTC,4.6e-07,4.6e-07,4.5e-07,4.5e-07,53053000.0,24.04
2018-05-30,DOGEBTC,4.6e-07,4.6e-07,4.5e-07,4.6e-07,58157000.0,26.65
2018-05-29,DOGEBTC,4.5e-07,4.6e-07,4.4e-07,4.6e-07,89421000.0,40.16
2018-05-28,DOGEBTC,4.6e-07,4.6e-07,4.4e-07,4.5e-07,55633000.0,25.21
2018-05-27,DOGEBTC,4.7e-07,4.7e-07,4.6e-07,4.6e-07,45501000.0,21.03
2018-05-26,DOGEBTC,4.6e-07,4.7e-07,4.6e-07,4.7e-07,34594000.0,16.14
2018-05-25,DOGEBTC,4.7e-07,4.9e-07,4.6e-07,4.6e-07,65174000.0,30.67
2018-05-24,DOGEBTC,4.6e-07,4.7e-07,4.4e-07,4.7e-07,53498000.0,24.37
2018-05-23,DOGEBTC,4.8e-07,4.8e-07,4.4e-07,4.6e-07,143938000.0,66.4
2018-05-22,DOGEBTC,5.0e-07,5.1e-07,4.7e-07,4.8e-07,47960000.0,23.46
2018-05-21,DOGEBTC,5.1e-07,5.1e-07,5.0e-07,5.0e-07,44638000.0,22.65
2018-05-20,DOGEBTC,5.2e-07,5.2e-07,5.1e-07,5.1e-07,42129000.0,21.64
2018-05-19,DOGEBTC,5.1e-07,5.2e-07,5.1e-07,5.2e-07,29821000.0,15.32
2018-05-18,DOGEBTC,5.1e-07,5.2e-07,5.1e-07,5.1e-07,31520000.0,16.15
2018-05-17,DOGEBTC,5.3e-07,5.3e-07,5.1e-07,5.1e-07,45963000.0,23.97
2018-05-16,DOGEBTC,5.3e-07,5.4e-07,5.2e-07,5.3e-07,44328000.0,23.34
2018-05-15,DOGEBTC,5.1e-07,5.5e-07,5.1e-07,5.3e-07,78612000.0,41.48
2018-05-14,DOGEBTC,5.2e-07,5.2e-07,5.1e-07,5.1e-07,56124000.0,28.87
2018-05-13,DOGEBTC,5.1e-07,5.2e-07,5.0e-07,5.2e-07,38596000.0,19.77
2018-05-12,DOGEBTC,5.1e-07,5.2e-07,4.9e-07,5.1e-07,48280000.0,24.33
2018-05-11,DOGEBTC,5.3e-07,5.3e-07,4.9e-07,5.1e-07,100135000.0,50.7
2018-05-10,DOGEBTC,5.4e-07,5.5e-07,5.2e-07,5.3e-07,63003000.0,33.99
2018-05-09,DOGEBTC,5.8e-07,5.8e-07,5.2e-07,5.4e-07,102818000.0,56.08
2018-05-08,DOGEBTC,5.2e-07,5.9e-07,5.2e-07,5.8e-07,227628000.0,126.47
2018-05-07,DOGEBTC,5.2e-07,5.4e-07,5.0e-07,5.2e-07,75874000.0,39.31
2018-05-06,DOGEBTC,5.3e-07,5.3e-07,5.0e-07,5.2e-07,55013000.0,28.3
2018-05-05,DOGEBTC,5.4e-07,5.5e-07,5.1e-07,5.3e-07,97315000.0,51.18
2018-05-04,DOGEBTC,5.7e-07,5.7e-07,5.3e-07,5.4e-07,119425000.0,65.91
2018-05-03,DOGEBTC,5.8e-07,6.0e-07,5.6e-07,5.7e-07,177194000.0,103.0
2018-05-02,DOGEBTC,5.6e-07,5.9e-07,5.6e-07,5.8e-07,75785000.0,43.59
2018-05-01,DOGEBTC,5.7e-07,5.7e-07,5.6e-07,5.6e-07,67529000.0,38.06
2018-04-30,DOGEBTC,5.8e-07,5.9e-07,5.7e-07,5.7e-07,47881000.0,27.39
2018-04-29,DOGEBTC,5.9e-07,5.9e-07,5.7e-07,5.8e-07,75072000.0,43.42
2018-04-28,DOGEBTC,6.1e-07,6.1e-07,5.8e-07,5.9e-07,52253000.0,30.95
2018-04-27,DOGEBTC,6.0e-07,6.3e-07,5.9e-07,6.1e-07,98094000.0,59.74
2018-04-26,DOGEBTC,5.8e-07,6.1e-07,5.6e-07,6.0e-07,102703000.0,59.87
2018-04-25,DOGEBTC,6.0e-07,6.1e-07,5.5e-07,5.8e-07,233124000.0,133.28
2018-04-24,DOGEBTC,6.3e-07,6.3e-07,6.0e-07,6.0e-07,86386000.0,53.17
2018-04-23,DOGEBTC,6.3e-07,6.4e-07,6.1e-07,6.3e-07,78968000.0,49.34
2018-04-22,DOGEBTC,6.2e-07,6.6e-07,6.0e-07,6.3e-07,66063000.0,41.5
2018-04-21,DOGEBTC,6.6e-07,6.6e-07,6.0e-07,6.2e-07,150990000.0,94.41
2018-04-20,DOGEBTC,7.1e-07,7.2e-07,6.5e-07,6.6e-07,82322000.0,56.27
2018-04-19,DOGEBTC,6.7e-07,7.2e-07,6.4e-07,7.1e-07,99453000.0,67.71
2018-04-18,DOGEBTC,6.0e-07,6.7e-07,5.9e-07,6.7e-07,90673000.0,57.12
2018-04-17,DOGEBTC,5.7e-07,6.1e-07,5.6e-07,6.0e-07,114173000.0,67.53
2018-04-16,DOGEBTC,5.5e-07,6.0e-07,5.5e-07,5.7e-07,150909000.0,85.66
2018-04-15,DOGEBTC,5.2e-07,5.6e-07,5.2e-07,5.5e-07,65401000.0,35.02
