Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume BTC
2018-07-06 12-AM,EOSBTC,0.001358,0.001358,0.00135,0.001352,869.29,1.17
2018-07-05 11-PM,EOSBTC,0.001343,0.001358,0.001343,0.001358,1031.24,1.39
2018-07-05 10-PM,EOSBTC,0.001342,0.001347,0.001339,0.001343,5178.78,6.96
2018-07-05 09-PM,EOSBTC,0.001346,0.001346,0.001339,0.001342,3569.45,4.79
2018-07-05 08-PM,EOSBTC,0.00134,0.001349,0.00134,0.001346,732.9,0.988
2018-07-05 07-PM,EOSBTC,0.001342,0.001345,0.001336,0.00134,8706.63,11.67
2018-07-05 06-PM,EOSBTC,0.001343,0.001351,0.001341,0.001342,7606.6,10.21
2018-07-05 05-PM,EOSBTC,0.001347,0.001347,0.001336,0.001343,8713.1,11.68
2018-07-05 04-PM,EOSBTC,0.001357,0.001362,0.001347,0.001347,8897.42,12.02
2018-07-05 03-PM,EOSBTC,0.001349,0.001359,0.00134,0.001357,14552.88,19.58
2018-07-05 02-PM,EOSBTC,0.001356,0.001358,0.001349,0.001349,11979.77,16.22
2018-07-05 01-PM,EOSBTC,0.001364,0.001364,0.001356,0.001356,4272.68,5.81
2018-07-05 12-PM,EOSBTC,0.001357,0.001366,0.001357,0.001364,741.28,1.01
2018-07-05 11-AM,EOSBTC,0.001372,0.001377,0.001357,0.001357,2115.21,2.89
2018-07-05 10-AM,EOSBTC,0.001364,0.001381,0.00136,0.001372,4139.09,5.68
2018-07-05 09-AM,EOSBTC,0.001365,0.001367,0.001349,0.001364,15632.4,21.24
2018-07-05 08-AM,EOSBTC,0.001364,0.001365,0.00136,0.001365,424.02,0.5773
2018-07-05 07-AM,EOSBTC,0.00136,0.001365,0.001358,0.001364,2678.91,3.64
2018-07-05 06-AM,EOSBTC,0.001364,0.001365,0.00136,0.00136,10982.97,14.96
2018-07-05 05-AM,EOSBTC,0.001368,0.001371,0.001363,0.001364,3632.82,4.96
2018-07-05 04-AM,EOSBTC,0.001364,0.001368,0.001363,0.001368,774.68,1.06
2018-07-05 03-AM,EOSBTC,0.001363,0.001372,0.001363,0.001364,1848.29,2.53
2018-07-05 02-AM,EOSBTC,0.001367,0.001379,0.001363,0.001363,1106.67,1.51
2018-07-05 01-AM,EOSBTC,0.001357,0.001368,0.001356,0.001367,1375.22,1.87
2018-07-05 12-AM,EOSBTC,0.001354,0.001359,0.001351,0.001357,3003.39,4.07
2018-07-04 11-PM,EOSBTC,0.001356,0.001356,0.001346,0.001354,2132.16,2.88
2018-07-04 10-PM,EOSBTC,0.001359,0.001361,0.001347,0.001356,19986.75,27.03
2018-07-04 09-PM,EOSBTC,0.001361,0.001361,0.001356,0.001359,1775.59,2.41
2018-07-04 08-PM,EOSBTC,0.001355,0.001361,0.001355,0.001361,1287.9,1.75
2018-07-04 07-PM,EOSBTC,0.001355,0.001356,0.001353,0.001355,581.2,0.787
2018-07-04 06-PM,EOSBTC,0.001358,0.001361,0.001355,0.001355,8654.18,11.74
2018-07-04 05-PM,EOSBTC,0.001358,0.001362,0.001356,0.001358,8838.66,12.02
2018-07-04 04-PM,EOSBTC,0.001372,0.001373,0.001353,0.001358,13509.87,18.4
2018-07-04 03-PM,EOSBTC,0.00138,0.001381,0.001372,0.001372,15777.4,21.68
2018-07-04 02-PM,EOSBTC,0.001378,0.001381,0.001374,0.00138,9955.29,13.71
2018-07-04 01-PM,EOSBTC,0.001386,0.001393,0.001373,0.001378,24089.41,33.32
2018-07-04 12-PM,EOSBTC,0.001375,0.001394,0.001375,0.001386,3491.51,4.83
2018-07-04 11-AM,EOSBTC,0.001361,0.001375,0.001359,0.001375,1359.2,1.86
2018-07-04 10-AM,EOSBTC,0.001357,0.001365,0.001356,0.001361,581.29,0.7913
2018-07-04 09-AM,EOSBTC,0.001359,0.001362,0.001356,0.001357,5090.57,6.91
2018-07-04 08-AM,EOSBTC,0.001344,0.001365,0.001344,0.001359,4718.95,6.4
2018-07-04 07-AM,EOSBTC,0.001347,0.001347,0.001343,0.001344,1047.85,1.41
2018-07-04 06-AM,EOSBTC,0.001346,0.001355,0.001346,0.001347,3789.43,5.11
2018-07-04 05-AM,EOSBTC,0.001349,0.001349,0.001344,0.001346,4554.8,6.13
2018-07-04 04-AM,EOSBTC,0.001348,0.00135,0.001346,0.001349,574.17,0.7737
2018-07-04 03-AM,EOSBTC,0.001349,0.001357,0.001348,0.001348,1709.22,2.31
2018-07-04 02-AM,EOSBTC,0.00134,0.001349,0.00134,0.001349,1410.75,1.9
2018-07-04 01-AM,EOSBTC,0.001342,0.001345,0.001325,0.00134,8656.23,11.53
2018-07-04 12-AM,EOSBTC,0.001357,0.001358,0.001335,0.001342,13489.7,18.17
2018-07-03 11-PM,EOSBTC,0.001355,0.00136,0.001351,0.001357,9587.22,12.96
2018-07-03 10-PM,EOSBTC,0.001364,0.001369,0.001354,0.001355,8220.57,11.18
2018-07-03 09-PM,EOSBTC,0.001365,0.001367,0.00136,0.001364,1036.78,1.41
2018-07-03 08-PM,EOSBTC,0.001359,0.00137,0.001358,0.001365,1337.63,1.82
2018-07-03 07-PM,EOSBTC,0.001359,0.00136,0.001358,0.001359,708.08,0.9626
2018-07-03 06-PM,EOSBTC,0.001358,0.001362,0.001357,0.001359,1774.38,2.41
2018-07-03 05-PM,EOSBTC,0.001362,0.001362,0.001355,0.001358,9495.66,12.88
2018-07-03 04-PM,EOSBTC,0.001365,0.001365,0.001354,0.001362,10089.71,13.71
2018-07-03 03-PM,EOSBTC,0.001365,0.00137,0.001359,0.001365,4894.79,6.68
2018-07-03 02-PM,EOSBTC,0.001402,0.001402,0.001361,0.001365,702.46,0.9582
2018-07-03 01-PM,EOSBTC,0.001368,0.001373,0.001352,0.001355,18713.52,25.44
2018-07-03 12-PM,EOSBTC,0.00137,0.001372,0.001362,0.001368,2900.23,3.97
2018-07-03 11-AM,EOSBTC,0.001358,0.001376,0.001352,0.00137,2543.67,3.47
2018-07-03 10-AM,EOSBTC,0.001382,0.001382,0.001344,0.001358,18127.61,24.82
