Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume EOS,Volume BTC
2018-06-15,EOSBTC,0.001685,0.001686,0.001625,0.001626,32442.59,53.54
2018-06-14,EOSBTC,0.001596,0.00173,0.001512,0.001685,215239.3,344.04
2018-06-13,EOSBTC,0.001525,0.001619,0.001472,0.001596,167238.15,259.22
2018-06-12,EOSBTC,0.001647,0.001649,0.001487,0.001525,111169.73,174.86
2018-06-11,EOSBTC,0.00164,0.001676,0.001563,0.001647,156986.39,254.73
2018-06-10,EOSBTC,0.001858,0.001869,0.001517,0.00164,621053.73,1072.63
2018-06-09,EOSBTC,0.001823,0.001892,0.001819,0.001858,200369.56,372.78
2018-06-08,EOSBTC,0.001839,0.001853,0.001769,0.001823,120739.92,219.55
2018-06-07,EOSBTC,0.001807,0.001842,0.001777,0.001839,137822.15,250.14
2018-06-06,EOSBTC,0.001837,0.001849,0.001776,0.001807,118753.81,215.47
2018-06-05,EOSBTC,0.001789,0.001862,0.001733,0.001837,220292.55,399.23
2018-06-04,EOSBTC,0.001862,0.0019,0.001764,0.001789,260515.89,474.6
2018-06-03,EOSBTC,0.001915,0.00199,0.001807,0.001862,598029.11,1131.51
2018-06-02,EOSBTC,0.001626,0.002034,0.001623,0.001915,821651.37,1536.02
2018-06-01,EOSBTC,0.001634,0.001654,0.001539,0.001626,223984.24,362.98
2018-05-31,EOSBTC,0.001613,0.001691,0.001609,0.001634,398237.15,656.41
2018-05-30,EOSBTC,0.001626,0.00166,0.001595,0.001613,363021.64,591.83
2018-05-29,EOSBTC,0.001619,0.001659,0.001514,0.001626,296665.97,471.44
2018-05-28,EOSBTC,0.001691,0.001745,0.001604,0.001619,301728.82,501.57
2018-05-27,EOSBTC,0.001668,0.001705,0.00165,0.001691,105474.86,177.09
2018-05-26,EOSBTC,0.001627,0.001696,0.001599,0.001668,197491.43,326.93
2018-05-25,EOSBTC,0.001681,0.001686,0.001579,0.001627,363490.35,591.01
2018-05-24,EOSBTC,0.001426,0.001693,0.00141,0.001681,334008.64,508.83
2018-05-23,EOSBTC,0.001518,0.001538,0.001385,0.001426,326474.05,473.35
2018-05-22,EOSBTC,0.001596,0.001601,0.00151,0.001518,149983.84,232.71
2018-05-21,EOSBTC,0.001636,0.001655,0.001565,0.001596,102008.63,163.99
2018-05-20,EOSBTC,0.001589,0.001669,0.001581,0.001636,88641.21,144.86
2018-05-19,EOSBTC,0.001566,0.001599,0.001532,0.001589,97356.25,152.39
2018-05-18,EOSBTC,0.001519,0.00159,0.001496,0.001566,149033.21,230.66
2018-05-17,EOSBTC,0.001516,0.001662,0.001497,0.001519,216723.98,342.01
2018-05-16,EOSBTC,0.001512,0.00154,0.001454,0.001516,147302.25,218.72
2018-05-15,EOSBTC,0.001589,0.001626,0.001472,0.001512,275862.96,433.98
2018-05-14,EOSBTC,0.001684,0.001692,0.001562,0.001589,207288.61,336.26
2018-05-13,EOSBTC,0.001645,0.001734,0.001608,0.001684,161015.42,269.07
2018-05-12,EOSBTC,0.001761,0.001788,0.001497,0.001645,575275.47,930.86
2018-05-11,EOSBTC,0.001921,0.001964,0.001623,0.001761,620472.41,1099.15
2018-05-10,EOSBTC,0.001907,0.001993,0.00189,0.001921,128729.93,250.52
2018-05-09,EOSBTC,0.001953,0.001964,0.00189,0.001907,99099.64,190.14
2018-05-08,EOSBTC,0.001897,0.002005,0.001884,0.001953,171425.8,334.59
2018-05-07,EOSBTC,0.001799,0.001943,0.001788,0.001897,330405.53,623.67
2018-05-06,EOSBTC,0.001795,0.001863,0.001723,0.001799,145585.8,261.23
2018-05-05,EOSBTC,0.001756,0.001914,0.001755,0.001795,219971.16,405.26
2018-05-04,EOSBTC,0.001815,0.001871,0.001704,0.001756,227797.73,403.95
2018-05-03,EOSBTC,0.002073,0.002086,0.001743,0.001815,391138.57,740.96
2018-05-02,EOSBTC,0.002065,0.002141,0.002004,0.002073,431039.42,886.68
2018-05-01,EOSBTC,0.001893,0.00209,0.001779,0.002065,547961.84,1047.96
2018-04-30,EOSBTC,0.002271,0.00229,0.001801,0.001893,651413.95,1304.49
2018-04-29,EOSBTC,0.00201,0.002439,0.002006,0.002271,630333.68,1384.71
2018-04-28,EOSBTC,0.001859,0.002074,0.00185,0.00201,468359.7,934.21
2018-04-27,EOSBTC,0.001669,0.001934,0.001613,0.001859,476795.7,854.92
2018-04-26,EOSBTC,0.001626,0.00169,0.001597,0.001669,383892.2,634.31
2018-04-25,EOSBTC,0.001566,0.001688,0.001473,0.001626,909700.32,1417.66
2018-04-24,EOSBTC,0.001297,0.001699,0.001297,0.001566,763206.16,1148.2
2018-04-23,EOSBTC,0.001281,0.001326,0.001277,0.001297,203350.5,263.88
2018-04-22,EOSBTC,0.001247,0.00132,0.001219,0.001281,223318.97,286.16
2018-04-21,EOSBTC,0.001293,0.001316,0.001187,0.001247,306837.56,382.87
2018-04-20,EOSBTC,0.001142,0.001352,0.001142,0.001293,330059.11,411.11
2018-04-19,EOSBTC,0.001108,0.001142,0.001092,0.001142,123266.11,137.39
2018-04-18,EOSBTC,0.001075,0.001129,0.001072,0.001108,114922.17,125.52
2018-04-17,EOSBTC,0.001005,0.001118,0.001005,0.001075,201921.67,217.69
2018-04-16,EOSBTC,0.00102,0.001028,0.000989,0.001005,100069.99,100.38
2018-04-15,EOSBTC,0.00109,0.001093,0.000985,0.00102,147516.41,151.39
2018-04-14,EOSBTC,0.001114,0.00113,0.001026,0.00109,154574.26,166.11
2018-04-13,EOSBTC,0.001114,0.001228,0.001099,0.001114,197379.2,225.5
2018-04-12,EOSBTC,0.001225,0.0013,0.001109,0.001114,473475.94,567.98
2018-04-11,EOSBTC,0.000877,0.001275,0.000872,0.001225,465158.23,507.61
2018-04-10,EOSBTC,0.000862,0.000888,0.000855,0.000877,41304.17,36.28
2018-04-09,EOSBTC,0.00085,0.000872,0.000833,0.000862,26518.37,22.6
2018-04-08,EOSBTC,0.000856,0.000856,0.000838,0.00085,28808.53,24.43
2018-04-07,EOSBTC,0.000879,0.00088,0.000844,0.000856,29662.82,25.44
2018-04-06,EOSBTC,0.00093,0.000932,0.000858,0.000879,87823.96,77.95
2018-04-05,EOSBTC,0.000832,0.000939,0.000814,0.00093,86165.58,76.03
2018-04-04,EOSBTC,0.000814,0.000839,0.000797,0.000832,58587.35,47.47
2018-04-03,EOSBTC,0.000821,0.000825,0.000794,0.000814,57855.28,46.61
2018-04-02,EOSBTC,0.000823,0.00083,0.000799,0.000821,42256.72,34.41
2018-04-01,EOSBTC,0.000855,0.000859,0.000792,0.000823,116109.01,95.89
2018-03-31,EOSBTC,0.000877,0.000881,0.000838,0.000855,50962.49,43.82
2018-03-30,EOSBTC,0.000828,0.00088,0.000828,0.000877,162779.02,139.18
2018-03-29,EOSBTC,0.00078,0.000837,0.000768,0.000828,196408.08,157.96
2018-03-28,EOSBTC,0.000744,0.000799,0.000729,0.00078,183126.22,142.35
2018-03-27,EOSBTC,0.000711,0.0008,0.00067,0.000744,252109.59,187.17
2018-03-26,EOSBTC,0.00076,0.000767,0.000671,0.000711,195587.43,139.68
2018-03-25,EOSBTC,0.000761,0.000778,0.000753,0.00076,52857.67,40.57
2018-03-24,EOSBTC,0.000779,0.00079,0.00076,0.000761,62766.73,48.6
2018-03-23,EOSBTC,0.00079,0.000812,0.000745,0.000779,193715.31,151.49
2018-03-22,EOSBTC,0.000776,0.000816,0.000724,0.00079,397954.72,309.17
2018-03-21,EOSBTC,0.000665,0.000818,0.000661,0.000776,496582.97,369.01
2018-03-20,EOSBTC,0.000719,0.000731,0.000643,0.000665,532729.51,365.64
2018-03-19,EOSBTC,0.000563,0.000728,0.000555,0.000719,447202.49,280.59
2018-03-18,EOSBTC,0.000587,0.000589,0.000531,0.000563,330125.77,182.66
2018-03-17,EOSBTC,0.000609,0.000617,0.000583,0.000587,81984.28,49.5
2018-03-16,EOSBTC,0.00062,0.000626,0.000604,0.000609,102373.27,62.96
2018-03-15,EOSBTC,0.000642,0.000646,0.000613,0.00062,302921.66,190.5
2018-03-14,EOSBTC,0.000633,0.00066,0.000628,0.000642,167471.78,107.82
2018-03-13,EOSBTC,0.000627,0.000651,0.000619,0.000633,114325.37,72.37
2018-03-12,EOSBTC,0.000636,0.000638,0.000609,0.000627,100944.08,62.94
2018-03-11,EOSBTC,0.000643,0.000658,0.000634,0.000636,57634.22,37.1
2018-03-10,EOSBTC,0.000649,0.000684,0.000641,0.000643,170155.53,112.02
2018-03-09,EOSBTC,0.000654,0.000665,0.000615,0.000649,529775.72,339.54
2018-03-08,EOSBTC,0.000648,0.000663,0.000627,0.000654,212140.74,136.75
2018-03-07,EOSBTC,0.000666,0.000671,0.000626,0.000648,407031.98,261.69
2018-03-06,EOSBTC,0.000694,0.0007,0.000661,0.000666,172151.03,116.12
2018-03-05,EOSBTC,0.000707,0.000717,0.000688,0.000694,58792.23,41.41
2018-03-04,EOSBTC,0.000691,0.000709,0.000686,0.000707,42227.99,29.44
2018-03-03,EOSBTC,0.000726,0.000736,0.00069,0.000691,85499.88,60.27
2018-03-02,EOSBTC,0.000784,0.00079,0.000715,0.000726,57970.74,43.19
2018-03-01,EOSBTC,0.00079,0.000799,0.000758,0.000784,64229.73,50.18
2018-02-28,EOSBTC,0.000791,0.00083,0.00079,0.00079,73468.27,59.39
2018-02-27,EOSBTC,0.000775,0.000811,0.000772,0.000791,63846.81,50.62
2018-02-26,EOSBTC,0.000804,0.000805,0.000772,0.000775,77728.94,61.67
2018-02-25,EOSBTC,0.000815,0.000818,0.000801,0.000804,53769.97,43.46
2018-02-24,EOSBTC,0.000812,0.000819,0.000782,0.000815,136586.95,108.94
2018-02-23,EOSBTC,0.000791,0.000833,0.00079,0.000812,82414.93,67.03
2018-02-22,EOSBTC,0.000794,0.000801,0.000776,0.000791,104780.61,82.21
2018-02-21,EOSBTC,0.000789,0.000808,0.000774,0.000794,109769.89,87.06
2018-02-20,EOSBTC,0.00085,0.000859,0.000781,0.000789,84836.65,69.7
2018-02-19,EOSBTC,0.000872,0.000883,0.000849,0.00085,46544.12,40.34
2018-02-18,EOSBTC,0.000905,0.000906,0.000866,0.000872,100071.17,88.66
2018-02-17,EOSBTC,0.000965,0.000972,0.000902,0.000905,86791.64,80.65
2018-02-16,EOSBTC,0.000983,0.000985,0.000961,0.000965,58924.03,57.14
2018-02-15,EOSBTC,0.001041,0.001048,0.000975,0.000983,95699.23,96.77
2018-02-14,EOSBTC,0.001046,0.001061,0.001006,0.001041,105240.9,109.58
2018-02-13,EOSBTC,0.001028,0.001049,0.001003,0.001046,133137.85,136.97
2018-02-12,EOSBTC,0.001031,0.001047,0.000992,0.001028,132556.95,136.42
2018-02-11,EOSBTC,0.001041,0.001049,0.001018,0.001031,97151.38,100.45
2018-02-10,EOSBTC,0.001097,0.001103,0.001023,0.001041,148002.87,157.59
2018-02-09,EOSBTC,0.001007,0.001114,0.001005,0.001097,479687.06,501.7
2018-02-08,EOSBTC,0.00101,0.001046,0.000982,0.001007,294276.41,295.39
2018-02-07,EOSBTC,0.001077,0.001096,0.000989,0.00101,281380.78,294.2
2018-02-06,EOSBTC,0.001017,0.001109,0.000956,0.001077,442507.48,457.72
2018-02-05,EOSBTC,0.001086,0.001119,0.001009,0.001017,469953.8,499.92
2018-02-04,EOSBTC,0.001149,0.001164,0.001069,0.001086,263749.8,295.15
2018-02-03,EOSBTC,0.00115,0.001223,0.001116,0.001149,260433.11,305.29
2018-02-02,EOSBTC,0.001097,0.00121,0.000986,0.00115,431574.07,477.49
2018-02-01,EOSBTC,0.001165,0.00118,0.001084,0.001097,426616.32,476.25
2018-01-31,EOSBTC,0.001113,0.001191,0.00104,0.001165,224190.46,251.23
2018-01-30,EOSBTC,0.001207,0.001209,0.001091,0.001113,431781.4,498.55
