Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BTC
2018-07-06 12-AM,ETHBTC,0.0716,0.07173,0.07149,0.0715,829.37,59.4
2018-07-05 11-PM,ETHBTC,0.07135,0.07169,0.07122,0.0716,2100.97,150.15
2018-07-05 10-PM,ETHBTC,0.0713,0.07147,0.07119,0.07135,1887.45,134.57
2018-07-05 09-PM,ETHBTC,0.07123,0.07162,0.07118,0.0713,1638.75,117.04
2018-07-05 08-PM,ETHBTC,0.07105,0.07135,0.071,0.07123,1933.73,137.7
2018-07-05 07-PM,ETHBTC,0.07128,0.07139,0.071,0.07105,2669.3,190.07
2018-07-05 06-PM,ETHBTC,0.07134,0.07171,0.07113,0.07128,3011.68,215.05
2018-07-05 05-PM,ETHBTC,0.07134,0.07148,0.07112,0.07134,2448.52,174.56
2018-07-05 04-PM,ETHBTC,0.07135,0.07157,0.07116,0.07134,2229.8,159.02
2018-07-05 03-PM,ETHBTC,0.07117,0.0714,0.07105,0.07135,2323.47,165.44
2018-07-05 02-PM,ETHBTC,0.0714,0.07143,0.07104,0.07117,2849.36,202.87
2018-07-05 01-PM,ETHBTC,0.07161,0.0717,0.07135,0.0714,1981.62,141.69
2018-07-05 12-PM,ETHBTC,0.07138,0.07169,0.07137,0.07161,3601.06,257.42
2018-07-05 11-AM,ETHBTC,0.07164,0.0717,0.07137,0.07138,1609.1,115.06
2018-07-05 10-AM,ETHBTC,0.07148,0.07171,0.07145,0.07164,1713.45,122.74
2018-07-05 09-AM,ETHBTC,0.07128,0.07169,0.07127,0.07148,3006.23,215.05
2018-07-05 08-AM,ETHBTC,0.07126,0.07128,0.07121,0.07128,1795.08,127.88
2018-07-05 07-AM,ETHBTC,0.0713,0.07137,0.07107,0.07126,2269.67,161.74
2018-07-05 06-AM,ETHBTC,0.07129,0.07135,0.07119,0.0713,1215.31,86.62
2018-07-05 05-AM,ETHBTC,0.07134,0.07147,0.07124,0.07129,4224.46,301.52
2018-07-05 04-AM,ETHBTC,0.07104,0.07136,0.07098,0.07134,3517.24,250.38
2018-07-05 03-AM,ETHBTC,0.07119,0.07136,0.07092,0.07104,1909.97,135.88
2018-07-05 02-AM,ETHBTC,0.07128,0.07137,0.07107,0.07119,1518.18,108.16
2018-07-05 01-AM,ETHBTC,0.07097,0.07149,0.07097,0.07128,4192.21,298.72
2018-07-05 12-AM,ETHBTC,0.07099,0.071,0.07079,0.07097,2134.62,151.36
2018-07-04 11-PM,ETHBTC,0.07079,0.071,0.0706,0.07099,3574.76,253.12
2018-07-04 10-PM,ETHBTC,0.0709,0.07104,0.07061,0.07079,1216.37,86.2
2018-07-04 09-PM,ETHBTC,0.07098,0.07105,0.07086,0.0709,1717.62,121.93
2018-07-04 08-PM,ETHBTC,0.07087,0.071,0.07078,0.07098,1970.11,139.6
2018-07-04 07-PM,ETHBTC,0.07095,0.071,0.07084,0.07087,1848.59,131.07
2018-07-04 06-PM,ETHBTC,0.07084,0.07103,0.07078,0.07095,1894.78,134.4
2018-07-04 05-PM,ETHBTC,0.07092,0.07099,0.07077,0.07084,2841.95,201.54
2018-07-04 04-PM,ETHBTC,0.07083,0.07093,0.07071,0.07092,5429.61,384.47
2018-07-04 03-PM,ETHBTC,0.07113,0.07117,0.0708,0.07083,1974.96,140.23
2018-07-04 02-PM,ETHBTC,0.07102,0.07126,0.07095,0.07113,3000.89,213.35
2018-07-04 01-PM,ETHBTC,0.07179,0.07193,0.07099,0.07102,4058.4,289.05
2018-07-04 12-PM,ETHBTC,0.07129,0.07189,0.07127,0.07179,4546.66,325.85
2018-07-04 11-AM,ETHBTC,0.07122,0.0714,0.07118,0.07129,3481.86,248.28
2018-07-04 10-AM,ETHBTC,0.07147,0.07152,0.0712,0.07122,1479.97,105.65
2018-07-04 09-AM,ETHBTC,0.07118,0.07152,0.07117,0.07147,1788.5,127.66
2018-07-04 08-AM,ETHBTC,0.07122,0.07137,0.071,0.07118,3086.8,219.91
2018-07-04 07-AM,ETHBTC,0.07123,0.0713,0.07115,0.07122,1404.79,100.08
2018-07-04 06-AM,ETHBTC,0.07091,0.07125,0.07087,0.07123,3239.66,230.11
2018-07-04 05-AM,ETHBTC,0.07072,0.07093,0.0707,0.07091,2493.82,176.73
2018-07-04 04-AM,ETHBTC,0.0707,0.07077,0.07051,0.07072,2164.3,152.91
2018-07-04 03-AM,ETHBTC,0.07065,0.0708,0.0705,0.0707,3248.07,229.6
2018-07-04 02-AM,ETHBTC,0.07071,0.07074,0.07052,0.07065,1848.86,130.56
2018-07-04 01-AM,ETHBTC,0.07063,0.07081,0.07028,0.07071,2592.16,183.07
2018-07-04 12-AM,ETHBTC,0.07098,0.07121,0.07055,0.07063,3874.85,274.7
2018-07-03 11-PM,ETHBTC,0.07133,0.07136,0.07082,0.07098,4776.66,339.65
2018-07-03 10-PM,ETHBTC,0.07104,0.07175,0.07103,0.07133,3871.57,276.4
2018-07-03 09-PM,ETHBTC,0.071,0.07118,0.07096,0.07104,3035.96,215.92
2018-07-03 08-PM,ETHBTC,0.07099,0.071,0.0708,0.071,3030.14,215.0
2018-07-03 07-PM,ETHBTC,0.07097,0.071,0.07094,0.07099,159.17,11.3
2018-07-03 06-PM,ETHBTC,0.07093,0.07108,0.07086,0.07097,1393.26,98.87
2018-07-03 05-PM,ETHBTC,0.07122,0.07124,0.07086,0.07093,2442.47,173.39
2018-07-03 04-PM,ETHBTC,0.07122,0.07127,0.07098,0.07122,1792.78,127.51
