Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2018-06-11 04-AM,ETHUSD,533.85,535.36,530.52,534.73,193.34,103128.32
2018-06-11 03-AM,ETHUSD,532.83,536.2,529.82,533.85,272.11,145207.44
2018-06-11 02-AM,ETHUSD,524.71,535.44,523.64,532.83,569.97,302584.66
2018-06-11 01-AM,ETHUSD,519.44,525.39,514.64,524.71,490.78,255382.25
2018-06-11 12-AM,ETHUSD,528.51,528.51,518.68,519.44,556.35,291493.88
2018-06-10 11-PM,ETHUSD,510.56,529.65,510.18,528.51,675.04,351571.99
2018-06-10 10-PM,ETHUSD,519.92,522.99,508.78,510.56,1382.32,710827.4
2018-06-10 09-PM,ETHUSD,528.24,531.18,511.37,519.92,2102.64,1097527.18
2018-06-10 08-PM,ETHUSD,542.16,542.22,528.16,528.24,1249.44,668268.9
2018-06-10 07-PM,ETHUSD,536.9,542.88,534.77,542.16,1067.57,574018.14
2018-06-10 06-PM,ETHUSD,540.16,544.1,530.02,536.9,1631.82,876048.51
2018-06-10 05-PM,ETHUSD,565.28,565.98,540.16,540.16,2500.08,1372747.01
2018-06-10 04-PM,ETHUSD,569.04,569.72,565.28,565.28,319.01,180821.3
2018-06-10 03-PM,ETHUSD,569.29,570.45,567.67,569.04,210.35,119703.65
2018-06-10 02-PM,ETHUSD,572.37,572.71,569.13,569.29,264.25,150904.42
2018-06-10 01-PM,ETHUSD,566.64,573.85,564.17,572.37,1026.49,583614.87
2018-06-10 12-PM,ETHUSD,567.52,570.08,566.05,566.64,246.31,140078.31
2018-06-10 11-AM,ETHUSD,567.52,569.12,566.76,567.52,324.59,184245.51
2018-06-10 10-AM,ETHUSD,568.46,568.46,563.39,567.52,459.11,259793.94
2018-06-10 09-AM,ETHUSD,562.57,569.26,562.13,568.46,290.71,164762.83
2018-06-10 08-AM,ETHUSD,562.23,565.63,561.28,562.57,548.76,309077.46
2018-06-10 07-AM,ETHUSD,574.95,574.95,562.1,562.23,694.02,394437.82
2018-06-10 06-AM,ETHUSD,574.02,575.45,571.83,574.95,349.71,200630.41
2018-06-10 05-AM,ETHUSD,572.95,575.5,572.05,574.02,262.4,150478.49
2018-06-10 04-AM,ETHUSD,571.19,576.72,571.06,572.95,527.08,302696.33
2018-06-10 03-AM,ETHUSD,576.69,578.19,571.01,571.19,567.94,326243.07
2018-06-10 02-AM,ETHUSD,578.73,579.47,574.43,576.69,422.53,243745.2
2018-06-10 01-AM,ETHUSD,572.64,579.93,571.64,578.73,1238.12,713273.81
2018-06-10 12-AM,ETHUSD,593.79,593.79,572,572.64,2864.86,1671655.91
2018-06-09 11-PM,ETHUSD,598.08,600.05,592.27,593.79,1138.05,677724.12
2018-06-09 10-PM,ETHUSD,599.44,599.52,596.92,598.08,651.38,389344.56
2018-06-09 09-PM,ETHUSD,600.18,600.18,598.9,599.44,218.37,130933.78
2018-06-09 08-PM,ETHUSD,599.35,600.44,599.14,600.18,220.93,132525.15
2018-06-09 07-PM,ETHUSD,600.58,600.58,599.15,599.35,250.16,150086.21
2018-06-09 06-PM,ETHUSD,598.71,600.58,598.55,600.58,180.17,107994.77
2018-06-09 05-PM,ETHUSD,599.95,600.07,597.65,598.71,525.73,314802.39
2018-06-09 04-PM,ETHUSD,603.43,603.47,599.12,599.95,300.77,180915.78
2018-06-09 03-PM,ETHUSD,601.4,604.12,601.16,603.43,230.03,138720.38
2018-06-09 02-PM,ETHUSD,599.73,602.51,599.41,601.4,320.6,192801.29
2018-06-09 01-PM,ETHUSD,601.25,601.49,597.2,599.73,824.92,494104.31
2018-06-09 12-PM,ETHUSD,605.45,605.76,600.28,601.25,870.27,525138.63
2018-06-09 11-AM,ETHUSD,605.9,607.08,604.98,605.45,366.28,222047.29
2018-06-09 10-AM,ETHUSD,605.69,607.1,605.42,605.9,227.51,137922.27
2018-06-09 09-AM,ETHUSD,602.12,605.72,601.77,605.69,426.47,257399.46
2018-06-09 08-AM,ETHUSD,605.07,605.47,601.85,602.12,347.77,210066.89
2018-06-09 07-AM,ETHUSD,606.72,607.01,604.77,605.07,327.94,198635.62
2018-06-09 06-AM,ETHUSD,606.92,607.72,606.24,606.72,175.64,106634.73
2018-06-09 05-AM,ETHUSD,606.72,607.49,605.4,606.92,254.78,154482.1
2018-06-09 04-AM,ETHUSD,606.42,607.47,605.64,606.72,263.71,159942.0
2018-06-09 03-AM,ETHUSD,608.49,608.81,604.56,606.42,478.05,290030.41
2018-06-09 02-AM,ETHUSD,604.91,608.58,604.91,608.49,431.3,261589.55
2018-06-09 01-AM,ETHUSD,602.84,605.2,602.77,604.91,366.65,221444.75
2018-06-09 12-AM,ETHUSD,599.77,603.17,599.4,602.84,461.37,277739.54
2018-06-08 11-PM,ETHUSD,602.33,602.43,599.42,599.77,283.11,170119.07
2018-06-08 10-PM,ETHUSD,599.7,603.25,599.59,602.33,246.62,148487.7
2018-06-08 09-PM,ETHUSD,598.99,599.86,598.22,599.7,194.59,116548.05
2018-06-08 08-PM,ETHUSD,597.8,599.24,597.1,598.99,120.66,72154.04
2018-06-08 07-PM,ETHUSD,599.67,599.67,596.51,597.8,499.38,298339.07
2018-06-08 06-PM,ETHUSD,601.19,602.19,599.41,599.67,233.0,139966.1
2018-06-08 05-PM,ETHUSD,601.13,601.98,600.71,601.19,220.49,132584.4
2018-06-08 04-PM,ETHUSD,601.19,602.93,599.31,601.13,707.02,424792.74
2018-06-08 03-PM,ETHUSD,596.46,601.2,594,601.19,477.76,285159.67
2018-06-08 02-PM,ETHUSD,598.48,598.69,593.61,596.46,407.76,242862.54
2018-06-08 01-PM,ETHUSD,595.76,599.32,595.23,598.48,507.97,303438.44
2018-06-08 12-PM,ETHUSD,597.32,597.98,595.11,595.76,339.83,202560.23
2018-06-08 11-AM,ETHUSD,597.21,599,595.52,597.32,645.48,385205.38
2018-06-08 10-AM,ETHUSD,602.81,603.18,596.87,597.21,1648.9,988429.82
