Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume HVN,Volume BTC
2018-07-06 12-AM,HVNBTC,6.39e-06,6.44e-06,6.39e-06,6.44e-06,1080.0,0.006955
2018-07-05 11-PM,HVNBTC,6.39e-06,6.39e-06,6.39e-06,6.39e-06,0.0,0.0
2018-07-05 10-PM,HVNBTC,6.4e-06,6.4e-06,6.3e-06,6.39e-06,46060.0,0.2935
2018-07-05 09-PM,HVNBTC,6.44e-06,6.44e-06,6.4e-06,6.4e-06,5100.0,0.03274
2018-07-05 08-PM,HVNBTC,6.58e-06,6.58e-06,6.44e-06,6.44e-06,7300.0,0.04713
2018-07-05 07-PM,HVNBTC,6.56e-06,6.58e-06,6.45e-06,6.58e-06,720.0,0.004686
2018-07-05 06-PM,HVNBTC,6.56e-06,6.56e-06,6.56e-06,6.56e-06,0.0,0.0
2018-07-05 05-PM,HVNBTC,6.56e-06,6.56e-06,6.56e-06,6.56e-06,0.0,0.0
2018-07-05 04-PM,HVNBTC,6.53e-06,6.6e-06,6.45e-06,6.56e-06,10310.0,0.06778
2018-07-05 03-PM,HVNBTC,6.56e-06,6.78e-06,6.02e-06,6.53e-06,122990.0,0.7727
2018-07-05 02-PM,HVNBTC,6.69e-06,6.73e-06,6.56e-06,6.56e-06,11510.0,0.07604
2018-07-05 01-PM,HVNBTC,6.69e-06,6.69e-06,6.69e-06,6.69e-06,0.0,0.0
2018-07-05 12-PM,HVNBTC,6.75e-06,6.76e-06,6.63e-06,6.69e-06,11570.0,0.07719
2018-07-05 11-AM,HVNBTC,6.6e-06,6.81e-06,6.53e-06,6.75e-06,72540.0,0.4853
2018-07-05 10-AM,HVNBTC,6.6e-06,6.6e-06,6.6e-06,6.6e-06,0.0,0.0
2018-07-05 09-AM,HVNBTC,6.58e-06,6.6e-06,6.47e-06,6.6e-06,7610.0,0.0502
2018-07-05 08-AM,HVNBTC,6.48e-06,6.58e-06,6.48e-06,6.58e-06,12350.0,0.08087
2018-07-05 07-AM,HVNBTC,6.31e-06,6.48e-06,6.31e-06,6.48e-06,64080.0,0.4148
2018-07-05 06-AM,HVNBTC,6.41e-06,6.41e-06,6.31e-06,6.31e-06,2000.0,0.01262
2018-07-05 05-AM,HVNBTC,6.41e-06,6.41e-06,6.41e-06,6.41e-06,0.0,0.0
2018-07-05 04-AM,HVNBTC,6.41e-06,6.41e-06,6.41e-06,6.41e-06,0.0,0.0
2018-07-05 03-AM,HVNBTC,6.41e-06,6.41e-06,6.41e-06,6.41e-06,0.0,0.0
2018-07-05 02-AM,HVNBTC,6.41e-06,6.41e-06,6.41e-06,6.41e-06,0.0,0.0
2018-07-05 01-AM,HVNBTC,6.41e-06,6.41e-06,6.41e-06,6.41e-06,0.0,0.0
2018-07-05 12-AM,HVNBTC,6.41e-06,6.41e-06,6.41e-06,6.41e-06,0.0,0.0
2018-07-04 11-PM,HVNBTC,6.41e-06,6.41e-06,6.41e-06,6.41e-06,0.0,0.0
2018-07-04 10-PM,HVNBTC,6.45e-06,6.45e-06,6.41e-06,6.41e-06,500.0,0.003205
2018-07-04 09-PM,HVNBTC,6.29e-06,6.45e-06,6.29e-06,6.45e-06,15200.0,0.09721
2018-07-04 08-PM,HVNBTC,6.28e-06,6.31e-06,6.28e-06,6.29e-06,3750.0,0.02355
2018-07-04 07-PM,HVNBTC,6.29e-06,6.29e-06,6.28e-06,6.28e-06,16630.0,0.1044
2018-07-04 06-PM,HVNBTC,6.08e-06,6.3e-06,6.08e-06,6.29e-06,13790.0,0.0864
2018-07-04 05-PM,HVNBTC,6.08e-06,6.08e-06,6.08e-06,6.08e-06,1560.0,0.009485
2018-07-04 04-PM,HVNBTC,6.08e-06,6.08e-06,6.08e-06,6.08e-06,0.0,0.0
2018-07-04 03-PM,HVNBTC,6.08e-06,6.08e-06,6.08e-06,6.08e-06,0.0,0.0
2018-07-04 02-PM,HVNBTC,6.08e-06,6.08e-06,6.08e-06,6.08e-06,0.0,0.0
2018-07-04 01-PM,HVNBTC,6.04e-06,6.08e-06,6.04e-06,6.08e-06,380.0,0.00231
2018-07-04 12-PM,HVNBTC,6.03e-06,6.04e-06,6.03e-06,6.04e-06,6130.0,0.03703
2018-07-04 11-AM,HVNBTC,6.03e-06,6.03e-06,6.03e-06,6.03e-06,400.0,0.002412
2018-07-04 10-AM,HVNBTC,6.1e-06,6.1e-06,6.03e-06,6.03e-06,14740.0,0.08904
2018-07-04 09-AM,HVNBTC,6.1e-06,6.1e-06,6.1e-06,6.1e-06,0.0,0.0
2018-07-04 08-AM,HVNBTC,6.19e-06,6.19e-06,6.1e-06,6.1e-06,300.0,0.001844
2018-07-04 07-AM,HVNBTC,6.2e-06,6.22e-06,6.19e-06,6.19e-06,16660.0,0.1032
2018-07-04 06-AM,HVNBTC,6.23e-06,6.23e-06,6.18e-06,6.2e-06,1670.0,0.01034
2018-07-04 05-AM,HVNBTC,6.23e-06,6.23e-06,6.23e-06,6.23e-06,0.0,0.0
2018-07-04 04-AM,HVNBTC,6.03e-06,6.41e-06,6.03e-06,6.23e-06,11680.0,0.07449
2018-07-04 03-AM,HVNBTC,6.2e-06,6.2e-06,6.03e-06,6.03e-06,39150.0,0.2363
2018-07-04 02-AM,HVNBTC,6.19e-06,6.2e-06,6.19e-06,6.2e-06,880.0,0.005456
2018-07-04 01-AM,HVNBTC,6.03e-06,6.19e-06,6.03e-06,6.19e-06,3780.0,0.02315
2018-07-04 12-AM,HVNBTC,6.2e-06,6.2e-06,6.03e-06,6.03e-06,10880.0,0.06689
2018-07-03 11-PM,HVNBTC,6.37e-06,6.37e-06,6.2e-06,6.2e-06,193880.0,1.21
2018-07-03 10-PM,HVNBTC,6.45e-06,6.47e-06,6.37e-06,6.37e-06,4800.0,0.03103
2018-07-03 09-PM,HVNBTC,6.37e-06,6.45e-06,6.37e-06,6.45e-06,100.0,0.000645
2018-07-03 08-PM,HVNBTC,6.48e-06,6.48e-06,6.37e-06,6.37e-06,4910.0,0.03128
2018-07-03 07-PM,HVNBTC,6.48e-06,6.48e-06,6.48e-06,6.48e-06,0.0,0.0
2018-07-03 06-PM,HVNBTC,6.48e-06,6.48e-06,6.48e-06,6.48e-06,5000.0,0.0324
2018-07-03 05-PM,HVNBTC,6.48e-06,6.48e-06,6.43e-06,6.48e-06,13250.0,0.08581
2018-07-03 04-PM,HVNBTC,6.45e-06,6.48e-06,6.41e-06,6.48e-06,52660.0,0.3412
2018-07-03 03-PM,HVNBTC,6.4e-06,6.48e-06,6.4e-06,6.45e-06,56660.0,0.3631
2018-07-03 02-PM,HVNBTC,6.48e-06,6.51e-06,6.25e-06,6.4e-06,9170.0,0.05871
2018-07-03 01-PM,HVNBTC,6.29e-06,6.55e-06,6.29e-06,6.42e-06,28640.0,0.1851
2018-07-03 12-PM,HVNBTC,6.42e-06,6.44e-06,6.2e-06,6.29e-06,37380.0,0.237
2018-07-03 11-AM,HVNBTC,6.44e-06,6.55e-06,6.41e-06,6.42e-06,21410.0,0.1389
2018-07-03 10-AM,HVNBTC,6.5e-06,6.5e-06,6.42e-06,6.44e-06,12670.0,0.08141
2018-07-03 09-AM,HVNBTC,6.47e-06,6.5e-06,6.47e-06,6.5e-06,63480.0,0.4121
2018-07-03 08-AM,HVNBTC,6.32e-06,6.47e-06,6.32e-06,6.47e-06,40.0,0.0002588
2018-07-03 07-AM,HVNBTC,6.32e-06,6.32e-06,6.32e-06,6.32e-06,0.0,0.0
2018-07-03 06-AM,HVNBTC,6.48e-06,6.48e-06,6.31e-06,6.32e-06,1820.0,0.01162
2018-07-03 05-AM,HVNBTC,6.48e-06,6.48e-06,6.48e-06,6.48e-06,0.0,0.0
2018-07-03 04-AM,HVNBTC,6.48e-06,6.48e-06,6.48e-06,6.48e-06,0.0,0.0
2018-07-03 03-AM,HVNBTC,6.19e-06,6.48e-06,6.11e-06,6.48e-06,23060.0,0.1467
2018-07-03 02-AM,HVNBTC,6.19e-06,6.19e-06,6.19e-06,6.19e-06,0.0,0.0
2018-07-03 01-AM,HVNBTC,6.19e-06,6.19e-06,6.19e-06,6.19e-06,0.0,0.0
2018-07-03 12-AM,HVNBTC,6.19e-06,6.19e-06,6.19e-06,6.19e-06,0.0,0.0
2018-07-02 11-PM,HVNBTC,6.32e-06,6.32e-06,6.15e-06,6.19e-06,4370.0,0.02721
2018-07-02 10-PM,HVNBTC,6.32e-06,6.32e-06,6.32e-06,6.32e-06,0.0,0.0
2018-07-02 09-PM,HVNBTC,6.19e-06,6.37e-06,6.19e-06,6.32e-06,7260.0,0.04595
2018-07-02 08-PM,HVNBTC,6.15e-06,6.23e-06,6.11e-06,6.19e-06,3270.0,0.02028
2018-07-02 07-PM,HVNBTC,6.13e-06,6.15e-06,6.04e-06,6.15e-06,5820.0,0.03571
2018-07-02 06-PM,HVNBTC,6.13e-06,6.13e-06,6.13e-06,6.13e-06,0.0,0.0
2018-07-02 05-PM,HVNBTC,6.23e-06,6.23e-06,6.13e-06,6.13e-06,9400.0,0.05776
