Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2018-07-06 12-AM,LTCBTC,0.01271,0.01278,0.01271,0.01277,26.7,0.3405
2018-07-05 11-PM,LTCBTC,0.01268,0.01276,0.01268,0.01271,68.6,0.8714
2018-07-05 10-PM,LTCBTC,0.01268,0.01271,0.01266,0.01268,143.9,1.82
2018-07-05 09-PM,LTCBTC,0.01273,0.01275,0.01266,0.01268,134.8,1.71
2018-07-05 08-PM,LTCBTC,0.01271,0.01277,0.01269,0.01273,195.7,2.49
2018-07-05 07-PM,LTCBTC,0.01272,0.01274,0.01266,0.01271,222.6,2.83
2018-07-05 06-PM,LTCBTC,0.01273,0.0128,0.01272,0.01272,352.3,4.49
2018-07-05 05-PM,LTCBTC,0.01279,0.0128,0.01273,0.01273,96.6,1.23
2018-07-05 04-PM,LTCBTC,0.01274,0.01285,0.01273,0.01279,162.3,2.08
2018-07-05 03-PM,LTCBTC,0.01278,0.01278,0.01262,0.01274,236.5,3.0
2018-07-05 02-PM,LTCBTC,0.01284,0.01286,0.01276,0.01278,195.2,2.5
2018-07-05 01-PM,LTCBTC,0.01273,0.01287,0.01273,0.01284,146.1,1.87
2018-07-05 12-PM,LTCBTC,0.01273,0.01277,0.0127,0.01273,252.1,3.21
2018-07-05 11-AM,LTCBTC,0.01285,0.01286,0.01273,0.01273,131.0,1.68
2018-07-05 10-AM,LTCBTC,0.01284,0.01285,0.0128,0.01285,82.6,1.06
2018-07-05 09-AM,LTCBTC,0.01279,0.01288,0.01279,0.01284,77.6,0.9971
2018-07-05 08-AM,LTCBTC,0.01282,0.01282,0.01277,0.01279,105.6,1.35
2018-07-05 07-AM,LTCBTC,0.01281,0.01283,0.01278,0.01282,169.3,2.17
2018-07-05 06-AM,LTCBTC,0.01288,0.01288,0.01281,0.01281,125.2,1.61
2018-07-05 05-AM,LTCBTC,0.01286,0.0129,0.01285,0.01288,126.3,1.63
2018-07-05 04-AM,LTCBTC,0.01284,0.01291,0.01284,0.01286,229.6,2.96
2018-07-05 03-AM,LTCBTC,0.01292,0.01297,0.01284,0.01284,118.7,1.54
2018-07-05 02-AM,LTCBTC,0.01303,0.01304,0.01292,0.01292,62.0,0.8041
2018-07-05 01-AM,LTCBTC,0.01293,0.01304,0.01291,0.01303,55.8,0.7236
2018-07-05 12-AM,LTCBTC,0.01294,0.01296,0.01289,0.01293,45.7,0.5904
