Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume MAI,Volume DETH
2018-07-06 12-AM,MAIDETH,0.000688,0.00069,0.000687,0.000689,62270.0,42.9
2018-07-05 11-PM,MAIDETH,0.000684,0.000696,0.000684,0.000688,187250.0,129.28
2018-07-05 10-PM,MAIDETH,0.000684,0.000686,0.000682,0.000684,29900.0,20.45
2018-07-05 09-PM,MAIDETH,0.000683,0.000686,0.000681,0.000684,142500.0,97.54
2018-07-05 08-PM,MAIDETH,0.000684,0.00069,0.000681,0.000683,152280.0,104.51
2018-07-05 07-PM,MAIDETH,0.000681,0.000685,0.000681,0.000684,91760.0,62.66
2018-07-05 06-PM,MAIDETH,0.000682,0.000682,0.000678,0.000681,42020.0,28.55
2018-07-05 05-PM,MAIDETH,0.000682,0.000683,0.000681,0.000682,30600.0,20.85
2018-07-05 04-PM,MAIDETH,0.000681,0.000682,0.000679,0.000682,78790.0,53.7
2018-07-05 03-PM,MAIDETH,0.000679,0.000684,0.000678,0.000681,93840.0,63.85
2018-07-05 02-PM,MAIDETH,0.000683,0.000689,0.000679,0.000679,101660.0,69.69
2018-07-05 01-PM,MAIDETH,0.000684,0.000685,0.000682,0.000683,130290.0,89.02
2018-07-05 12-PM,MAIDETH,0.000684,0.000687,0.000681,0.000684,132410.0,90.69
2018-07-05 11-AM,MAIDETH,0.000681,0.00069,0.000681,0.000684,103860.0,71.1
2018-07-05 10-AM,MAIDETH,0.000684,0.000686,0.00068,0.000681,99400.0,68.1
2018-07-05 09-AM,MAIDETH,0.000688,0.000688,0.000683,0.000684,87730.0,60.01
2018-07-05 08-AM,MAIDETH,0.000691,0.000691,0.000687,0.000688,131910.0,90.84
2018-07-05 07-AM,MAIDETH,0.000694,0.000694,0.000687,0.000691,48540.0,33.45
2018-07-05 06-AM,MAIDETH,0.000686,0.000694,0.000686,0.000694,40730.0,27.96
2018-07-05 05-AM,MAIDETH,0.000687,0.000688,0.000686,0.000686,108170.0,74.26
