Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume MAI,Volume DUSD
2018-06-11,MAIDUSD,0.3452,0.3503,0.3444,0.3478,28896.0,10031.25
2018-06-09,MAIDUSD,0.4464,0.4499,0.44,0.4402,689373.0,305438.83
2018-06-08,MAIDUSD,0.4768,0.4783,0.4443,0.4464,1275473.0,585645.23
2018-06-07,MAIDUSD,0.4715,0.4792,0.4612,0.4768,1182897.0,556063.35
2018-06-06,MAIDUSD,0.4928,0.5023,0.4496,0.4715,1346336.0,646105.89
2018-06-05,MAIDUSD,0.4847,0.5049,0.4546,0.4928,1321442.0,628029.77
2018-06-04,MAIDUSD,0.4984,0.5044,0.4755,0.4847,1100318.0,538510.78
2018-06-03,MAIDUSD,0.4621,0.5043,0.4546,0.4984,335273.0,160624.89
2018-06-02,MAIDUSD,0.4503,0.4705,0.4321,0.4621,319685.0,145281.97
2018-06-01,MAIDUSD,0.4544,0.4697,0.4374,0.4503,284033.0,128028.27
2018-05-31,MAIDUSD,0.4288,0.4697,0.4217,0.4544,342725.0,154158.44
2018-05-30,MAIDUSD,0.4235,0.4558,0.412,0.4288,428183.0,186612.63
2018-05-29,MAIDUSD,0.4018,0.4348,0.3942,0.4235,392399.0,163369.3
2018-05-28,MAIDUSD,0.445,0.4604,0.3989,0.4018,404134.0,171895.18
2018-05-27,MAIDUSD,0.4342,0.4791,0.4233,0.445,325948.0,146710.19
2018-05-26,MAIDUSD,0.492,0.492,0.4341,0.4342,427512.0,195184.3
2018-05-25,MAIDUSD,0.4151,0.5,0.408,0.492,438434.0,200687.27
2018-05-24,MAIDUSD,0.3945,0.4338,0.3618,0.4151,498477.0,195430.15
2018-05-23,MAIDUSD,0.4093,0.4247,0.3573,0.3945,525452.0,203217.2
2018-05-22,MAIDUSD,0.3724,0.4366,0.3687,0.4093,448881.0,180396.28
2018-05-21,MAIDUSD,0.3888,0.3919,0.3657,0.3724,394671.0,149521.77
2018-05-20,MAIDUSD,0.35,0.3909,0.3444,0.3888,487869.0,179033.3
