Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NXT,Volume BTC
2018-07-06 12-AM,NXTBTC,1.487e-05,1.49e-05,1.481e-05,1.489e-05,168757.0,2.51
2018-07-05 11-PM,NXTBTC,1.489e-05,1.491e-05,1.485e-05,1.487e-05,258399.0,3.84
2018-07-05 10-PM,NXTBTC,1.487e-05,1.49e-05,1.485e-05,1.489e-05,108882.0,1.62
2018-07-05 09-PM,NXTBTC,1.489e-05,1.494e-05,1.486e-05,1.487e-05,634146.0,9.45
2018-07-05 08-PM,NXTBTC,1.495e-05,1.5e-05,1.487e-05,1.489e-05,43996.0,0.6574
2018-07-05 07-PM,NXTBTC,1.498e-05,1.503e-05,1.491e-05,1.495e-05,141671.0,2.12
2018-07-05 06-PM,NXTBTC,1.5e-05,1.504e-05,1.491e-05,1.498e-05,58835.0,0.8811
2018-07-05 05-PM,NXTBTC,1.509e-05,1.514e-05,1.493e-05,1.5e-05,364753.0,5.48
2018-07-05 04-PM,NXTBTC,1.494e-05,1.515e-05,1.494e-05,1.509e-05,476057.0,7.16
2018-07-05 03-PM,NXTBTC,1.507e-05,1.515e-05,1.49e-05,1.494e-05,450605.0,6.79
2018-07-05 02-PM,NXTBTC,1.515e-05,1.522e-05,1.503e-05,1.507e-05,487010.0,7.35
2018-07-05 01-PM,NXTBTC,1.518e-05,1.521e-05,1.511e-05,1.515e-05,633973.0,9.61
2018-07-05 12-PM,NXTBTC,1.511e-05,1.522e-05,1.51e-05,1.518e-05,734187.0,11.15
2018-07-05 11-AM,NXTBTC,1.511e-05,1.513e-05,1.507e-05,1.511e-05,58306.0,0.8806
2018-07-05 10-AM,NXTBTC,1.518e-05,1.518e-05,1.508e-05,1.511e-05,437869.0,6.64
2018-07-05 09-AM,NXTBTC,1.523e-05,1.53e-05,1.515e-05,1.518e-05,392900.0,5.98
2018-07-05 08-AM,NXTBTC,1.523e-05,1.53e-05,1.519e-05,1.523e-05,82127.0,1.25
2018-07-05 07-AM,NXTBTC,1.533e-05,1.533e-05,1.518e-05,1.523e-05,645556.0,9.85
2018-07-05 06-AM,NXTBTC,1.526e-05,1.533e-05,1.516e-05,1.533e-05,912651.0,13.88
2018-07-05 05-AM,NXTBTC,1.535e-05,1.535e-05,1.525e-05,1.526e-05,1415406.0,21.64
2018-07-05 04-AM,NXTBTC,1.536e-05,1.536e-05,1.535e-05,1.535e-05,4269.0,0.06556
2018-07-05 03-AM,NXTBTC,1.525e-05,1.54e-05,1.525e-05,1.536e-05,616061.0,9.46
2018-07-05 02-AM,NXTBTC,1.53e-05,1.53e-05,1.525e-05,1.525e-05,13239.0,0.2021
2018-07-05 01-AM,NXTBTC,1.533e-05,1.538e-05,1.53e-05,1.53e-05,661.0,0.01015
2018-07-05 12-AM,NXTBTC,1.537e-05,1.538e-05,1.526e-05,1.533e-05,61234.0,0.9383
2018-07-04 11-PM,NXTBTC,1.536e-05,1.54e-05,1.528e-05,1.537e-05,218375.0,3.34
2018-07-04 10-PM,NXTBTC,1.514e-05,1.543e-05,1.512e-05,1.536e-05,489253.0,7.52
2018-07-04 09-PM,NXTBTC,1.52e-05,1.528e-05,1.508e-05,1.514e-05,120669.0,1.83
2018-07-04 08-PM,NXTBTC,1.521e-05,1.53e-05,1.515e-05,1.52e-05,47338.0,0.7209
2018-07-04 07-PM,NXTBTC,1.52e-05,1.534e-05,1.517e-05,1.521e-05,414445.0,6.32
2018-07-04 06-PM,NXTBTC,1.536e-05,1.538e-05,1.518e-05,1.52e-05,258193.0,3.94
2018-07-04 05-PM,NXTBTC,1.526e-05,1.54e-05,1.515e-05,1.536e-05,584979.0,8.97
2018-07-04 04-PM,NXTBTC,1.528e-05,1.535e-05,1.513e-05,1.526e-05,554411.0,8.45
2018-07-04 03-PM,NXTBTC,1.528e-05,1.535e-05,1.517e-05,1.528e-05,313165.0,4.78
2018-07-04 02-PM,NXTBTC,1.542e-05,1.544e-05,1.52e-05,1.528e-05,328704.0,5.03
2018-07-04 01-PM,NXTBTC,1.522e-05,1.544e-05,1.509e-05,1.542e-05,688192.0,10.56
2018-07-04 12-PM,NXTBTC,1.519e-05,1.527e-05,1.512e-05,1.522e-05,896321.0,13.64
2018-07-04 11-AM,NXTBTC,1.517e-05,1.522e-05,1.513e-05,1.519e-05,400678.0,6.08
2018-07-04 10-AM,NXTBTC,1.519e-05,1.523e-05,1.511e-05,1.517e-05,273326.0,4.15
2018-07-04 09-AM,NXTBTC,1.504e-05,1.524e-05,1.504e-05,1.519e-05,445180.0,6.73
2018-07-04 08-AM,NXTBTC,1.498e-05,1.51e-05,1.492e-05,1.504e-05,370479.0,5.57
2018-07-04 07-AM,NXTBTC,1.499e-05,1.5e-05,1.498e-05,1.498e-05,640260.0,9.59
2018-07-04 06-AM,NXTBTC,1.513e-05,1.514e-05,1.495e-05,1.499e-05,511754.0,7.68
2018-07-04 05-AM,NXTBTC,1.51e-05,1.516e-05,1.51e-05,1.513e-05,84420.0,1.28
2018-07-04 04-AM,NXTBTC,1.525e-05,1.525e-05,1.51e-05,1.51e-05,23523.0,0.3571
2018-07-04 03-AM,NXTBTC,1.527e-05,1.529e-05,1.523e-05,1.525e-05,94229.0,1.44
2018-07-04 02-AM,NXTBTC,1.529e-05,1.548e-05,1.524e-05,1.527e-05,941361.0,14.45
2018-07-04 01-AM,NXTBTC,1.533e-05,1.543e-05,1.526e-05,1.529e-05,110591.0,1.69
2018-07-04 12-AM,NXTBTC,1.535e-05,1.544e-05,1.529e-05,1.533e-05,240907.0,3.7
2018-07-03 11-PM,NXTBTC,1.541e-05,1.544e-05,1.526e-05,1.535e-05,537723.0,8.25
2018-07-03 10-PM,NXTBTC,1.526e-05,1.547e-05,1.526e-05,1.541e-05,1036778.0,15.95
2018-07-03 09-PM,NXTBTC,1.523e-05,1.534e-05,1.519e-05,1.526e-05,554424.0,8.46
2018-07-03 08-PM,NXTBTC,1.522e-05,1.556e-05,1.519e-05,1.523e-05,114199.0,1.74
2018-07-03 07-PM,NXTBTC,1.522e-05,1.527e-05,1.519e-05,1.522e-05,40949.0,0.6236
2018-07-03 06-PM,NXTBTC,1.525e-05,1.531e-05,1.52e-05,1.522e-05,172750.0,2.63
2018-07-03 05-PM,NXTBTC,1.533e-05,1.536e-05,1.525e-05,1.525e-05,520951.0,7.97
2018-07-03 04-PM,NXTBTC,1.527e-05,1.536e-05,1.525e-05,1.533e-05,31599.0,0.4841
2018-07-03 03-PM,NXTBTC,1.532e-05,1.535e-05,1.519e-05,1.527e-05,336459.0,5.13
2018-07-03 02-PM,NXTBTC,1.556e-05,1.556e-05,1.528e-05,1.532e-05,14606.0,0.2236
2018-07-03 01-PM,NXTBTC,1.535e-05,1.548e-05,1.523e-05,1.533e-05,556306.0,8.52
2018-07-03 12-PM,NXTBTC,1.549e-05,1.555e-05,1.526e-05,1.535e-05,394690.0,6.06
2018-07-03 11-AM,NXTBTC,1.548e-05,1.553e-05,1.536e-05,1.549e-05,325065.0,5.02
2018-07-03 10-AM,NXTBTC,1.554e-05,1.559e-05,1.54e-05,1.548e-05,463511.0,7.2
2018-07-03 09-AM,NXTBTC,1.566e-05,1.567e-05,1.548e-05,1.554e-05,169684.0,2.64
2018-07-03 08-AM,NXTBTC,1.567e-05,1.57e-05,1.555e-05,1.566e-05,563767.0,8.8
2018-07-03 07-AM,NXTBTC,1.556e-05,1.571e-05,1.551e-05,1.567e-05,397100.0,6.2
2018-07-03 06-AM,NXTBTC,1.567e-05,1.569e-05,1.554e-05,1.556e-05,168913.0,2.63
2018-07-03 05-AM,NXTBTC,1.557e-05,1.571e-05,1.555e-05,1.567e-05,145965.0,2.28
2018-07-03 04-AM,NXTBTC,1.557e-05,1.557e-05,1.556e-05,1.556e-05,405.0,0.006305
2018-07-03 03-AM,NXTBTC,1.546e-05,1.569e-05,1.546e-05,1.557e-05,243537.0,3.81
2018-07-03 02-AM,NXTBTC,1.538e-05,1.56e-05,1.535e-05,1.546e-05,792760.0,12.26
2018-07-03 01-AM,NXTBTC,1.538e-05,1.545e-05,1.527e-05,1.538e-05,529313.0,8.14
2018-07-03 12-AM,NXTBTC,1.555e-05,1.555e-05,1.53e-05,1.538e-05,802244.0,12.4
2018-07-02 11-PM,NXTBTC,1.556e-05,1.562e-05,1.549e-05,1.555e-05,378917.0,5.89
2018-07-02 10-PM,NXTBTC,1.548e-05,1.558e-05,1.548e-05,1.556e-05,66190.0,1.03
2018-07-02 09-PM,NXTBTC,1.55e-05,1.552e-05,1.545e-05,1.548e-05,24348.0,0.3774
2018-07-02 08-PM,NXTBTC,1.555e-05,1.561e-05,1.55e-05,1.55e-05,208150.0,3.24
2018-07-02 07-PM,NXTBTC,1.566e-05,1.566e-05,1.553e-05,1.555e-05,17136.0,0.2667
2018-07-02 06-PM,NXTBTC,1.552e-05,1.571e-05,1.542e-05,1.566e-05,157818.0,2.46
2018-07-02 05-PM,NXTBTC,1.559e-05,1.561e-05,1.535e-05,1.552e-05,579105.0,8.99
2018-07-02 04-PM,NXTBTC,1.55e-05,1.559e-05,1.542e-05,1.559e-05,568965.0,8.82
2018-07-02 03-PM,NXTBTC,1.528e-05,1.576e-05,1.523e-05,1.55e-05,777411.0,12.08
2018-07-02 02-PM,NXTBTC,1.493e-05,1.529e-05,1.493e-05,1.528e-05,811423.0,12.28
2018-07-02 01-PM,NXTBTC,1.487e-05,1.503e-05,1.48e-05,1.493e-05,1352037.0,20.15
2018-07-02 12-PM,NXTBTC,1.489e-05,1.49e-05,1.487e-05,1.487e-05,579632.0,8.63
