Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NXT,Volume USD
2018-06-11 04-AM,NXTUSD,0.1196,0.1201,0.1187,0.1195,16789.0,2004.93
2018-06-11 03-AM,NXTUSD,0.1201,0.1205,0.1191,0.1196,52283.0,6258.1
2018-06-11 02-AM,NXTUSD,0.1181,0.1205,0.1181,0.1201,79725.0,9502.48
2018-06-11 01-AM,NXTUSD,0.1188,0.1197,0.1181,0.1181,100256.0,11892.42
2018-06-11 12-AM,NXTUSD,0.1199,0.1199,0.1187,0.1188,47984.0,5726.17
2018-06-10 11-PM,NXTUSD,0.1196,0.12,0.1184,0.1199,120950.0,14409.84
2018-06-10 10-PM,NXTUSD,0.1208,0.1208,0.1187,0.1196,117255.0,14025.65
2018-06-10 09-PM,NXTUSD,0.1205,0.121,0.119,0.1208,89452.0,10739.73
2018-06-10 08-PM,NXTUSD,0.1211,0.1218,0.1195,0.1205,86137.0,10417.82
2018-06-10 07-PM,NXTUSD,0.1204,0.1218,0.12,0.1211,46835.0,5665.29
2018-06-10 06-PM,NXTUSD,0.1213,0.1213,0.1185,0.1204,276458.0,33151.95
2018-06-10 05-PM,NXTUSD,0.1266,0.1274,0.1213,0.1213,288273.0,35734.82
2018-06-10 04-PM,NXTUSD,0.1291,0.1293,0.1263,0.1266,202466.0,25795.66
2018-06-10 03-PM,NXTUSD,0.1282,0.1295,0.1277,0.1291,49218.0,6325.9
2018-06-10 02-PM,NXTUSD,0.1276,0.1291,0.1268,0.1282,90936.0,11644.56
2018-06-10 01-PM,NXTUSD,0.1277,0.1289,0.1265,0.1276,184743.0,23537.77
2018-06-10 12-PM,NXTUSD,0.1283,0.1291,0.1277,0.1277,53340.0,6855.19
2018-06-10 11-AM,NXTUSD,0.1281,0.1287,0.1269,0.1283,160663.0,20518.41
2018-06-10 10-AM,NXTUSD,0.1269,0.1282,0.1263,0.1281,64224.0,8168.72
2018-06-10 09-AM,NXTUSD,0.1262,0.1274,0.1261,0.1269,183658.0,23279.03
2018-06-10 08-AM,NXTUSD,0.129,0.129,0.1261,0.1262,197942.0,25258.37
2018-06-10 07-AM,NXTUSD,0.1314,0.1317,0.129,0.129,167991.0,21823.19
2018-06-10 06-AM,NXTUSD,0.1308,0.1317,0.1304,0.1314,17268.0,2263.51
2018-06-10 05-AM,NXTUSD,0.1314,0.1325,0.1305,0.1308,102981.0,13506.82
2018-06-10 04-AM,NXTUSD,0.1321,0.1331,0.131,0.1314,153669.0,20340.61
2018-06-10 03-AM,NXTUSD,0.1335,0.1337,0.132,0.1321,85644.0,11378.58
2018-06-10 02-AM,NXTUSD,0.1337,0.1338,0.1323,0.1335,45560.0,6073.9
2018-06-10 01-AM,NXTUSD,0.134,0.1344,0.133,0.1337,204846.0,27391.39
2018-06-10 12-AM,NXTUSD,0.1366,0.1366,0.1338,0.134,443299.0,60078.17
2018-06-09 11-PM,NXTUSD,0.1373,0.138,0.1361,0.1366,399516.0,54824.49
2018-06-09 10-PM,NXTUSD,0.1374,0.1374,0.1373,0.1373,40917.0,5620.15
2018-06-09 09-PM,NXTUSD,0.1374,0.1374,0.1372,0.1374,205010.0,28159.3
2018-06-09 08-PM,NXTUSD,0.1372,0.1374,0.1371,0.1374,92999.0,12766.83
2018-06-09 07-PM,NXTUSD,0.1372,0.1374,0.1368,0.1372,39924.0,5479.26
2018-06-09 06-PM,NXTUSD,0.1374,0.1374,0.1368,0.1372,33989.0,4659.83
2018-06-09 05-PM,NXTUSD,0.138,0.1382,0.1368,0.1374,186178.0,25629.58
2018-06-09 04-PM,NXTUSD,0.1389,0.1389,0.1377,0.138,107976.0,14930.03
2018-06-09 03-PM,NXTUSD,0.1388,0.1392,0.1382,0.1389,59285.0,8231.38
2018-06-09 02-PM,NXTUSD,0.1388,0.139,0.1382,0.1388,138300.0,19170.56
2018-06-09 01-PM,NXTUSD,0.1386,0.1393,0.1382,0.1388,163864.0,22699.17
2018-06-09 12-PM,NXTUSD,0.1395,0.1397,0.1382,0.1386,191884.0,26681.24
2018-06-09 11-AM,NXTUSD,0.1393,0.1398,0.1385,0.1395,80379.0,11182.87
2018-06-09 10-AM,NXTUSD,0.14,0.1401,0.1389,0.1393,240901.0,33545.92
2018-06-09 09-AM,NXTUSD,0.1399,0.1401,0.1393,0.14,23516.0,3282.93
2018-06-09 08-AM,NXTUSD,0.1404,0.1405,0.1391,0.1399,270571.0,37823.24
2018-06-09 07-AM,NXTUSD,0.1408,0.1414,0.1402,0.1404,211482.0,29763.74
2018-06-09 06-AM,NXTUSD,0.141,0.1414,0.1401,0.1408,68575.0,9667.79
2018-06-09 05-AM,NXTUSD,0.1409,0.1411,0.1401,0.141,173563.0,24424.04
2018-06-09 04-AM,NXTUSD,0.141,0.1415,0.1409,0.1409,283908.0,40098.57
