Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume STR,Volume ATUSD
2018-06-11 04-AM,STRATUSD,3.56,3.57,3.55,3.57,0.005,0.01775
2018-06-11 03-AM,STRATUSD,3.55,3.56,3.55,3.56,150.01,532.54
2018-06-11 02-AM,STRATUSD,3.46,3.55,3.46,3.55,1.0,3.55
2018-06-11 01-AM,STRATUSD,3.49,3.49,3.46,3.46,0.1,0.346
2018-06-11 12-AM,STRATUSD,3.42,3.5,3.42,3.49,12.0,41.99
2018-06-10 11-PM,STRATUSD,3.44,3.44,3.42,3.42,11.0,37.62
2018-06-10 10-PM,STRATUSD,3.47,3.47,3.42,3.44,3.97,13.68
2018-06-10 09-PM,STRATUSD,3.57,3.57,3.47,3.47,139.03,487.81
2018-06-10 08-PM,STRATUSD,3.62,3.62,3.57,3.57,100.0,357.0
2018-06-10 07-PM,STRATUSD,3.59,3.62,3.59,3.62,15.53,56.2
2018-06-10 06-PM,STRATUSD,3.57,3.59,3.52,3.59,63.36,225.57
2018-06-10 05-PM,STRATUSD,3.88,3.88,3.57,3.57,273.68,1001.45
2018-06-10 04-PM,STRATUSD,3.88,3.88,3.88,3.88,0.0,0.0
2018-06-10 03-PM,STRATUSD,3.93,3.93,3.88,3.88,0.086,0.3337
2018-06-10 02-PM,STRATUSD,3.93,3.93,3.93,3.93,0.0,0.0
2018-06-10 01-PM,STRATUSD,3.91,3.93,3.89,3.93,1.05,4.14
2018-06-10 12-PM,STRATUSD,3.91,3.91,3.91,3.91,0.0,0.0
2018-06-10 11-AM,STRATUSD,3.91,3.91,3.91,3.91,84.75,331.37
2018-06-10 10-AM,STRATUSD,3.84,3.91,3.84,3.91,31.0,119.71
2018-06-10 09-AM,STRATUSD,3.83,3.85,3.82,3.84,0.744,2.86
2018-06-10 08-AM,STRATUSD,3.85,3.85,3.83,3.83,0.053,0.203
2018-06-10 07-AM,STRATUSD,3.96,3.96,3.85,3.85,20.57,79.48
2018-06-10 06-AM,STRATUSD,3.94,3.96,3.94,3.96,50.0,198.0
2018-06-10 05-AM,STRATUSD,3.94,3.94,3.94,3.94,0.0,0.0
2018-06-10 04-AM,STRATUSD,3.95,3.95,3.94,3.94,50.06,197.24
2018-06-10 03-AM,STRATUSD,3.98,4,3.95,3.95,118.53,474.04
2018-06-10 02-AM,STRATUSD,3.98,3.98,3.98,3.98,0.003,0.01194
2018-06-10 01-AM,STRATUSD,3.99,3.99,3.98,3.98,0.002,0.00796
2018-06-10 12-AM,STRATUSD,4.12,4.12,3.99,3.99,326.7,1308.72
2018-06-09 11-PM,STRATUSD,4.18,4.18,4.12,4.12,27.94,116.5
2018-06-09 10-PM,STRATUSD,4.2,4.2,4.18,4.18,165.19,690.65
2018-06-09 09-PM,STRATUSD,4.21,4.21,4.2,4.2,0.075,0.315
2018-06-09 08-PM,STRATUSD,4.21,4.21,4.21,4.21,0.0,0.0
2018-06-09 07-PM,STRATUSD,4.21,4.21,4.21,4.21,0.0,0.0
2018-06-09 06-PM,STRATUSD,4.25,4.25,4.21,4.21,9.4,39.57
2018-06-09 05-PM,STRATUSD,4.27,4.27,4.23,4.25,1.11,4.7
2018-06-09 04-PM,STRATUSD,4.23,4.27,4.23,4.27,1.0,4.27
2018-06-09 03-PM,STRATUSD,4.22,4.23,4.22,4.23,0.001,0.00423
2018-06-09 02-PM,STRATUSD,4.25,4.25,4.22,4.22,0.085,0.3596
2018-06-09 01-PM,STRATUSD,4.25,4.25,4.25,4.25,0.0,0.0
2018-06-09 12-PM,STRATUSD,4.32,4.32,4.25,4.25,0.289,1.24
2018-06-09 11-AM,STRATUSD,4.33,4.33,4.32,4.32,0.01,0.0432
2018-06-09 10-AM,STRATUSD,4.33,4.33,4.33,4.33,0.968,4.19
2018-06-09 09-AM,STRATUSD,4.3,4.33,4.29,4.33,16.33,70.33
2018-06-09 08-AM,STRATUSD,4.33,4.33,4.3,4.3,49.74,214.38
2018-06-09 07-AM,STRATUSD,4.32,4.33,4.32,4.33,23.39,101.29
2018-06-09 06-AM,STRATUSD,4.32,4.32,4.32,4.32,0.0,0.0
2018-06-09 05-AM,STRATUSD,4.31,4.32,4.31,4.32,0.002,0.00864
2018-06-09 04-AM,STRATUSD,4.33,4.33,4.31,4.31,0.004,0.01725
2018-06-09 03-AM,STRATUSD,4.31,4.33,4.31,4.33,97.79,423.45
2018-06-09 02-AM,STRATUSD,4.3,4.31,4.3,4.31,0.004,0.01721
2018-06-09 01-AM,STRATUSD,4.27,4.3,4.26,4.3,0.293,1.26
2018-06-09 12-AM,STRATUSD,4.26,4.27,4.25,4.27,0.025,0.1065
2018-06-08 11-PM,STRATUSD,4.27,4.3,4.26,4.26,3.81,16.37
2018-06-08 10-PM,STRATUSD,4.29,4.29,4.27,4.27,0.009,0.03846
2018-06-08 09-PM,STRATUSD,4.26,4.29,4.26,4.29,0.264,1.13
2018-06-08 08-PM,STRATUSD,4.25,4.26,4.25,4.26,0.008,0.03402
2018-06-08 07-PM,STRATUSD,4.25,4.25,4.23,4.25,0.314,1.33
2018-06-08 06-PM,STRATUSD,4.28,4.28,4.25,4.25,0.022,0.09382
2018-06-08 05-PM,STRATUSD,4.26,4.28,4.26,4.28,0.006,0.02565
2018-06-08 04-PM,STRATUSD,4.22,4.28,4.22,4.26,7.93,33.74
2018-06-08 03-PM,STRATUSD,4.19,4.22,4.16,4.22,21.74,90.86
2018-06-08 02-PM,STRATUSD,4.2,4.23,4.16,4.19,18.84,78.4
2018-06-08 01-PM,STRATUSD,4.23,4.23,4.2,4.2,0.02,0.08413
2018-06-08 12-PM,STRATUSD,4.22,4.23,4.22,4.23,67.0,283.42
2018-06-08 11-AM,STRATUSD,4.19,4.23,4.17,4.22,0.224,0.9416
2018-06-08 10-AM,STRATUSD,4.29,4.29,4.19,4.19,23.72,101.02
2018-06-08 09-AM,STRATUSD,4.3,4.3,4.29,4.29,3.51,15.07
2018-06-08 08-AM,STRATUSD,4.3,4.3,4.3,4.3,6.36,27.34
2018-06-08 07-AM,STRATUSD,4.3,4.3,4.3,4.3,0.0,0.0
2018-06-08 06-AM,STRATUSD,4.32,4.32,4.3,4.3,0.01,0.04305
2018-06-08 05-AM,STRATUSD,4.35,4.35,4.32,4.32,0.099,0.4285
2018-06-08 04-AM,STRATUSD,4.45,4.45,4.35,4.35,0.393,1.73
2018-06-08 03-AM,STRATUSD,4.45,4.45,4.45,4.45,0.033,0.1469
2018-06-08 02-AM,STRATUSD,4.45,4.45,4.44,4.45,61.06,271.11
2018-06-08 01-AM,STRATUSD,4.44,4.45,4.44,4.45,0.003,0.01335
2018-06-08 12-AM,STRATUSD,4.45,4.45,4.44,4.44,50.0,222.0
2018-06-07 11-PM,STRATUSD,4.45,4.45,4.45,4.45,0.0,0.0
2018-06-07 10-PM,STRATUSD,4.46,4.46,4.45,4.45,35.0,155.75
2018-06-07 09-PM,STRATUSD,4.46,4.46,4.46,4.46,0.0,0.0
2018-06-07 08-PM,STRATUSD,4.49,4.49,4.46,4.46,0.01,0.04464
2018-06-07 07-PM,STRATUSD,4.48,4.5,4.47,4.49,117.33,524.83
2018-06-07 06-PM,STRATUSD,4.47,4.48,4.47,4.48,0.002,0.00896
2018-06-07 05-PM,STRATUSD,4.46,4.49,4.46,4.47,2.71,12.15
2018-06-07 04-PM,STRATUSD,4.45,4.48,4.45,4.46,65.48,291.4
2018-06-07 03-PM,STRATUSD,4.45,4.45,4.45,4.45,3.41,15.17
2018-06-07 02-PM,STRATUSD,4.46,4.47,4.43,4.45,3.3,14.62
2018-06-07 01-PM,STRATUSD,4.47,4.47,4.46,4.46,0.013,0.05805
2018-06-07 12-PM,STRATUSD,4.47,4.47,4.47,4.47,26.47,118.31
2018-06-07 11-AM,STRATUSD,4.47,4.47,4.47,4.47,0.0,0.0
2018-06-07 10-AM,STRATUSD,4.48,4.5,4.47,4.47,56.86,254.67
2018-06-07 09-AM,STRATUSD,4.48,4.48,4.48,4.48,0.0,0.0
2018-06-07 08-AM,STRATUSD,4.49,4.51,4.48,4.48,16.6,74.84
2018-06-07 07-AM,STRATUSD,4.51,4.51,4.49,4.49,53.76,241.37
2018-06-07 06-AM,STRATUSD,4.51,4.51,4.51,4.51,0.0,0.0
2018-06-07 05-AM,STRATUSD,4.51,4.51,4.51,4.51,0.0,0.0
2018-06-07 04-AM,STRATUSD,4.51,4.51,4.51,4.51,1.0,4.51
2018-06-07 03-AM,STRATUSD,4.51,4.51,4.51,4.51,0.0,0.0
2018-06-07 02-AM,STRATUSD,4.51,4.51,4.51,4.51,0.0,0.0
2018-06-07 01-AM,STRATUSD,4.49,4.51,4.49,4.51,0.232,1.04
2018-06-07 12-AM,STRATUSD,4.47,4.49,4.47,4.49,0.025,0.1121
2018-06-06 11-PM,STRATUSD,4.46,4.47,4.46,4.47,0.005,0.02235
2018-06-06 10-PM,STRATUSD,4.44,4.46,4.44,4.46,0.01,0.04455
2018-06-06 09-PM,STRATUSD,4.38,4.44,4.38,4.44,6.24,27.5
2018-06-06 08-PM,STRATUSD,4.36,4.38,4.36,4.38,0.049,0.214
2018-06-06 07-PM,STRATUSD,4.33,4.36,4.33,4.36,1.1,4.79
2018-06-06 06-PM,STRATUSD,4.37,4.37,4.33,4.33,227.13,985.76
2018-06-06 05-PM,STRATUSD,4.37,4.37,4.37,4.37,0.003,0.01311
2018-06-06 04-PM,STRATUSD,4.46,4.46,4.37,4.37,34.66,152.66
2018-06-06 03-PM,STRATUSD,4.46,4.46,4.46,4.46,0.0,0.0
2018-06-06 02-PM,STRATUSD,4.46,4.46,4.46,4.46,0.145,0.6467
2018-06-06 01-PM,STRATUSD,4.46,4.46,4.46,4.46,0.0,0.0
2018-06-06 12-PM,STRATUSD,4.46,4.46,4.46,4.46,0.0,0.0
2018-06-06 11-AM,STRATUSD,4.45,4.46,4.45,4.46,0.561,2.5
2018-06-06 10-AM,STRATUSD,4.45,4.45,4.45,4.45,0.0,0.0
2018-06-06 09-AM,STRATUSD,4.45,4.45,4.45,4.45,0.0,0.0
2018-06-06 08-AM,STRATUSD,4.48,4.48,4.45,4.45,0.084,0.3753
2018-06-06 07-AM,STRATUSD,4.45,4.48,4.45,4.48,0.876,3.91
2018-06-06 06-AM,STRATUSD,4.45,4.45,4.45,4.45,0.0,0.0
2018-06-06 05-AM,STRATUSD,4.48,4.48,4.45,4.45,17.07,75.95
2018-06-06 04-AM,STRATUSD,4.48,4.48,4.48,4.48,0.0,0.0
2018-06-06 03-AM,STRATUSD,4.48,4.48,4.48,4.48,0.0,0.0
2018-06-06 02-AM,STRATUSD,4.47,4.49,4.47,4.48,0.015,0.06725
2018-06-06 01-AM,STRATUSD,4.48,4.52,4.47,4.47,195.75,877.62
2018-06-06 12-AM,STRATUSD,4.48,4.48,4.48,4.48,0.0,0.0
2018-06-05 11-PM,STRATUSD,4.48,4.48,4.48,4.48,0.0,0.0
2018-06-05 10-PM,STRATUSD,4.48,4.48,4.47,4.48,0.75,3.35
2018-06-05 09-PM,STRATUSD,4.54,4.54,4.48,4.48,10.99,49.26
2018-06-05 08-PM,STRATUSD,4.54,4.54,4.54,4.54,0.0,0.0
2018-06-05 07-PM,STRATUSD,4.5,4.54,4.5,4.54,10.0,45.4
2018-06-05 06-PM,STRATUSD,4.54,4.54,4.5,4.5,1.0,4.52
2018-06-05 05-PM,STRATUSD,4.48,4.54,4.48,4.54,219.89,989.51
2018-06-05 04-PM,STRATUSD,4.41,4.48,4.41,4.48,0.096,0.4273
2018-06-05 03-PM,STRATUSD,4.32,4.41,4.32,4.41,67.32,295.5
2018-06-05 02-PM,STRATUSD,4.32,4.32,4.32,4.32,0.001,0.00432
2018-06-05 01-PM,STRATUSD,4.35,4.36,4.32,4.32,0.12,0.5211
2018-06-05 12-PM,STRATUSD,4.34,4.35,4.34,4.35,80.5,349.36
2018-06-05 11-AM,STRATUSD,4.34,4.34,4.34,4.34,0.0,0.0
2018-06-05 10-AM,STRATUSD,4.29,4.34,4.29,4.34,17.2,74.63
2018-06-05 09-AM,STRATUSD,4.38,4.38,4.29,4.29,110.55,478.18
