Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume TRX,Volume BTC
2018-07-06 12-AM,TRXBTC,5.82e-06,5.84e-06,5.82e-06,5.83e-06,16000.0,0.09324
2018-07-05 11-PM,TRXBTC,5.85e-06,5.85e-06,5.82e-06,5.82e-06,7000.0,0.04074
2018-07-05 10-PM,TRXBTC,5.84e-06,5.85e-06,5.8e-06,5.85e-06,300000.0,1.74
2018-07-05 09-PM,TRXBTC,5.84e-06,5.85e-06,5.84e-06,5.84e-06,41000.0,0.2394
2018-07-05 08-PM,TRXBTC,5.86e-06,5.86e-06,5.83e-06,5.84e-06,58000.0,0.3387
2018-07-05 07-PM,TRXBTC,5.91e-06,5.91e-06,5.86e-06,5.86e-06,11000.0,0.06451
2018-07-05 06-PM,TRXBTC,5.89e-06,5.92e-06,5.85e-06,5.91e-06,243000.0,1.43
2018-07-05 05-PM,TRXBTC,5.87e-06,5.89e-06,5.86e-06,5.89e-06,140000.0,0.8227
2018-07-05 04-PM,TRXBTC,5.86e-06,5.88e-06,5.85e-06,5.87e-06,93000.0,0.5453
2018-07-05 03-PM,TRXBTC,5.88e-06,5.88e-06,5.86e-06,5.86e-06,22000.0,0.1292
2018-07-05 02-PM,TRXBTC,5.9e-06,5.9e-06,5.86e-06,5.88e-06,56000.0,0.3289
2018-07-05 01-PM,TRXBTC,5.91e-06,5.91e-06,5.89e-06,5.9e-06,96000.0,0.5663
2018-07-05 12-PM,TRXBTC,5.92e-06,5.94e-06,5.91e-06,5.91e-06,93000.0,0.5511
2018-07-05 11-AM,TRXBTC,5.94e-06,5.94e-06,5.92e-06,5.92e-06,1000.0,0.00592
2018-07-05 10-AM,TRXBTC,5.96e-06,5.96e-06,5.92e-06,5.94e-06,35000.0,0.2076
2018-07-05 09-AM,TRXBTC,5.95e-06,6.0e-06,5.93e-06,5.96e-06,441000.0,2.63
2018-07-05 08-AM,TRXBTC,5.94e-06,5.98e-06,5.9e-06,5.95e-06,333000.0,1.97
2018-07-05 07-AM,TRXBTC,5.97e-06,5.97e-06,5.93e-06,5.94e-06,49000.0,0.2911
2018-07-05 06-AM,TRXBTC,5.99e-06,6.0e-06,5.97e-06,5.97e-06,94000.0,0.5622
2018-07-05 05-AM,TRXBTC,5.99e-06,6.0e-06,5.99e-06,5.99e-06,41000.0,0.2457
2018-07-05 04-AM,TRXBTC,5.97e-06,6.04e-06,5.97e-06,5.99e-06,178000.0,1.07
2018-07-05 03-AM,TRXBTC,5.99e-06,5.99e-06,5.97e-06,5.97e-06,2000.0,0.01194
2018-07-05 02-AM,TRXBTC,6.03e-06,6.03e-06,5.99e-06,5.99e-06,815000.0,4.9
2018-07-05 01-AM,TRXBTC,5.98e-06,6.05e-06,5.98e-06,6.03e-06,186000.0,1.12
2018-07-05 12-AM,TRXBTC,5.97e-06,6.01e-06,5.97e-06,5.98e-06,68000.0,0.4081
2018-07-04 11-PM,TRXBTC,5.98e-06,5.99e-06,5.96e-06,5.97e-06,10000.0,0.05978
2018-07-04 10-PM,TRXBTC,5.99e-06,5.99e-06,5.96e-06,5.98e-06,33000.0,0.197
2018-07-04 09-PM,TRXBTC,5.97e-06,5.99e-06,5.97e-06,5.99e-06,19000.0,0.1137
2018-07-04 08-PM,TRXBTC,5.95e-06,5.97e-06,5.94e-06,5.97e-06,22000.0,0.131
2018-07-04 07-PM,TRXBTC,5.98e-06,5.98e-06,5.94e-06,5.95e-06,55000.0,0.3281
2018-07-04 06-PM,TRXBTC,6.0e-06,6.0e-06,5.94e-06,5.98e-06,180000.0,1.07
2018-07-04 05-PM,TRXBTC,5.98e-06,6.0e-06,5.98e-06,6.0e-06,73000.0,0.4377
2018-07-04 04-PM,TRXBTC,5.99e-06,6.01e-06,5.97e-06,5.98e-06,52000.0,0.311
2018-07-04 03-PM,TRXBTC,6.0e-06,6.03e-06,5.99e-06,5.99e-06,234000.0,1.41
2018-07-04 02-PM,TRXBTC,5.98e-06,6.01e-06,5.97e-06,6.0e-06,129000.0,0.772
2018-07-04 01-PM,TRXBTC,5.96e-06,6.01e-06,5.95e-06,5.98e-06,297000.0,1.78
2018-07-04 12-PM,TRXBTC,5.92e-06,6.01e-06,5.92e-06,5.96e-06,114000.0,0.6811
2018-07-04 11-AM,TRXBTC,5.96e-06,5.96e-06,5.92e-06,5.92e-06,106000.0,0.629
2018-07-04 10-AM,TRXBTC,5.94e-06,5.98e-06,5.94e-06,5.96e-06,262000.0,1.56
2018-07-04 09-AM,TRXBTC,5.99e-06,5.99e-06,5.94e-06,5.94e-06,19000.0,0.1131
2018-07-04 08-AM,TRXBTC,5.92e-06,6.04e-06,5.92e-06,5.99e-06,366000.0,2.19
2018-07-04 07-AM,TRXBTC,5.9e-06,5.94e-06,5.9e-06,5.92e-06,50000.0,0.296
2018-07-04 06-AM,TRXBTC,5.91e-06,5.91e-06,5.9e-06,5.9e-06,12000.0,0.0708
2018-07-04 05-AM,TRXBTC,5.93e-06,5.93e-06,5.91e-06,5.91e-06,2000.0,0.01182
2018-07-04 04-AM,TRXBTC,5.92e-06,5.93e-06,5.92e-06,5.93e-06,1000.0,0.00593
2018-07-04 03-AM,TRXBTC,5.94e-06,5.94e-06,5.91e-06,5.92e-06,130000.0,0.7716
2018-07-04 02-AM,TRXBTC,5.94e-06,5.94e-06,5.94e-06,5.94e-06,0.0,0.0
2018-07-04 01-AM,TRXBTC,5.94e-06,5.96e-06,5.89e-06,5.94e-06,228000.0,1.35
2018-07-04 12-AM,TRXBTC,5.99e-06,6.01e-06,5.92e-06,5.94e-06,1973000.0,11.73
2018-07-03 11-PM,TRXBTC,6.01e-06,6.02e-06,5.99e-06,5.99e-06,308000.0,1.85
2018-07-03 10-PM,TRXBTC,5.99e-06,6.04e-06,5.99e-06,6.01e-06,147000.0,0.8841
2018-07-03 09-PM,TRXBTC,6.02e-06,6.02e-06,5.97e-06,5.99e-06,31000.0,0.1864
2018-07-03 08-PM,TRXBTC,6.01e-06,6.04e-06,6.0e-06,6.02e-06,70000.0,0.4213
2018-07-03 07-PM,TRXBTC,6.02e-06,6.02e-06,6.01e-06,6.01e-06,37000.0,0.2224
2018-07-03 06-PM,TRXBTC,6.0e-06,6.02e-06,6.0e-06,6.02e-06,41000.0,0.2465
2018-07-03 05-PM,TRXBTC,6.03e-06,6.03e-06,6.0e-06,6.0e-06,27000.0,0.1626
2018-07-03 04-PM,TRXBTC,6.01e-06,6.07e-06,6.01e-06,6.03e-06,883000.0,5.33
2018-07-03 03-PM,TRXBTC,6.0e-06,6.03e-06,5.98e-06,6.01e-06,4341000.0,26.05
2018-07-03 02-PM,TRXBTC,6.14e-06,6.14e-06,5.99e-06,6.0e-06,297000.0,1.78
2018-07-03 01-PM,TRXBTC,6.02e-06,6.05e-06,6.01e-06,6.02e-06,15000.0,0.09066
2018-07-03 12-PM,TRXBTC,6.03e-06,6.05e-06,6.02e-06,6.02e-06,35000.0,0.2111
2018-07-03 11-AM,TRXBTC,5.99e-06,6.03e-06,5.98e-06,6.03e-06,18000.0,0.108
2018-07-03 10-AM,TRXBTC,6.08e-06,6.09e-06,5.97e-06,5.99e-06,723000.0,4.39
2018-07-03 09-AM,TRXBTC,6.08e-06,6.11e-06,6.07e-06,6.08e-06,125000.0,0.7615
2018-07-03 08-AM,TRXBTC,6.13e-06,6.14e-06,6.08e-06,6.08e-06,53000.0,0.3233
2018-07-03 07-AM,TRXBTC,6.13e-06,6.13e-06,6.11e-06,6.13e-06,7000.0,0.04289
2018-07-03 06-AM,TRXBTC,6.15e-06,6.17e-06,6.1e-06,6.13e-06,21000.0,0.1287
2018-07-03 05-AM,TRXBTC,6.19e-06,6.2e-06,6.13e-06,6.15e-06,848000.0,5.23
2018-07-03 04-AM,TRXBTC,6.14e-06,6.18e-06,6.14e-06,6.14e-06,186000.0,1.14
2018-07-03 03-AM,TRXBTC,6.1e-06,6.16e-06,6.07e-06,6.14e-06,400000.0,2.45
2018-07-03 02-AM,TRXBTC,6.01e-06,6.12e-06,6.01e-06,6.1e-06,114000.0,0.6888
2018-07-03 01-AM,TRXBTC,6.04e-06,6.05e-06,5.97e-06,6.01e-06,387000.0,2.33
2018-07-03 12-AM,TRXBTC,6.07e-06,6.07e-06,6.04e-06,6.04e-06,22000.0,0.1329
2018-07-02 11-PM,TRXBTC,6.11e-06,6.11e-06,6.07e-06,6.07e-06,54000.0,0.3282
2018-07-02 10-PM,TRXBTC,6.14e-06,6.15e-06,6.08e-06,6.11e-06,396000.0,2.43
2018-07-02 09-PM,TRXBTC,6.1e-06,6.14e-06,6.07e-06,6.14e-06,240000.0,1.46
2018-07-02 08-PM,TRXBTC,6.09e-06,6.1e-06,6.07e-06,6.1e-06,209000.0,1.27
2018-07-02 07-PM,TRXBTC,6.07e-06,6.11e-06,6.07e-06,6.09e-06,148000.0,0.9022
2018-07-02 06-PM,TRXBTC,6.05e-06,6.08e-06,6.05e-06,6.07e-06,44000.0,0.2665
2018-07-02 05-PM,TRXBTC,5.98e-06,6.06e-06,5.98e-06,6.05e-06,301000.0,1.81
2018-07-02 04-PM,TRXBTC,6.05e-06,6.05e-06,5.98e-06,5.98e-06,96000.0,0.5761
2018-07-02 03-PM,TRXBTC,6.07e-06,6.11e-06,6.05e-06,6.05e-06,167000.0,1.01
2018-07-02 02-PM,TRXBTC,6.01e-06,6.14e-06,6.01e-06,6.07e-06,235000.0,1.43
2018-07-02 01-PM,TRXBTC,5.95e-06,6.07e-06,5.95e-06,6.01e-06,266000.0,1.6
2018-07-02 12-PM,TRXBTC,5.98e-06,5.98e-06,5.95e-06,5.95e-06,95000.0,0.5658
2018-07-02 11-AM,TRXBTC,5.9e-06,5.98e-06,5.88e-06,5.98e-06,235000.0,1.4
2018-07-02 10-AM,TRXBTC,5.91e-06,5.91e-06,5.89e-06,5.9e-06,211000.0,1.24
2018-07-02 09-AM,TRXBTC,5.92e-06,5.93e-06,5.91e-06,5.91e-06,26000.0,0.1542
2018-07-02 08-AM,TRXBTC,5.92e-06,5.96e-06,5.92e-06,5.92e-06,148000.0,0.8786
2018-07-02 07-AM,TRXBTC,5.9e-06,5.93e-06,5.9e-06,5.92e-06,107000.0,0.6331
2018-07-02 06-AM,TRXBTC,5.93e-06,5.95e-06,5.9e-06,5.9e-06,280000.0,1.66
2018-07-02 05-AM,TRXBTC,5.94e-06,5.94e-06,5.93e-06,5.93e-06,48000.0,0.2847
2018-07-02 04-AM,TRXBTC,5.97e-06,5.98e-06,5.93e-06,5.94e-06,120000.0,0.7149
2018-07-02 03-AM,TRXBTC,5.96e-06,5.98e-06,5.96e-06,5.97e-06,66000.0,0.3941
2018-07-02 02-AM,TRXBTC,5.94e-06,5.97e-06,5.94e-06,5.96e-06,23000.0,0.1372
2018-07-02 01-AM,TRXBTC,5.96e-06,5.96e-06,5.94e-06,5.94e-06,3000.0,0.01782
2018-07-02 12-AM,TRXBTC,5.93e-06,5.96e-06,5.91e-06,5.96e-06,103000.0,0.6118
2018-07-01 11-PM,TRXBTC,5.92e-06,5.95e-06,5.91e-06,5.93e-06,132000.0,0.7824
2018-07-01 10-PM,TRXBTC,5.89e-06,5.92e-06,5.88e-06,5.92e-06,136000.0,0.803
2018-07-01 09-PM,TRXBTC,5.9e-06,5.9e-06,5.89e-06,5.89e-06,73000.0,0.43
2018-07-01 08-PM,TRXBTC,5.9e-06,5.9e-06,5.87e-06,5.9e-06,44000.0,0.259
2018-07-01 07-PM,TRXBTC,5.9e-06,5.9e-06,5.89e-06,5.9e-06,60000.0,0.3539
2018-07-01 06-PM,TRXBTC,5.89e-06,5.91e-06,5.89e-06,5.9e-06,84000.0,0.4956
2018-07-01 05-PM,TRXBTC,5.89e-06,5.9e-06,5.89e-06,5.89e-06,24000.0,0.1415
2018-07-01 04-PM,TRXBTC,5.87e-06,5.91e-06,5.87e-06,5.89e-06,67000.0,0.3955
2018-07-01 03-PM,TRXBTC,5.88e-06,5.88e-06,5.87e-06,5.87e-06,30000.0,0.1761
2018-07-01 02-PM,TRXBTC,5.93e-06,5.94e-06,5.88e-06,5.88e-06,146000.0,0.8621
2018-07-01 01-PM,TRXBTC,5.97e-06,5.97e-06,5.93e-06,5.93e-06,28000.0,0.1663
2018-07-01 12-PM,TRXBTC,5.9e-06,5.97e-06,5.89e-06,5.97e-06,240000.0,1.42
2018-07-01 11-AM,TRXBTC,5.87e-06,5.91e-06,5.87e-06,5.9e-06,104000.0,0.6122
2018-07-01 10-AM,TRXBTC,5.86e-06,5.88e-06,5.86e-06,5.87e-06,2000.0,0.01175
2018-07-01 09-AM,TRXBTC,5.89e-06,5.89e-06,5.84e-06,5.86e-06,277000.0,1.62
2018-07-01 08-AM,TRXBTC,5.89e-06,5.92e-06,5.85e-06,5.89e-06,304000.0,1.79
2018-07-01 07-AM,TRXBTC,5.87e-06,5.89e-06,5.86e-06,5.89e-06,41000.0,0.2414
2018-07-01 06-AM,TRXBTC,5.9e-06,5.9e-06,5.87e-06,5.87e-06,79000.0,0.4645
2018-07-01 05-AM,TRXBTC,5.9e-06,5.9e-06,5.84e-06,5.9e-06,272000.0,1.6
2018-07-01 04-AM,TRXBTC,5.88e-06,5.91e-06,5.87e-06,5.9e-06,187000.0,1.1
2018-07-01 03-AM,TRXBTC,5.89e-06,5.91e-06,5.88e-06,5.88e-06,61000.0,0.3595
2018-07-01 02-AM,TRXBTC,5.9e-06,5.9e-06,5.88e-06,5.89e-06,22000.0,0.1295
2018-07-01 01-AM,TRXBTC,5.99e-06,5.99e-06,5.9e-06,5.9e-06,419000.0,2.48
2018-07-01 12-AM,TRXBTC,5.99e-06,5.99e-06,5.93e-06,5.99e-06,136000.0,0.811
2018-06-30 11-PM,TRXBTC,6.02e-06,6.02e-06,5.96e-06,5.99e-06,59000.0,0.353
2018-06-30 10-PM,TRXBTC,5.97e-06,6.02e-06,5.96e-06,6.02e-06,265000.0,1.59
2018-06-30 09-PM,TRXBTC,5.97e-06,5.97e-06,5.97e-06,5.97e-06,0.0,0.0
2018-06-30 08-PM,TRXBTC,5.96e-06,5.97e-06,5.93e-06,5.97e-06,143000.0,0.8508
2018-06-30 07-PM,TRXBTC,5.94e-06,5.97e-06,5.94e-06,5.96e-06,19000.0,0.1133
2018-06-30 06-PM,TRXBTC,5.97e-06,6.0e-06,5.94e-06,5.94e-06,161000.0,0.9617
2018-06-30 05-PM,TRXBTC,5.98e-06,5.99e-06,5.94e-06,5.97e-06,308000.0,1.83
2018-06-30 04-PM,TRXBTC,5.96e-06,6.0e-06,5.94e-06,5.98e-06,285000.0,1.7
2018-06-30 03-PM,TRXBTC,5.93e-06,5.98e-06,5.93e-06,5.96e-06,31000.0,0.1847
2018-06-30 02-PM,TRXBTC,6.01e-06,6.04e-06,5.93e-06,5.93e-06,192000.0,1.15
2018-06-30 01-PM,TRXBTC,6.05e-06,6.08e-06,6.0e-06,6.01e-06,180000.0,1.09
2018-06-30 12-PM,TRXBTC,5.99e-06,6.07e-06,5.93e-06,6.05e-06,1376000.0,8.24
2018-06-30 11-AM,TRXBTC,5.95e-06,6.01e-06,5.94e-06,5.99e-06,311000.0,1.86
2018-06-30 10-AM,TRXBTC,6.03e-06,6.04e-06,5.95e-06,5.95e-06,210000.0,1.26
2018-06-30 09-AM,TRXBTC,6.04e-06,6.04e-06,5.99e-06,6.03e-06,327000.0,1.97
2018-06-30 08-AM,TRXBTC,5.96e-06,6.06e-06,5.93e-06,6.04e-06,573000.0,3.44
2018-06-30 07-AM,TRXBTC,5.94e-06,5.98e-06,5.92e-06,5.96e-06,1830000.0,10.91
2018-06-30 06-AM,TRXBTC,6.05e-06,6.05e-06,5.94e-06,5.94e-06,201000.0,1.2
