Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume TRX,Volume BTC
2018-06-15,TRXBTC,6.75e-06,6.93e-06,6.68e-06,6.71e-06,6220000.0,42.43
2018-06-14,TRXBTC,6.5e-06,6.85e-06,6.36e-06,6.75e-06,25922000.0,172.22
2018-06-13,TRXBTC,6.61e-06,6.68e-06,6.13e-06,6.5e-06,26585000.0,169.82
2018-06-12,TRXBTC,7.01e-06,7.07e-06,6.5e-06,6.61e-06,14645000.0,99.66
2018-06-11,TRXBTC,6.98e-06,7.17e-06,6.69e-06,7.01e-06,24819000.0,172.97
2018-06-10,TRXBTC,7.61e-06,7.73e-06,6.66e-06,6.98e-06,27677000.0,198.26
2018-06-09,TRXBTC,7.54e-06,7.72e-06,7.53e-06,7.61e-06,5665000.0,43.21
2018-06-08,TRXBTC,7.67e-06,7.68e-06,7.47e-06,7.54e-06,9780000.0,73.84
2018-06-07,TRXBTC,7.71e-06,7.8e-06,7.6e-06,7.67e-06,9415000.0,72.34
2018-06-06,TRXBTC,7.92e-06,7.92e-06,7.7e-06,7.71e-06,8095000.0,63.01
2018-06-05,TRXBTC,7.82e-06,8.02e-06,7.69e-06,7.92e-06,15425000.0,120.55
2018-06-04,TRXBTC,8.0e-06,8.04e-06,7.72e-06,7.82e-06,12804000.0,100.27
2018-06-03,TRXBTC,7.93e-06,8.28e-06,7.91e-06,8.0e-06,29790000.0,240.14
2018-06-02,TRXBTC,7.73e-06,8.3e-06,7.61e-06,7.93e-06,26273000.0,209.15
2018-06-01,TRXBTC,8.02e-06,8.16e-06,7.5e-06,7.73e-06,16728000.0,130.16
2018-05-31,TRXBTC,8.35e-06,8.68e-06,7.88e-06,8.02e-06,28664000.0,234.33
2018-05-30,TRXBTC,8.6e-06,8.93e-06,8.0e-06,8.35e-06,40084000.0,337.56
2018-05-29,TRXBTC,8.4e-06,8.8e-06,7.95e-06,8.6e-06,45843000.0,386.34
2018-05-28,TRXBTC,9.51e-06,9.54e-06,8.32e-06,8.4e-06,42148000.0,374.73
2018-05-27,TRXBTC,9.87e-06,9.99e-06,9.38e-06,9.51e-06,20201000.0,195.86
2018-05-26,TRXBTC,9.45e-06,1.009e-05,9.38e-06,9.87e-06,16861000.0,164.28
2018-05-25,TRXBTC,9.53e-06,9.57e-06,9.24e-06,9.45e-06,12308000.0,115.47
2018-05-24,TRXBTC,9.04e-06,9.64e-06,9.04e-06,9.53e-06,28411000.0,266.96
2018-05-23,TRXBTC,9.19e-06,9.47e-06,8.74e-06,9.04e-06,34540000.0,313.38
2018-05-22,TRXBTC,9.63e-06,9.77e-06,9.08e-06,9.19e-06,21716000.0,203.95
2018-05-21,TRXBTC,9.03e-06,9.85e-06,9.03e-06,9.63e-06,31691000.0,301.14
2018-05-20,TRXBTC,8.35e-06,9.2e-06,8.32e-06,9.03e-06,19495000.0,173.01
2018-05-19,TRXBTC,8.36e-06,8.42e-06,8.19e-06,8.35e-06,9817000.0,81.53
2018-05-18,TRXBTC,8.24e-06,8.39e-06,8.02e-06,8.36e-06,14721000.0,121.39
2018-05-17,TRXBTC,8.51e-06,8.75e-06,8.09e-06,8.24e-06,15712000.0,131.62
2018-05-16,TRXBTC,7.95e-06,8.57e-06,7.66e-06,8.51e-06,22830000.0,184.11
2018-05-15,TRXBTC,8.14e-06,8.27e-06,7.89e-06,7.95e-06,11400000.0,92.24
2018-05-14,TRXBTC,8.49e-06,8.54e-06,8.13e-06,8.14e-06,18370000.0,152.62
2018-05-13,TRXBTC,7.89e-06,8.73e-06,7.85e-06,8.49e-06,27084000.0,226.64
2018-05-12,TRXBTC,7.72e-06,8.23e-06,7.23e-06,7.89e-06,31676000.0,243.96
2018-05-11,TRXBTC,8.06e-06,8.52e-06,7.34e-06,7.72e-06,53159000.0,419.65
2018-05-10,TRXBTC,8.62e-06,8.73e-06,8.03e-06,8.06e-06,22478000.0,190.49
2018-05-09,TRXBTC,8.99e-06,8.99e-06,8.6e-06,8.62e-06,19269000.0,168.63
2018-05-08,TRXBTC,8.82e-06,9.1e-06,8.74e-06,8.99e-06,25226000.0,224.98
2018-05-07,TRXBTC,8.73e-06,8.95e-06,8.5e-06,8.82e-06,24436000.0,213.24
2018-05-06,TRXBTC,8.82e-06,8.88e-06,8.42e-06,8.73e-06,18049000.0,156.15
2018-05-05,TRXBTC,8.87e-06,9.24e-06,8.68e-06,8.82e-06,27526000.0,246.65
2018-05-04,TRXBTC,8.88e-06,9.28e-06,8.35e-06,8.87e-06,45865000.0,402.84
2018-05-03,TRXBTC,9.88e-06,9.89e-06,8.73e-06,8.88e-06,48274000.0,446.73
2018-05-02,TRXBTC,1.018e-05,1.019e-05,9.82e-06,9.88e-06,14746000.0,146.69
2018-05-01,TRXBTC,1.002e-05,1.045e-05,9.47e-06,1.018e-05,57718000.0,572.73
2018-04-30,TRXBTC,9.41e-06,1.086e-05,9.1e-06,1.002e-05,86036000.0,856.75
2018-04-29,TRXBTC,8.72e-06,9.55e-06,8.64e-06,9.41e-06,57583000.0,521.5
2018-04-28,TRXBTC,8.24e-06,8.98e-06,8.21e-06,8.72e-06,30544000.0,264.48
2018-04-27,TRXBTC,7.98e-06,8.52e-06,7.81e-06,8.24e-06,41519000.0,335.6
2018-04-26,TRXBTC,7.85e-06,8.09e-06,7.5e-06,7.98e-06,45568000.0,355.83
2018-04-25,TRXBTC,7.51e-06,8.64e-06,7.11e-06,7.85e-06,109912000.0,854.02
2018-04-24,TRXBTC,6.54e-06,8.13e-06,6.3e-06,7.51e-06,117852000.0,827.09
2018-04-23,TRXBTC,5.93e-06,6.55e-06,5.91e-06,6.54e-06,24509000.0,152.61
2018-04-22,TRXBTC,5.98e-06,6.1e-06,5.8e-06,5.93e-06,11902000.0,71.23
2018-04-21,TRXBTC,6.08e-06,6.4e-06,5.7e-06,5.98e-06,38332000.0,233.3
2018-04-20,TRXBTC,5.92e-06,6.2e-06,5.85e-06,6.08e-06,23271000.0,140.22
2018-04-19,TRXBTC,5.83e-06,6.25e-06,5.76e-06,5.92e-06,46401000.0,278.51
2018-04-18,TRXBTC,5.33e-06,5.85e-06,5.3e-06,5.83e-06,23631000.0,132.47
2018-04-17,TRXBTC,5.12e-06,5.43e-06,5.09e-06,5.33e-06,24235000.0,127.92
2018-04-16,TRXBTC,5.17e-06,5.29e-06,5.06e-06,5.12e-06,5659000.0,29.19
2018-04-15,TRXBTC,5.05e-06,5.29e-06,5.02e-06,5.17e-06,7818000.0,40.12
2018-04-14,TRXBTC,4.95e-06,5.19e-06,4.9e-06,5.05e-06,7952000.0,40.11
2018-04-13,TRXBTC,5.09e-06,5.35e-06,4.92e-06,4.95e-06,20566000.0,104.37
2018-04-12,TRXBTC,5.21e-06,5.33e-06,4.75e-06,5.09e-06,27667000.0,139.28
2018-04-11,TRXBTC,5.39e-06,5.44e-06,5.16e-06,5.21e-06,11719000.0,62.11
2018-04-10,TRXBTC,5.26e-06,5.57e-06,5.14e-06,5.39e-06,10994000.0,59.23
2018-04-09,TRXBTC,5.36e-06,5.36e-06,5.1e-06,5.26e-06,10584000.0,55.58
2018-04-08,TRXBTC,5.35e-06,5.49e-06,5.24e-06,5.36e-06,8956000.0,47.87
2018-04-07,TRXBTC,5.49e-06,5.57e-06,5.24e-06,5.35e-06,17049000.0,91.47
2018-04-06,TRXBTC,5.85e-06,6.5e-06,5.37e-06,5.49e-06,35337000.0,205.81
2018-04-05,TRXBTC,4.43e-06,6.63e-06,4.36e-06,5.85e-06,97070000.0,549.75
2018-04-04,TRXBTC,4.69e-06,4.77e-06,4.36e-06,4.43e-06,12727000.0,57.12
2018-04-03,TRXBTC,5.09e-06,5.09e-06,4.58e-06,4.69e-06,17431000.0,82.72
2018-04-02,TRXBTC,4.71e-06,5.09e-06,4.47e-06,5.09e-06,17880000.0,86.38
2018-04-01,TRXBTC,4.9e-06,5.01e-06,4.31e-06,4.71e-06,24952000.0,117.1
2018-03-31,TRXBTC,6.03e-06,6.15e-06,4.75e-06,4.9e-06,42136000.0,221.67
2018-03-30,TRXBTC,6.01e-06,6.36e-06,5.62e-06,6.03e-06,29541000.0,178.55
2018-03-29,TRXBTC,6.13e-06,6.74e-06,5.86e-06,6.01e-06,34914000.0,220.54
2018-03-28,TRXBTC,5.56e-06,6.22e-06,5.46e-06,6.13e-06,13800000.0,81.09
2018-03-27,TRXBTC,5.43e-06,5.77e-06,5.06e-06,5.56e-06,24263000.0,131.42
2018-03-26,TRXBTC,5.38e-06,5.57e-06,4.88e-06,5.43e-06,31396000.0,163.66
2018-03-25,TRXBTC,5.73e-06,5.78e-06,5.19e-06,5.38e-06,24989000.0,138.37
2018-03-24,TRXBTC,4.7e-06,6.0e-06,4.6e-06,5.73e-06,95269000.0,519.54
2018-03-23,TRXBTC,4.36e-06,4.72e-06,4.19e-06,4.7e-06,16787000.0,74.66
2018-03-22,TRXBTC,4.17e-06,4.38e-06,4.03e-06,4.36e-06,12957000.0,54.41
2018-03-21,TRXBTC,4.31e-06,4.46e-06,4.1e-06,4.17e-06,17248000.0,73.99
2018-03-20,TRXBTC,3.82e-06,4.58e-06,3.76e-06,4.31e-06,27936000.0,115.39
2018-03-19,TRXBTC,3.53e-06,3.95e-06,3.5e-06,3.82e-06,17417000.0,64.72
2018-03-18,TRXBTC,3.57e-06,3.69e-06,3.11e-06,3.53e-06,17495000.0,59.59
2018-03-17,TRXBTC,3.64e-06,3.68e-06,3.57e-06,3.57e-06,4942000.0,17.88
2018-03-16,TRXBTC,3.65e-06,3.99e-06,3.53e-06,3.64e-06,6683000.0,24.32
2018-03-15,TRXBTC,3.77e-06,3.81e-06,3.5e-06,3.65e-06,9569000.0,35.21
2018-03-14,TRXBTC,3.94e-06,3.94e-06,3.74e-06,3.77e-06,8670000.0,33.12
2018-03-13,TRXBTC,3.94e-06,3.99e-06,3.82e-06,3.94e-06,5046000.0,19.65
2018-03-12,TRXBTC,4.05e-06,4.07e-06,3.88e-06,3.94e-06,5434000.0,21.53
2018-03-11,TRXBTC,3.95e-06,4.12e-06,3.91e-06,4.05e-06,3983000.0,15.93
2018-03-10,TRXBTC,4.02e-06,4.1e-06,3.88e-06,3.95e-06,6694000.0,26.72
2018-03-09,TRXBTC,3.93e-06,4.1e-06,3.53e-06,4.02e-06,13092000.0,49.9
2018-03-08,TRXBTC,3.91e-06,4.01e-06,3.81e-06,3.93e-06,9022000.0,35.31
2018-03-07,TRXBTC,4.08e-06,4.15e-06,3.8e-06,3.91e-06,11490000.0,45.54
2018-03-06,TRXBTC,4.03e-06,4.23e-06,3.9e-06,4.08e-06,7878000.0,32.31
2018-03-05,TRXBTC,4.18e-06,4.25e-06,3.91e-06,4.03e-06,7585000.0,31.06
2018-03-04,TRXBTC,4.26e-06,4.4e-06,4.16e-06,4.18e-06,7523000.0,32.02
2018-03-03,TRXBTC,4.78e-06,4.81e-06,4.15e-06,4.26e-06,15184000.0,67.03
2018-03-02,TRXBTC,4.47e-06,5.09e-06,4.25e-06,4.78e-06,32678000.0,153.05
2018-03-01,TRXBTC,4.19e-06,4.57e-06,4.0e-06,4.47e-06,11921000.0,50.75
2018-02-28,TRXBTC,4.0e-06,4.43e-06,3.9e-06,4.19e-06,15830000.0,65.77
2018-02-27,TRXBTC,4.06e-06,4.08e-06,3.65e-06,4.0e-06,7187000.0,28.34
2018-02-26,TRXBTC,4.18e-06,4.19e-06,4.01e-06,4.06e-06,5400000.0,22.09
2018-02-25,TRXBTC,4.19e-06,4.28e-06,4.1e-06,4.18e-06,5168000.0,21.66
2018-02-24,TRXBTC,4.19e-06,4.45e-06,4.12e-06,4.19e-06,12776000.0,54.31
2018-02-23,TRXBTC,4.06e-06,4.27e-06,3.98e-06,4.19e-06,7317000.0,30.14
2018-02-22,TRXBTC,4.18e-06,4.34e-06,3.95e-06,4.06e-06,9647000.0,39.52
2018-02-21,TRXBTC,4.16e-06,4.35e-06,3.94e-06,4.18e-06,21148000.0,87.78
2018-02-20,TRXBTC,4.59e-06,4.6e-06,4.02e-06,4.16e-06,13043000.0,56.69
