Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XDN,Volume BTC
2018-07-06 12-AM,XDNBTC,9.3e-07,9.4e-07,9.3e-07,9.4e-07,8234400.0,7.71
2018-07-05 11-PM,XDNBTC,9.4e-07,9.4e-07,9.3e-07,9.3e-07,731100.0,0.6834
2018-07-05 10-PM,XDNBTC,9.4e-07,9.4e-07,9.3e-07,9.4e-07,3626000.0,3.39
2018-07-05 09-PM,XDNBTC,9.4e-07,9.4e-07,9.3e-07,9.4e-07,10093600.0,9.44
2018-07-05 08-PM,XDNBTC,9.4e-07,9.5e-07,9.4e-07,9.4e-07,6387400.0,6.02
2018-07-05 07-PM,XDNBTC,9.4e-07,9.4e-07,9.4e-07,9.4e-07,2300.0,0.002162
2018-07-05 06-PM,XDNBTC,9.4e-07,9.5e-07,9.4e-07,9.4e-07,8329600.0,7.87
2018-07-05 05-PM,XDNBTC,9.5e-07,9.5e-07,9.4e-07,9.4e-07,4844200.0,4.6
2018-07-05 04-PM,XDNBTC,9.6e-07,9.6e-07,9.5e-07,9.5e-07,7594700.0,7.24
2018-07-05 03-PM,XDNBTC,9.6e-07,9.6e-07,9.6e-07,9.6e-07,45600.0,0.04386
2018-07-05 02-PM,XDNBTC,9.7e-07,9.7e-07,9.6e-07,9.6e-07,6253700.0,6.02
2018-07-05 01-PM,XDNBTC,9.7e-07,9.7e-07,9.7e-07,9.7e-07,2380300.0,2.31
2018-07-05 12-PM,XDNBTC,9.8e-07,9.8e-07,9.7e-07,9.7e-07,1894700.0,1.85
2018-07-05 11-AM,XDNBTC,9.8e-07,9.8e-07,9.7e-07,9.8e-07,6487200.0,6.34
2018-07-05 10-AM,XDNBTC,9.8e-07,9.8e-07,9.7e-07,9.8e-07,6510500.0,6.37
2018-07-05 09-AM,XDNBTC,9.7e-07,9.8e-07,9.7e-07,9.8e-07,542400.0,0.53
2018-07-05 08-AM,XDNBTC,9.8e-07,9.8e-07,9.7e-07,9.7e-07,2645500.0,2.58
2018-07-05 07-AM,XDNBTC,9.8e-07,9.8e-07,9.6e-07,9.8e-07,11339600.0,11.09
2018-07-05 06-AM,XDNBTC,9.8e-07,9.8e-07,9.7e-07,9.8e-07,5493300.0,5.36
2018-07-05 05-AM,XDNBTC,9.7e-07,9.8e-07,9.6e-07,9.8e-07,18115200.0,17.68
