Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume BTC
2018-06-15,XMRBTC,0.01999,0.02011,0.01898,0.01904,52052.42,1018.2
2018-06-14,XMRBTC,0.01932,0.0205,0.01872,0.01999,97923.29,1942.64
2018-06-13,XMRBTC,0.0191,0.01936,0.018,0.01932,105416.57,1972.6
2018-06-12,XMRBTC,0.02003,0.0201,0.0185,0.0191,90538.92,1761.16
2018-06-11,XMRBTC,0.02062,0.02074,0.01956,0.02003,79935.61,1612.86
2018-06-10,XMRBTC,0.02062,0.02067,0.01954,0.02062,107621.06,2170.26
2018-06-09,XMRBTC,0.02076,0.02089,0.02046,0.02062,90130.29,1866.69
2018-06-08,XMRBTC,0.02131,0.0215,0.02066,0.02076,82548.18,1737.24
2018-06-07,XMRBTC,0.02148,0.02221,0.02121,0.02131,90047.6,1954.6
2018-06-06,XMRBTC,0.02191,0.02198,0.0214,0.02148,112825.01,2451.37
2018-06-05,XMRBTC,0.02132,0.02221,0.02118,0.02191,80665.8,1752.43
2018-06-04,XMRBTC,0.02191,0.02215,0.02104,0.02132,113221.35,2438.64
2018-06-03,XMRBTC,0.02128,0.02294,0.02127,0.02191,88218.33,1950.47
2018-06-02,XMRBTC,0.02095,0.02192,0.02087,0.02128,99458.82,2122.28
2018-06-01,XMRBTC,0.02077,0.02109,0.02048,0.02095,77327.89,1608.78
2018-05-31,XMRBTC,0.02096,0.02116,0.02058,0.02077,93584.61,1952.29
2018-05-30,XMRBTC,0.02112,0.02141,0.02083,0.02096,90073.52,1901.14
2018-05-29,XMRBTC,0.02103,0.02245,0.02069,0.02112,85079.62,1812.88
2018-05-28,XMRBTC,0.0226,0.0228,0.021,0.02103,94108.84,2053.25
2018-05-27,XMRBTC,0.02241,0.02315,0.02199,0.0226,79017.11,1771.64
2018-05-26,XMRBTC,0.022,0.02243,0.02193,0.02241,12647.0,281.81
2018-05-25,XMRBTC,0.02264,0.02282,0.02194,0.022,55901.96,1255.83
2018-05-24,XMRBTC,0.02278,0.02332,0.02189,0.02264,82176.46,1847.12
2018-05-23,XMRBTC,0.02192,0.0232,0.02161,0.02278,89104.76,1984.5
2018-05-22,XMRBTC,0.02362,0.02367,0.02187,0.02192,97380.0,2217.48
2018-05-21,XMRBTC,0.02391,0.02392,0.0233,0.02362,72180.07,1698.91
2018-05-20,XMRBTC,0.02397,0.02415,0.02376,0.02391,67502.22,1615.77
2018-05-19,XMRBTC,0.02474,0.02486,0.02386,0.02397,60576.15,1462.27
2018-05-18,XMRBTC,0.02362,0.02574,0.02326,0.02474,98711.57,2343.62
2018-05-17,XMRBTC,0.02383,0.02433,0.02361,0.02362,104881.79,2530.24
2018-05-16,XMRBTC,0.024,0.02414,0.02351,0.02383,104500.38,2486.02
2018-05-15,XMRBTC,0.02455,0.02495,0.02378,0.024,98353.22,2400.39
2018-05-14,XMRBTC,0.0239,0.02488,0.02356,0.02455,42200.77,1025.25
2018-05-13,XMRBTC,0.0238,0.0245,0.02377,0.0239,4731.19,114.54
2018-05-12,XMRBTC,0.02344,0.02389,0.02311,0.0238,3933.15,92.35
2018-05-11,XMRBTC,0.02404,0.02408,0.02304,0.02344,10759.47,253.94
2018-05-10,XMRBTC,0.02438,0.02497,0.024,0.02404,9379.45,229.39
2018-05-09,XMRBTC,0.02424,0.0251,0.02389,0.02438,13037.24,317.39
2018-05-08,XMRBTC,0.02488,0.02498,0.02401,0.02424,8370.84,205.38
2018-05-07,XMRBTC,0.0244,0.025,0.02398,0.02488,13255.1,322.31
2018-05-06,XMRBTC,0.02442,0.02483,0.02412,0.0244,51132.22,1248.17
2018-05-05,XMRBTC,0.0248,0.02491,0.02402,0.02442,95368.86,2347.3
2018-05-04,XMRBTC,0.02515,0.0256,0.023,0.0248,105556.01,2642.15
2018-05-03,XMRBTC,0.02705,0.02706,0.02489,0.02515,123332.27,3256.51
2018-05-02,XMRBTC,0.02641,0.02762,0.02632,0.02705,90022.59,2425.46
2018-05-01,XMRBTC,0.02609,0.02658,0.02548,0.02641,89565.92,2332.27
2018-04-30,XMRBTC,0.02715,0.02768,0.02592,0.02609,110350.33,2932.99
2018-04-29,XMRBTC,0.02798,0.02798,0.02629,0.02715,73334.15,1982.01
2018-04-28,XMRBTC,0.02807,0.02842,0.02727,0.02798,87304.05,2418.54
2018-04-27,XMRBTC,0.02874,0.0289,0.02747,0.02807,74959.22,2115.2
2018-04-26,XMRBTC,0.02892,0.03154,0.02829,0.02874,98925.62,2907.93
2018-04-25,XMRBTC,0.03029,0.03029,0.02713,0.02892,84324.54,2441.78
2018-04-24,XMRBTC,0.03159,0.0319,0.0302,0.03029,76247.69,2388.02
2018-04-23,XMRBTC,0.03062,0.0319,0.03061,0.03159,69156.01,2171.8
2018-04-22,XMRBTC,0.02877,0.0318,0.0281,0.03062,26656.47,815.57
2018-04-21,XMRBTC,0.03072,0.03073,0.02752,0.02877,26367.36,786.39
2018-04-20,XMRBTC,0.0287,0.03073,0.02865,0.03072,52729.61,1567.0
2018-04-19,XMRBTC,0.028,0.029,0.02748,0.0287,21128.69,594.33
2018-04-18,XMRBTC,0.02472,0.02905,0.02469,0.028,51534.61,1425.93
2018-04-17,XMRBTC,0.02407,0.02495,0.02407,0.02472,15450.33,377.97
2018-04-16,XMRBTC,0.02405,0.02429,0.0236,0.02407,31541.71,755.75
2018-04-15,XMRBTC,0.02381,0.02449,0.02375,0.02405,80452.73,1930.86
2018-04-14,XMRBTC,0.02395,0.02425,0.02375,0.02381,90067.69,2156.79
2018-04-13,XMRBTC,0.02425,0.02458,0.0238,0.02395,81856.07,1979.23
2018-04-12,XMRBTC,0.02425,0.02472,0.02371,0.02425,78328.86,1903.41
2018-04-11,XMRBTC,0.02418,0.0244,0.02375,0.02425,78641.27,1898.74
2018-04-10,XMRBTC,0.02451,0.02452,0.024,0.02418,74084.22,1795.41
2018-04-09,XMRBTC,0.02473,0.02498,0.02439,0.02451,20382.14,501.21
2018-04-08,XMRBTC,0.02454,0.02473,0.02395,0.02473,32914.38,801.14
2018-04-07,XMRBTC,0.02431,0.0246,0.02408,0.02454,77215.67,1887.92
2018-04-06,XMRBTC,0.0253,0.02585,0.02402,0.02431,97601.99,2439.97
2018-04-05,XMRBTC,0.02492,0.02566,0.02483,0.0253,85611.34,2159.7
2018-04-04,XMRBTC,0.02542,0.0255,0.02483,0.02492,96478.1,2422.3
2018-04-03,XMRBTC,0.02505,0.02549,0.02443,0.02542,55355.1,1396.62
2018-04-02,XMRBTC,0.02568,0.02584,0.02495,0.02505,35915.67,910.73
2018-04-01,XMRBTC,0.02578,0.02597,0.02511,0.02568,30875.12,789.23
2018-03-31,XMRBTC,0.02514,0.02584,0.02491,0.02578,9728.17,245.73
2018-03-30,XMRBTC,0.0248,0.02531,0.02403,0.02514,26548.23,658.66
2018-03-29,XMRBTC,0.02508,0.02533,0.02441,0.0248,69727.1,1730.78
2018-03-28,XMRBTC,0.02411,0.02533,0.02383,0.02508,90932.0,2217.43
2018-03-27,XMRBTC,0.02409,0.02429,0.02308,0.02411,120183.3,2866.34
