Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BTC
2018-07-06 12-AM,XRPBTC,7.297e-05,7.299e-05,7.277e-05,7.277e-05,722299.0,52.67
2018-07-05 11-PM,XRPBTC,7.31e-05,7.315e-05,7.281e-05,7.297e-05,2867221.0,209.13
2018-07-05 10-PM,XRPBTC,7.27e-05,7.31e-05,7.269e-05,7.31e-05,976765.0,71.14
2018-07-05 09-PM,XRPBTC,7.269e-05,7.288e-05,7.263e-05,7.27e-05,601836.0,43.8
2018-07-05 08-PM,XRPBTC,7.311e-05,7.311e-05,7.257e-05,7.269e-05,1474178.0,107.18
2018-07-05 07-PM,XRPBTC,7.277e-05,7.316e-05,7.255e-05,7.311e-05,3273635.0,238.09
2018-07-05 06-PM,XRPBTC,7.244e-05,7.285e-05,7.233e-05,7.277e-05,2003615.0,145.45
2018-07-05 05-PM,XRPBTC,7.272e-05,7.288e-05,7.24e-05,7.244e-05,1350996.0,98.11
2018-07-05 04-PM,XRPBTC,7.297e-05,7.335e-05,7.265e-05,7.272e-05,2927372.0,213.22
2018-07-05 03-PM,XRPBTC,7.301e-05,7.303e-05,7.252e-05,7.297e-05,2663026.0,193.79
2018-07-05 02-PM,XRPBTC,7.319e-05,7.324e-05,7.287e-05,7.301e-05,1695835.0,123.86
2018-07-05 01-PM,XRPBTC,7.376e-05,7.377e-05,7.317e-05,7.319e-05,2727658.0,200.26
2018-07-05 12-PM,XRPBTC,7.373e-05,7.382e-05,7.364e-05,7.376e-05,1413016.0,104.16
2018-07-05 11-AM,XRPBTC,7.379e-05,7.39e-05,7.368e-05,7.373e-05,2060633.0,152.09
2018-07-05 10-AM,XRPBTC,7.361e-05,7.396e-05,7.361e-05,7.379e-05,1586453.0,117.05
2018-07-05 09-AM,XRPBTC,7.395e-05,7.407e-05,7.361e-05,7.361e-05,1199319.0,88.63
2018-07-05 08-AM,XRPBTC,7.416e-05,7.416e-05,7.388e-05,7.395e-05,1109262.0,82.03
2018-07-05 07-AM,XRPBTC,7.406e-05,7.425e-05,7.397e-05,7.416e-05,951729.0,70.51
2018-07-05 06-AM,XRPBTC,7.411e-05,7.428e-05,7.398e-05,7.406e-05,4498401.0,333.37
2018-07-05 05-AM,XRPBTC,7.461e-05,7.471e-05,7.411e-05,7.411e-05,3751078.0,279.45
2018-07-05 04-AM,XRPBTC,7.45e-05,7.472e-05,7.45e-05,7.461e-05,1515598.0,113.08
2018-07-05 03-AM,XRPBTC,7.456e-05,7.466e-05,7.446e-05,7.45e-05,524566.0,39.1
2018-07-05 02-AM,XRPBTC,7.493e-05,7.507e-05,7.437e-05,7.456e-05,1865981.0,139.23
2018-07-05 01-AM,XRPBTC,7.462e-05,7.523e-05,7.455e-05,7.493e-05,2181406.0,163.06
2018-07-05 12-AM,XRPBTC,7.455e-05,7.485e-05,7.421e-05,7.462e-05,1630847.0,121.71
2018-07-04 11-PM,XRPBTC,7.434e-05,7.488e-05,7.39e-05,7.455e-05,5169836.0,384.66
2018-07-04 10-PM,XRPBTC,7.473e-05,7.473e-05,7.4e-05,7.434e-05,398111.0,29.65
2018-07-04 09-PM,XRPBTC,7.554e-05,7.554e-05,7.471e-05,7.473e-05,1805406.0,135.33
2018-07-04 08-PM,XRPBTC,7.564e-05,7.58e-05,7.514e-05,7.554e-05,4435919.0,334.5
2018-07-04 07-PM,XRPBTC,7.478e-05,7.566e-05,7.469e-05,7.564e-05,2593361.0,195.2
2018-07-04 06-PM,XRPBTC,7.424e-05,7.483e-05,7.417e-05,7.478e-05,3546777.0,264.45
2018-07-04 05-PM,XRPBTC,7.417e-05,7.443e-05,7.417e-05,7.424e-05,2118095.0,157.38
2018-07-04 04-PM,XRPBTC,7.427e-05,7.43e-05,7.407e-05,7.417e-05,2704109.0,200.55
2018-07-04 03-PM,XRPBTC,7.442e-05,7.451e-05,7.418e-05,7.427e-05,1240304.0,92.19
2018-07-04 02-PM,XRPBTC,7.415e-05,7.442e-05,7.408e-05,7.442e-05,2002269.0,148.69
2018-07-04 01-PM,XRPBTC,7.401e-05,7.461e-05,7.36e-05,7.415e-05,3250688.0,241.23
2018-07-04 12-PM,XRPBTC,7.406e-05,7.428e-05,7.397e-05,7.401e-05,1284360.0,95.18
2018-07-04 11-AM,XRPBTC,7.477e-05,7.478e-05,7.367e-05,7.406e-05,3115581.0,230.39
2018-07-04 10-AM,XRPBTC,7.459e-05,7.48e-05,7.452e-05,7.477e-05,1244582.0,92.98
2018-07-04 09-AM,XRPBTC,7.424e-05,7.46e-05,7.417e-05,7.459e-05,1437398.0,106.91
2018-07-04 08-AM,XRPBTC,7.386e-05,7.439e-05,7.386e-05,7.424e-05,1210160.0,89.79
2018-07-04 07-AM,XRPBTC,7.425e-05,7.43e-05,7.386e-05,7.386e-05,2403931.0,178.2
2018-07-04 06-AM,XRPBTC,7.403e-05,7.44e-05,7.397e-05,7.425e-05,2169645.0,161.02
2018-07-04 05-AM,XRPBTC,7.389e-05,7.413e-05,7.388e-05,7.403e-05,1855475.0,137.26
2018-07-04 04-AM,XRPBTC,7.381e-05,7.399e-05,7.37e-05,7.389e-05,1605334.0,118.51
2018-07-04 03-AM,XRPBTC,7.386e-05,7.396e-05,7.364e-05,7.381e-05,1399037.0,103.33
2018-07-04 02-AM,XRPBTC,7.401e-05,7.409e-05,7.384e-05,7.386e-05,1473266.0,108.87
2018-07-04 01-AM,XRPBTC,7.4e-05,7.412e-05,7.381e-05,7.401e-05,785352.0,58.08
2018-07-04 12-AM,XRPBTC,7.431e-05,7.439e-05,7.399e-05,7.4e-05,1701309.0,126.21
2018-07-03 11-PM,XRPBTC,7.393e-05,7.441e-05,7.389e-05,7.431e-05,2082628.0,154.51
2018-07-03 10-PM,XRPBTC,7.481e-05,7.504e-05,7.393e-05,7.393e-05,3333222.0,249.58
2018-07-03 09-PM,XRPBTC,7.503e-05,7.514e-05,7.471e-05,7.481e-05,2940891.0,220.36
