Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume ETH
2018-06-15,XRPETH,0.00107,0.00112,0.00105,0.00111,51228.0,55.69
2018-06-14,XRPETH,0.00111,0.00114,0.00107,0.00107,109528.0,122.15
2018-06-13,XRPETH,0.00112,0.00114,0.00109,0.00111,257069.0,287.31
2018-06-12,XRPETH,0.00112,0.00114,0.00109,0.00112,363949.0,407.64
2018-06-11,XRPETH,0.00111,0.00113,0.00107,0.00112,93837.0,102.92
2018-06-10,XRPETH,0.00112,0.00112,0.00108,0.00111,91923.0,101.01
2018-06-09,XRPETH,0.00112,0.00113,0.0011,0.00112,34612.0,38.44
2018-06-08,XRPETH,0.00113,0.00114,0.0011,0.00112,147633.0,165.17
2018-06-07,XRPETH,0.00112,0.00113,0.0011,0.00113,167440.0,186.92
2018-06-06,XRPETH,0.0011,0.00112,0.0011,0.00112,116108.0,128.89
2018-06-05,XRPETH,0.00111,0.00113,0.00109,0.0011,91708.0,102.07
2018-06-04,XRPETH,0.00111,0.00114,0.00108,0.00111,243111.0,268.16
2018-06-03,XRPETH,0.00108,0.00111,0.00106,0.00111,235894.0,254.43
2018-06-02,XRPETH,0.00107,0.0011,0.00107,0.00108,281103.0,306.28
2018-06-01,XRPETH,0.00106,0.00108,0.00104,0.00107,108378.0,115.14
2018-05-31,XRPETH,0.00108,0.00108,0.00105,0.00106,123896.0,132.28
2018-05-30,XRPETH,0.00107,0.00109,0.00106,0.00108,105048.0,112.76
2018-05-29,XRPETH,0.00108,0.0011,0.00104,0.00107,136976.0,146.34
2018-05-28,XRPETH,0.00105,0.00111,0.00104,0.00108,288124.0,313.56
2018-05-27,XRPETH,0.00104,0.00108,0.00102,0.00105,90638.0,95.37
2018-05-26,XRPETH,0.00104,0.00104,0.00102,0.00104,84801.0,87.42
2018-05-25,XRPETH,0.00104,0.0011,0.00101,0.00104,137387.0,141.29
2018-05-24,XRPETH,0.00102,0.00109,0.00101,0.00104,173793.0,181.97
2018-05-23,XRPETH,0.001,0.00104,0.00098,0.00102,246004.0,247.51
2018-05-22,XRPETH,0.00097,0.00101,0.00096,0.001,96690.0,95.02
2018-05-21,XRPETH,0.00097,0.00098,0.00096,0.00097,62159.0,60.21
2018-05-20,XRPETH,0.00096,0.00098,0.00095,0.00097,65972.0,63.75
2018-05-19,XRPETH,0.00098,0.00098,0.00095,0.00096,121636.0,117.27
2018-05-18,XRPETH,0.00099,0.001,0.00097,0.00098,73584.0,72.2
2018-05-17,XRPETH,0.001,0.001,0.00097,0.00099,75709.0,74.95
2018-05-16,XRPETH,0.00097,0.001,0.00096,0.001,59878.0,58.61
2018-05-15,XRPETH,0.001,0.00102,0.00097,0.00097,121542.0,121.45
2018-05-14,XRPETH,0.001,0.00103,0.00098,0.001,289246.0,290.45
2018-05-13,XRPETH,0.001,0.00102,0.00098,0.001,105622.0,105.18
2018-05-12,XRPETH,0.001,0.00103,0.00098,0.001,96696.0,97.87
2018-05-11,XRPETH,0.00103,0.00103,0.00096,0.001,279759.0,281.77
2018-05-10,XRPETH,0.00107,0.00107,0.00103,0.00103,196267.0,206.26
