Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XTZ,Volume USD
2018-06-11,XTZUSD,4.54,4.62,4.47,4.56,2885.53,13050.5
2018-06-09,XTZUSD,4.98,5.22,4.97,5.06,56798.67,288833.45
2018-06-08,XTZUSD,5,5.11,4.92,4.98,91625.46,457531.81
2018-06-07,XTZUSD,4.93,5.12,4.91,5,96231.75,483388.28
2018-06-06,XTZUSD,5.32,5.33,4.81,4.93,102493.27,511546.3
2018-06-05,XTZUSD,4.97,5.34,4.9,5.32,88311.97,449358.44
2018-06-04,XTZUSD,5.1,5.34,4.85,4.97,47339.89,235371.61
2018-06-03,XTZUSD,5.76,5.8,4.95,5.1,25029.85,133039.82
2018-06-02,XTZUSD,5.2,5.97,5.16,5.76,32941.6,183003.67
2018-06-01,XTZUSD,4.82,5.23,4.8,5.2,24704.57,125391.28
2018-05-31,XTZUSD,4.92,5.02,4.76,4.82,29559.3,143712.95
2018-05-30,XTZUSD,4.82,5.3,4.65,4.92,35641.72,179578.07
2018-05-29,XTZUSD,4.21,4.82,4.2,4.82,28140.01,124891.27
2018-05-28,XTZUSD,4.35,4.45,4.2,4.21,22637.92,97704.08
2018-05-27,XTZUSD,4.4,4.68,4.26,4.35,31401.82,139630.05
2018-05-26,XTZUSD,4.42,4.68,4.36,4.4,29024.94,130264.9
2018-05-25,XTZUSD,4.11,4.56,4.09,4.42,26845.42,116138.52
2018-05-24,XTZUSD,3.92,4.12,3.87,4.11,31105.4,123181.13
2018-05-23,XTZUSD,4.21,4.27,3.87,3.92,34198.78,137805.49
2018-05-22,XTZUSD,4.5,4.64,4.1,4.21,31091.59,136752.61
2018-05-21,XTZUSD,4.88,4.91,4.46,4.5,25794.94,121153.42
2018-05-20,XTZUSD,4.72,5,4.72,4.88,21835.72,106739.36
2018-05-19,XTZUSD,4.7,4.84,4.65,4.72,17948.42,85010.69
2018-05-18,XTZUSD,4.5,4.74,4.46,4.7,24804.42,113213.73
2018-05-17,XTZUSD,4.5,4.69,4.43,4.5,38072.64,173155.38
2018-05-16,XTZUSD,5.04,5.08,4.42,4.5,28663.98,131013.44
2018-05-15,XTZUSD,5.14,5.46,4.57,5.04,54452.46,276051.29
2018-05-14,XTZUSD,4.29,5.2,4.18,5.14,51839.15,248561.18
2018-05-13,XTZUSD,3.93,5.23,3.56,4.29,66514.16,284333.17
2018-05-12,XTZUSD,3.71,3.96,3.5,3.93,38049.86,143088.95
2018-05-11,XTZUSD,3.81,3.91,3.65,3.71,33787.63,126560.17
2018-05-10,XTZUSD,3.89,4,3.79,3.81,23384.07,90902.86
2018-05-09,XTZUSD,3.82,4,3.65,3.89,26546.44,101038.62
2018-05-08,XTZUSD,3.87,3.95,3.7,3.82,29180.62,111214.08
2018-05-07,XTZUSD,4.03,4.06,3.76,3.87,23367.63,90157.48
2018-05-06,XTZUSD,4.1,4.27,3.88,4.03,38061.34,154949.23
2018-05-05,XTZUSD,3.91,4.24,3.88,4.1,30181.98,122327.45
2018-05-04,XTZUSD,3.95,4.12,3.78,3.91,45524.56,179242.33
2018-05-03,XTZUSD,3.72,3.97,3.6,3.95,37585.96,141818.71
2018-05-02,XTZUSD,3.62,3.73,3.42,3.72,25933.04,92543.68
2018-05-01,XTZUSD,3.63,3.65,3.43,3.62,34414.97,121829.1
2018-04-30,XTZUSD,3.78,3.85,3.38,3.63,55161.81,202634.69
2018-04-29,XTZUSD,3.74,3.9,3.61,3.78,46615.77,175409.24
2018-04-28,XTZUSD,3.58,3.79,3.44,3.74,40271.59,146243.39
2018-04-27,XTZUSD,3.53,3.79,3.33,3.58,43613.75,156285.47
2018-04-26,XTZUSD,3.64,3.69,3.38,3.53,51535.68,181594.73
2018-04-25,XTZUSD,4.21,4.26,3.3,3.64,55339.05,203848.51
2018-04-24,XTZUSD,3.52,4.25,3.51,4.21,64508.69,249176.23
2018-04-23,XTZUSD,3.16,3.57,2.97,3.52,64065.91,204406.36
2018-04-22,XTZUSD,3.04,3.2,2.97,3.16,64788.65,198311.52
2018-04-21,XTZUSD,3.04,3.12,2.97,3.04,44783.53,135069.1
2018-04-20,XTZUSD,3.07,3.24,2.83,3.04,53884.04,165551.14
2018-04-19,XTZUSD,3.05,3.12,2.9,3.07,51623.16,155064.72
2018-04-18,XTZUSD,2.85,3.12,2.84,3.05,48220.82,143134.61
2018-04-17,XTZUSD,3.09,3.15,2.84,2.85,41274.9,125542.37
2018-04-16,XTZUSD,3.05,3.19,2.98,3.09,41051.35,126456.31
2018-04-15,XTZUSD,2.93,3.21,2.88,3.05,37465.94,111955.52
2018-04-14,XTZUSD,2.88,3,2.8,2.93,44574.13,129785.42
2018-04-13,XTZUSD,3.11,3.17,2.8,2.88,54204.76,163764.54
2018-04-12,XTZUSD,2.72,3.15,2.71,3.11,44887.74,129705.36
2018-04-11,XTZUSD,2.78,2.8,2.62,2.72,45459.0,124224.49
2018-04-10,XTZUSD,2.69,2.79,2.62,2.78,42938.62,115805.88
2018-04-09,XTZUSD,2.7,2.84,2.58,2.69,43956.73,118982.25
2018-04-08,XTZUSD,2.67,2.75,2.66,2.7,41318.57,111495.32
2018-04-07,XTZUSD,2.58,2.72,2.55,2.67,36137.95,95893.56
2018-04-06,XTZUSD,2.78,2.78,2.53,2.58,38744.37,100283.72
2018-04-05,XTZUSD,2.75,2.82,2.46,2.78,63230.18,169730.51
2018-04-04,XTZUSD,2.94,2.99,2.6,2.75,57900.36,160128.38
