Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XVG,Volume USD
2018-06-11 04-AM,XVGUSD,0.03215,0.03256,0.03215,0.03256,1000.0,32.56
2018-06-11 03-AM,XVGUSD,0.03245,0.03245,0.03215,0.03215,10000.0,321.6
2018-06-11 02-AM,XVGUSD,0.03087,0.03245,0.03087,0.03245,5000.0,158.44
2018-06-11 01-AM,XVGUSD,0.03166,0.03166,0.0305,0.03087,6000.0,184.2
2018-06-11 12-AM,XVGUSD,0.03137,0.03166,0.03137,0.03166,2000.0,63.24
2018-06-10 11-PM,XVGUSD,0.03106,0.03137,0.03089,0.03137,7000.0,218.02
2018-06-10 10-PM,XVGUSD,0.03218,0.03218,0.03105,0.03106,7000.0,219.01
2018-06-10 09-PM,XVGUSD,0.03368,0.03368,0.0317,0.03218,85000.0,2707.15
2018-06-10 08-PM,XVGUSD,0.03374,0.03374,0.03366,0.03368,100000.0,3368.14
2018-06-10 07-PM,XVGUSD,0.03261,0.03374,0.03261,0.03374,25000.0,834.17
2018-06-10 06-PM,XVGUSD,0.033,0.033,0.03261,0.03261,65000.0,2124.43
2018-06-10 05-PM,XVGUSD,0.03542,0.03542,0.033,0.033,50000.0,1666.99
2018-06-10 04-PM,XVGUSD,0.03544,0.03544,0.03542,0.03542,1000.0,35.42
2018-06-10 03-PM,XVGUSD,0.0358,0.0358,0.03544,0.03544,1000.0,35.44
2018-06-10 02-PM,XVGUSD,0.035,0.0358,0.035,0.0358,3000.0,106.98
2018-06-10 01-PM,XVGUSD,0.03571,0.03571,0.035,0.035,37000.0,1308.8
2018-06-10 12-PM,XVGUSD,0.03571,0.03571,0.03571,0.03571,0.0,0.0
2018-06-10 11-AM,XVGUSD,0.03533,0.03579,0.03533,0.03571,5000.0,178.55
2018-06-10 10-AM,XVGUSD,0.03533,0.03533,0.03533,0.03533,0.0,0.0
2018-06-10 09-AM,XVGUSD,0.03563,0.03563,0.03533,0.03533,4000.0,141.76
2018-06-10 08-AM,XVGUSD,0.03589,0.03589,0.03563,0.03563,3000.0,106.9
2018-06-10 07-AM,XVGUSD,0.03689,0.03689,0.03589,0.03589,8000.0,288.28
2018-06-10 06-AM,XVGUSD,0.03669,0.03689,0.03669,0.03689,5000.0,184.47
2018-06-10 05-AM,XVGUSD,0.03669,0.03669,0.03669,0.03669,0.0,0.0
2018-06-10 04-AM,XVGUSD,0.0365,0.03669,0.0365,0.03669,3000.0,110.06
2018-06-10 03-AM,XVGUSD,0.0365,0.0365,0.0365,0.0365,0.0,0.0
2018-06-10 02-AM,XVGUSD,0.0365,0.0365,0.0365,0.0365,0.0,0.0
2018-06-10 01-AM,XVGUSD,0.0369,0.0369,0.0365,0.0365,6000.0,219.15
2018-06-10 12-AM,XVGUSD,0.037,0.03755,0.0369,0.0369,19000.0,706.38
2018-06-09 11-PM,XVGUSD,0.03765,0.03765,0.037,0.037,4000.0,148.26
2018-06-09 10-PM,XVGUSD,0.03821,0.03821,0.03765,0.03765,3000.0,112.97
2018-06-09 09-PM,XVGUSD,0.03821,0.03821,0.03821,0.03821,0.0,0.0
2018-06-09 08-PM,XVGUSD,0.03821,0.03821,0.03821,0.03821,0.0,0.0
2018-06-09 07-PM,XVGUSD,0.03821,0.03821,0.03821,0.03821,0.0,0.0
2018-06-09 06-PM,XVGUSD,0.03821,0.03821,0.03821,0.03821,0.0,0.0
2018-06-09 05-PM,XVGUSD,0.03821,0.03821,0.03821,0.03821,0.0,0.0
