Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XVG,Volume USD
2018-06-11,XVGUSD,0,0.03207,0,0.03207,0.0,0.0
2018-06-09,XVGUSD,0.03945,0.03948,0.03771,0.03821,132000.0,5171.11
2018-06-08,XVGUSD,0.03823,0.03966,0.03714,0.03945,1575000.0,60422.65
2018-06-07,XVGUSD,0.03881,0.0396,0.03814,0.03823,291000.0,11346.37
2018-06-06,XVGUSD,0.0396,0.0396,0.03792,0.03881,481000.0,18712.18
2018-06-05,XVGUSD,0.03937,0.04043,0.03781,0.0396,493000.0,19252.49
2018-06-04,XVGUSD,0.04274,0.04279,0.039,0.03937,461000.0,18497.22
2018-06-03,XVGUSD,0.04085,0.04398,0.04077,0.04274,869000.0,36753.8
2018-06-02,XVGUSD,0.03854,0.04153,0.03841,0.04085,650000.0,26168.36
2018-06-01,XVGUSD,0.0388,0.03964,0.03807,0.03854,226000.0,8810.1
2018-05-31,XVGUSD,0.03795,0.03999,0.0374,0.0388,366000.0,14361.08
2018-05-30,XVGUSD,0.03886,0.04039,0.0368,0.03795,737000.0,28480.21
2018-05-29,XVGUSD,0.03507,0.04016,0.03506,0.03886,732000.0,28054.81
2018-05-28,XVGUSD,0.03963,0.04239,0.03443,0.03507,1064000.0,39692.1
2018-05-27,XVGUSD,0.04007,0.04029,0.03905,0.03963,337000.0,13386.55
2018-05-26,XVGUSD,0.04045,0.04229,0.04007,0.04007,170000.0,7081.87
2018-05-25,XVGUSD,0.0442,0.04421,0.04041,0.04045,354000.0,14794.58
2018-05-24,XVGUSD,0.04052,0.0442,0.03935,0.0442,718000.0,29855.36
2018-05-23,XVGUSD,0.04777,0.04805,0.04052,0.04052,990000.0,43251.54
2018-05-22,XVGUSD,0.05449,0.05449,0.04666,0.04777,1228000.0,61684.94
2018-05-21,XVGUSD,0.05658,0.05678,0.05313,0.05449,802000.0,44181.88
2018-05-20,XVGUSD,0.05349,0.05727,0.0525,0.05658,853000.0,47328.28
2018-05-19,XVGUSD,0.05317,0.05448,0.05227,0.05349,777000.0,41411.7
2018-05-18,XVGUSD,0.05202,0.05554,0.05,0.05317,1782000.0,92777.18
2018-05-17,XVGUSD,0.056,0.057,0.0515,0.05202,1061000.0,57724.14
2018-05-16,XVGUSD,0.0565,0.0565,0.05302,0.056,927000.0,50551.77
2018-05-15,XVGUSD,0.06016,0.06109,0.0565,0.0565,921000.0,54445.26
2018-05-14,XVGUSD,0.0624,0.06305,0.05756,0.06016,898000.0,54055.0
2018-05-13,XVGUSD,0.0589,0.06281,0.05756,0.0624,565000.0,34333.06
2018-05-12,XVGUSD,0.05961,0.0623,0.05391,0.0589,1161000.0,67260.9
2018-05-11,XVGUSD,0.06988,0.07039,0.05742,0.05961,2691000.0,169720.32
2018-05-10,XVGUSD,0.07668,0.07736,0.0693,0.06988,1694000.0,126101.24
2018-05-09,XVGUSD,0.0745,0.07827,0.06918,0.07668,1526000.0,114265.06
2018-05-08,XVGUSD,0.07563,0.07806,0.07153,0.0745,939000.0,70060.33
2018-05-07,XVGUSD,0.07569,0.07659,0.07,0.07563,1268000.0,92380.64
2018-05-06,XVGUSD,0.07948,0.08005,0.0734,0.07569,985000.0,74399.51
2018-05-05,XVGUSD,0.07938,0.08237,0.07886,0.07948,683000.0,54792.54
2018-05-04,XVGUSD,0.07911,0.08169,0.0752,0.07938,1918000.0,151189.34
2018-05-03,XVGUSD,0.08087,0.0832,0.07723,0.07911,3121000.0,249656.81
2018-05-02,XVGUSD,0.08001,0.08445,0.07816,0.08087,2064000.0,167028.97
2018-05-01,XVGUSD,0.07766,0.0851,0.07013,0.08001,5860000.0,466117.44
2018-04-30,XVGUSD,0.07043,0.083,0.0645,0.07766,5900000.0,443542.41
2018-04-29,XVGUSD,0.073,0.0735,0.06753,0.07043,1402000.0,98587.53
2018-04-28,XVGUSD,0.0684,0.073,0.0684,0.073,1445000.0,103059.48
2018-04-27,XVGUSD,0.07093,0.07513,0.0684,0.0684,2538000.0,182429.89
2018-04-26,XVGUSD,0.0624,0.07161,0.061,0.07093,3226000.0,218082.43
2018-04-25,XVGUSD,0.06811,0.06989,0.05743,0.0624,4378000.0,281227.69
2018-04-24,XVGUSD,0.07016,0.07092,0.06725,0.06811,3418000.0,236279.02
2018-04-23,XVGUSD,0.07003,0.07243,0.07,0.07016,1712000.0,121899.44
2018-04-22,XVGUSD,0.07,0.0747,0.068,0.07003,2571000.0,184288.37
2018-04-21,XVGUSD,0.07109,0.07457,0.0657,0.07,2787000.0,194664.29
2018-04-20,XVGUSD,0.07527,0.08,0.0691,0.07109,5018000.0,365286.34
2018-04-19,XVGUSD,0.066,0.08321,0.06171,0.07527,9885000.0,703028.56
2018-04-18,XVGUSD,0.076,0.082,0.065,0.066,9021000.0,653267.46
2018-04-17,XVGUSD,0.09782,0.1227,0.0695,0.076,21907000.0,1931265.64
2018-04-16,XVGUSD,0.0951,0.1016,0.08158,0.09782,2091000.0,190249.71
2018-04-15,XVGUSD,0.08908,0.09787,0.08754,0.0951,1843000.0,171948.49
2018-04-14,XVGUSD,0.095,0.1014,0.0857,0.08908,1691000.0,157706.31
2018-04-13,XVGUSD,0.09588,0.1048,0.09113,0.095,1504000.0,147274.87
2018-04-12,XVGUSD,0.08463,0.09753,0.0825,0.09588,2209000.0,201807.42
2018-04-11,XVGUSD,0.08701,0.0925,0.08054,0.08463,1671000.0,142888.21
2018-04-10,XVGUSD,0.08121,0.0973,0.0723,0.08701,4216000.0,362477.82
2018-04-09,XVGUSD,0.073,0.08121,0.06742,0.08121,2526000.0,189085.75
2018-04-08,XVGUSD,0.06567,0.073,0.06307,0.073,1059000.0,71849.53
2018-04-07,XVGUSD,0.06198,0.073,0.0619,0.06567,2500000.0,166775.2
2018-04-06,XVGUSD,0.0569,0.062,0.05501,0.06198,1016000.0,59428.54
2018-04-05,XVGUSD,0.0603,0.07195,0.0511,0.0569,3028000.0,176890.45
2018-04-04,XVGUSD,0.0743,0.0743,0.05856,0.0603,4119000.0,268310.11
2018-04-03,XVGUSD,0.049,0.0789,0.049,0.0743,7953000.0,516512.39
2018-04-02,XVGUSD,0.04499,0.0498,0.04396,0.049,1618000.0,77213.46
2018-04-01,XVGUSD,0.03985,0.048,0.0389,0.04499,3477000.0,152115.48
