Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume BTC
2018-07-06 12-AM,ZECBTC,0.02672,0.02678,0.02666,0.02674,338.75,9.05
2018-07-05 11-PM,ZECBTC,0.02663,0.02679,0.0266,0.02672,583.36,15.57
2018-07-05 10-PM,ZECBTC,0.02672,0.02673,0.02659,0.02663,427.7,11.4
2018-07-05 09-PM,ZECBTC,0.02667,0.02673,0.02657,0.02672,1102.37,29.38
2018-07-05 08-PM,ZECBTC,0.02676,0.02681,0.02666,0.02667,528.2,14.12
2018-07-05 07-PM,ZECBTC,0.02686,0.02686,0.02672,0.02676,307.6,8.24
2018-07-05 06-PM,ZECBTC,0.02696,0.02706,0.0268,0.02686,1055.07,28.44
2018-07-05 05-PM,ZECBTC,0.02697,0.02701,0.02683,0.02696,1271.55,34.24
2018-07-05 04-PM,ZECBTC,0.02704,0.02709,0.02691,0.02697,827.07,22.36
2018-07-05 03-PM,ZECBTC,0.02729,0.02732,0.02703,0.02704,1390.29,37.79
2018-07-05 02-PM,ZECBTC,0.02739,0.0274,0.02728,0.02729,944.82,25.83
2018-07-05 01-PM,ZECBTC,0.02755,0.02756,0.02739,0.02739,1157.06,31.81
2018-07-05 12-PM,ZECBTC,0.02747,0.02756,0.02745,0.02755,615.79,16.93
2018-07-05 11-AM,ZECBTC,0.02742,0.02751,0.0274,0.02747,1280.75,35.15
2018-07-05 10-AM,ZECBTC,0.02755,0.02758,0.0274,0.02742,1115.49,30.66
2018-07-05 09-AM,ZECBTC,0.02762,0.02767,0.02752,0.02755,3127.51,86.35
2018-07-05 08-AM,ZECBTC,0.0276,0.02764,0.0276,0.02762,1586.84,43.81
2018-07-05 07-AM,ZECBTC,0.0276,0.02763,0.0276,0.0276,893.91,24.68
2018-07-05 06-AM,ZECBTC,0.0276,0.02763,0.0276,0.0276,375.07,10.35
2018-07-05 05-AM,ZECBTC,0.0277,0.02771,0.0276,0.0276,386.92,10.69
2018-07-05 04-AM,ZECBTC,0.02776,0.02783,0.02767,0.0277,1877.12,52.13
2018-07-05 03-AM,ZECBTC,0.0276,0.02779,0.0276,0.02776,390.57,10.81
2018-07-05 02-AM,ZECBTC,0.02792,0.02792,0.0276,0.0276,1037.94,28.74
2018-07-05 01-AM,ZECBTC,0.0276,0.02792,0.0276,0.02792,1580.58,43.91
2018-07-05 12-AM,ZECBTC,0.02761,0.02764,0.0276,0.0276,260.63,7.2
2018-07-04 11-PM,ZECBTC,0.02769,0.02772,0.0276,0.02761,1250.89,34.57
2018-07-04 10-PM,ZECBTC,0.02768,0.02791,0.02763,0.02769,1387.18,38.5
2018-07-04 09-PM,ZECBTC,0.02762,0.0277,0.0276,0.02768,1390.56,38.4
2018-07-04 08-PM,ZECBTC,0.02745,0.02763,0.02742,0.02762,461.47,12.7
2018-07-04 07-PM,ZECBTC,0.02739,0.02748,0.02735,0.02745,445.92,12.23
2018-07-04 06-PM,ZECBTC,0.02736,0.02741,0.02735,0.02739,292.06,7.99
2018-07-04 05-PM,ZECBTC,0.02743,0.02744,0.02735,0.02736,289.44,7.92
2018-07-04 04-PM,ZECBTC,0.02743,0.02752,0.02737,0.02743,1922.93,52.76
2018-07-04 03-PM,ZECBTC,0.02735,0.02746,0.02735,0.02743,344.21,9.42
2018-07-04 02-PM,ZECBTC,0.02764,0.02778,0.02735,0.02735,2319.51,63.78
2018-07-04 01-PM,ZECBTC,0.02739,0.02769,0.02735,0.02764,1778.49,48.87
2018-07-04 12-PM,ZECBTC,0.02739,0.02747,0.02736,0.02739,646.8,17.73
2018-07-04 11-AM,ZECBTC,0.02764,0.02778,0.02739,0.02739,1715.32,47.28
2018-07-04 10-AM,ZECBTC,0.0277,0.02774,0.02762,0.02764,945.1,26.16
2018-07-04 09-AM,ZECBTC,0.02759,0.02771,0.02757,0.0277,565.73,15.64
2018-07-04 08-AM,ZECBTC,0.02748,0.02772,0.02745,0.02759,1484.28,41.06
2018-07-04 07-AM,ZECBTC,0.02739,0.02749,0.02738,0.02748,327.08,8.97
2018-07-04 06-AM,ZECBTC,0.02738,0.02746,0.02737,0.02739,433.3,11.88
2018-07-04 05-AM,ZECBTC,0.02738,0.02742,0.02732,0.02738,277.11,7.59
2018-07-04 04-AM,ZECBTC,0.02728,0.02741,0.02722,0.02738,1287.53,35.19
2018-07-04 03-AM,ZECBTC,0.02724,0.02732,0.02721,0.02728,191.1,5.21
2018-07-04 02-AM,ZECBTC,0.02719,0.02728,0.02714,0.02724,513.84,13.98
2018-07-04 01-AM,ZECBTC,0.02738,0.0274,0.02717,0.02719,366.59,10.01
2018-07-04 12-AM,ZECBTC,0.02751,0.02751,0.02736,0.02738,806.1,22.1
2018-07-03 11-PM,ZECBTC,0.02766,0.02766,0.02739,0.02751,913.63,25.13
2018-07-03 10-PM,ZECBTC,0.02775,0.0278,0.02762,0.02766,1463.14,40.55
2018-07-03 09-PM,ZECBTC,0.02756,0.02779,0.02752,0.02775,1402.21,38.74
2018-07-03 08-PM,ZECBTC,0.02767,0.02768,0.0275,0.02756,1313.1,36.27
2018-07-03 07-PM,ZECBTC,0.02762,0.02767,0.02757,0.02767,44.26,1.22
2018-07-03 06-PM,ZECBTC,0.0276,0.02768,0.02753,0.02762,1006.64,27.81
2018-07-03 05-PM,ZECBTC,0.02767,0.02771,0.02758,0.0276,304.48,8.42
2018-07-03 04-PM,ZECBTC,0.02769,0.02772,0.0276,0.02767,341.75,9.45
2018-07-03 03-PM,ZECBTC,0.02873,0.02873,0.02766,0.02769,1064.71,29.56
2018-07-03 02-PM,ZECBTC,0.02784,0.02792,0.02782,0.02782,128.59,3.58
2018-07-03 01-PM,ZECBTC,0.02804,0.02805,0.02781,0.02784,735.28,20.54
2018-07-03 12-PM,ZECBTC,0.02806,0.02814,0.02799,0.02804,203.31,5.71
2018-07-03 11-AM,ZECBTC,0.02809,0.02814,0.02795,0.02806,383.85,10.76
2018-07-03 10-AM,ZECBTC,0.02843,0.02849,0.02809,0.02809,1184.96,33.5
2018-07-03 09-AM,ZECBTC,0.0284,0.02843,0.0283,0.02843,237.69,6.75
2018-07-03 08-AM,ZECBTC,0.02838,0.02851,0.02833,0.0284,394.39,11.21
