Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume BTC
2018-06-15,ZECBTC,0.02981,0.02996,0.02909,0.02985,9100.31,268.46
2018-06-14,ZECBTC,0.02894,0.03046,0.02881,0.02981,18780.77,557.94
2018-06-13,ZECBTC,0.02945,0.03041,0.02815,0.02894,19288.94,564.17
2018-06-12,ZECBTC,0.02986,0.03108,0.02921,0.02945,18308.86,552.85
2018-06-11,ZECBTC,0.02943,0.03034,0.02891,0.02986,21171.21,622.39
2018-06-10,ZECBTC,0.03069,0.03114,0.02923,0.02943,22985.25,694.95
2018-06-09,ZECBTC,0.03098,0.03135,0.0304,0.03069,19657.5,606.04
2018-06-08,ZECBTC,0.03077,0.03109,0.03041,0.03098,20462.63,628.97
2018-06-07,ZECBTC,0.0308,0.0313,0.03018,0.03077,23550.58,723.47
2018-06-06,ZECBTC,0.03126,0.03129,0.03027,0.0308,26871.55,824.14
2018-06-05,ZECBTC,0.03135,0.03169,0.03066,0.03126,25748.2,801.86
2018-06-04,ZECBTC,0.03282,0.03299,0.031,0.03135,27468.29,872.21
2018-06-03,ZECBTC,0.03261,0.03376,0.0324,0.03282,24476.72,807.9
2018-06-02,ZECBTC,0.03181,0.03361,0.03165,0.03261,27061.54,881.99
2018-06-01,ZECBTC,0.03202,0.03276,0.03127,0.03181,30190.27,961.42
2018-05-31,ZECBTC,0.03259,0.03287,0.03151,0.03202,25534.1,822.74
2018-05-30,ZECBTC,0.03304,0.03392,0.03207,0.03259,27814.34,920.19
2018-05-29,ZECBTC,0.03218,0.03494,0.03087,0.03304,36230.88,1184.36
2018-05-28,ZECBTC,0.03563,0.03604,0.03097,0.03218,33381.31,1118.13
2018-05-27,ZECBTC,0.03688,0.03691,0.03521,0.03563,23282.93,835.71
2018-05-26,ZECBTC,0.03753,0.0377,0.0366,0.03688,25642.08,949.24
2018-05-25,ZECBTC,0.03899,0.03899,0.03677,0.03753,25124.21,954.69
2018-05-24,ZECBTC,0.03795,0.03942,0.03671,0.03899,22978.38,876.03
2018-05-23,ZECBTC,0.03905,0.04217,0.03715,0.03795,24832.33,982.2
2018-05-22,ZECBTC,0.03901,0.0425,0.03821,0.03905,26671.11,1067.48
2018-05-21,ZECBTC,0.04112,0.04146,0.03866,0.03901,22992.66,920.82
2018-05-20,ZECBTC,0.04167,0.04341,0.04007,0.04112,29117.21,1217.06
2018-05-19,ZECBTC,0.04355,0.046,0.04147,0.04167,21899.69,951.4
2018-05-18,ZECBTC,0.039,0.04495,0.03816,0.04355,22914.74,974.36
2018-05-17,ZECBTC,0.04403,0.04414,0.03858,0.039,22663.48,928.35
2018-05-16,ZECBTC,0.0417,0.04544,0.0395,0.04403,21761.22,936.34
2018-05-15,ZECBTC,0.03585,0.0444,0.0355,0.0417,28440.59,1157.96
2018-05-14,ZECBTC,0.02985,0.03947,0.02923,0.03585,15868.65,576.64
2018-05-13,ZECBTC,0.029,0.03007,0.02869,0.02985,585.61,17.16
2018-05-12,ZECBTC,0.02826,0.02949,0.02767,0.029,6025.1,171.3
2018-05-11,ZECBTC,0.02902,0.02926,0.02778,0.02826,24139.92,687.78
2018-05-10,ZECBTC,0.02956,0.03077,0.029,0.02902,23782.04,708.57
2018-05-09,ZECBTC,0.02984,0.02994,0.0291,0.02956,19177.83,565.97
2018-05-08,ZECBTC,0.02982,0.03099,0.02965,0.02984,21038.12,634.9
2018-05-07,ZECBTC,0.03025,0.03039,0.02933,0.02982,23454.47,697.73
2018-05-06,ZECBTC,0.03116,0.03148,0.03022,0.03025,19182.5,589.01
2018-05-05,ZECBTC,0.03052,0.03131,0.03032,0.03116,21090.16,651.43
2018-05-04,ZECBTC,0.03161,0.03177,0.03044,0.03052,21890.22,680.24
2018-05-03,ZECBTC,0.03179,0.03279,0.03154,0.03161,28598.85,918.25
2018-05-02,ZECBTC,0.03208,0.03209,0.0315,0.03179,19799.28,628.27
