Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-07-03 10-AM,BTCUSD,11267,11403,11220.75,11317.5,96.55,1094116.59
2019-07-03 09-AM,BTCUSD,11057.25,11268,10939.5,11267,71.12,790154.1
2019-07-03 08-AM,BTCUSD,11264.75,11342.75,11051.5,11057.25,74.51,834281.47
2019-07-03 07-AM,BTCUSD,11442,11478.5,11262.25,11264.75,145.7,1658562.68
2019-07-03 06-AM,BTCUSD,11469.5,11515,11333.5,11442,81.12,928627.35
2019-07-03 05-AM,BTCUSD,11282.5,11564,11242,11469.5,129.39,1482167.61
2019-07-03 04-AM,BTCUSD,11310,11418.25,11247.5,11282.5,78.78,892139.96
2019-07-03 03-AM,BTCUSD,11185.5,11375.5,11128,11310,51.87,583324.03
2019-07-03 02-AM,BTCUSD,11348.25,11368.5,11132.5,11185.5,157.13,1768725.06
2019-07-03 01-AM,BTCUSD,11239.5,11452.75,11220,11348.25,207.85,2357654.97
2019-07-03 12-AM,BTCUSD,10824,11283.75,10824,11239.5,186.59,2070452.33
2019-07-02 11-PM,BTCUSD,10793.5,10839.5,10688.5,10824,85.91,923703.82
2019-07-02 10-PM,BTCUSD,10683.5,10851.25,10660.75,10793.5,74.2,799860.84
2019-07-02 09-PM,BTCUSD,10718.25,10718.25,10608,10683.5,7.201,76578.24
2019-07-02 08-PM,BTCUSD,10774.75,10915,10717,10718.25,90.78,984242.5
2019-07-02 07-PM,BTCUSD,10698,10849,10668.25,10774.75,88.18,951157.18
2019-07-02 06-PM,BTCUSD,10716.5,10720.25,10587.25,10698,54.41,579363.84
2019-07-02 05-PM,BTCUSD,10469.75,10748.25,10469.75,10716.5,119.5,1267329.07
2019-07-02 04-PM,BTCUSD,10599.25,10599.25,10400.25,10469.75,83.1,872393.01
2019-07-02 03-PM,BTCUSD,10517.25,10613.5,10379.25,10599.25,66.52,696654.36
2019-07-02 02-PM,BTCUSD,9919,10517.75,9919,10517.25,29.25,299616.56
2019-07-02 01-PM,BTCUSD,10023.5,10047,9826.75,9919,40.06,398400.93
2019-07-02 12-PM,BTCUSD,9620,10130.25,9619.75,10023.5,101.54,1011219.67
2019-07-02 11-AM,BTCUSD,10052,10137,9599.75,9620,1188.05,11497767.87
2019-07-02 10-AM,BTCUSD,10154,10239,10003.5,10052,48.99,494905.69
2019-07-02 09-AM,BTCUSD,10187,10298.25,10119,10154,91.39,933709.19
2019-07-02 08-AM,BTCUSD,9844.75,10274,9805.25,10187,135.71,1368680.07
2019-07-02 07-AM,BTCUSD,9796.5,9887.5,9780,9844.75,48.82,480381.05
2019-07-02 06-AM,BTCUSD,9792.25,9865,9713.5,9796.5,122.18,1197247.19
2019-07-02 05-AM,BTCUSD,9898,9933,9744.75,9792.25,99.22,973823.39
2019-07-02 04-AM,BTCUSD,10307.25,10341.5,9783,9898,258.03,2576256.59
2019-07-02 03-AM,BTCUSD,10242.75,10311.75,10219.5,10307.25,23.74,243832.92
2019-07-02 02-AM,BTCUSD,10237.5,10360.5,10211,10242.75,29.87,307376.42
2019-07-02 01-AM,BTCUSD,10321.5,10379.5,10171.75,10237.5,71.86,738101.71
2019-07-02 12-AM,BTCUSD,10554.75,10655.25,10321.5,10321.5,109.46,1147180.59
2019-07-01 11-PM,BTCUSD,10457.75,10649.75,10457.75,10554.75,61.16,646210.25
2019-07-01 10-PM,BTCUSD,10560.25,10560.25,10426,10457.75,54.72,573437.27
2019-07-01 09-PM,BTCUSD,10458.75,10599.25,10424.25,10560.25,20.73,217824.51
2019-07-01 08-PM,BTCUSD,10192,10551,10192,10458.75,43.58,452316.27
2019-07-01 07-PM,BTCUSD,10304.25,10304.25,9984,10192,44.72,452035.41
2019-07-01 06-PM,BTCUSD,10249.5,10318.25,10188.5,10304.25,11.21,115041.68
2019-07-01 05-PM,BTCUSD,10277.5,10371.25,10150,10249.5,40.18,413505.54
2019-07-01 04-PM,BTCUSD,10333,10419.5,10229.5,10277.5,67.37,696773.99
2019-07-01 03-PM,BTCUSD,10209.25,10333,9957.5,10333,149.94,1519276.96
2019-07-01 02-PM,BTCUSD,10527,10580.75,10179.75,10209.25,53.0,549959.72
2019-07-01 01-PM,BTCUSD,10596,10670,10527,10527,42.67,452907.89
2019-07-01 12-PM,BTCUSD,10966.75,10966.75,10495,10596,152.35,1621597.12
2019-07-01 11-AM,BTCUSD,10887.75,10973.25,10867,10966.75,58.36,636812.54
2019-07-01 10-AM,BTCUSD,11038.5,11070,10819,10887.75,41.5,452389.96
2019-07-01 09-AM,BTCUSD,11098.5,11127.25,11009.5,11038.5,64.82,718262.49
2019-07-01 08-AM,BTCUSD,10887,11098.5,10873.5,11098.5,78.9,867555.22
2019-07-01 07-AM,BTCUSD,10879.75,10976.75,10800,10887,53.79,583925.09
2019-07-01 06-AM,BTCUSD,10982.5,11045.5,10847,10879.75,43.05,471853.82
2019-07-01 05-AM,BTCUSD,11079.75,11120.5,10889.5,10982.5,53.11,584950.54
2019-07-01 04-AM,BTCUSD,11092,11128.5,11021.75,11079.75,36.93,408788.05
2019-07-01 03-AM,BTCUSD,10992.75,11204,10968.75,11092,79.02,877564.76
2019-07-01 02-AM,BTCUSD,10887,11067,10790.25,10992.75,74.26,813212.63
2019-07-01 01-AM,BTCUSD,11003.75,11085.75,10887,10887,52.31,573744.7
2019-07-01 12-AM,BTCUSD,10739,11027.25,10615,11003.75,171.88,1867931.98
2019-06-30 11-PM,BTCUSD,10926.25,10979.5,10661.25,10739,186.32,2019521.84
2019-06-30 10-PM,BTCUSD,11256.5,11259.25,10823,10926.25,137.85,1518661.8
2019-06-30 09-PM,BTCUSD,11407,11414.25,11256.5,11256.5,28.6,324971.07
2019-06-30 08-PM,BTCUSD,11231,11407,11148.25,11407,68.32,768946.16
2019-06-30 07-PM,BTCUSD,11188.25,11289.75,11088.5,11231,77.87,870643.06
2019-06-30 06-PM,BTCUSD,11279.25,11279.25,11133,11188.25,43.79,490394.43
2019-06-30 05-PM,BTCUSD,11204.75,11333,11185.25,11279.25,114.93,1294459.63
2019-06-30 04-PM,BTCUSD,11085,11243.75,10825,11204.75,167.66,1849195.12
2019-06-30 03-PM,BTCUSD,11141.75,11158,11036.75,11085,47.97,532003.36
2019-06-30 02-PM,BTCUSD,11043.5,11186,10888.75,11141.75,103.17,1140438.41
2019-06-30 01-PM,BTCUSD,11548.75,11591,10959.25,11043.5,197.72,2209440.68
2019-06-30 12-PM,BTCUSD,11504.75,11590.75,11471.5,11548.75,62.2,717640.55
2019-06-30 11-AM,BTCUSD,11495.5,11555,11464.75,11504.75,29.08,334915.37
2019-06-30 10-AM,BTCUSD,11767,11767,11431.75,11495.5,148.9,1720642.88
2019-06-30 09-AM,BTCUSD,11761.75,11824.75,11702.25,11767,21.46,252816.39
2019-06-30 08-AM,BTCUSD,11675,11786,11657,11761.75,19.42,227647.12
2019-06-30 07-AM,BTCUSD,11905.5,11905.5,11628,11675,123.27,1444819.37
2019-06-30 06-AM,BTCUSD,11942,12012.25,11878.25,11905.5,57.26,683640.51
2019-06-30 05-AM,BTCUSD,12034,12108.25,11852,11942,70.38,841096.68
2019-06-30 04-AM,BTCUSD,12098.5,12130.75,12002.75,12034,28.72,346132.3
2019-06-30 03-AM,BTCUSD,12068,12198,11994.75,12098.5,36.71,444273.34
2019-06-30 02-AM,BTCUSD,12087.25,12090.75,12015,12068,21.84,263105.94
2019-06-30 01-AM,BTCUSD,12123.5,12125,11993.5,12087.25,13.05,157225.52
2019-06-30 12-AM,BTCUSD,11861.25,12137.5,11861,12123.5,73.03,881465.0
2019-06-29 11-PM,BTCUSD,12035,12051.25,11821,11861.25,57.97,691248.27
2019-06-29 10-PM,BTCUSD,11935.25,12094,11934.5,12035,14.66,176094.87
2019-06-29 09-PM,BTCUSD,12143,12195,11889.25,11935.25,12.15,145488.01
2019-06-29 08-PM,BTCUSD,11869.5,12259,11852.75,12143,50.53,612991.57
2019-06-29 07-PM,BTCUSD,11950.5,12011.5,11845.25,11869.5,23.91,285274.19
2019-06-29 06-PM,BTCUSD,11954,12052.75,11909.75,11950.5,31.56,377879.29
2019-06-29 05-PM,BTCUSD,11813.75,11997,11750,11954,63.47,753276.75
2019-06-29 04-PM,BTCUSD,11878.25,11965,11620,11813.75,119.74,1404791.91
2019-06-29 03-PM,BTCUSD,11923,12054.5,11818.75,11878.25,69.68,831367.58
2019-06-29 02-PM,BTCUSD,11976.25,12001.25,11836.5,11923,39.87,475166.11
2019-06-29 01-PM,BTCUSD,12050.25,12171.5,11912,11976.25,71.16,856589.99
2019-06-29 12-PM,BTCUSD,11943.5,12074.5,11938,12050.25,53.83,645845.5
2019-06-29 11-AM,BTCUSD,11784,11943.5,11718,11943.5,73.36,867427.43
2019-06-29 10-AM,BTCUSD,11584,11815,11510,11784,61.08,712070.41
2019-06-29 09-AM,BTCUSD,11641.75,11738.25,11560,11584,63.82,743156.63
2019-06-29 08-AM,BTCUSD,11840.75,11840.75,11596,11641.75,55.52,650355.43
2019-06-29 07-AM,BTCUSD,11793,11860.5,11684.5,11840.75,78.79,927615.35
2019-06-29 06-AM,BTCUSD,11524.5,11793.5,11433.5,11793,88.25,1027698.69
2019-06-29 05-AM,BTCUSD,11615.75,11643.5,11456.25,11524.5,49.56,572810.34
2019-06-29 04-AM,BTCUSD,11457.75,11618,11342.75,11615.75,67.88,779140.97
2019-06-29 03-AM,BTCUSD,11708.75,11740.5,11400,11457.75,132.54,1537341.55
2019-06-29 02-AM,BTCUSD,11850,11850,11488.25,11708.75,320.59,3739132.22
2019-06-29 01-AM,BTCUSD,12207.5,12321.75,11850,11850,84.59,1027869.94
2019-06-29 12-AM,BTCUSD,12361,12368.25,12143.25,12207.5,58.14,711902.91
2019-06-28 11-PM,BTCUSD,12318.25,12440.25,12265.5,12361,81.92,1013699.97
2019-06-28 10-PM,BTCUSD,12285.25,12322.25,12146.25,12318.25,18.7,228777.51
2019-06-28 09-PM,BTCUSD,12218.25,12366.5,12218.25,12285.25,14.54,178742.13
2019-06-28 08-PM,BTCUSD,12314.25,12392,12102.25,12218.25,116.65,1426165.44
2019-06-28 07-PM,BTCUSD,11923,12348.25,11915.25,12314.25,175.71,2141760.8
2019-06-28 06-PM,BTCUSD,11788.25,11955.75,11788.25,11923,63.44,754465.35
2019-06-28 05-PM,BTCUSD,11909.25,11909.25,11737.25,11788.25,111.46,1315124.46
2019-06-28 04-PM,BTCUSD,11901.75,11969.5,11722,11909.25,95.47,1130768.5
