Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2019-08-07 03-AM,BTCEUR,10370.7,10385,10310.3,10322,37.11,384253.74
2019-08-07 02-AM,BTCEUR,10264.8,10399.4,10264.3,10370.7,133.2,1377722.88
2019-08-07 01-AM,BTCEUR,10224.3,10307,10207.4,10264.8,139.58,1433580.35
2019-08-07 12-AM,BTCEUR,10228.7,10258.5,10137.9,10224.3,142.64,1455187.23
2019-08-06 11-PM,BTCEUR,10089,10250,10061.6,10228.7,242.46,2462874.73
2019-08-06 10-PM,BTCEUR,10141,10179.2,10013.1,10089,377.33,3812602.51
2019-08-06 09-PM,BTCEUR,10394.3,10395,10051.2,10141,772.11,7862747.69
2019-08-06 08-PM,BTCEUR,10445.8,10472,10360,10394.3,182.87,1905962.81
2019-08-06 07-PM,BTCEUR,10475,10493.7,10399.1,10445.8,179.76,1878481.05
2019-08-06 06-PM,BTCEUR,10457.5,10482.5,10448.9,10475,156.17,1634294.25
2019-08-06 05-PM,BTCEUR,10510.2,10553.3,10450,10457.5,196.62,2063994.23
2019-08-06 04-PM,BTCEUR,10459.2,10539,10421.8,10510.2,133.19,1395364.06
2019-08-06 03-PM,BTCEUR,10490,10490,10428,10459.2,176.28,1844136.09
2019-08-06 02-PM,BTCEUR,10550,10553.4,10450.5,10490,228.12,2395251.5
2019-08-06 01-PM,BTCEUR,10425,10550,10409.2,10550,180.71,1893391.98
2019-08-06 12-PM,BTCEUR,10527.1,10530,10315.4,10425,531.98,5541680.83
2019-08-06 11-AM,BTCEUR,10486.4,10568.7,10410,10527.1,435.77,4581970.63
2019-08-06 10-AM,BTCEUR,10928.7,10987.5,10312.6,10486.4,1261.06,13404917.2
2019-08-06 09-AM,BTCEUR,10901.6,10958.8,10895.9,10928.7,267.7,2923440.38
2019-08-06 08-AM,BTCEUR,10876,10948,10869.3,10901.6,415.57,4532358.0
2019-08-06 07-AM,BTCEUR,10828.9,10949,10820.4,10876,534.28,5812832.29
2019-08-06 06-AM,BTCEUR,10543,10868.9,10528.4,10828.9,569.56,6108699.51
2019-08-06 05-AM,BTCEUR,10406.2,10543,10406.2,10543,109.32,1143648.39
2019-08-06 04-AM,BTCEUR,10403,10412.6,10372.4,10406.2,46.36,481880.34
2019-08-06 03-AM,BTCEUR,10370.9,10419.4,10351.9,10403,48.95,508446.29
2019-08-06 02-AM,BTCEUR,10370,10380,10304,10370.9,68.15,705048.31
2019-08-06 01-AM,BTCEUR,10445,10465,10301,10370,114.01,1182804.35
2019-08-06 12-AM,BTCEUR,10487.9,10494.4,10300.7,10445,238.53,2479553.91
2019-08-05 11-PM,BTCEUR,10495.8,10511.4,10450.1,10487.9,45.47,476629.73
2019-08-05 10-PM,BTCEUR,10470.1,10548.7,10430.1,10495.8,127.83,1341353.23
2019-08-05 09-PM,BTCEUR,10461,10497.5,10421.8,10470.1,113.64,1188428.83
2019-08-05 08-PM,BTCEUR,10481.2,10548.8,10430,10461,233.06,2440095.32
2019-08-05 07-PM,BTCEUR,10542.1,10547.7,10477.1,10481.2,170.25,1789323.0
2019-08-05 06-PM,BTCEUR,10514.8,10573.6,10500,10542.1,118.17,1245757.65
2019-08-05 05-PM,BTCEUR,10586.1,10677.9,10484,10514.8,733.75,7780875.69
2019-08-05 04-PM,BTCEUR,10514.2,10603,10469.3,10586.1,353.49,3727564.3
2019-08-05 03-PM,BTCEUR,10524.8,10529.6,10420,10514.2,259.51,2720498.81
2019-08-05 02-PM,BTCEUR,10510,10550.5,10485,10524.8,235.86,2480110.19
2019-08-05 01-PM,BTCEUR,10542.6,10569,10483.8,10510,342.95,3610088.78
2019-08-05 12-PM,BTCEUR,10544.5,10580.8,10487.5,10542.6,415.28,4376383.4
2019-08-05 11-AM,BTCEUR,10404.2,10545,10363.4,10544.5,277.74,2904901.63
2019-08-05 10-AM,BTCEUR,10522.6,10573.2,10308,10404.2,582.32,6091659.58
2019-08-05 09-AM,BTCEUR,10548.8,10548.8,10490,10522.6,376.42,3957757.35
2019-08-05 08-AM,BTCEUR,10482.8,10551.8,10461,10548.8,418.02,4389987.21
2019-08-05 07-AM,BTCEUR,10431.3,10600,10416.6,10482.8,730.37,7690457.44
2019-08-05 06-AM,BTCEUR,10357.3,10450,10338.2,10431.3,271.36,2821028.62
2019-08-05 05-AM,BTCEUR,10382.5,10382.7,10349.1,10357.3,139.69,1447394.94
2019-08-05 04-AM,BTCEUR,10366.5,10430.1,10355.1,10382.5,139.28,1447826.81
2019-08-05 03-AM,BTCEUR,10410.4,10450,10301.6,10366.5,176.7,1831296.97
2019-08-05 02-AM,BTCEUR,10260.5,10433.6,10220.9,10410.4,299.55,3092910.29
2019-08-05 01-AM,BTCEUR,10078.2,10293.6,10056,10260.5,433.59,4411357.73
2019-08-05 12-AM,BTCEUR,9870.4,10081.2,9870.4,10078.2,363.45,3637661.17
2019-08-04 11-PM,BTCEUR,9874.5,9901.6,9846.5,9870.4,69.63,687438.42
2019-08-04 10-PM,BTCEUR,9859.1,9960,9814.7,9874.5,233.49,2310192.68
2019-08-04 09-PM,BTCEUR,9835.6,9876.3,9735.5,9859.1,183.91,1802998.28
2019-08-04 08-PM,BTCEUR,9833.1,9900,9821.3,9835.6,159.01,1568291.71
2019-08-04 07-PM,BTCEUR,9840.7,9849.8,9816.5,9833.1,87.16,857563.29
2019-08-04 06-PM,BTCEUR,9819,9858,9810.2,9840.7,84.89,834692.58
2019-08-04 05-PM,BTCEUR,9837.1,9858.1,9772.7,9819,116.46,1143806.4
2019-08-04 04-PM,BTCEUR,9864.4,9900,9752.6,9837.1,290.13,2854226.84
2019-08-04 03-PM,BTCEUR,9704.1,9885,9704.1,9864.4,368.62,3617929.59
2019-08-04 02-PM,BTCEUR,9599.6,9706.8,9595,9704.1,169.95,1639644.72
2019-08-04 01-PM,BTCEUR,9601.1,9632.2,9585.2,9599.6,52.51,504887.06
2019-08-04 12-PM,BTCEUR,9605.9,9630,9581.4,9601.1,69.14,664681.05
2019-08-04 11-AM,BTCEUR,9638.9,9640.1,9605,9605.9,54.17,521407.75
2019-08-04 10-AM,BTCEUR,9655.9,9660.2,9624.5,9638.9,50.14,483401.74
2019-08-04 09-AM,BTCEUR,9624,9656,9580.4,9655.9,81.06,780640.98
2019-08-04 08-AM,BTCEUR,9610,9645.4,9609.9,9624,41.92,403706.48
2019-08-04 07-AM,BTCEUR,9653.7,9656,9599.8,9610,59.3,571269.58
2019-08-04 06-AM,BTCEUR,9556.8,9678.7,9556.8,9653.7,123.18,1186794.3
2019-08-04 05-AM,BTCEUR,9557.9,9605.4,9450,9556.8,145.97,1392500.17
2019-08-04 04-AM,BTCEUR,9687.2,9687.2,9525.3,9557.9,94.34,904584.07
2019-08-04 03-AM,BTCEUR,9738.9,9738.9,9543.9,9687.2,168.24,1623498.68
2019-08-04 02-AM,BTCEUR,9759.9,9760,9725.2,9738.9,6.749,65776.46
