Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR
2019-08-07,BTCEUR,10228.7,10385.3,10137.9,10320.2,386.27,3963881.85
2019-08-06,BTCEUR,10487.9,10987.5,10013.1,10228.7,7466.84,78556381.33
2019-08-05,BTCEUR,9870.4,10677.9,9870.4,10487.9,7357.76,76901348.68
2019-08-04,BTCEUR,9720.2,9960,9450,9870.4,2761.53,26923099.87
2019-08-03,BTCEUR,9472.6,9813.3,9457.5,9720.2,2411.0,23403388.56
2019-08-02,BTCEUR,9379.1,9599,9165,9472.6,4238.05,40013759.47
2019-08-01,BTCEUR,9100.4,9444,8935.7,9379.1,4330.09,39604912.21
2019-07-31,BTCEUR,8593.3,9110,8578.5,9100.4,5537.22,49144119.11
2019-07-30,BTCEUR,8521.5,8729,8416.3,8593.3,4146.74,35608138.7
2019-07-29,BTCEUR,8577.5,8746,8421,8521.5,5617.86,48026688.51
2019-07-28,BTCEUR,8521.8,8649.9,8222.2,8577.5,2571.15,21814794.2
2019-07-27,BTCEUR,8846.5,9175.5,8401,8521.8,5069.17,44017129.81
2019-07-26,BTCEUR,8870.1,8890,8674.9,8846.5,4033.75,35465680.72
2019-07-25,BTCEUR,8780,9149,8753.4,8870.1,4085.9,36801721.59
2019-07-24,BTCEUR,8850.7,8919.9,8556,8780,6205.16,54127721.31
2019-07-23,BTCEUR,9228.9,9228.9,8812,8850.7,6155.9,55270994.47
2019-07-22,BTCEUR,9448.9,9536.5,8980.6,9228.9,5007.89,46298096.3
2019-07-21,BTCEUR,9607.5,9671.8,9212.5,9448.9,3198.13,30087022.97
2019-07-20,BTCEUR,9395.2,9900,9241,9607.5,4195.94,40147379.28
2019-07-19,BTCEUR,9445,9583.6,9040,9395.2,6054.14,56194479.82
2019-07-18,BTCEUR,8644.4,8718.2,8528.4,8718.2,174.9,1501560.27
2019-07-17,BTCEUR,8404,8905,8102.2,8644.4,11273.47,96159488.65
2019-07-16,BTCEUR,9633.6,9808.7,8350.9,8404,11817.54,106187757.39
2019-07-15,BTCEUR,9456.1,9848.9,8800,9633.6,8829.32,81963223.73
2019-07-14,BTCEUR,10125,10195,9199,9456.1,5724.43,54545994.48
2019-07-13,BTCEUR,10484.8,10514.3,9612,10125,5663.31,56787869.49
2019-07-12,BTCEUR,10091.4,10600,9850,10484.8,5732.52,59148693.09
2019-07-11,BTCEUR,10760.1,10760.1,9793.8,10091.4,12051.14,123444446.27
2019-07-10,BTCEUR,11221.3,11737.8,10280,10760.1,13665.39,152499339.13
2019-07-09,BTCEUR,10975,11465,10627,11221.3,10303.71,115023964.68
2019-07-08,BTCEUR,10219.9,11063.1,10086.8,10975,7716.13,82277397.26
2019-07-07,BTCEUR,10017.8,10345,9856.5,10219.9,3781.21,38262260.88
2019-07-06,BTCEUR,9819.9,10422,9802.6,10017.8,5005.39,50880810.26
2019-07-05,BTCEUR,9901.6,10210.1,9593.2,9819.9,7363.75,72882963.52
2019-07-04,BTCEUR,10609.8,10670,9832,9901.6,8262.25,85761247.96
2019-07-03,BTCEUR,9589,10650,9589,10609.8,13077.4,131868997.64
2019-07-02,BTCEUR,9374.3,9700,8556,9589,15123.41,137371088.29
2019-07-01,BTCEUR,9452.5,9877.5,8807,9374.3,12337.51,114819361.93
2019-06-30,BTCEUR,10441.4,10720,9385,9452.5,8176.6,81478145.31
2019-06-29,BTCEUR,10876.9,10877.3,9950.1,10441.4,7275.93,75807449.83
2019-06-28,BTCEUR,9801.4,10939.9,9450.1,10876.9,12590.17,130007670.82
2019-06-27,BTCEUR,11127.2,11386.9,9050,9801.4,19959.06,199848665.99
2019-06-26,BTCEUR,10336.6,12060,10150,11127.2,23089.01,257888205.88
2019-06-25,BTCEUR,9668,10378.6,9653.2,10336.6,11477.84,114488354.36
2019-06-24,BTCEUR,9484.7,9734.8,9250.9,9668,6436.04,61502969.85
2019-06-23,BTCEUR,9363.9,9869,9190.5,9484.7,6037.6,57254313.13
2019-06-22,BTCEUR,8970.9,9881.7,8645,9363.9,12695.92,119448722.1
2019-06-21,BTCEUR,8440,8979.8,8439.9,8970.9,8775.42,76214262.35
2019-06-20,BTCEUR,8256.3,8510,8168,8440,5972.51,49777710.45
2019-06-19,BTCEUR,8109.4,8289,8061.9,8256.3,4180.5,34126849.81
2019-06-18,BTCEUR,8316,8337.4,7922.7,8109.4,7108.6,57804648.53
2019-06-17,BTCEUR,8007,8444,7998.7,8316,7023.6,57959922.49
2019-06-16,BTCEUR,7902.3,8380.2,7836.5,8007,8874.48,71985995.19
2019-06-15,BTCEUR,7765.1,7930,7700,7902.3,3966.65,30946640.17
2019-06-14,BTCEUR,7311.6,7797,7270,7765.1,5352.08,40175530.87
2019-06-13,BTCEUR,7241.6,7395,7150,7311.6,4330.08,31443903.04
2019-06-12,BTCEUR,6993,7311,6920,7241.6,5964.66,42533585.91
2019-06-11,BTCEUR,7088.4,7119.9,6804.4,6993,5060.15,35229084.7
2019-06-10,BTCEUR,6772.7,7153.3,6656,7088.4,6126.64,42661311.35
2019-06-09,BTCEUR,7015.3,7035.8,6659,6772.7,2967.76,20318402.94
2019-06-08,BTCEUR,7070.1,7120,6883.3,7015.3,2790.19,19534295.63
2019-06-07,BTCEUR,6925.7,7178,6884,7070.1,5905.81,41662421.16
2019-06-06,BTCEUR,6939.2,7009.8,6601,6925.7,5540.87,37919489.31
2019-06-05,BTCEUR,6825.9,7054.3,6736.9,6939.2,6434.19,44439078.43
2019-06-04,BTCEUR,7219.9,7224.5,6600,6825.9,12891.72,89692087.03
2019-06-03,BTCEUR,7829.9,7833.4,7114.4,7219.9,7036.81,53032616.33
2019-06-02,BTCEUR,7665.8,7912,7660,7829.9,3096.69,24144883.98
2019-06-01,BTCEUR,7677.8,7724.1,7564.3,7665.8,2200.42,16839323.32
2019-05-31,BTCEUR,7445,7700,7263.8,7677.8,6379.62,47925857.97
2019-05-30,BTCEUR,7781.1,8145,7217.7,7445,11050.82,85099805.08
2019-05-29,BTCEUR,7808.6,7869.9,7559,7781.1,5528.32,42846955.14
2019-05-28,BTCEUR,7844.9,7882.3,7642,7808.6,5314.66,41417691.02
2019-05-27,BTCEUR,7804.5,7990.7,7739.2,7844.9,7460.04,58607718.11
2019-05-26,BTCEUR,7212.5,7868.2,7075,7804.5,8315.25,62681145.42
2019-05-25,BTCEUR,7139.3,7286.1,7100,7212.5,2563.59,18439374.63
