Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume ETH
2019-07-03,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-07-02,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-07-01,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-30,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-29,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-28,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-27,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-26,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-25,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-24,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-23,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-22,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-21,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-20,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-19,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-18,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-17,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-16,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-15,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-14,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-13,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-12,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-11,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-10,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-09,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-08,BCHETH,2.359,2.359,2.359,2.359,0.0,0.0
2019-06-07,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-06-06,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-06-05,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-06-04,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-06-03,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-06-02,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-06-01,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-31,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-30,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-29,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-28,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-27,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-26,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-25,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-24,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-23,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-22,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-21,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-20,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-19,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-18,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-17,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-16,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-15,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-14,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-13,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-12,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-11,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-10,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-09,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
2019-05-08,BCHETH,2.36,2.36,2.36,2.36,0.0,0.0
