Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume PAY,Volume BTC
2019-07-03,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-07-02,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-07-01,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-30,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-29,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-28,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-27,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-26,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-25,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-24,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-23,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-22,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-21,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-20,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-19,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-18,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-17,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-16,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-15,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-14,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-13,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-12,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-11,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-10,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-09,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
2019-06-08,PAYBTC,7.695e-05,7.695e-05,7.695e-05,7.695e-05,0.0,0.0
