Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume IDR
2019-07-03 10-AM,BTCIDR,162000000,163000000,162000000,162490000,0.112,18230060.17
2019-07-03 09-AM,BTCIDR,158467000,162000000,157996000,162000000,0.3745,59370748.43
2019-07-03 08-AM,BTCIDR,163128000,163500000,158467000,158467000,0.3476,56070855.08
2019-07-03 07-AM,BTCIDR,164500000,164997000,163000000,163128000,0.3033,49696783.46
2019-07-03 06-AM,BTCIDR,164800000,164800000,163000000,164500000,0.1126,18442951.24
2019-07-03 05-AM,BTCIDR,162708000,165000000,162500000,164800000,0.5452,89371144.74
2019-07-03 04-AM,BTCIDR,162851000,164000000,162708000,162708000,0.134,21860845.81
2019-07-03 03-AM,BTCIDR,162900000,164000000,162842000,162851000,0.09829,16028019.88
2019-07-03 02-AM,BTCIDR,165000000,165000000,162900000,162900000,0.1048,17156250.03
2019-07-03 01-AM,BTCIDR,162612000,165988000,162612000,165000000,0.05466,8985533.66
2019-07-03 12-AM,BTCIDR,154990000,165988000,154990000,162612000,0.8608,139950115.38
2019-07-02 11-PM,BTCIDR,154989000,154990000,152000000,154990000,0.06717,10367648.48
2019-07-02 10-PM,BTCIDR,153306000,154999000,153306000,154989000,0.4783,73916836.32
2019-07-02 09-PM,BTCIDR,154397000,154397000,152880000,153306000,0.2163,33163335.59
2019-07-02 08-PM,BTCIDR,154396000,154397000,154396000,154397000,0.000648,100049.26
2019-07-02 07-PM,BTCIDR,153405000,154397000,153405000,154396000,0.003146,485047.66
2019-07-02 06-PM,BTCIDR,154357000,154357000,153405000,153405000,0.007627,1173604.64
2019-07-02 05-PM,BTCIDR,152292000,154394000,152292000,154357000,0.179,27576767.81
2019-07-02 04-PM,BTCIDR,153000000,153000000,151795000,152292000,0.1831,27914480.87
2019-07-02 03-PM,BTCIDR,149000000,153000000,148900000,153000000,0.5513,83249884.7
2019-07-02 02-PM,BTCIDR,143505000,149000000,143505000,149000000,0.3574,52296064.95
2019-07-02 01-PM,BTCIDR,145041000,146500000,143498000,143505000,0.4973,72028350.25
2019-07-02 12-PM,BTCIDR,145939000,146867000,145041000,145041000,0.212,30917936.27
2019-07-02 11-AM,BTCIDR,146704000,147145000,142000000,145939000,0.7289,105390283.32
2019-07-02 10-AM,BTCIDR,146900000,148387000,145700000,146704000,0.3449,50771166.49
2019-07-02 09-AM,BTCIDR,149372000,150008000,144950000,146900000,0.3855,57390417.23
2019-07-02 08-AM,BTCIDR,144081000,149800000,143224000,149372000,0.2123,31104705.88
2019-07-02 07-AM,BTCIDR,142865000,144500000,140050000,144081000,0.617,88126252.99
2019-07-02 06-AM,BTCIDR,142598000,143450000,141211000,142865000,0.556,79302258.43
